Borough,Kensington and Chelsea
Major Category,Vehicle Offences
LSOA,E01002818
Time,DataOriginal
01/04/2010,428.2655246
01/05/2010,642.3982869
01/06/2010,428.2655246
01/07/2010,571.0206995
01/08/2010,356.8879372
01/09/2010,356.8879372
01/10/2010,285.5103498
01/11/2010,356.8879372
01/12/2010,428.2655246
01/01/2011,499.6431121
01/02/2011,642.3982869
01/03/2011,499.6431121
01/04/2011,499.6431121
01/05/2011,785.1534618
01/06/2011,499.6431121
01/07/2011,142.7551749
01/08/2011,713.7758744
01/09/2011,642.3982869
01/10/2011,642.3982869
01/11/2011,571.0206995
01/12/2011,1213.418986
01/01/2012,713.7758744
01/02/2012,214.1327623
01/03/2012,499.6431121
01/04/2012,642.3982869
01/05/2012,642.3982869
01/06/2012,499.6431121
01/07/2012,285.5103498
01/08/2012,214.1327623
01/09/2012,0
01/10/2012,642.3982869
01/11/2012,713.7758744
01/12/2012,999.2862241
01/01/2013,856.5310493
01/02/2013,428.2655246
01/03/2013,214.1327623
01/04/2013,642.3982869
01/05/2013,785.1534618
01/06/2013,713.7758744
01/07/2013,499.6431121
01/08/2013,571.0206995
01/09/2013,499.6431121
01/10/2013,785.1534618
01/11/2013,713.7758744
01/12/2013,1070.663812
01/01/2014,1427.551749
01/02/2014,785.1534618
01/03/2014,713.7758744
01/04/2014,999.2862241
01/05/2014,856.5310493
01/06/2014,642.3982869
01/07/2014,785.1534618
01/08/2014,785.1534618
01/09/2014,927.9086367
01/10/2014,927.9086367
01/11/2014,499.6431121
01/12/2014,785.1534618
01/01/2015,642.3982869
01/02/2015,428.2655246
01/03/2015,499.6431121
01/04/2015,356.8879372
01/05/2015,856.5310493
01/06/2015,713.7758744
01/07/2015,499.6431121
01/08/2015,713.7758744
01/09/2015,642.3982869
01/10/2015,856.5310493
01/11/2015,927.9086367
01/12/2015,1427.551749
01/01/2016,713.7758744
01/02/2016,927.9086367
01/03/2016,713.7758744
01/04/2016,856.5310493
01/05/2016,1142.041399
01/06/2016,927.9086367
01/07/2016,642.3982869
01/08/2016,642.3982869
01/09/2016,642.3982869
01/10/2016,1142.041399
01/11/2016,1070.663812
01/12/2016,1570.306924
01/01/2017,785.1534618
01/02/2017,927.9086367
01/03/2017,1498.929336
01/04/2017,856.5310493
01/05/2017,927.9086367
01/06/2017,642.3982869
01/07/2017,927.9086367
01/08/2017,1284.796574
01/09/2017,1356.174161
01/10/2017,1213.418986
01/11/2017,1998.572448
01/12/2017,1570.306924
01/01/2018,1284.796574
01/02/2018,1855.817273
01/03/2018,856.5310493
01/04/2018,1284.796574
01/05/2018,642.3982869
01/06/2018,785.1534618
01/07/2018,927.9086367
01/08/2018,1213.418986
01/09/2018,1570.306924
01/10/2018,1356.174161
01/11/2018,2141.327623
01/12/2018,2569.593148
01/01/2019,2069.950036
01/02/2019,1784.439686
01/03/2019,2284.082798
01/04/2019,927.9086367
01/05/2019,1356.174161
01/06/2019,999.2862241
01/07/2019,1070.663812
01/08/2019,713.7758744
01/09/2019,999.2862241
01/10/2019,1998.572448
01/11/2019,1927.194861
01/12/2019,2069.950036
01/01/2020,1142.041399
01/02/2020,1142.041399
01/03/2020,1070.663812
01/04/2020,71.37758744
01/05/2020,71.37758744
01/06/2020,1070.663812
01/07/2020,2855.103498
01/08/2020,1855.817273
01/09/2020,3140.613847
01/10/2020,2141.327623
01/11/2020,1142.041399
01/12/2020,5496.074233
01/01/2021,428.2655246
01/02/2021,713.7758744
01/03/2021,428.2655246
01/04/2021,1570.306924
01/05/2021,1427.551749
01/06/2021,856.5310493
01/07/2021,1070.663812
01/08/2021,1713.062099
01/09/2021,1356.174161
01/10/2021,1213.418986
01/11/2021,1356.174161
01/12/2021,2640.970735
01/01/2022,2783.72591
01/02/2022,1498.929336
01/03/2022,785.1534618
01/04/2022,1498.929336
01/05/2022,785.1534618
01/06/2022,713.7758744
01/07/2022,642.3982869
01/08/2022,571.0206995
01/09/2022,999.2862241
01/10/2022,1998.572448
01/11/2022,2069.950036
01/12/2022,3211.991435
01/01/2023,2141.327623
01/02/2023,2069.950036
01/03/2023,2569.593148
01/04/2023,2426.837973
01/05/2023,1998.572448
01/06/2023,1284.796574
01/07/2023,1356.174161
01/08/2023,1855.817273
01/09/2023,1284.796574
01/10/2023,1998.572448
01/11/2023,3354.74661
01/12/2023,2640.970735
01/01/2024,2783.72591
01/02/2024,1998.572448
01/03/2024,999.2862241
01/04/2024,1641.684511
01/05/2024,927.9086367
