,LSOA,Borough,Major Category,Population,Mean,Normalised Deviation,Regression,Flat
47234,E01035670,Tower Hamlets,Arson and Criminal Damage,8760,36.4,888.16,0.036,27.77777777777778
19298,E01002129,Harrow,Arson and Criminal Damage,5382,46.2,1381.38,0.045,22.22222222222222
23918,E01002641,Hounslow,Arson and Criminal Damage,5456,43.3,1320.65,0.046,21.73913043478261
19308,E01002130,Harrow,Arson and Criminal Damage,5846,47.4,1474.14,0.047,21.27659574468085
5945,E01000661,Bromley,Arson and Criminal Damage,5668,41.8,1333.42,0.048,20.833333333333332
9,E01000007,Barking and Dagenham,Arson and Criminal Damage,5682,43.1,1405.06,0.049,20.408163265306122
8386,E01000931,Camden,Arson and Criminal Damage,4112,51.5,1735.55,0.051,19.607843137254903
38914,E01004309,Tower Hamlets,Arson and Criminal Damage,5686,56.2,1938.9,0.052,19.23076923076923
8603,E01000958,Camden,Arson and Criminal Damage,5962,47.0,1673.2,0.054,18.51851851851852
10886,E01001202,Ealing,Arson and Criminal Damage,4958,49.2,1751.52,0.054,18.51851851851852
32918,E01003619,Newham,Arson and Criminal Damage,4946,52.1,1953.75,0.055,18.181818181818183
32509,E01003570,Newham,Arson and Criminal Damage,3872,54.2,2059.6,0.057,17.543859649122805
4729,E01000524,Brent,Arson and Criminal Damage,4768,57.6,2154.24,0.057,17.543859649122805
38894,E01004307,Tower Hamlets,Arson and Criminal Damage,4770,51.9,1967.01,0.058,17.241379310344826
44058,E01033587,Barking and Dagenham,Arson and Criminal Damage,4890,66.0,2547.6,0.058,17.241379310344826
9102,E01001011,Croydon,Arson and Criminal Damage,4578,48.3,1864.38,0.059,16.949152542372882
34433,E01003783,Redbridge,Arson and Criminal Damage,5098,59.3,2324.56,0.059,16.949152542372882
45270,E01034036,Hounslow,Arson and Criminal Damage,3640,58.2,2258.16,0.059,16.949152542372882
813,E01000095,Barking and Dagenham,Arson and Criminal Damage,4458,52.9,2131.87,0.06,16.666666666666668
47625,E01035711,Camden,Arson and Criminal Damage,4800,76.3,3029.11,0.06,16.666666666666668
9882,E01001097,Croydon,Arson and Criminal Damage,4838,58.6,2361.58,0.061,16.39344262295082
39717,E01004397,Waltham Forest,Arson and Criminal Damage,5792,69.7,3018.01,0.062,16.129032258064516
11418,E01001261,Ealing,Arson and Criminal Damage,4588,58.2,2386.2,0.062,16.129032258064516
18741,E01002069,Haringey,Arson and Criminal Damage,4184,64.3,2668.45,0.063,15.873015873015873
38179,E01004208,Tower Hamlets,Arson and Criminal Damage,3954,63.1,2618.65,0.063,15.873015873015873
36848,E01004062,Southwark,Arson and Criminal Damage,4356,59.8,2559.44,0.065,15.384615384615383
18410,E01002034,Haringey,Arson and Criminal Damage,4942,67.1,2885.3,0.066,15.15151515151515
17902,E01001979,Haringey,Arson and Criminal Damage,4530,64.8,2896.56,0.066,15.15151515151515
32031,E01003521,Newham,Arson and Criminal Damage,4374,63.9,2773.26,0.066,15.15151515151515
24449,E01002704,Islington,Arson and Criminal Damage,4682,63.8,2743.4,0.066,15.15151515151515
3632,E01000403,Bexley,Arson and Criminal Damage,4764,64.5,2825.1,0.066,15.15151515151515
24267,E01002681,Hounslow,Arson and Criminal Damage,4848,69.4,3095.24,0.066,15.15151515151515
14221,E01001559,Enfield,Arson and Criminal Damage,4254,67.6,2974.4,0.067,14.925373134328357
41669,E01004609,Wandsworth,Arson and Criminal Damage,4388,60.7,2646.52,0.067,14.925373134328357
18851,E01002081,Haringey,Arson and Criminal Damage,3954,62.6,2892.12,0.067,14.925373134328357
25295,E01002795,Islington,Arson and Criminal Damage,3892,65.9,2939.14,0.068,14.705882352941176
40916,E01004525,Wandsworth,Arson and Criminal Damage,3866,65.0,2886.0,0.068,14.705882352941176
21862,E01002412,Hillingdon,Arson and Criminal Damage,4572,71.0,3159.5,0.068,14.705882352941176
5121,E01000568,Brent,Arson and Criminal Damage,4438,60.3,2737.62,0.069,14.492753623188404
43222,E01032582,Lambeth,Arson and Criminal Damage,4562,84.5,4056.0,0.07,14.285714285714285
13791,E01001513,Enfield,Arson and Criminal Damage,3960,68.8,3171.68,0.07,14.285714285714285
18360,E01002029,Haringey,Arson and Criminal Damage,4276,87.4,4186.46,0.072,13.88888888888889
