,Major Category,Borough,LSOA,Population,Mean,Normalised Deviation,Inverse Normalised Deviation
4495,Arson and Criminal Damage,Tower Hamlets,E01035670,8760,36.4,888.16,0.00113
2728,Arson and Criminal Damage,Hounslow,E01002641,5456,43.3,1320.65,0.00076
679,Arson and Criminal Damage,Bromley,E01000661,5668,41.8,1333.42,0.00075
2200,Arson and Criminal Damage,Harrow,E01002129,5382,46.2,1381.38,0.00072
1,Arson and Criminal Damage,Barking and Dagenham,E01000007,5682,43.1,1405.06,0.00071
2201,Arson and Criminal Damage,Harrow,E01002130,5846,47.4,1474.14,0.00068
970,Arson and Criminal Damage,Camden,E01000958,5962,47.0,1673.2,0.0006
948,Arson and Criminal Damage,Camden,E01000931,4112,51.5,1735.55,0.00058
1229,Arson and Criminal Damage,Ealing,E01001202,4958,49.2,1751.52,0.00057
1028,Arson and Criminal Damage,Croydon,E01001011,4578,48.3,1864.38,0.00054
4448,Arson and Criminal Damage,Tower Hamlets,E01004309,5686,56.2,1938.9,0.00052
3731,Arson and Criminal Damage,Newham,E01003619,4946,52.1,1953.75,0.00051
4446,Arson and Criminal Damage,Tower Hamlets,E01004307,4770,51.9,1967.01,0.00051
3689,Arson and Criminal Damage,Newham,E01003570,3872,54.2,2059.6,0.00049
83,Arson and Criminal Damage,Barking and Dagenham,E01000095,4458,52.9,2131.87,0.00047
533,Arson and Criminal Damage,Brent,E01000524,4768,57.6,2154.24,0.00046
2784,Arson and Criminal Damage,Hounslow,E01034036,3640,58.2,2258.16,0.00044
3928,Arson and Criminal Damage,Redbridge,E01003783,5098,59.3,2324.56,0.00043
1284,Arson and Criminal Damage,Ealing,E01001261,4588,58.2,2386.2,0.00042
1110,Arson and Criminal Damage,Croydon,E01001097,4838,58.6,2361.58,0.00042
103,Arson and Criminal Damage,Barking and Dagenham,E01033587,4890,66.0,2547.6,0.00039
4197,Arson and Criminal Damage,Southwark,E01004062,4356,59.8,2559.44,0.00039
4373,Arson and Criminal Damage,Tower Hamlets,E01004208,3954,63.1,2618.65,0.00038
4808,Arson and Criminal Damage,Wandsworth,E01004609,4388,60.7,2646.52,0.00038
574,Arson and Criminal Damage,Brent,E01000568,4438,60.3,2737.62,0.00037
2137,Arson and Criminal Damage,Haringey,E01002069,4184,64.3,2668.45,0.00037
3640,Arson and Criminal Damage,Newham,E01003521,4374,63.9,2773.26,0.00036
2805,Arson and Criminal Damage,Islington,E01002704,4682,63.8,2743.4,0.00036
4729,Arson and Criminal Damage,Wandsworth,E01004525,3866,65.0,2886.0,0.00035
2103,Arson and Criminal Damage,Haringey,E01002034,4942,67.1,2885.3,0.00035
2148,Arson and Criminal Damage,Haringey,E01002081,3954,62.6,2892.12,0.00035
2049,Arson and Criminal Damage,Haringey,E01001979,4530,64.8,2896.56,0.00035
411,Arson and Criminal Damage,Bexley,E01000403,4764,64.5,2825.1,0.00035
1585,Arson and Criminal Damage,Enfield,E01001559,4254,67.6,2974.4,0.00034
2891,Arson and Criminal Damage,Islington,E01002795,3892,65.9,2939.14,0.00034
4601,Arson and Criminal Damage,Waltham Forest,E01004397,5792,69.7,3018.01,0.00033
991,Arson and Criminal Damage,Camden,E01035711,4800,76.3,3029.11,0.00033
1540,Arson and Criminal Damage,Enfield,E01001513,3960,68.8,3171.68,0.00032
3204,Arson and Criminal Damage,Lambeth,E01003096,4196,64.6,3087.88,0.00032
2493,Arson and Criminal Damage,Hillingdon,E01002412,4572,71.0,3159.5,0.00032
2764,Arson and Criminal Damage,Hounslow,E01002681,4848,69.4,3095.24,0.00032
1870,Arson and Criminal Damage,Hackney,E01001830,3834,66.3,3235.44,0.00031
4825,Arson and Criminal Damage,Wandsworth,E01004626,3708,66.9,3385.14,0.0003
747,Arson and Criminal Damage,Bromley,E01000730,3682,66.3,3500.64,0.00029
4077,Arson and Criminal Damage,Southwark,E01003921,3794,71.6,3393.84,0.00029
1058,Arson and Criminal Damage,Croydon,E01001042,4322,69.0,3422.4,0.00029
3312,Arson and Criminal Damage,Lewisham,E01003199,3932,75.8,3555.02,0.00028
4936,Arson and Criminal Damage,Westminster,E01004731,3992,66.2,3581.42,0.00028
4069,Arson and Criminal Damage,Southwark,E01003913,4150,70.0,3605.0,0.00028
3011,Arson and Criminal Damage,Kensington and Chelsea,E01002906,3570,68.7,3544.92,0.00028
2778,Arson and Criminal Damage,Hounslow,E01033083,4356,73.1,3618.45,0.00028
2866,Arson and Criminal Damage,Islington,E01002770,3788,74.1,3675.36,0.00027
2585,Arson and Criminal Damage,Hillingdon,E01002506,4108,78.9,3684.63,0.00027
1964,Arson and Criminal Damage,Hammersmith and Fulham,E01001899,3272,70.3,3873.53,0.00026
1130,Arson and Criminal Damage,Croydon,E01001118,4298,78.3,3844.53,0.00026
3295,Arson and Criminal Damage,Lambeth,E01032582,4562,84.5,4056.0,0.00025
3163,Arson and Criminal Damage,Lambeth,E01003055,3236,76.9,4021.87,0.00025
140,Arson and Criminal Damage,Barnet,E01000141,3722,75.1,3927.73,0.00025
1271,Arson and Criminal Damage,Ealing,E01001247,4652,78.3,4040.28,0.00025
737,Arson and Criminal Damage,Bromley,E01000720,3598,74.1,4068.09,0.00025
3915,Arson and Criminal Damage,Redbridge,E01003770,5728,73.4,4117.74,0.00024
3121,Arson and Criminal Damage,Lambeth,E01003013,3868,77.4,4109.94,0.00024
2098,Arson and Criminal Damage,Haringey,E01002029,4276,87.4,4186.46,0.00024
4215,Arson and Criminal Damage,Southwark,E01032639,3820,83.2,4176.64,0.00024
2430,Arson and Criminal Damage,Havering,E01002353,4120,83.5,4342.0,0.00023
3837,Arson and Criminal Damage,Redbridge,E01003689,4460,87.6,4266.12,0.00023
805,Arson and Criminal Damage,Bromley,E01000790,4580,79.4,4446.4,0.00022
4410,Arson and Criminal Damage,Tower Hamlets,E01004259,3504,82.1,4490.87,0.00022
3466,Arson and Criminal Damage,Lewisham,E01033327,4338,83.7,4653.72,0.00021
1384,Arson and Criminal Damage,Ealing,E01001361,4542,87.2,4830.88,0.00021
1027,Arson and Criminal Damage,Croydon,E01001010,3430,82.1,4753.59,0.00021
3409,Arson and Criminal Damage,Lewisham,E01003303,3486,80.8,5090.4,0.0002
3761,Arson and Criminal Damage,Newham,E01034205,3130,89.1,5328.18,0.00019
4166,Arson and Criminal Damage,Southwark,E01004031,2610,89.0,5393.4,0.00019
1363,Arson and Criminal Damage,Ealing,E01001340,3126,84.1,5592.65,0.00018
4938,Arson and Criminal Damage,Westminster,E01004733,4232,83.0,5660.6,0.00018
693,Arson and Criminal Damage,Bromley,E01000676,4092,100.3,5606.77,0.00018
2006,Arson and Criminal Damage,Hammersmith and Fulham,E01001943,4450,100.7,5498.22,0.00018
3422,Arson and Criminal Damage,Lewisham,E01003318,4152,102.3,5513.97,0.00018
3399,Arson and Criminal Damage,Lewisham,E01003291,3070,94.7,5880.87,0.00017
4634,Arson and Criminal Damage,Waltham Forest,E01004430,2671,93.4,5762.78,0.00017
1460,Arson and Criminal Damage,Enfield,E01001429,4588,103.7,5993.86,0.00017
1717,Arson and Criminal Damage,Greenwich,E01001701,3508,97.3,5779.62,0.00017
1963,Arson and Criminal Damage,Hammersmith and Fulham,E01001898,4200,104.1,6235.59,0.00016
4919,Arson and Criminal Damage,Westminster,E01004714,3334,102.9,6338.64,0.00016
2597,Arson and Criminal Damage,Hillingdon,E01002521,4110,93.0,6165.9,0.00016
935,Arson and Criminal Damage,Camden,E01000918,3610,96.0,6412.8,0.00016
2468,Arson and Criminal Damage,Havering,E01032741,2968,106.0,6762.8,0.00015
874,Arson and Criminal Damage,Camden,E01000855,2654,105.1,6905.07,0.00014
961,Arson and Criminal Damage,Camden,E01000947,3312,106.2,7136.64,0.00014
4030,Arson and Criminal Damage,Richmond upon Thames,E01003876,3754,106.4,6916.0,0.00014
2095,Arson and Criminal Damage,Haringey,E01002026,3560,103.4,7124.26,0.00014
603,Arson and Criminal Damage,Brent,E01000601,2784,107.8,8106.56,0.00012
936,Arson and Criminal Damage,Camden,E01000919,2918,121.4,8024.54,0.00012
931,Arson and Criminal Damage,Camden,E01000914,2804,124.8,8536.32,0.00012
3756,Arson and Criminal Damage,Newham,E01034200,3146,112.6,8129.72,0.00012
1374,Arson and Criminal Damage,Ealing,E01001351,3986,113.6,8542.72,0.00012
4940,Arson and Criminal Damage,Westminster,E01004735,4088,131.2,8344.32,0.00012
2433,Arson and Criminal Damage,Havering,E01002356,4214,147.8,9503.54,0.00011
1584,Arson and Criminal Damage,Enfield,E01001558,2006,122.9,9364.98,0.00011
785,Arson and Criminal Damage,Bromley,E01000769,2760,118.5,9385.2,0.00011
659,Arson and Criminal Damage,Brent,E01033938,2554,128.5,10434.2,0.0001
1214,Arson and Criminal Damage,Croydon,E01034145,2660,126.1,10075.39,0.0001
862,Arson and Criminal Damage,Bromley,E01034386,2448,126.9,11509.83,9e-05
3074,Arson and Criminal Damage,Kingston upon Thames,E01002968,5874,174.4,11859.2,8e-05
882,Arson and Criminal Damage,Camden,E01000863,2958,151.3,12860.5,8e-05
