,Borough,Major Category,LSOA,Population,Mean,Range,Normalised Deviation,Regression
46615,Westminster,Arson and Criminal Damage,E01004734,3398,405.6,2.6180350117257334e-06,52890.24,0.203
46617,Westminster,Arson and Criminal Damage,E01004736,3094,290.7,3.54775828294062e-06,48837.6,0.261
46654,Westminster,Arson and Criminal Damage,E01035716,4402,277.0,4.414360206866454e-06,31439.5,0.173
108,Barking and Dagenham,Arson and Criminal Damage,E01034473,1294,269.1,4.007184448941031e-06,45020.43,0.261
17013,Hackney,Arson and Criminal Damage,E01033708,1883,267.7,5.410764050636917e-06,36942.6,0.211
11817,Ealing,Arson and Criminal Damage,E01034030,1834,227.7,3.8354560070108456e-06,32515.56,0.222
46644,Westminster,Arson and Criminal Damage,E01033594,1514,206.7,8.138472264216739e-06,27573.78,0.204
46639,Westminster,Arson and Criminal Damage,E01004763,4062,201.3,1.3452558335573072e-05,16566.99,0.127
29849,Lambeth,Arson and Criminal Damage,E01003047,3596,199.4,1.0018945726178747e-05,19481.38,0.151
9642,Croydon,Arson and Criminal Damage,E01034150,2624,196.8,9.523809523809523e-06,20034.24,0.155
46640,Westminster,Arson and Criminal Damage,E01004765,1862,196.2,9.490316029326937e-06,23131.98,0.183
26822,Islington,Arson and Criminal Damage,E01035652,1271,195.8,9.273310987188559e-06,26276.36,0.207
46637,Westminster,Arson and Criminal Damage,E01004761,2434,194.5,8.938670609979084e-06,20519.75,0.163
17006,Hackney,Arson and Criminal Damage,E01033699,1409,190.0,6.179824577151219e-06,26296.0,0.215
40683,Sutton,Arson and Criminal Damage,E01034156,2706,179.3,1.160924969755873e-05,17338.31,0.15
26702,Islington,Arson and Criminal Damage,E01002695,1483,179.3,1.0338817631517696e-05,20476.06,0.176
28973,Kingston upon Thames,Arson and Criminal Damage,E01002968,5874,174.4,1.2954304881327168e-05,11859.2,0.099
44948,Wandsworth,Arson and Criminal Damage,E01035493,1654,166.4,9.036276257543777e-06,20783.36,0.194
36435,Redbridge,Arson and Criminal Damage,E01033589,1930,161.2,1.4965880859645583e-05,15571.92,0.148
6397,Bromley,Arson and Criminal Damage,E01000721,1602,159.7,6.269567948524138e-06,19339.67,0.188
19510,Haringey,Arson and Criminal Damage,E01002031,1873,159.5,1.1742946754625878e-05,18167.05,0.164
9453,Croydon,Arson and Criminal Damage,E01001013,2185,154.5,1.5713772008630505e-05,13518.75,0.135
39022,Southwark,Arson and Criminal Damage,E01004067,2212,154.2,1.4345006501085222e-05,14155.56,0.141
8177,Camden,Arson and Criminal Damage,E01000863,2958,151.3,1.503889366198309e-05,12860.5,0.131
22314,Havering,Arson and Criminal Damage,E01002356,4214,147.8,1.900766818754623e-05,9503.54,0.098
46616,Westminster,Arson and Criminal Damage,E01004735,4088,131.2,2.3968104780117323e-05,8344.32,0.098
38903,Southwark,Arson and Criminal Damage,E01003929,1981,131.2,7.549542703814665e-06,14418.88,0.17
4751,Brent,Arson and Criminal Damage,E01033938,2554,128.5,1.8068623838318484e-05,10434.2,0.126
6521,Bromley,Arson and Criminal Damage,E01034386,2448,126.9,1.0717100024752215e-05,11509.83,0.138
9637,Croydon,Arson and Criminal Damage,E01034145,2660,126.1,2.3438188130554648e-05,10075.39,0.123
8226,Camden,Arson and Criminal Damage,E01000914,2804,124.8,2.4964387676869255e-05,8536.32,0.105
13682,Enfield,Arson and Criminal Damage,E01001558,2006,122.9,2.0402766525368666e-05,9364.98,0.118
8231,Camden,Arson and Criminal Damage,E01000919,2918,121.4,2.4036243963838143e-05,8024.54,0.102
6444,Bromley,Arson and Criminal Damage,E01000769,2760,118.5,1.9409282749559365e-05,9385.2,0.121
11772,Ealing,Arson and Criminal Damage,E01001351,3986,113.6,2.1930017410898723e-05,8542.72,0.112
34632,Newham,Arson and Criminal Damage,E01034200,3146,112.6,2.5399644999321702e-05,8129.72,0.111
4695,Brent,Arson and Criminal Damage,E01000601,2784,107.8,2.5825603213779383e-05,8106.56,0.114
37926,Richmond upon Thames,Arson and Criminal Damage,E01003876,3754,106.4,2.7139965224476957e-05,6916.0,0.1
8256,Camden,Arson and Criminal Damage,E01000947,3312,106.2,3.11864410585464e-05,7136.64,0.101
22349,Havering,Arson and Criminal Damage,E01032741,2968,106.0,3.4999999475000004e-05,6762.8,0.098
8169,Camden,Arson and Criminal Damage,E01000855,2654,105.1,2.5252140731291388e-05,6905.07,0.101
18382,Hammersmith and Fulham,Arson and Criminal Damage,E01001898,4200,104.1,3.362151793286032e-05,6235.59,0.092
13558,Enfield,Arson and Criminal Damage,E01001429,4588,103.7,3.403308417372079e-05,5993.86,0.089
19505,Haringey,Arson and Criminal Damage,E01002026,3560,103.4,1.721470008687226e-05,7124.26,0.102
46595,Westminster,Arson and Criminal Damage,E01004714,3334,102.9,2.700032370688092e-05,6338.64,0.092
31698,Lewisham,Arson and Criminal Damage,E01003318,4152,102.3,3.689682772513236e-05,5513.97,0.083
18425,Hammersmith and Fulham,Arson and Criminal Damage,E01001943,4450,100.7,3.6825554695965274e-05,5498.22,0.084
6352,Bromley,Arson and Criminal Damage,E01000676,4092,100.3,3.3998005676986986e-05,5606.77,0.085
15402,Greenwich,Arson and Criminal Damage,E01001701,3508,97.3,3.605344302809696e-05,5779.62,0.091
8230,Camden,Arson and Criminal Damage,E01000918,3610,96.0,2.8926282150947924e-05,6412.8,0.102
31675,Lewisham,Arson and Criminal Damage,E01003291,3070,94.7,2.947105700539403e-05,5880.87,0.095
43454,Waltham Forest,Arson and Criminal Damage,E01004430,2671,93.4,4.0853471507399954e-05,5762.78,0.095
23766,Hillingdon,Arson and Criminal Damage,E01002521,4110,93.0,2.3259762162884348e-05,6165.9,0.098
34637,Newham,Arson and Criminal Damage,E01034205,3130,89.1,4.3911335460954635e-05,5328.18,0.092
38986,Southwark,Arson and Criminal Damage,E01004031,2610,89.0,4.189406064550704e-05,5393.4,0.093
36329,Redbridge,Arson and Criminal Damage,E01003689,4460,87.6,5.0913240986217986e-05,4266.12,0.074
19508,Haringey,Arson and Criminal Damage,E01002029,4276,87.4,4.892448569235217e-05,4186.46,0.072
11782,Ealing,Arson and Criminal Damage,E01001361,4542,87.2,4.735196001600496e-05,4830.88,0.076
29989,Lambeth,Arson and Criminal Damage,E01032582,4562,84.5,4.9080149651265905e-05,4056.0,0.07
11761,Ealing,Arson and Criminal Damage,E01001340,3126,84.1,3.717003555425411e-05,5592.65,0.103
31742,Lewisham,Arson and Criminal Damage,E01033327,4338,83.7,2.727787212739116e-05,4653.72,0.085
22311,Havering,Arson and Criminal Damage,E01002353,4120,83.5,4.485574370396932e-05,4342.0,0.079
39035,Southwark,Arson and Criminal Damage,E01032639,3820,83.2,5.10149578917436e-05,4176.64,0.074
