,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
47287,Westminster,E01004734,Arson and Criminal Damage,3398,405.6,129.4,3.13
29384,Kingston upon Thames,E01002968,Arson and Criminal Damage,5874,174.4,67.0,2.6
47525,Westminster,E01004763,Arson and Criminal Damage,4062,201.3,81.3,2.48
47673,Westminster,E01035716,Arson and Criminal Damage,4402,277.0,112.5,2.46
23253,Havering,E01002356,Arson and Criminal Damage,4214,147.8,63.3,2.33
24102,Hillingdon,E01002444,Arson and Criminal Damage,3806,178.4,84.2,2.12
47297,Westminster,E01004735,Arson and Criminal Damage,4088,131.2,62.6,2.1
30143,Lambeth,E01003047,Arson and Criminal Damage,3596,199.4,96.7,2.06
9396,Camden,E01035711,Arson and Criminal Damage,4800,76.3,38.7,1.97
11590,Croydon,E01034150,Arson and Criminal Damage,2624,196.8,100.8,1.95
18154,Hackney,E01033708,Arson and Criminal Damage,1883,267.7,137.0,1.95
32756,Lewisham,E01003318,Arson and Criminal Damage,4152,102.3,52.9,1.93
19191,Hammersmith and Fulham,E01001943,Arson and Criminal Damage,4450,100.7,53.6,1.88
41697,Sutton,E01034156,Arson and Criminal Damage,2706,179.3,95.7,1.87
47505,Westminster,E01004761,Arson and Criminal Damage,2434,194.5,104.5,1.86
8862,Camden,E01000919,Arson and Criminal Damage,2918,121.4,65.1,1.86
20062,Haringey,E01002029,Arson and Criminal Damage,4276,87.4,46.9,1.86
8811,Camden,E01000914,Arson and Criminal Damage,2804,124.8,67.4,1.85
36749,Redbridge,E01003689,Arson and Criminal Damage,4460,87.6,47.7,1.84
6591,Bromley,E01000676,Arson and Criminal Damage,4092,100.3,54.9,1.83
13898,Enfield,E01001429,Arson and Criminal Damage,4588,103.7,56.8,1.83
31511,Lambeth,E01032582,Arson and Criminal Damage,4562,84.5,47.0,1.8
8343,Camden,E01000863,Arson and Criminal Damage,2958,151.3,84.0,1.8
9776,Croydon,E01001013,Arson and Criminal Damage,2185,154.5,86.5,1.79
18784,Hammersmith and Fulham,E01001898,Arson and Criminal Damage,4200,104.1,58.9,1.77
1012,Barking and Dagenham,E01033587,Arson and Criminal Damage,4890,66.0,37.6,1.76
47307,Westminster,E01004736,Arson and Criminal Damage,3094,290.7,167.0,1.74
24663,Hillingdon,E01002506,Arson and Criminal Damage,4108,78.9,45.7,1.73
40195,Southwark,E01004067,Arson and Criminal Damage,2212,154.2,90.8,1.7
47093,Westminster,E01004714,Arson and Criminal Damage,3334,102.9,60.6,1.7
23576,Havering,E01032741,Arson and Criminal Damage,2968,106.0,62.8,1.69
40318,Southwark,E01032639,Arson and Criminal Damage,3820,83.2,49.2,1.69
37761,Redbridge,E01033589,Arson and Criminal Damage,1930,161.2,95.6,1.69
42542,Tower Hamlets,E01004309,Arson and Criminal Damage,5686,56.2,33.5,1.68
47535,Westminster,E01004765,Arson and Criminal Damage,1862,196.2,116.9,1.68
16389,Greenwich,E01001701,Arson and Criminal Damage,3508,97.3,58.4,1.67
38555,Richmond upon Thames,E01003876,Arson and Criminal Damage,3754,106.4,64.0,1.66
31676,Lewisham,E01003199,Arson and Criminal Damage,3932,75.8,45.9,1.65
44025,Waltham Forest,E01004397,Arson and Criminal Damage,5792,69.7,42.3,1.65
23224,Havering,E01002353,Arson and Criminal Damage,4120,83.5,51.0,1.64
10722,Croydon,E01001118,Arson and Criminal Damage,4298,78.3,48.1,1.63
23816,Hillingdon,E01002412,Arson and Criminal Damage,4572,71.0,43.5,1.63
15098,Enfield,E01001558,Arson and Criminal Damage,2006,122.9,75.2,1.63
8264,Camden,E01000855,Arson and Criminal Damage,2654,105.1,64.7,1.62
1061,Barking and Dagenham,E01034473,Arson and Criminal Damage,1294,269.1,166.3,1.62
13500,Ealing,E01034030,Arson and Criminal Damage,1834,227.7,141.8,1.61
11542,Croydon,E01034145,Arson and Criminal Damage,2660,126.1,78.9,1.6
21059,Harrow,E01002129,Arson and Criminal Damage,5382,46.2,28.9,1.6
6274,Brent,E01033938,Arson and Criminal Damage,2554,128.5,80.2,1.6
20112,Haringey,E01002034,Arson and Criminal Damage,4942,67.1,42.0,1.6
13167,Ealing,E01001361,Arson and Criminal Damage,4542,87.2,54.4,1.6
9108,Camden,E01000947,Arson and Criminal Damage,3312,106.2,66.2,1.6
20443,Haringey,E01002069,Arson and Criminal Damage,4184,64.3,40.5,1.59
26398,Hounslow,E01002681,Arson and Criminal Damage,4848,69.4,43.6,1.59
26710,Islington,E01002695,Arson and Criminal Damage,1483,179.3,113.2,1.58
5054,Brent,E01000524,Arson and Criminal Damage,4768,57.6,36.4,1.58
35974,Newham,E01034200,Arson and Criminal Damage,3146,112.6,71.2,1.58
15108,Enfield,E01001559,Arson and Criminal Damage,4254,67.6,43.0,1.57
21069,Harrow,E01002130,Arson and Criminal Damage,5846,47.4,30.1,1.57
8980,Camden,E01000931,Arson and Criminal Damage,4112,51.5,32.7,1.57
41807,Tower Hamlets,E01004208,Arson and Criminal Damage,3954,63.1,40.5,1.56
47575,Westminster,E01033594,Arson and Criminal Damage,1514,206.7,132.4,1.56
43001,Tower Hamlets,E01035670,Arson and Criminal Damage,8760,36.4,23.4,1.56
37617,Redbridge,E01003783,Arson and Criminal Damage,5098,59.3,38.2,1.55
32529,Lewisham,E01003291,Arson and Criminal Damage,3070,94.7,61.1,1.55
12093,Ealing,E01001247,Arson and Criminal Damage,4652,78.3,50.6,1.55
44348,Waltham Forest,E01004430,Arson and Criminal Damage,2671,93.4,60.7,1.54
26593,Hounslow,E01034036,Arson and Criminal Damage,3640,58.2,37.8,1.54
38987,Southwark,E01003921,Arson and Criminal Damage,3794,71.6,46.4,1.54
13070,Ealing,E01001351,Arson and Criminal Damage,3986,113.6,74.2,1.53
42172,Tower Hamlets,E01004259,Arson and Criminal Damage,3504,82.1,53.7,1.53
33187,Lewisham,E01033327,Arson and Criminal Damage,4338,83.7,54.6,1.53
14678,Enfield,E01001513,Arson and Criminal Damage,3960,68.8,45.1,1.53
20032,Haringey,E01002026,Arson and Criminal Damage,3560,103.4,67.9,1.52
27396,Islington,E01002770,Arson and Criminal Damage,3788,74.1,48.6,1.52
36023,Newham,E01034205,Arson and Criminal Damage,3130,89.1,58.8,1.52
7443,Bromley,E01000769,Arson and Criminal Damage,2760,118.5,78.2,1.52
26798,Islington,E01002704,Arson and Criminal Damage,4682,63.8,42.0,1.52
3908,Bexley,E01000403,Arson and Criminal Damage,4764,64.5,42.8,1.51
27644,Islington,E01002795,Arson and Criminal Damage,3892,65.9,43.6,1.51
26532,Hounslow,E01033083,Arson and Criminal Damage,4356,73.1,48.5,1.51
34841,Newham,E01003521,Arson and Criminal Damage,4374,63.9,42.4,1.51
32638,Lewisham,E01003304,Arson and Criminal Damage,4440,51.0,33.9,1.5
45263,Wandsworth,E01004525,Arson and Criminal Damage,3866,65.0,43.4,1.5
30222,Lambeth,E01003055,Arson and Criminal Damage,3236,76.9,51.3,1.5
39852,Southwark,E01004031,Arson and Criminal Damage,2610,89.0,59.6,1.49
10536,Croydon,E01001097,Arson and Criminal Damage,4838,58.6,39.3,1.49
29815,Lambeth,E01003013,Arson and Criminal Damage,3868,77.4,52.1,1.49
19604,Haringey,E01001979,Arson and Criminal Damage,4530,64.8,43.7,1.48
26049,Hounslow,E01002641,Arson and Criminal Damage,5456,43.3,29.5,1.47
