,LSOA,Major Category,Borough,Population,Mean,Range,Normalised Deviation
38914,E01004309,Arson and Criminal Damage,Tower Hamlets,5686,56.2,0.003,1938.9
32031,E01003521,Arson and Criminal Damage,Newham,4374,63.9,0.002,2773.26
813,E01000095,Arson and Criminal Damage,Barking and Dagenham,4458,52.9,0.002,2131.87
5945,E01000661,Arson and Criminal Damage,Bromley,5668,41.8,0.002,1333.42
4729,E01000524,Arson and Criminal Damage,Brent,4768,57.6,0.002,2154.24
9092,E01001010,Arson and Criminal Damage,Croydon,3430,82.1,0.002,4753.59
11418,E01001261,Arson and Criminal Damage,Ealing,4588,58.2,0.002,2386.2
18410,E01002034,Arson and Criminal Damage,Haringey,4942,67.1,0.002,2885.3
8386,E01000931,Arson and Criminal Damage,Camden,4112,51.5,0.002,1735.55
19298,E01002129,Arson and Criminal Damage,Harrow,5382,46.2,0.002,1381.38
19308,E01002130,Arson and Criminal Damage,Harrow,5846,47.4,0.002,1474.14
21862,E01002412,Arson and Criminal Damage,Hillingdon,4572,71.0,0.002,3159.5
23918,E01002641,Arson and Criminal Damage,Hounslow,5456,43.3,0.002,1320.65
24267,E01002681,Arson and Criminal Damage,Hounslow,4848,69.4,0.002,3095.24
18360,E01002029,Arson and Criminal Damage,Haringey,4276,87.4,0.002,4186.46
13791,E01001513,Arson and Criminal Damage,Enfield,3960,68.8,0.002,3171.68
25047,E01002770,Arson and Criminal Damage,Islington,3788,74.1,0.002,3675.36
33565,E01003689,Arson and Criminal Damage,Redbridge,4460,87.6,0.002,4266.12
38894,E01004307,Arson and Criminal Damage,Tower Hamlets,4770,51.9,0.002,1967.01
40916,E01004525,Arson and Criminal Damage,Wandsworth,3866,65.0,0.002,2886.0
45270,E01034036,Arson and Criminal Damage,Hounslow,3640,58.2,0.002,2258.16
44058,E01033587,Arson and Criminal Damage,Barking and Dagenham,4890,66.0,0.002,2547.6
47234,E01035670,Arson and Criminal Damage,Tower Hamlets,8760,36.4,0.002,888.16
47625,E01035711,Arson and Criminal Damage,Camden,4800,76.3,0.002,3029.11
38179,E01004208,Arson and Criminal Damage,Tower Hamlets,3954,63.1,0.002,2618.65
29078,E01003199,Arson and Criminal Damage,Lewisham,3932,75.8,0.002,3555.02
32509,E01003570,Arson and Criminal Damage,Newham,3872,54.2,0.002,2059.6
34433,E01003783,Arson and Criminal Damage,Redbridge,5098,59.3,0.002,2324.56
9,E01000007,Arson and Criminal Damage,Barking and Dagenham,5682,43.1,0.001,1405.06
9122,E01001013,Arson and Criminal Damage,Croydon,2185,154.5,0.001,13518.75
8217,E01000914,Arson and Criminal Damage,Camden,2804,124.8,0.001,8536.32
7670,E01000855,Arson and Criminal Damage,Camden,2654,105.1,0.001,6905.07
3632,E01000403,Arson and Criminal Damage,Bexley,4764,64.5,0.001,2825.1
24449,E01002704,Arson and Criminal Damage,Islington,4682,63.8,0.001,2743.4
12270,E01001351,Arson and Criminal Damage,Ealing,3986,113.6,0.001,8542.72
11293,E01001247,Arson and Criminal Damage,Ealing,4652,78.3,0.001,4040.28
12163,E01001340,Arson and Criminal Damage,Ealing,3126,84.1,0.001,5592.65
9882,E01001097,Arson and Criminal Damage,Croydon,4838,58.6,0.001,2361.58
10068,E01001118,Arson and Criminal Damage,Croydon,4298,78.3,0.001,3844.53
9383,E01001042,Arson and Criminal Damage,Croydon,4322,69.0,0.001,3422.4
10886,E01001202,Arson and Criminal Damage,Ealing,4958,49.2,0.001,1751.52
8257,E01000918,Arson and Criminal Damage,Camden,3610,96.0,0.001,6412.8
16494,E01001830,Arson and Criminal Damage,Hackney,3834,66.3,0.001,3235.44
17150,E01001898,Arson and Criminal Damage,Hammersmith and Fulham,4200,104.1,0.001,6235.59
12367,E01001361,Arson and Criminal Damage,Ealing,4542,87.2,0.001,4830.88
14221,E01001559,Arson and Criminal Damage,Enfield,4254,67.6,0.001,2974.4
15423,E01001701,Arson and Criminal Damage,Greenwich,3508,97.3,0.001,5779.62
13011,E01001429,Arson and Criminal Damage,Enfield,4588,103.7,0.001,5993.86
14211,E01001558,Arson and Criminal Damage,Enfield,2006,122.9,0.001,9364.98
26329,E01002906,Arson and Criminal Damage,Kensington and Chelsea,3570,68.7,0.001,3544.92
18741,E01002069,Arson and Criminal Damage,Haringey,4184,64.3,0.001,2668.45
17902,E01001979,Arson and Criminal Damage,Haringey,4530,64.8,0.001,2896.56
8268,E01000919,Arson and Criminal Damage,Camden,2918,121.4,0.001,8024.54
8514,E01000947,Arson and Criminal Damage,Camden,3312,106.2,0.001,7136.64
8603,E01000958,Arson and Criminal Damage,Camden,5962,47.0,0.001,1673.2
9102,E01001011,Arson and Criminal Damage,Croydon,4578,48.3,0.001,1864.38
1239,E01000141,Arson and Criminal Damage,Barnet,3722,75.1,0.001,3927.73
6478,E01000720,Arson and Criminal Damage,Bromley,3598,74.1,0.001,4068.09
6577,E01000730,Arson and Criminal Damage,Bromley,3682,66.3,0.001,3500.64
6929,E01000769,Arson and Criminal Damage,Bromley,2760,118.5,0.001,9385.2
7114,E01000790,Arson and Criminal Damage,Bromley,4580,79.4,0.001,4446.4
7749,E01000863,Arson and Criminal Damage,Camden,2958,151.3,0.001,12860.5
5121,E01000568,Arson and Criminal Damage,Brent,4438,60.3,0.001,2737.62
5398,E01000601,Arson and Criminal Damage,Brent,2784,107.8,0.001,8106.56
6077,E01000676,Arson and Criminal Damage,Bromley,4092,100.3,0.001,5606.77
45853,E01034205,Arson and Criminal Damage,Newham,3130,89.1,0.001,5328.18
42737,E01004731,Arson and Criminal Damage,Westminster,3992,66.2,0.001,3581.42
41830,E01004626,Arson and Criminal Damage,Wandsworth,3708,66.9,0.001,3385.14
25295,E01002795,Arson and Criminal Damage,Islington,3892,65.9,0.001,2939.14
24361,E01002695,Arson and Criminal Damage,Islington,1483,179.3,0.001,20476.06
21367,E01002356,Arson and Criminal Damage,Havering,4214,147.8,0.001,9503.54
22709,E01002506,Arson and Criminal Damage,Hillingdon,4108,78.9,0.001,3684.63
26881,E01002968,Arson and Criminal Damage,Kingston upon Thames,5874,174.4,0.001,11859.2
18851,E01002081,Arson and Criminal Damage,Haringey,3954,62.6,0.001,2892.12
21338,E01002353,Arson and Criminal Damage,Havering,4120,83.5,0.001,4342.0
17160,E01001899,Arson and Criminal Damage,Hammersmith and Fulham,3272,70.3,0.001,3873.53
17557,E01001943,Arson and Criminal Damage,Hammersmith and Fulham,4450,100.7,0.001,5498.22
18380,E01002031,Arson and Criminal Damage,Haringey,1873,159.5,0.001,18167.05
30030,E01003303,Arson and Criminal Damage,Lewisham,3486,80.8,0.001,5090.4
29931,E01003291,Arson and Criminal Damage,Lewisham,3070,94.7,0.001,5880.87
28091,E01003096,Arson and Criminal Damage,Lambeth,4196,64.6,0.001,3087.88
