,LSOA,Major Category,Borough,Population,Mean,Normalised Deviation,Regression,Flat
49258,E01004736,Arson and Criminal Damage,Westminster,1547,581.4,194769.0,0.523,1.9120458891013383
49236,E01004734,Arson and Criminal Damage,Westminster,1699,811.2,210830.88,0.406,2.463054187192118
54791,E01035716,Arson and Criminal Damage,Westminster,2201,554.0,125148.6,0.346,2.8901734104046244
49478,E01004761,Arson and Criminal Damage,Westminster,1217,389.1,81711.0,0.326,3.067484662576687
52294,E01034150,Arson and Criminal Damage,Croydon,1312,393.7,79724.25,0.311,3.215434083601286
31867,E01003047,Arson and Criminal Damage,Lambeth,1798,398.8,77526.72,0.302,3.3112582781456954
52360,E01034156,Arson and Criminal Damage,Sutton,1353,358.7,69013.88,0.3,3.3333333333333335
53042,E01034386,Arson and Criminal Damage,Bromley,1224,253.7,45742.11,0.277,3.6101083032490973
9042,E01000863,Arson and Criminal Damage,Camden,1479,302.7,51126.03,0.261,3.8314176245210727
53196,E01034473,Arson and Criminal Damage,Barking and Dagenham,1294,269.1,45020.43,0.261,3.8314176245210727
49500,E01004763,Arson and Criminal Damage,Westminster,2031,402.6,65865.36,0.255,3.9215686274509802
51843,E01033938,Arson and Criminal Damage,Brent,1277,257.0,41454.1,0.251,3.9840637450199203
52239,E01034145,Arson and Criminal Damage,Croydon,1330,252.1,40033.48,0.246,4.065040650406504
8063,E01000769,Arson and Criminal Damage,Bromley,1380,237.0,37303.8,0.243,4.11522633744856
6270,E01000601,Arson and Criminal Damage,Brent,1392,215.5,32217.25,0.227,4.405286343612334
14223,E01001351,Arson and Criminal Damage,Ealing,1993,227.3,33935.89,0.223,4.484304932735426
52657,E01034200,Arson and Criminal Damage,Newham,1573,225.1,32279.34,0.222,4.504504504504505
51986,E01034030,Arson and Criminal Damage,Ealing,1834,227.7,32515.56,0.222,4.504504504504505
50853,E01033699,Arson and Criminal Damage,Hackney,1409,190.0,26296.0,0.215,4.651162790697675
50930,E01033708,Arson and Criminal Damage,Hackney,1883,267.7,36942.6,0.211,4.739336492890995
9581,E01000914,Arson and Criminal Damage,Camden,1402,249.6,33920.64,0.211,4.739336492890995
49225,E01004733,Arson and Criminal Damage,Westminster,2116,166.0,22493.0,0.208,4.8076923076923075
54087,E01035652,Arson and Criminal Damage,Islington,1271,195.8,26276.36,0.207,4.830917874396135
14102,E01001340,Arson and Criminal Damage,Ealing,1563,168.2,22185.58,0.205,4.878048780487805
9636,E01000919,Arson and Criminal Damage,Camden,1459,242.7,31842.24,0.204,4.901960784313726
50754,E01033594,Arson and Criminal Damage,Westminster,1514,206.7,27573.78,0.204,4.901960784313726
8954,E01000855,Arson and Criminal Damage,Camden,1327,210.1,27397.04,0.203,4.926108374384236
9625,E01000918,Arson and Criminal Damage,Camden,1805,192.0,25440.0,0.203,4.926108374384236
21131,E01002026,Arson and Criminal Damage,Haringey,1780,206.9,28303.92,0.203,4.926108374384236
9911,E01000947,Arson and Criminal Damage,Camden,1656,212.4,28334.16,0.203,4.926108374384236
40634,E01003876,Arson and Criminal Damage,Richmond upon Thames,1877,212.8,27451.2,0.2,5.0
31009,E01002968,Arson and Criminal Damage,Kingston upon Thames,2937,348.9,47101.5,0.199,5.025125628140703
49852,E01032741,Arson and Criminal Damage,Havering,1484,212.1,26851.86,0.197,5.0761421319796955
24651,E01002356,Arson and Criminal Damage,Havering,2107,295.7,37731.32,0.196,5.1020408163265305
49247,E01004735,Arson and Criminal Damage,Westminster,2044,262.5,33127.5,0.196,5.1020408163265305
26378,E01002521,Arson and Criminal Damage,Hillingdon,2055,186.1,24509.37,0.196,5.1020408163265305
53856,E01035493,Arson and Criminal Damage,Wandsworth,1654,166.4,20783.36,0.194,5.154639175257731
34584,E01003303,Arson and Criminal Damage,Lewisham,1743,161.7,20212.5,0.193,5.181347150259067
34474,E01003291,Arson and Criminal Damage,Lewisham,1535,189.3,23321.76,0.191,5.2356020942408374
7546,E01000721,Arson and Criminal Damage,Bromley,1602,159.7,19339.67,0.188,5.319148936170213
