,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
43001,Tower Hamlets,E01035670,Arson and Criminal Damage,8760,36.4,1.00284,888.16
21059,Harrow,E01002129,Arson and Criminal Damage,5382,46.2,1.00192,1381.38
21069,Harrow,E01002130,Arson and Criminal Damage,5846,47.4,1.00174,1474.14
26049,Hounslow,E01002641,Arson and Criminal Damage,5456,43.3,1.00169,1320.65
42542,Tower Hamlets,E01004309,Arson and Criminal Damage,5686,56.2,1.0015,1938.9
8980,Camden,E01000931,Arson and Criminal Damage,4112,51.5,1.00147,1735.55
6459,Bromley,E01000661,Arson and Criminal Damage,5668,41.8,1.00142,1333.42
9,Barking and Dagenham,E01000007,Arson and Criminal Damage,5682,43.1,1.00137,1405.06
9396,Camden,E01035711,Arson and Criminal Damage,4800,76.3,1.00132,3029.11
1012,Barking and Dagenham,E01033587,Arson and Criminal Damage,4890,66.0,1.00125,2547.6
5054,Brent,E01000524,Arson and Criminal Damage,4768,57.6,1.0012,2154.24
11686,Ealing,E01001202,Arson and Criminal Damage,4958,49.2,1.00119,1751.52
9197,Camden,E01000958,Arson and Criminal Damage,5962,47.0,1.00113,1673.2
26593,Hounslow,E01034036,Arson and Criminal Damage,3640,58.2,1.00108,2258.16
37617,Redbridge,E01003783,Arson and Criminal Damage,5098,59.3,1.00107,2324.56
35728,Newham,E01003619,Arson and Criminal Damage,4946,52.1,1.00107,1953.75
35319,Newham,E01003570,Arson and Criminal Damage,3872,54.2,1.00107,2059.6
42522,Tower Hamlets,E01004307,Arson and Criminal Damage,4770,51.9,1.00103,1967.01
20443,Haringey,E01002069,Arson and Criminal Damage,4184,64.3,1.00097,2668.45
10536,Croydon,E01001097,Arson and Criminal Damage,4838,58.6,1.00096,2361.58
41807,Tower Hamlets,E01004208,Arson and Criminal Damage,3954,63.1,1.00095,2618.65
44025,Waltham Forest,E01004397,Arson and Criminal Damage,5792,69.7,1.00092,3018.01
12218,Ealing,E01001261,Arson and Criminal Damage,4588,58.2,1.00091,2386.2
9756,Croydon,E01001011,Arson and Criminal Damage,4578,48.3,1.00091,1864.38
20112,Haringey,E01002034,Arson and Criminal Damage,4942,67.1,1.0009,2885.3
813,Barking and Dagenham,E01000095,Arson and Criminal Damage,4458,52.9,1.00087,2131.87
26798,Islington,E01002704,Arson and Criminal Damage,4682,63.8,1.00086,2743.4
23816,Hillingdon,E01002412,Arson and Criminal Damage,4572,71.0,1.00086,3159.5
15108,Enfield,E01001559,Arson and Criminal Damage,4254,67.6,1.00085,2974.4
20062,Haringey,E01002029,Arson and Criminal Damage,4276,87.4,1.00085,4186.46
34841,Newham,E01003521,Arson and Criminal Damage,4374,63.9,1.00084,2773.26
26398,Hounslow,E01002681,Arson and Criminal Damage,4848,69.4,1.00084,3095.24
3908,Bexley,E01000403,Arson and Criminal Damage,4764,64.5,1.00083,2825.1
24663,Hillingdon,E01002506,Arson and Criminal Damage,4108,78.9,1.00083,3684.63
31511,Lambeth,E01032582,Arson and Criminal Damage,4562,84.5,1.00082,4056.0
40148,Southwark,E01004062,Arson and Criminal Damage,4356,59.8,1.00082,2559.44
36749,Redbridge,E01003689,Arson and Criminal Damage,4460,87.6,1.00081,4266.12
27644,Islington,E01002795,Arson and Criminal Damage,3892,65.9,1.0008,2939.14
45263,Wandsworth,E01004525,Arson and Criminal Damage,3866,65.0,1.00079,2886.0
19604,Haringey,E01001979,Arson and Criminal Damage,4530,64.8,1.00078,2896.56
46016,Wandsworth,E01004609,Arson and Criminal Damage,4388,60.7,1.00078,2646.52
31676,Lewisham,E01003199,Arson and Criminal Damage,3932,75.8,1.00078,3555.02
14678,Enfield,E01001513,Arson and Criminal Damage,3960,68.8,1.00075,3171.68
38987,Southwark,E01003921,Arson and Criminal Damage,3794,71.6,1.00072,3393.84
40318,Southwark,E01032639,Arson and Criminal Damage,3820,83.2,1.0007,4176.64
10722,Croydon,E01001118,Arson and Criminal Damage,4298,78.3,1.0007,3844.53
5446,Brent,E01000568,Arson and Criminal Damage,4438,60.3,1.00069,2737.62
32756,Lewisham,E01003318,Arson and Criminal Damage,4152,102.3,1.00069,5513.97
20553,Haringey,E01002081,Arson and Criminal Damage,3954,62.6,1.00068,2892.12
27396,Islington,E01002770,Arson and Criminal Damage,3788,74.1,1.00065,3675.36
19191,Hammersmith and Fulham,E01001943,Arson and Criminal Damage,4450,100.7,1.00065,5498.22
26532,Hounslow,E01033083,Arson and Criminal Damage,4356,73.1,1.00064,3618.45
23224,Havering,E01002353,Arson and Criminal Damage,4120,83.5,1.00063,4342.0
30622,Lambeth,E01003096,Arson and Criminal Damage,4196,64.6,1.00063,3087.88
17876,Hackney,E01001830,Arson and Criminal Damage,3834,66.3,1.00061,3235.44
6591,Bromley,E01000676,Arson and Criminal Damage,4092,100.3,1.0006,5606.77
12093,Ealing,E01001247,Arson and Criminal Damage,4652,78.3,1.0006,4040.28
10037,Croydon,E01001042,Arson and Criminal Damage,4322,69.0,1.0006,3422.4
23253,Havering,E01002356,Arson and Criminal Damage,4214,147.8,1.00058,9503.54
29384,Kingston upon Thames,E01002968,Arson and Criminal Damage,5874,174.4,1.00058,11859.2
30222,Lambeth,E01003055,Arson and Criminal Damage,3236,76.9,1.00057,4021.87
13898,Enfield,E01001429,Arson and Criminal Damage,4588,103.7,1.00057,5993.86
1370,Barnet,E01000141,Arson and Criminal Damage,3722,75.1,1.00056,3927.73
46177,Wandsworth,E01004626,Arson and Criminal Damage,3708,66.9,1.00055,3385.14
29815,Lambeth,E01003013,Arson and Criminal Damage,3868,77.4,1.00055,4109.94
38907,Southwark,E01003913,Arson and Criminal Damage,4150,70.0,1.00054,3605.0
13167,Ealing,E01001361,Arson and Criminal Damage,4542,87.2,1.00054,4830.88
28814,Kensington and Chelsea,E01002906,Arson and Criminal Damage,3570,68.7,1.00053,3544.92
47297,Westminster,E01004735,Arson and Criminal Damage,4088,131.2,1.00053,8344.32
42172,Tower Hamlets,E01004259,Arson and Criminal Damage,3504,82.1,1.00053,4490.87
33187,Lewisham,E01033327,Arson and Criminal Damage,4338,83.7,1.00051,4653.72
18784,Hammersmith and Fulham,E01001898,Arson and Criminal Damage,4200,104.1,1.00051,6235.59
16389,Greenwich,E01001701,Arson and Criminal Damage,3508,97.3,1.00049,5779.62
7628,Bromley,E01000790,Arson and Criminal Damage,4580,79.4,1.00048,4446.4
7091,Bromley,E01000730,Arson and Criminal Damage,3682,66.3,1.00048,3500.64
6992,Bromley,E01000720,Arson and Criminal Damage,3598,74.1,1.00047,4068.09
47093,Westminster,E01004714,Arson and Criminal Damage,3334,102.9,1.00046,6338.64
9746,Croydon,E01001010,Arson and Criminal Damage,3430,82.1,1.00045,4753.59
47257,Westminster,E01004731,Arson and Criminal Damage,3992,66.2,1.00044,3581.42
36023,Newham,E01034205,Arson and Criminal Damage,3130,89.1,1.00044,5328.18
37494,Redbridge,E01003770,Arson and Criminal Damage,5728,73.4,1.00044,4117.74
18794,Hammersmith and Fulham,E01001899,Arson and Criminal Damage,3272,70.3,1.00044,3873.53
8862,Camden,E01000919,Arson and Criminal Damage,2918,121.4,1.00044,8024.54
23576,Havering,E01032741,Arson and Criminal Damage,2968,106.0,1.00043,6762.8
44348,Waltham Forest,E01004430,Arson and Criminal Damage,2671,93.4,1.00042,5762.78
32529,Lewisham,E01003291,Arson and Criminal Damage,3070,94.7,1.00042,5880.87
39852,Southwark,E01004031,Arson and Criminal Damage,2610,89.0,1.00042,5393.4
38555,Richmond upon Thames,E01003876,Arson and Criminal Damage,3754,106.4,1.00041,6916.0
8811,Camden,E01000914,Arson and Criminal Damage,2804,124.8,1.00041,8536.32
8264,Camden,E01000855,Arson and Criminal Damage,2654,105.1,1.00039,6905.07
47525,Westminster,E01004763,Arson and Criminal Damage,4062,201.3,1.00037,16566.99
9108,Camden,E01000947,Arson and Criminal Damage,3312,106.2,1.00037,7136.64
8851,Camden,E01000918,Arson and Criminal Damage,3610,96.0,1.00034,6412.8
32628,Lewisham,E01003303,Arson and Criminal Damage,3486,80.8,1.00034,5090.4
20032,Haringey,E01002026,Arson and Criminal Damage,3560,103.4,1.00033,7124.26
24780,Hillingdon,E01002521,Arson and Criminal Damage,4110,93.0,1.00033,6165.9
35974,Newham,E01034200,Arson and Criminal Damage,3146,112.6,1.00031,8129.72
12963,Ealing,E01001340,Arson and Criminal Damage,3126,84.1,1.0003,5592.65
15098,Enfield,E01001558,Arson and Criminal Damage,2006,122.9,1.00029,9364.98
13070,Ealing,E01001351,Arson and Criminal Damage,3986,113.6,1.00028,8542.72
47277,Westminster,E01004733,Arson and Criminal Damage,4232,83.0,1.00027,5660.6
5723,Brent,E01000601,Arson and Criminal Damage,2784,107.8,1.00026,8106.56
11542,Croydon,E01034145,Arson and Criminal Damage,2660,126.1,1.00026,10075.39
8343,Camden,E01000863,Arson and Criminal Damage,2958,151.3,1.00026,12860.5
