,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
4474,Arson and Criminal Damage,E01004734,Westminster,405.6,129.4,3.13
2818,Arson and Criminal Damage,E01002968,Kingston upon Thames,174.4,67.0,2.6
4498,Arson and Criminal Damage,E01004763,Westminster,201.3,81.3,2.48
4978,Arson and Criminal Damage,E01035716,Westminster,277.0,112.5,2.46
2240,Arson and Criminal Damage,E01002356,Havering,147.8,63.3,2.33
2325,Arson and Criminal Damage,E01002444,Hillingdon,178.4,84.2,2.12
4475,Arson and Criminal Damage,E01004735,Westminster,131.2,62.6,2.1
2896,Arson and Criminal Damage,E01003047,Lambeth,199.4,96.7,2.06
4973,Arson and Criminal Damage,E01035711,Camden,76.3,38.7,1.97
4628,Arson and Criminal Damage,E01033708,Hackney,267.7,137.0,1.95
4752,Arson and Criminal Damage,E01034150,Croydon,196.8,100.8,1.95
3156,Arson and Criminal Damage,E01003318,Lewisham,102.3,52.9,1.93
1839,Arson and Criminal Damage,E01001943,Hammersmith and Fulham,100.7,53.6,1.88
4758,Arson and Criminal Damage,E01034156,Sutton,179.3,95.7,1.87
1924,Arson and Criminal Damage,E01002029,Haringey,87.4,46.9,1.86
876,Arson and Criminal Damage,E01000919,Camden,121.4,65.1,1.86
4496,Arson and Criminal Damage,E01004761,Westminster,194.5,104.5,1.86
871,Arson and Criminal Damage,E01000914,Camden,124.8,67.4,1.85
3510,Arson and Criminal Damage,E01003689,Redbridge,87.6,47.7,1.84
1370,Arson and Criminal Damage,E01001429,Enfield,103.7,56.8,1.83
641,Arson and Criminal Damage,E01000676,Bromley,100.3,54.9,1.83
822,Arson and Criminal Damage,E01000863,Camden,151.3,84.0,1.8
4520,Arson and Criminal Damage,E01032582,Lambeth,84.5,47.0,1.8
964,Arson and Criminal Damage,E01001013,Croydon,154.5,86.5,1.79
1796,Arson and Criminal Damage,E01001898,Hammersmith and Fulham,104.1,58.9,1.77
4606,Arson and Criminal Damage,E01033587,Barking and Dagenham,66.0,37.6,1.76
4476,Arson and Criminal Damage,E01004736,Westminster,290.7,167.0,1.74
2385,Arson and Criminal Damage,E01002506,Hillingdon,78.9,45.7,1.73
4454,Arson and Criminal Damage,E01004714,Westminster,102.9,60.6,1.7
3863,Arson and Criminal Damage,E01004067,Southwark,154.2,90.8,1.7
4530,Arson and Criminal Damage,E01032741,Havering,106.0,62.8,1.69
4607,Arson and Criminal Damage,E01033589,Redbridge,161.2,95.6,1.69
4526,Arson and Criminal Damage,E01032639,Southwark,83.2,49.2,1.69
4499,Arson and Criminal Damage,E01004765,Westminster,196.2,116.9,1.68
4075,Arson and Criminal Damage,E01004309,Tower Hamlets,56.2,33.5,1.68
1619,Arson and Criminal Damage,E01001701,Greenwich,97.3,58.4,1.67
3693,Arson and Criminal Damage,E01003876,Richmond upon Thames,106.4,64.0,1.66
3046,Arson and Criminal Damage,E01003199,Lewisham,75.8,45.9,1.65
4157,Arson and Criminal Damage,E01004397,Waltham Forest,69.7,42.3,1.65
2237,Arson and Criminal Damage,E01002353,Havering,83.5,51.0,1.64
1494,Arson and Criminal Damage,E01001558,Enfield,122.9,75.2,1.63
1064,Arson and Criminal Damage,E01001118,Croydon,78.3,48.1,1.63
2293,Arson and Criminal Damage,E01002412,Hillingdon,71.0,43.5,1.63
4834,Arson and Criminal Damage,E01034473,Barking and Dagenham,269.1,166.3,1.62
814,Arson and Criminal Damage,E01000855,Camden,105.1,64.7,1.62
4724,Arson and Criminal Damage,E01034030,Ealing,227.7,141.8,1.61
4747,Arson and Criminal Damage,E01034145,Croydon,126.1,78.9,1.6
4711,Arson and Criminal Damage,E01033938,Brent,128.5,80.2,1.6
901,Arson and Criminal Damage,E01000947,Camden,106.2,66.2,1.6
2020,Arson and Criminal Damage,E01002129,Harrow,46.2,28.9,1.6
1303,Arson and Criminal Damage,E01001361,Ealing,87.2,54.4,1.6
1929,Arson and Criminal Damage,E01002034,Haringey,67.1,42.0,1.6
2546,Arson and Criminal Damage,E01002681,Hounslow,69.4,43.6,1.59
1963,Arson and Criminal Damage,E01002069,Haringey,64.3,40.5,1.59
4785,Arson and Criminal Damage,E01034200,Newham,112.6,71.2,1.58
2556,Arson and Criminal Damage,E01002695,Islington,179.3,113.2,1.58
500,Arson and Criminal Damage,E01000524,Brent,57.6,36.4,1.58
2021,Arson and Criminal Damage,E01002130,Harrow,47.4,30.1,1.57
888,Arson and Criminal Damage,E01000931,Camden,51.5,32.7,1.57
1495,Arson and Criminal Damage,E01001559,Enfield,67.6,43.0,1.57
4932,Arson and Criminal Damage,E01035670,Tower Hamlets,36.4,23.4,1.56
4000,Arson and Criminal Damage,E01004208,Tower Hamlets,63.1,40.5,1.56
4612,Arson and Criminal Damage,E01033594,Westminster,206.7,132.4,1.56
1190,Arson and Criminal Damage,E01001247,Ealing,78.3,50.6,1.55
3601,Arson and Criminal Damage,E01003783,Redbridge,59.3,38.2,1.55
3133,Arson and Criminal Damage,E01003291,Lewisham,94.7,61.1,1.55
4190,Arson and Criminal Damage,E01004430,Waltham Forest,93.4,60.7,1.54
3738,Arson and Criminal Damage,E01003921,Southwark,71.6,46.4,1.54
4730,Arson and Criminal Damage,E01034036,Hounslow,58.2,37.8,1.54
4037,Arson and Criminal Damage,E01004259,Tower Hamlets,82.1,53.7,1.53
4582,Arson and Criminal Damage,E01033327,Lewisham,83.7,54.6,1.53
1450,Arson and Criminal Damage,E01001513,Enfield,68.8,45.1,1.53
1293,Arson and Criminal Damage,E01001351,Ealing,113.6,74.2,1.53
2626,Arson and Criminal Damage,E01002770,Islington,74.1,48.6,1.52
1921,Arson and Criminal Damage,E01002026,Haringey,103.4,67.9,1.52
2565,Arson and Criminal Damage,E01002704,Islington,63.8,42.0,1.52
733,Arson and Criminal Damage,E01000769,Bromley,118.5,78.2,1.52
4790,Arson and Criminal Damage,E01034205,Newham,89.1,58.8,1.52
3352,Arson and Criminal Damage,E01003521,Newham,63.9,42.4,1.51
4564,Arson and Criminal Damage,E01033083,Hounslow,73.1,48.5,1.51
383,Arson and Criminal Damage,E01000403,Bexley,64.5,42.8,1.51
2651,Arson and Criminal Damage,E01002795,Islington,65.9,43.6,1.51
3144,Arson and Criminal Damage,E01003304,Lewisham,51.0,33.9,1.5
2904,Arson and Criminal Damage,E01003055,Lambeth,76.9,51.3,1.5
4281,Arson and Criminal Damage,E01004525,Wandsworth,65.0,43.4,1.5
1044,Arson and Criminal Damage,E01001097,Croydon,58.6,39.3,1.49
2862,Arson and Criminal Damage,E01003013,Lambeth,77.4,52.1,1.49
3827,Arson and Criminal Damage,E01004031,Southwark,89.0,59.6,1.49
1875,Arson and Criminal Damage,E01001979,Haringey,64.8,43.7,1.48
342,Arson and Criminal Damage,E01000360,Bexley,71.8,48.8,1.47
4914,Arson and Criminal Damage,E01035652,Islington,195.8,133.2,1.47
2510,Arson and Criminal Damage,E01002641,Hounslow,43.3,29.5,1.47
3401,Arson and Criminal Damage,E01003570,Newham,54.2,37.0,1.46
875,Arson and Criminal Damage,E01000918,Camden,96.0,65.8,1.46
127,Arson and Criminal Damage,E01000141,Barnet,75.1,51.3,1.46
1203,Arson and Criminal Damage,E01001261,Ealing,58.2,40.0,1.46
570,Arson and Criminal Damage,E01000601,Brent,107.8,74.2,1.45
4231,Arson and Criminal Damage,E01004474,Wandsworth,50.6,34.9,1.45
4408,Arson and Criminal Damage,E01004658,Westminster,76.2,52.4,1.45
961,Arson and Criminal Damage,E01001010,Croydon,82.1,56.9,1.44
753,Arson and Criminal Damage,E01000790,Bromley,79.4,55.0,1.44
1837,Arson and Criminal Damage,E01001941,Hammersmith and Fulham,157.9,110.1,1.43
3858,Arson and Criminal Damage,E01004062,Southwark,59.8,41.8,1.43
4956,Arson and Criminal Damage,E01035694,Tower Hamlets,46.6,32.7,1.43
4745,Arson and Criminal Damage,E01034143,Croydon,156.1,108.8,1.43
3443,Arson and Criminal Damage,E01003619,Newham,52.1,36.5,1.43
4360,Arson and Criminal Damage,E01004609,Wandsworth,60.7,42.6,1.42
4497,Arson and Criminal Damage,E01004762,Westminster,78.8,55.5,1.42
1867,Arson and Criminal Damage,E01001971,Haringey,137.2,96.5,1.42
3346,Arson and Criminal Damage,E01003515,Newham,54.9,38.6,1.42
4972,Arson and Criminal Damage,E01035710,Camden,45.2,31.8,1.42
992,Arson and Criminal Damage,E01001042,Croydon,69.0,48.6,1.42
1148,Arson and Criminal Damage,E01001202,Ealing,49.2,34.6,1.42
2397,Arson and Criminal Damage,E01002521,Hillingdon,93.0,65.3,1.42
4513,Arson and Criminal Damage,E01032574,Enfield,55.7,39.5,1.41
4627,Arson and Criminal Damage,E01033706,Hackney,177.3,126.0,1.41
1926,Arson and Criminal Damage,E01002031,Haringey,159.5,112.9,1.41
4774,Arson and Criminal Damage,E01034188,Greenwich,96.4,68.4,1.41
4820,Arson and Criminal Damage,E01034386,Bromley,126.9,89.7,1.41
2280,Arson and Criminal Damage,E01002397,Hillingdon,58.7,41.5,1.41
4073,Arson and Criminal Damage,E01004307,Tower Hamlets,51.9,36.9,1.41
1738,Arson and Criminal Damage,E01001839,Hackney,42.3,29.9,1.41
1643,Arson and Criminal Damage,E01001731,Hackney,37.6,26.6,1.41
752,Arson and Criminal Damage,E01000789,Bromley,66.5,47.3,1.41
811,Arson and Criminal Damage,E01000850,Camden,73.4,51.9,1.41
2684,Arson and Criminal Damage,E01002831,Kensington and Chelsea,59.6,42.3,1.41
4565,Arson and Criminal Damage,E01033084,Hounslow,53.9,38.2,1.41
1668,Arson and Criminal Damage,E01001760,Hackney,58.5,41.9,1.4
3776,Arson and Criminal Damage,E01003969,Southwark,44.5,31.8,1.4
684,Arson and Criminal Damage,E01000719,Bromley,106.6,76.5,1.39
3730,Arson and Criminal Damage,E01003913,Southwark,70.0,50.5,1.39
1729,Arson and Criminal Damage,E01001830,Hackney,66.3,47.8,1.39
1445,Arson and Criminal Damage,E01001507,Enfield,45.4,32.6,1.39
3784,Arson and Criminal Damage,E01003980,Southwark,40.8,29.4,1.39
4641,Arson and Criminal Damage,E01033737,Greenwich,128.6,92.3,1.39
233,Arson and Criminal Damage,E01000250,Barnet,36.3,26.4,1.38
2945,Arson and Criminal Damage,E01003096,Lambeth,64.6,46.8,1.38
704,Arson and Criminal Damage,E01000739,Bromley,129.3,93.6,1.38
1974,Arson and Criminal Damage,E01002081,Haringey,62.6,45.2,1.38
4783,Arson and Criminal Damage,E01034198,Greenwich,49.5,36.0,1.38
1513,Arson and Criminal Damage,E01001578,Greenwich,39.7,28.8,1.38
3293,Arson and Criminal Damage,E01003456,Merton,77.3,55.9,1.38
4621,Arson and Criminal Damage,E01033699,Hackney,190.0,137.4,1.38
2135,Arson and Criminal Damage,E01002248,Havering,63.0,45.8,1.38
2557,Arson and Criminal Damage,E01002696,Islington,122.4,88.8,1.38
1275,Arson and Criminal Damage,E01001333,Ealing,41.5,30.0,1.38
3972,Arson and Criminal Damage,E01004178,Sutton,92.9,68.0,1.37
4751,Arson and Criminal Damage,E01034149,Croydon,69.2,50.5,1.37
115,Arson and Criminal Damage,E01000129,Barnet,130.3,95.3,1.37
4180,Arson and Criminal Damage,E01004420,Waltham Forest,98.3,71.6,1.37
