,Major Category,Borough,LSOA,Population,Mean,Normalised Deviation,Inverse Normalised Deviation
9479,Burglary,Tower Hamlets,E01035670,8760,46.5,1432.2,0.0007
7818,Burglary,Islington,E01002735,5908,44.0,1434.4,0.0007
7184,Burglary,Harrow,E01002130,5846,45.9,1528.47,0.00065
5974,Burglary,Camden,E01035710,5196,52.3,1867.11,0.00054
6767,Burglary,Hackney,E01001731,5330,54.2,2178.84,0.00046
6872,Burglary,Hackney,E01001849,4902,57.1,2323.97,0.00043
5571,Burglary,Brent,E01000580,4180,58.5,2345.85,0.00043
6452,Burglary,Enfield,E01001437,4648,58.8,2299.08,0.00043
8618,Burglary,Newham,E01003515,4254,57.1,2403.91,0.00042
9586,Burglary,Waltham Forest,E01004397,5792,57.2,2465.32,0.00041
8912,Burglary,Redbridge,E01003783,5098,60.3,2538.63,0.00039
8450,Burglary,Lewisham,E01033327,4338,65.4,2701.02,0.00037
9445,Burglary,Tower Hamlets,E01032764,4772,63.4,2738.88,0.00037
5971,Burglary,Camden,E01035707,4926,58.2,2706.3,0.00037
5969,Burglary,Camden,E01000973,5234,60.2,2666.86,0.00037
9801,Burglary,Wandsworth,E01004617,3830,62.4,2814.24,0.00036
6862,Burglary,Hackney,E01001839,4772,60.3,2755.71,0.00036
6899,Burglary,Hackney,E01035650,4040,64.4,2885.12,0.00035
9966,Burglary,Westminster,E01035718,5318,69.4,2887.04,0.00035
6875,Burglary,Hackney,E01033700,4994,62.8,2882.52,0.00035
6368,Burglary,Ealing,E01001361,4542,63.3,2937.12,0.00034
8279,Burglary,Lambeth,E01032582,4562,71.3,2958.95,0.00034
6803,Burglary,Hackney,E01001773,5000,59.4,2946.24,0.00034
7086,Burglary,Haringey,E01002034,4942,62.6,3067.4,0.00033
9432,Burglary,Tower Hamlets,E01004309,5686,63.6,3046.44,0.00033
7417,Burglary,Havering,E01002356,4214,62.5,3068.75,0.00033
8131,Burglary,Lambeth,E01003039,4054,62.5,3037.5,0.00033
8058,Burglary,Kingston upon Thames,E01002968,5874,69.4,3254.86,0.00031
8166,Burglary,Lambeth,E01003074,4678,67.1,3368.42,0.0003
9793,Burglary,Wandsworth,E01004609,4388,69.3,3354.12,0.0003
9937,Burglary,Westminster,E01004749,4398,68.9,3410.55,0.00029
9053,Burglary,Southwark,E01003913,4150,72.1,3424.75,0.00029
8004,Burglary,Kensington and Chelsea,E01035713,4078,72.6,3564.66,0.00028
6946,Burglary,Hammersmith and Fulham,E01001898,4200,68.8,3515.68,0.00028
9714,Burglary,Wandsworth,E01004525,3866,72.0,3744.0,0.00027
9357,Burglary,Tower Hamlets,E01004208,3954,72.0,3880.8,0.00026
5932,Burglary,Camden,E01000931,4112,71.0,3869.5,0.00026
9181,Burglary,Southwark,E01004062,4356,77.0,3842.3,0.00026
7874,Burglary,Islington,E01002794,4056,77.6,4011.92,0.00025
7850,Burglary,Islington,E01002770,3788,75.3,4066.2,0.00025
5125,Burglary,Barnet,E01000141,3722,77.8,4341.24,0.00023
8821,Burglary,Redbridge,E01003689,4460,71.9,4429.04,0.00023
9856,Burglary,Westminster,E01004654,4950,78.9,4426.29,0.00023
9862,Burglary,Westminster,E01004661,4028,80.8,4524.8,0.00022
9906,Burglary,Westminster,E01004715,3708,77.3,4475.67,0.00022
6254,Burglary,Ealing,E01001246,3666,79.9,4546.31,0.00022
5130,Burglary,Barnet,E01000146,3718,84.2,4664.68,0.00021
6989,Burglary,Hammersmith and Fulham,E01001943,4450,82.1,4679.7,0.00021
8406,Burglary,Lewisham,E01003318,4152,90.2,4762.56,0.00021
9664,Burglary,Wandsworth,E01004474,3984,84.3,5091.72,0.0002
9430,Burglary,Tower Hamlets,E01004307,4770,94.6,4957.04,0.0002
9071,Burglary,Southwark,E01003934,3996,83.6,4898.96,0.0002
6255,Burglary,Ealing,E01001247,4652,88.5,5017.95,0.0002
9876,Burglary,Westminster,E01004681,3730,88.9,5405.12,0.00019
7789,Burglary,Islington,E01002704,4682,101.9,5329.37,0.00019
7795,Burglary,Islington,E01002711,4104,82.3,5151.98,0.00019
8105,Burglary,Lambeth,E01003013,3868,90.9,5454.0,0.00018
6878,Burglary,Hackney,E01033704,4678,93.9,5737.29,0.00017
6427,Burglary,Enfield,E01001412,3562,87.9,6425.49,0.00016
6403,Burglary,Ealing,E01034030,3668,86.3,6446.61,0.00016
6648,Burglary,Greenwich,E01001641,3712,95.6,6319.16,0.00016
9076,Burglary,Southwark,E01003939,3924,105.4,6492.64,0.00015
6885,Burglary,Hackney,E01033712,3078,88.5,6478.2,0.00015
5945,Burglary,Camden,E01000947,3312,95.4,6887.88,0.00015
6874,Burglary,Hackney,E01033699,2818,103.5,7400.25,0.00014
9903,Burglary,Westminster,E01004712,2988,99.4,7673.68,0.00013
9205,Burglary,Southwark,E01033867,3102,102.0,7721.4,0.00013
7088,Burglary,Haringey,E01002037,3372,104.3,7572.18,0.00013
7926,Burglary,Kensington and Chelsea,E01002835,2808,104.5,7858.4,0.00013
9014,Burglary,Richmond upon Thames,E01003876,3754,98.4,8127.84,0.00012
9922,Burglary,Westminster,E01004731,3992,105.1,8029.64,0.00012
9859,Burglary,Westminster,E01004658,3096,112.1,8272.98,0.00012
5975,Burglary,Camden,E01035711,4800,127.9,9170.43,0.00011
7911,Burglary,Kensington and Chelsea,E01002818,2802,112.1,9024.05,0.00011
9067,Burglary,Southwark,E01003929,3962,130.5,9043.65,0.00011
7894,Burglary,Islington,E01033489,2842,116.3,10036.69,0.0001
9877,Burglary,Westminster,E01004682,2584,118.1,9625.15,0.0001
9891,Burglary,Westminster,E01004699,3490,122.5,9628.5,0.0001
9904,Burglary,Westminster,E01004713,2614,126.9,11154.51,9e-05
9890,Burglary,Westminster,E01004698,2642,120.7,10923.35,9e-05
5917,Burglary,Camden,E01000916,3744,135.4,11197.58,9e-05
6203,Burglary,Croydon,E01034150,2624,123.1,10869.73,9e-05
5866,Burglary,Camden,E01000863,2958,138.2,11553.52,9e-05
9948,Burglary,Westminster,E01004762,3158,140.6,13033.62,8e-05
5644,Burglary,Brent,E01033938,2554,133.8,13460.28,7e-05
7808,Burglary,Islington,E01002724,3886,159.2,15187.68,7e-05
6880,Burglary,Hackney,E01033706,2854,162.8,16263.72,6e-05
5856,Burglary,Camden,E01000851,2944,161.8,16034.38,6e-05
9858,Burglary,Westminster,E01004657,2462,147.4,16464.58,6e-05
5919,Burglary,Camden,E01000918,3610,178.4,18357.36,5e-05
5855,Burglary,Camden,E01000850,2822,188.4,21948.6,5e-05
9926,Burglary,Westminster,E01004735,4088,216.0,21729.6,5e-05
9905,Burglary,Westminster,E01004714,3334,220.0,26290.0,4e-05
9954,Burglary,Westminster,E01033594,3028,205.9,22319.56,4e-05
5920,Burglary,Camden,E01000919,2918,223.2,29239.2,3e-05
5858,Burglary,Camden,E01000855,2654,219.0,30265.8,3e-05
9950,Burglary,Westminster,E01004765,3724,261.4,34687.78,3e-05
6881,Burglary,Hackney,E01033708,3766,292.1,37359.59,3e-05
9927,Burglary,Westminster,E01004736,3094,263.5,38866.25,3e-05
5915,Burglary,Camden,E01000914,2804,282.8,40383.84,2e-05
9925,Burglary,Westminster,E01004734,3398,320.4,47419.2,2e-05
9947,Burglary,Westminster,E01004761,2434,329.6,57844.8,2e-05
9949,Burglary,Westminster,E01004763,4062,333.1,49198.87,2e-05
9964,Burglary,Westminster,E01035716,4402,550.0,130130.0,1e-05
