,LSOA,Major Category,Borough,Population,Mean,Normalised Deviation,Regression,Flat
54792,E01035716,Burglary,Westminster,2201,1100.0,519310.0,0.725,1.3793103448275863
49501,E01004763,Burglary,Westminster,2031,666.1,196033.23,0.454,2.202643171806167
49479,E01004761,Burglary,Westminster,1217,659.3,230820.93,0.512,1.953125
49237,E01004734,Burglary,Westminster,1699,640.9,189129.59,0.459,2.178649237472767
50931,E01033708,Burglary,Hackney,1883,584.2,148854.16,0.381,2.6246719160104988
9582,E01000914,Burglary,Camden,1402,565.6,160969.76,0.41,2.4390243902439024
49259,E01004736,Burglary,Westminster,1547,527.0,154938.0,0.45,2.2222222222222223
49512,E01004765,Burglary,Westminster,1862,522.8,138228.32,0.392,2.5510204081632653
9637,E01000919,Burglary,Camden,1459,446.3,116439.67,0.406,2.463054187192118
49017,E01004714,Burglary,Westminster,1667,440.0,104720.0,0.37,2.7027027027027026
8955,E01000855,Burglary,Camden,1327,438.0,120625.2,0.4,2.5
49248,E01004735,Burglary,Westminster,2044,432.0,86529.6,0.293,3.4129692832764507
50755,E01033594,Burglary,Westminster,1514,411.8,88866.44,0.328,3.048780487804878
8922,E01000850,Burglary,Camden,1411,376.9,87440.8,0.357,2.801120448179272
9626,E01000918,Burglary,Camden,1805,356.9,73093.12,0.314,3.1847133757961785
50920,E01033706,Burglary,Hackney,1427,325.7,64749.16,0.306,3.2679738562091503
8933,E01000851,Burglary,Camden,1472,323.7,63801.27,0.303,3.3003300330033003
28436,E01002724,Burglary,Islington,1943,318.5,60419.45,0.279,3.584229390681003
48500,E01004657,Burglary,Westminster,1231,294.8,65563.52,0.345,2.8985507246376816
49490,E01004762,Burglary,Westminster,1579,281.3,51871.72,0.288,3.4722222222222223
9043,E01000863,Burglary,Camden,1479,276.4,45965.32,0.257,3.8910505836575875
9604,E01000916,Burglary,Camden,1872,270.9,44563.05,0.245,4.081632653061225
51844,E01033938,Burglary,Brent,1277,267.6,53573.52,0.312,3.2051282051282053
41196,E01003929,Burglary,Southwark,1981,261.0,35913.6,0.212,4.716981132075472
54737,E01035711,Burglary,Camden,2400,255.9,36440.16,0.217,4.6082949308755765
49006,E01004713,Burglary,Westminster,1307,253.8,44389.62,0.258,3.875968992248062
52295,E01034150,Burglary,Croydon,1312,246.1,43190.55,0.273,3.663003663003663
48863,E01004699,Burglary,Westminster,1745,245.1,38260.11,0.243,4.11522633744856
48852,E01004698,Burglary,Westminster,1321,241.4,43427.86,0.278,3.597122302158273
48709,E01004682,Burglary,Westminster,1292,236.3,38256.97,0.252,3.9682539682539684
50535,E01033489,Burglary,Islington,1421,232.6,39937.42,0.262,3.8167938931297707
29415,E01002818,Burglary,Kensington and Chelsea,1401,224.2,35872.0,0.248,4.032258064516129
48511,E01004658,Burglary,Westminster,1548,224.2,32867.72,0.225,4.444444444444445
41295,E01003939,Burglary,Southwark,1962,210.8,25759.76,0.186,5.376344086021505
49204,E01004731,Burglary,Westminster,1996,210.1,31914.19,0.236,4.237288135593221
29580,E01002835,Burglary,Kensington and Chelsea,1404,209.1,31260.45,0.232,4.310344827586206
21242,E01002037,Burglary,Haringey,1686,208.6,30080.12,0.211,4.739336492890995
50854,E01033699,Burglary,Hackney,1409,207.1,29408.2,0.22,4.545454545454546
51338,E01033867,Burglary,Southwark,1551,204.0,30681.6,0.234,4.273504273504273
28227,E01002704,Burglary,Islington,2341,203.8,21134.06,0.161,6.211180124223603
48995,E01004712,Burglary,Westminster,1494,198.8,30515.8,0.23,4.3478260869565215
40635,E01003876,Burglary,Richmond upon Thames,1877,196.8,32314.56,0.251,3.9840637450199203
17238,E01001641,Burglary,Greenwich,1856,191.1,25091.43,0.2,5.0
9912,E01000947,Burglary,Camden,1656,190.8,27341.64,0.22,4.545454545454546
44815,E01004307,Burglary,Tower Hamlets,2385,189.2,19638.96,0.161,6.211180124223603
50898,E01033704,Burglary,Hackney,2339,187.9,22754.69,0.186,5.376344086021505
31494,E01003013,Burglary,Lambeth,1934,181.9,21646.1,0.184,5.434782608695652
34728,E01003318,Burglary,Lewisham,2076,180.5,18880.3,0.16,6.25
