,LSOA,Major Category,Borough,Population,Mean,Range,Normalised Deviation
5234,E01000580,Burglary,Brent,4180,58.5,0.002,2345.85
24738,E01002735,Burglary,Islington,5908,44.0,0.002,1434.4
24450,E01002704,Burglary,Islington,4682,101.9,0.002,5329.37
13091,E01001437,Burglary,Enfield,4648,58.8,0.002,2299.08
43223,E01032582,Burglary,Lambeth,4562,71.3,0.002,2958.95
47041,E01035650,Burglary,Hackney,4040,64.4,0.002,2885.12
47616,E01035710,Burglary,Camden,5196,52.3,0.002,1867.11
30159,E01003318,Burglary,Lewisham,4152,90.2,0.002,4762.56
47235,E01035670,Burglary,Tower Hamlets,8760,46.5,0.002,1432.2
25514,E01002818,Burglary,Kensington and Chelsea,2802,112.1,0.001,9024.05
7750,E01000863,Burglary,Camden,2958,138.2,0.001,11553.52
8218,E01000914,Burglary,Camden,2804,282.8,0.001,40383.84
11284,E01001246,Burglary,Ealing,3666,79.9,0.001,4546.31
8743,E01000973,Burglary,Camden,5234,60.2,0.001,2666.86
8387,E01000931,Burglary,Camden,4112,71.0,0.001,3869.5
8258,E01000918,Burglary,Camden,3610,178.4,0.001,18357.36
16582,E01001839,Burglary,Hackney,4772,60.3,0.001,2755.71
12368,E01001361,Burglary,Ealing,4542,63.3,0.001,2937.12
14911,E01001641,Burglary,Greenwich,3712,95.6,0.001,6319.16
8238,E01000916,Burglary,Camden,3744,135.4,0.001,11197.58
16682,E01001849,Burglary,Hackney,4902,57.1,0.001,2323.97
16011,E01001773,Burglary,Hackney,5000,59.4,0.001,2946.24
11294,E01001247,Burglary,Ealing,4652,88.5,0.001,5017.95
8515,E01000947,Burglary,Camden,3312,95.4,0.001,6887.88
26882,E01002968,Burglary,Kingston upon Thames,5874,69.4,0.001,3254.86
24639,E01002724,Burglary,Islington,3886,159.2,0.001,15187.68
18431,E01002037,Burglary,Haringey,3372,104.3,0.001,7572.18
17151,E01001898,Burglary,Hammersmith and Fulham,4200,68.8,0.001,3515.68
21368,E01002356,Burglary,Havering,4214,62.5,0.001,3068.75
19309,E01002130,Burglary,Harrow,5846,45.9,0.001,1528.47
24509,E01002711,Burglary,Islington,4104,82.3,0.001,5151.98
17558,E01001943,Burglary,Hammersmith and Fulham,4450,82.1,0.001,4679.7
27285,E01003013,Burglary,Lambeth,3868,90.9,0.001,5454.0
25660,E01002835,Burglary,Kensington and Chelsea,2808,104.5,0.001,7858.4
25048,E01002770,Burglary,Islington,3788,75.3,0.001,4066.2
