,Borough,Major Category,LSOA,Population,Mean,Range,Normalised Deviation,Regression
46777,Westminster,Burglary,E01035716,4402,550.0,1.379937304590873e-06,130130.0,0.363
46760,Westminster,Burglary,E01004761,2434,329.6,3.6923543636668493e-06,57844.8,0.256
46738,Westminster,Burglary,E01004734,3398,320.4,3.6570665962286384e-06,47419.2,0.229
46762,Westminster,Burglary,E01004763,4062,333.1,3.4841531967387793e-06,49198.87,0.227
46740,Westminster,Burglary,E01004736,3094,263.5,5.105189337662996e-06,38866.25,0.225
8356,Camden,Burglary,E01000914,2804,282.8,4.721492562761573e-06,40383.84,0.205
8361,Camden,Burglary,E01000919,2918,223.2,5.942489395805948e-06,29239.2,0.203
8299,Camden,Burglary,E01000855,2654,219.0,6.378274433880945e-06,30265.8,0.2
46763,Westminster,Burglary,E01004765,3724,261.4,6.475620786843746e-06,34687.78,0.196
17162,Hackney,Burglary,E01033708,3766,292.1,5.372018715618979e-06,37359.59,0.19
46718,Westminster,Burglary,E01004714,3334,220.0,7.216450192645304e-06,26290.0,0.185
8296,Camden,Burglary,E01000850,2822,188.4,9.361730332362023e-06,21948.6,0.178
46671,Westminster,Burglary,E01004657,2462,147.4,1.0439280867588589e-05,16464.58,0.172
46767,Westminster,Burglary,E01033594,3028,205.9,7.002937157896891e-06,22319.56,0.164
8360,Camden,Burglary,E01000918,3610,178.4,1.0117713014409191e-05,18357.36,0.157
4932,Brent,Burglary,E01033938,2554,133.8,1.193011951581801e-05,13460.28,0.156
17161,Hackney,Burglary,E01033706,2854,162.8,1.2521937495346534e-05,16263.72,0.153
8297,Camden,Burglary,E01000851,2944,161.8,1.2996644851148452e-05,16034.38,0.151
46739,Westminster,Burglary,E01004735,4088,216.0,9.961013688136142e-06,21729.6,0.147
46761,Westminster,Burglary,E01004762,3158,140.6,1.4973921268978733e-05,13033.62,0.144
26856,Islington,Burglary,E01002724,3886,159.2,1.2847130427690992e-05,15187.68,0.139
46703,Westminster,Burglary,E01004698,2642,120.7,1.8240817608897318e-05,10923.35,0.139
9871,Croydon,Burglary,E01034150,2624,123.1,1.7763335948806916e-05,10869.73,0.137
26942,Islington,Burglary,E01033489,2842,116.3,2.0364001227297625e-05,10036.69,0.131
8307,Camden,Burglary,E01000863,2958,138.2,1.9457966055305806e-05,11553.52,0.129
46717,Westminster,Burglary,E01004713,2614,126.9,1.4713497669860159e-05,11154.51,0.129
46690,Westminster,Burglary,E01004682,2584,118.1,1.823313583990694e-05,9625.15,0.126
38041,Richmond upon Thames,Burglary,E01003876,3754,98.4,2.1194670227145187e-05,8127.84,0.125
28047,Kensington and Chelsea,Burglary,E01002818,2802,112.1,2.4995539545968024e-05,9024.05,0.124
8358,Camden,Burglary,E01000916,3744,135.4,1.6265531284870757e-05,11197.58,0.123
46704,Westminster,Burglary,E01004699,3490,122.5,2.034985428792085e-05,9628.5,0.122
46735,Westminster,Burglary,E01004731,3992,105.1,1.999098606438357e-05,8029.64,0.118
39214,Southwark,Burglary,E01033867,3102,102.0,2.3393665206005203e-05,7721.4,0.117
28062,Kensington and Chelsea,Burglary,E01002835,2808,104.5,2.239234432618301e-05,7858.4,0.116
12016,Ealing,Burglary,E01034030,3668,86.3,1.700115879898374e-05,6446.61,0.115
46716,Westminster,Burglary,E01004712,2988,99.4,1.670020122740467e-05,7673.68,0.115
17166,Hackney,Burglary,E01033712,3078,88.5,2.67535851409304e-05,6478.2,0.113
46672,Westminster,Burglary,E01004658,3096,112.1,2.5107452994265883e-05,8272.98,0.112
13724,Enfield,Burglary,E01001412,3562,87.9,2.1328063993405704e-05,6425.49,0.112
17155,Hackney,Burglary,E01033699,2818,103.5,3.0252281642207597e-05,7400.25,0.11
8386,Camden,Burglary,E01000947,3312,95.4,2.670537022562726e-05,6887.88,0.11
8416,Camden,Burglary,E01035711,4800,127.9,1.8764659773168663e-05,9170.43,0.108
39076,Southwark,Burglary,E01003929,3962,130.5,2.0240102261092666e-05,9043.65,0.106
19662,Haringey,Burglary,E01002037,3372,104.3,2.694151465949778e-05,7572.18,0.105
15513,Greenwich,Burglary,E01001641,3712,95.6,2.9868040309787727e-05,6319.16,0.1
36493,Redbridge,Burglary,E01003689,4460,71.9,2.8195726159498485e-05,4429.04,0.095
26843,Islington,Burglary,E01002711,4104,82.3,3.8358725275116455e-05,5151.98,0.095
17159,Hackney,Burglary,E01033704,4678,93.9,3.832227384445411e-05,5737.29,0.093
39085,Southwark,Burglary,E01003939,3924,105.4,2.8638154653538324e-05,6492.64,0.093
46689,Westminster,Burglary,E01004681,3730,88.9,3.814295966023472e-05,5405.12,0.093
44957,Wandsworth,Burglary,E01004474,3984,84.3,3.3756990313161574e-05,5091.72,0.092
29996,Lambeth,Burglary,E01003013,3868,90.9,3.546021328609087e-05,5454.0,0.092
39080,Southwark,Burglary,E01003934,3996,83.6,4.3453675535663235e-05,4898.96,0.09
46719,Westminster,Burglary,E01004715,3708,77.3,3.9974127145946055e-05,4475.67,0.089
11867,Ealing,Burglary,E01001246,3666,79.9,4.171122990191312e-05,4546.31,0.087
18540,Hammersmith and Fulham,Burglary,E01001943,4450,82.1,3.8715852472934424e-05,4679.7,0.087
46675,Westminster,Burglary,E01004661,4028,80.8,4.531953238762648e-05,4524.8,0.086
1377,Barnet,Burglary,E01000141,3722,77.8,5.3156242249155425e-05,4341.24,0.086
1382,Barnet,Burglary,E01000146,3718,84.2,4.9063076767131823e-05,4664.68,0.085
46669,Westminster,Burglary,E01004654,4950,78.9,3.690449522584998e-05,4426.29,0.084
8373,Camden,Burglary,E01000931,4112,71.0,6.435054884261355e-05,3869.5,0.084
11868,Ealing,Burglary,E01001247,4652,88.5,4.380414274175649e-05,5017.95,0.083
41886,Tower Hamlets,Burglary,E01004208,3954,72.0,6.101851991403467e-05,3880.8,0.082
26898,Islington,Burglary,E01002770,3788,75.3,5.030544459851326e-05,4066.2,0.082
41959,Tower Hamlets,Burglary,E01004307,4770,94.6,4.201902772844044e-05,4957.04,0.081
26837,Islington,Burglary,E01002704,4682,101.9,3.8289172388728217e-05,5329.37,0.08
26922,Islington,Burglary,E01002794,4056,77.6,5.2268040967690505e-05,4011.92,0.08
45007,Wandsworth,Burglary,E01004525,3866,72.0,4.8813130693105936e-05,3744.0,0.08
31873,Lewisham,Burglary,E01003318,4152,90.2,5.114560268264823e-05,4762.56,0.08
18497,Hammersmith and Fulham,Burglary,E01001898,4200,68.8,5.5496827579348256e-05,3515.68,0.077
17084,Hackney,Burglary,E01001773,5000,59.4,5.611672278338945e-05,2946.24,0.076
46750,Westminster,Burglary,E01004749,4398,68.9,6.383163970971413e-05,3410.55,0.076
30057,Lambeth,Burglary,E01003074,4678,67.1,5.8097367004088425e-05,3368.42,0.076
39190,Southwark,Burglary,E01004062,4356,77.0,4.351648347822727e-05,3842.3,0.076
22467,Havering,Burglary,E01002356,4214,62.5,6.129454696127686e-05,3068.75,0.075
28140,Kensington and Chelsea,Burglary,E01035713,4078,72.6,5.617079742029996e-05,3564.66,0.075
30022,Lambeth,Burglary,E01003039,4054,62.5,6.486400094649551e-05,3037.5,0.075
19660,Haringey,Burglary,E01002034,4942,62.6,4.38587142396877e-05,3067.4,0.074
41961,Tower Hamlets,Burglary,E01004309,5686,63.6,5.9601678407104616e-05,3046.44,0.073
45086,Wandsworth,Burglary,E01004609,4388,69.3,5.7562640096672995e-05,3354.12,0.072
39062,Southwark,Burglary,E01003913,4150,72.1,5.755894582862837e-05,3424.75,0.072
29072,Kingston upon Thames,Burglary,E01002968,5874,69.4,4.702209318941877e-05,3254.86,0.072
17156,Hackney,Burglary,E01033700,4994,62.8,6.62685780645175e-05,2882.52,0.07
17143,Hackney,Burglary,E01001839,4772,60.3,6.594803967143896e-05,2755.71,0.07
11981,Ealing,Burglary,E01001361,4542,63.3,7.175355352298467e-05,2937.12,0.07
17180,Hackney,Burglary,E01035650,4040,64.4,7.84161505903756e-05,2885.12,0.069
45094,Wandsworth,Burglary,E01004617,3830,62.4,7.672275381287151e-05,2814.24,0.068
8410,Camden,Burglary,E01000973,5234,60.2,6.687963371362207e-05,2666.86,0.067
41974,Tower Hamlets,Burglary,E01032764,4772,63.4,7.52681389817154e-05,2738.88,0.065
36584,Redbridge,Burglary,E01003783,5098,60.3,6.503380652364519e-05,2538.63,0.064
34695,Newham,Burglary,E01003515,4254,57.1,8.277875019815163e-05,2403.91,0.064
30170,Lambeth,Burglary,E01032582,4562,71.3,7.109241096333131e-05,2958.95,0.063
31917,Lewisham,Burglary,E01033327,4338,65.4,6.633027488857841e-05,2701.02,0.063
8412,Camden,Burglary,E01035707,4926,58.2,7.69447043038097e-05,2706.3,0.063
17153,Hackney,Burglary,E01001849,4902,57.1,7.804490032378487e-05,2323.97,0.062
46779,Westminster,Burglary,E01035718,5318,69.4,6.385686662146027e-05,2887.04,0.062
17048,Hackney,Burglary,E01001731,5330,54.2,8.939953106369976e-05,2178.84,0.061
4859,Brent,Burglary,E01000580,4180,58.5,0.00010207569913432662,2345.85,0.061
43567,Waltham Forest,Burglary,E01004397,5792,57.2,6.750582710299553e-05,2465.32,0.06
13749,Enfield,Burglary,E01001437,4648,58.8,9.88095231037415e-05,2299.08,0.059
8415,Camden,Burglary,E01035710,5196,52.3,0.00011038878820818134,1867.11,0.054
21027,Harrow,Burglary,E01002130,5846,45.9,0.00011578529931947191,1528.47,0.05
26866,Islington,Burglary,E01002735,5908,44.0,0.00016784090964402118,1434.4,0.049
42008,Tower Hamlets,Burglary,E01035670,8760,46.5,0.0001345622092531165,1432.2,0.046
