,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
47674,Westminster,E01035716,Burglary,4402,550.0,235.6,2.33
47506,Westminster,E01004761,Burglary,2434,329.6,174.5,1.89
47288,Westminster,E01004734,Burglary,3398,320.4,147.0,2.18
47526,Westminster,E01004763,Burglary,4062,333.1,146.7,2.27
47308,Westminster,E01004736,Burglary,3094,263.5,146.5,1.8
8812,Camden,E01000914,Burglary,2804,282.8,141.8,1.99
8265,Camden,E01000855,Burglary,2654,219.0,137.2,1.6
47536,Westminster,E01004765,Burglary,3724,261.4,131.7,1.98
8863,Camden,E01000919,Burglary,2918,223.2,130.0,1.72
18155,Hackney,E01033708,Burglary,3766,292.1,126.9,2.3
47094,Westminster,E01004714,Burglary,3334,220.0,118.5,1.86
8235,Camden,E01000850,Burglary,2822,188.4,115.5,1.63
28514,Kensington and Chelsea,E01002874,Burglary,1088,88.1,112.4,0.78
46920,Westminster,E01004695,Burglary,2112,130.3,111.6,1.17
31413,Lambeth,E01003179,Burglary,1611,60.6,110.7,0.55
46635,Westminster,E01004657,Burglary,2462,147.4,110.7,1.33
44841,Wandsworth,E01004480,Burglary,1706,83.1,108.2,0.77
47576,Westminster,E01033594,Burglary,3028,205.9,107.4,1.92
28125,Kensington and Chelsea,E01002833,Burglary,2432,81.5,107.4,0.76
9069,Camden,E01000942,Burglary,1994,100.3,106.5,0.94
8852,Camden,E01000918,Burglary,3610,178.4,101.9,1.75
47298,Westminster,E01004735,Burglary,4088,216.0,99.6,2.17
6275,Brent,E01033938,Burglary,2554,133.8,99.6,1.34
18145,Hackney,E01033706,Burglary,2854,162.8,98.9,1.65
12393,Ealing,E01001279,Burglary,1473,82.3,98.6,0.83
8245,Camden,E01000851,Burglary,2944,161.8,98.1,1.65
39971,Southwark,E01004043,Burglary,1363,63.4,96.8,0.65
30576,Lambeth,E01003091,Burglary,1677,63.8,96.6,0.66
20033,Haringey,E01002026,Burglary,3560,77.2,96.4,0.8
16894,Hackney,E01001715,Burglary,1256,86.6,96.4,0.9
37291,Redbridge,E01003747,Burglary,1383,65.9,94.7,0.7
20387,Haringey,E01002063,Burglary,1506,101.9,94.5,1.08
26988,Islington,E01002724,Burglary,3886,159.2,94.4,1.69
36171,Newham,E01034220,Burglary,2376,110.9,92.7,1.2
44525,Waltham Forest,E01004450,Burglary,1735,87.8,92.6,0.95
34305,Merton,E01003463,Burglary,1503,73.6,92.1,0.8
18600,Hammersmith and Fulham,E01001879,Burglary,1462,74.8,92.1,0.81
1603,Barnet,E01000168,Burglary,1499,80.8,91.9,0.88
4517,Bexley,E01000470,Burglary,2568,55.2,91.8,0.6
47516,Westminster,E01004762,Burglary,3158,140.6,91.7,1.53
36536,Redbridge,E01003664,Burglary,1872,70.7,91.4,0.77
29252,Kingston upon Thames,E01002953,Burglary,1346,61.2,90.5,0.68
4776,Brent,E01000493,Burglary,1593,65.7,90.3,0.73
20173,Haringey,E01002041,Burglary,1869,86.9,90.0,0.97
30996,Lambeth,E01003136,Burglary,1614,67.8,89.7,0.76
46949,Westminster,E01004698,Burglary,2642,120.7,89.5,1.35
37075,Redbridge,E01003724,Burglary,1478,71.6,87.6,0.82
5937,Brent,E01000624,Burglary,1756,73.7,87.5,0.84
11591,Croydon,E01034150,Burglary,2624,123.1,87.3,1.41
47084,Westminster,E01004713,Burglary,2614,126.9,86.9,1.46
28009,Kensington and Chelsea,E01002819,Burglary,2212,113.3,86.8,1.31
19856,Haringey,E01002006,Burglary,1526,72.1,86.6,0.83
15410,Greenwich,E01001583,Burglary,1572,71.8,86.6,0.83
46694,Westminster,E01004663,Burglary,2894,85.2,86.5,0.98
33678,Merton,E01003397,Burglary,1510,60.4,86.4,0.7
21889,Harrow,E01002223,Burglary,1801,70.9,86.1,0.82
2667,Barnet,E01000283,Burglary,1362,64.8,86.0,0.75
27832,Islington,E01033489,Burglary,2842,116.3,85.3,1.36
33015,Lewisham,E01003344,Burglary,1640,53.1,85.1,0.62
18580,Hammersmith and Fulham,E01001877,Burglary,2792,78.4,84.4,0.93
2550,Barnet,E01000270,Burglary,1540,64.9,84.2,0.77
11543,Croydon,E01034145,Burglary,2660,77.0,84.0,0.92
1410,Barnet,E01000145,Burglary,1625,77.8,84.0,0.93
37590,Redbridge,E01003780,Burglary,1565,65.4,83.7,0.78
12861,Ealing,E01001329,Burglary,1931,57.6,83.6,0.69
13053,Ealing,E01001349,Burglary,1412,75.0,83.6,0.9
18542,Hammersmith and Fulham,E01001872,Burglary,1315,71.1,83.6,0.85
2541,Barnet,E01000269,Burglary,1380,67.8,83.5,0.81
7052,Bromley,E01000726,Burglary,1300,62.0,83.4,0.74
2559,Barnet,E01000271,Burglary,1641,73.5,83.3,0.88
27068,Islington,E01002733,Burglary,1414,71.6,83.2,0.86
