,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
9964,Burglary,E01035716,Westminster,550.0,235.6,2.33
9613,Burglary,E01033708,Hackney,292.1,126.9,2.3
9483,Burglary,E01004763,Westminster,333.1,146.7,2.27
9459,Burglary,E01004734,Westminster,320.4,147.0,2.18
9460,Burglary,E01004735,Westminster,216.0,99.6,2.17
7549,Burglary,E01002704,Islington,101.9,51.3,1.99
5855,Burglary,E01000914,Camden,282.8,141.8,1.99
9484,Burglary,E01004765,Westminster,261.4,131.7,1.98
9597,Burglary,E01033594,Westminster,205.9,107.4,1.92
8728,Burglary,E01003929,Southwark,130.5,68.3,1.91
9481,Burglary,E01004761,Westminster,329.6,174.5,1.89
9439,Burglary,E01004714,Westminster,220.0,118.5,1.86
9057,Burglary,E01004307,Tower Hamlets,94.6,51.4,1.84
9959,Burglary,E01035711,Camden,127.9,70.7,1.81
9461,Burglary,E01004736,Westminster,263.5,146.5,1.8
9505,Burglary,E01032582,Lambeth,71.3,40.5,1.76
5859,Burglary,E01000918,Camden,178.4,101.9,1.75
8140,Burglary,E01003318,Lewisham,90.2,51.8,1.74
8737,Burglary,E01003939,Southwark,105.4,60.6,1.74
5860,Burglary,E01000919,Camden,223.2,130.0,1.72
9966,Burglary,E01035718,Westminster,69.4,40.6,1.71
7568,Burglary,E01002724,Islington,159.2,94.4,1.69
5806,Burglary,E01000863,Camden,138.2,82.6,1.67
5857,Burglary,E01000916,Camden,135.4,81.7,1.66
5796,Burglary,E01000851,Camden,161.8,98.1,1.65
9612,Burglary,E01033706,Hackney,162.8,98.9,1.65
5795,Burglary,E01000850,Camden,188.4,115.5,1.63
9567,Burglary,E01033327,Lewisham,65.4,40.3,1.62
5798,Burglary,E01000855,Camden,219.0,137.2,1.6
6174,Burglary,E01001247,Ealing,88.5,55.7,1.59
9425,Burglary,E01004699,Westminster,122.5,77.6,1.58
8842,Burglary,E01004062,Southwark,77.0,48.9,1.57
9610,Burglary,E01033704,Hackney,93.9,60.1,1.56
9918,Burglary,E01035670,Tower Hamlets,46.5,29.8,1.56
5117,Burglary,E01000146,Barnet,84.2,54.4,1.55
8714,Burglary,E01003913,Southwark,72.1,46.5,1.55
6362,Burglary,E01001437,Enfield,58.8,38.1,1.54
7846,Burglary,E01003013,Lambeth,90.9,59.0,1.54
9393,Burglary,E01004658,Westminster,112.1,72.8,1.54
9482,Burglary,E01004762,Westminster,140.6,91.7,1.53
7634,Burglary,E01002794,Islington,77.6,50.7,1.53
7802,Burglary,E01002968,Kingston upon Thames,69.4,45.9,1.51
9961,Burglary,E01035713,Kensington and Chelsea,72.6,48.1,1.51
9958,Burglary,E01035710,Camden,52.3,34.7,1.51
5538,Burglary,E01000580,Brent,58.5,39.1,1.5
9519,Burglary,E01032764,Tower Hamlets,63.4,42.2,1.5
9410,Burglary,E01004681,Westminster,88.9,59.8,1.49
7003,Burglary,E01002129,Harrow,47.4,31.9,1.49
9898,Burglary,E01035650,Hackney,64.4,43.8,1.47
9411,Burglary,E01004682,Westminster,118.1,80.5,1.47
6550,Burglary,E01001641,Greenwich,95.6,65.1,1.47
9606,Burglary,E01033699,Hackney,103.5,70.5,1.47
9396,Burglary,E01004661,Westminster,80.8,55.0,1.47
8585,Burglary,E01003783,Redbridge,60.3,41.1,1.47
6822,Burglary,E01001943,Hammersmith and Fulham,82.1,56.0,1.47
9438,Burglary,E01004713,Westminster,126.9,86.9,1.46
6914,Burglary,E01002037,Haringey,104.3,71.6,1.46
9345,Burglary,E01004609,Wandsworth,69.3,47.4,1.46
8732,Burglary,E01003934,Southwark,83.6,57.6,1.45
6731,Burglary,E01001849,Hackney,57.1,39.7,1.44
9390,Burglary,E01004654,Westminster,78.9,55.1,1.43
6173,Burglary,E01001246,Ealing,79.9,55.9,1.43
9045,Burglary,E01004293,Tower Hamlets,58.9,41.2,1.43
9770,Burglary,E01034200,Newham,69.4,48.5,1.43
7610,Burglary,E01002770,Islington,75.3,53.0,1.42
5112,Burglary,E01000141,Barnet,77.8,54.8,1.42
7935,Burglary,E01003102,Lambeth,60.5,42.5,1.42
6028,Burglary,E01001097,Croydon,54.3,38.3,1.42
9471,Burglary,E01004749,Westminster,68.9,48.5,1.42
9216,Burglary,E01004474,Wandsworth,84.3,59.4,1.42
7004,Burglary,E01002130,Harrow,45.9,32.3,1.42
9353,Burglary,E01004617,Wandsworth,62.4,44.1,1.41
5626,Burglary,E01000676,Bromley,67.0,47.5,1.41
9266,Burglary,E01004525,Wandsworth,72.0,51.0,1.41
7657,Burglary,E01002818,Kensington and Chelsea,112.1,79.5,1.41
9737,Burglary,E01034150,Croydon,123.1,87.3,1.41
9743,Burglary,E01034156,Sutton,81.7,57.9,1.41
7672,Burglary,E01002835,Kensington and Chelsea,104.5,74.2,1.41
9916,Burglary,E01035668,Tower Hamlets,57.1,40.4,1.41
8768,Burglary,E01003980,Southwark,49.4,35.1,1.41
9912,Burglary,E01035664,Tower Hamlets,50.0,35.6,1.4
9607,Burglary,E01033700,Hackney,62.8,44.9,1.4
6287,Burglary,E01001361,Ealing,63.3,45.4,1.39
8330,Burglary,E01003515,Newham,57.1,41.1,1.39
7578,Burglary,E01002735,Islington,44.0,31.6,1.39
9442,Burglary,E01004717,Westminster,91.0,65.5,1.39
9456,Burglary,E01004731,Westminster,105.1,75.4,1.39
7888,Burglary,E01003055,Lambeth,68.0,49.0,1.39
5909,Burglary,E01000973,Camden,60.2,43.3,1.39
9684,Burglary,E01033926,Enfield,43.3,31.3,1.38
5544,Burglary,E01000586,Brent,54.0,39.0,1.38
7951,Burglary,E01003120,Lambeth,48.0,34.8,1.38
6626,Burglary,E01001731,Hackney,54.2,39.2,1.38
6739,Burglary,E01001857,Hammersmith and Fulham,49.1,35.5,1.38
5905,Burglary,E01000969,Camden,72.4,52.7,1.37
5179,Burglary,E01000211,Barnet,64.0,46.6,1.37
6779,Burglary,E01001898,Hammersmith and Fulham,68.8,50.1,1.37
9650,Burglary,E01033867,Southwark,102.0,74.7,1.37
9059,Burglary,E01004309,Tower Hamlets,63.6,46.9,1.36
9440,Burglary,E01004715,Westminster,77.3,56.9,1.36
7907,Burglary,E01003074,Lambeth,67.1,49.2,1.36
5664,Burglary,E01000714,Bromley,59.2,43.6,1.36
8082,Burglary,E01003255,Lewisham,55.9,41.2,1.36
9142,Burglary,E01004397,Waltham Forest,57.2,42.1,1.36
6653,Burglary,E01001762,Hackney,66.2,48.5,1.36
9577,Burglary,E01033489,Islington,116.3,85.3,1.36
7547,Burglary,E01002702,Islington,43.5,32.1,1.36
8984,Burglary,E01004208,Tower Hamlets,72.0,52.9,1.36
9424,Burglary,E01004698,Westminster,120.7,89.5,1.35
