,LSOA,Borough,Major Category,Population,Mean,Normalised Deviation,Regression,Flat
23920,E01002641,Hounslow,Drug Offences,5456,58.7,2436.05,0.06,16.666666666666668
19752,E01002179,Harrow,Drug Offences,5216,60.1,2764.6,0.066,15.15151515151515
10070,E01001118,Croydon,Drug Offences,4298,86.4,4363.2,0.071,14.084507042253522
27664,E01003052,Lambeth,Drug Offences,4432,64.6,3611.14,0.074,13.513513513513514
38916,E01004309,Tower Hamlets,Drug Offences,5686,73.5,3689.7,0.074,13.513513513513514
19300,E01002129,Harrow,Drug Offences,5382,62.3,3195.99,0.079,12.658227848101266
4579,E01000508,Brent,Drug Offences,5316,63.8,3432.44,0.079,12.658227848101266
8229,E01000915,Camden,Drug Offences,2992,73.9,3791.07,0.079,12.658227848101266
47627,E01035711,Camden,Drug Offences,4800,61.3,3199.86,0.08,12.5
4721,E01000523,Brent,Drug Offences,4592,76.0,4294.0,0.08,12.5
4731,E01000524,Brent,Drug Offences,4768,75.3,4141.5,0.081,12.345679012345679
4808,E01000533,Brent,Drug Offences,4328,65.6,3463.68,0.081,12.345679012345679
43650,E01033083,Hounslow,Drug Offences,4356,71.0,3905.0,0.084,11.904761904761903
5682,E01000631,Brent,Drug Offences,4132,91.1,5821.29,0.085,11.76470588235294
44060,E01033587,Barking and Dagenham,Drug Offences,4890,94.1,5373.11,0.087,11.49425287356322
36055,E01003969,Southwark,Drug Offences,4776,82.4,5331.28,0.088,11.363636363636365
16496,E01001830,Hackney,Drug Offences,3834,84.5,4816.5,0.088,11.363636363636365
35748,E01003929,Southwark,Drug Offences,3962,83.1,4811.49,0.089,11.235955056179776
4751,E01000526,Brent,Drug Offences,4380,99.0,6494.4,0.092,10.869565217391305
30160,E01003318,Lewisham,Drug Offences,4152,108.4,6699.12,0.093,10.75268817204301
42759,E01004733,Westminster,Drug Offences,4232,74.5,4522.15,0.093,10.75268817204301
42779,E01004735,Westminster,Drug Offences,4088,81.7,5196.12,0.093,10.75268817204301
32511,E01003570,Newham,Drug Offences,3872,93.3,5765.94,0.094,10.638297872340425
43827,E01033327,Lewisham,Drug Offences,4338,86.8,5303.48,0.094,10.638297872340425
12369,E01001361,Ealing,Drug Offences,4542,89.9,6095.22,0.096,10.416666666666666
11,E01000007,Barking and Dagenham,Drug Offences,5682,76.9,5321.48,0.096,10.416666666666666
29080,E01003199,Lewisham,Drug Offences,3932,127.0,8559.8,0.099,10.1010101010101
12272,E01001351,Ealing,Drug Offences,3986,97.0,6382.6,0.099,10.1010101010101
33077,E01003636,Newham,Drug Offences,4378,81.8,5366.08,0.1,10.0
44070,E01033589,Redbridge,Drug Offences,3860,107.6,8651.04,0.101,9.900990099009901
3634,E01000403,Bexley,Drug Offences,4764,68.5,4596.35,0.102,9.803921568627452
