,Major Category,Borough,LSOA,Population,Mean,Normalised Deviation,Inverse Normalised Deviation
12628,Drug Offences,Hounslow,E01002641,5456,58.7,2436.05,0.00041
12163,Drug Offences,Harrow,E01002179,5216,60.1,2764.6,0.00036
10925,Drug Offences,Camden,E01035711,4800,61.3,3199.86,0.00031
12115,Drug Offences,Harrow,E01002129,5382,62.3,3195.99,0.00031
10500,Drug Offences,Brent,E01000533,4328,65.6,3463.68,0.00029
10476,Drug Offences,Brent,E01000508,5316,63.8,3432.44,0.00029
13053,Drug Offences,Lambeth,E01003052,4432,64.6,3611.14,0.00028
14311,Drug Offences,Tower Hamlets,E01004309,5686,73.5,3689.7,0.00027
12678,Drug Offences,Hounslow,E01033083,4356,71.0,3905.0,0.00026
10868,Drug Offences,Camden,E01000915,2992,73.9,3791.07,0.00026
10492,Drug Offences,Brent,E01000524,4768,75.3,4141.5,0.00024
10491,Drug Offences,Brent,E01000523,4592,76.0,4294.0,0.00023
11060,Drug Offences,Croydon,E01001118,4298,86.4,4363.2,0.00023
14799,Drug Offences,Westminster,E01004733,4232,74.5,4522.15,0.00022
10371,Drug Offences,Bexley,E01000403,4764,68.5,4596.35,0.00022
13954,Drug Offences,Southwark,E01003929,3962,83.1,4811.49,0.00021
11790,Drug Offences,Hackney,E01001830,3834,84.5,4816.5,0.00021
9972,Drug Offences,Barking and Dagenham,E01000007,5682,76.9,5321.48,0.00019
10074,Drug Offences,Barking and Dagenham,E01033587,4890,94.1,5373.11,0.00019
13632,Drug Offences,Newham,E01003636,4378,81.8,5366.08,0.00019
13986,Drug Offences,Southwark,E01003969,4776,82.4,5331.28,0.00019
14801,Drug Offences,Westminster,E01004735,4088,81.7,5196.12,0.00019
13357,Drug Offences,Lewisham,E01033327,4338,86.8,5303.48,0.00019
12630,Drug Offences,Hounslow,E01002645,4518,80.3,5572.82,0.00018
12010,Drug Offences,Haringey,E01002026,3560,87.7,6024.99,0.00017
12485,Drug Offences,Hillingdon,E01002506,4108,71.7,5750.34,0.00017
13574,Drug Offences,Newham,E01003570,3872,93.3,5765.94,0.00017
10589,Drug Offences,Brent,E01000631,4132,91.1,5821.29,0.00017
11301,Drug Offences,Ealing,E01001351,3986,97.0,6382.6,0.00016
11311,Drug Offences,Ealing,E01001361,4542,89.9,6095.22,0.00016
14073,Drug Offences,Southwark,E01004067,4424,82.2,6132.12,0.00016
12965,Drug Offences,Kingston upon Thames,E01002964,5020,88.2,6244.56,0.00016
12733,Drug Offences,Islington,E01002734,4726,79.5,6415.65,0.00016
13313,Drug Offences,Lewisham,E01003318,4152,108.4,6699.12,0.00015
10494,Drug Offences,Brent,E01000526,4380,99.0,6494.4,0.00015
11385,Drug Offences,Enfield,E01001429,4588,103.3,6879.78,0.00015
13831,Drug Offences,Redbridge,E01034484,3402,97.2,7085.88,0.00014
13300,Drug Offences,Lewisham,E01003303,3486,91.8,7123.68,0.00014
11146,Drug Offences,Croydon,E01034149,4222,98.5,7013.2,0.00014
10606,Drug Offences,Brent,E01033485,3294,91.1,7288.0,0.00014
14716,Drug Offences,Wandsworth,E01035493,3308,104.9,7259.08,0.00014
14463,Drug Offences,Waltham Forest,E01004397,5792,100.8,7096.32,0.00014
12684,Drug Offences,Hounslow,E01034036,3640,93.7,7449.15,0.00013
10991,Drug Offences,Croydon,E01001042,4322,114.6,7746.96,0.00013
12341,Drug Offences,Havering,E01002353,4120,111.8,7580.04,0.00013
11842,Drug Offences,Hammersmith and Fulham,E01001857,3102,99.6,7689.12,0.00013
12018,Drug Offences,Haringey,E01002034,4942,102.7,8185.19,0.00012
13204,Drug Offences,Lewisham,E01003199,3932,127.0,8559.8,0.00012
13823,Drug Offences,Redbridge,E01033589,3860,107.6,8651.04,0.00012
