,LSOA,Major Category,Borough,Population,Mean,Normalised Deviation,Regression,Flat
49238,E01004734,Drug Offences,Westminster,1699,2674.2,4414301.94,2.437,0.41034058268362744
49260,E01004736,Drug Offences,Westminster,1547,1467.0,1296241.2,1.256,0.7961783439490446
9044,E01000863,Drug Offences,Camden,1479,1413.1,1277583.71,1.175,0.851063829787234
49502,E01004763,Drug Offences,Westminster,2031,1394.3,1244133.89,1.322,0.75642965204236
54793,E01035716,Drug Offences,Westminster,2201,1299.9,1085416.5,1.16,0.8620689655172414
54848,E01035721,Drug Offences,Westminster,2336,559.5,435067.2,0.974,1.026694045174538
52296,E01034150,Drug Offences,Croydon,1312,751.9,371137.84,0.659,1.5174506828528072
31869,E01003047,Drug Offences,Lambeth,1798,736.4,280715.68,0.568,1.7605633802816902
9638,E01000919,Drug Offences,Camden,1459,553.2,261276.36,0.738,1.3550135501355014
52879,E01034220,Drug Offences,Newham,1188,514.0,245435.0,0.692,1.4450867052023122
54815,E01035718,Drug Offences,Westminster,2659,536.2,236356.96,0.683,1.4641288433382136
31011,E01002968,Drug Offences,Kingston upon Thames,2937,621.9,201060.27,0.493,2.028397565922921
50932,E01033708,Drug Offences,Hackney,1883,531.4,198477.9,0.541,1.8484288354898335
44816,E01004307,Drug Offences,Tower Hamlets,2385,346.0,158468.0,0.631,1.5847860538827259
51416,E01033874,Drug Offences,Southwark,1143,413.8,148595.58,0.55,1.8181818181818181
8989,E01000858,Drug Offences,Camden,1992,456.5,140693.3,0.377,2.6525198938992043
52659,E01034200,Drug Offences,Newham,1573,422.2,113614.02,0.414,2.4154589371980677
44805,E01004306,Drug Offences,Tower Hamlets,1871,266.6,108719.48,0.572,1.7482517482517483
24653,E01002356,Drug Offences,Havering,2107,464.6,108669.94,0.36,2.7777777777777777
52241,E01034145,Drug Offences,Croydon,1330,418.0,108429.2,0.395,2.531645569620253
50921,E01033706,Drug Offences,Hackney,1427,384.6,102226.68,0.407,2.4570024570024573
9913,E01000947,Drug Offences,Camden,1656,342.4,95324.16,0.371,2.6954177897574123
54265,E01035668,Drug Offences,Tower Hamlets,2071,323.2,93049.28,0.433,2.3094688221709005
8967,E01000856,Drug Offences,Camden,1575,345.5,92974.05,0.374,2.6737967914438503
52362,E01034156,Drug Offences,Sutton,1353,345.6,91860.48,0.349,2.865329512893983
53044,E01034386,Drug Offences,Bromley,1224,403.2,89994.24,0.335,2.9850746268656714
49480,E01004761,Drug Offences,Westminster,1217,338.8,89917.52,0.395,2.531645569620253
20231,E01001943,Drug Offences,Hammersmith and Fulham,2225,420.4,89839.48,0.329,3.03951367781155
53198,E01034473,Drug Offences,Barking and Dagenham,1294,375.5,82422.25,0.339,2.949852507374631
9033,E01000862,Drug Offences,Camden,1712,293.4,79775.46,0.371,2.6954177897574123
10606,E01001013,Drug Offences,Croydon,2185,343.0,79644.6,0.34,2.941176470588235
32474,E01003102,Drug Offences,Lambeth,1771,287.3,72571.98,0.35,2.857142857142857
28129,E01002695,Drug Offences,Islington,1483,356.2,71916.78,0.274,3.64963503649635
19758,E01001898,Drug Offences,Hammersmith and Fulham,2100,300.3,69099.03,0.331,3.021148036253776
38623,E01003689,Drug Offences,Redbridge,2230,295.7,56183.0,0.295,3.3898305084745766
41923,E01004010,Drug Offences,Southwark,1491,239.9,54433.31,0.329,3.03951367781155
8956,E01000855,Drug Offences,Camden,1327,238.9,53704.72,0.351,2.8490028490028494
37886,E01003619,Drug Offences,Newham,2473,235.7,52278.26,0.345,2.8985507246376816
38634,E01003690,Drug Offences,Redbridge,2162,220.1,51789.53,0.354,2.824858757062147
20209,E01001941,Drug Offences,Hammersmith and Fulham,1546,274.3,51678.12,0.263,3.8022813688212924
31495,E01003013,Drug Offences,Lambeth,1934,198.9,49685.22,0.379,2.638522427440633
5469,E01000521,Drug Offences,Brent,2291,260.9,48005.6,0.207,4.830917874396135
50855,E01033699,Drug Offences,Hackney,1409,270.1,47969.76,0.277,3.6101083032490973
49810,E01032639,Drug Offences,Southwark,1910,269.2,46813.88,0.258,3.875968992248062
44893,E01004315,Drug Offences,Tower Hamlets,1617,230.6,46235.3,0.313,3.194888178913738
49744,E01032582,Drug Offences,Lambeth,2281,220.0,44792.0,0.294,3.4013605442176873
49854,E01032741,Drug Offences,Havering,1484,238.2,44067.0,0.28,3.571428571428571
44420,E01004259,Drug Offences,Tower Hamlets,1752,248.1,40489.92,0.254,3.937007874015748
39624,E01003783,Drug Offences,Redbridge,2549,242.5,40352.0,0.237,4.219409282700422
7053,E01000676,Drug Offences,Bromley,2046,203.6,39416.96,0.275,3.6363636363636362
52219,E01034143,Drug Offences,Croydon,1311,233.8,39325.16,0.254,3.937007874015748
50701,E01033589,Drug Offences,Redbridge,1930,215.2,34367.44,0.201,4.975124378109452
33519,E01003199,Drug Offences,Lewisham,1966,254.0,33959.8,0.199,5.025125628140703
21221,E01002034,Drug Offences,Haringey,2471,205.4,32535.36,0.238,4.201680672268908
10914,E01001042,Drug Offences,Croydon,2161,229.2,30758.64,0.209,4.784688995215311
19318,E01001857,Drug Offences,Hammersmith and Fulham,1551,199.1,30541.94,0.239,4.184100418410042
24620,E01002353,Drug Offences,Havering,2060,223.6,30096.56,0.208,4.8076923076923075
52054,E01034036,Drug Offences,Hounslow,1820,187.5,29625.0,0.244,4.098360655737705
50492,E01033485,Drug Offences,Brent,1647,182.1,28953.9,0.244,4.098360655737705
53858,E01035493,Drug Offences,Wandsworth,1654,209.8,28826.52,0.214,4.672897196261682
34586,E01003303,Drug Offences,Lewisham,1743,183.6,28311.12,0.234,4.273504273504273
45751,E01004397,Drug Offences,Waltham Forest,2896,201.7,28197.66,0.218,4.587155963302752
53319,E01034484,Drug Offences,Redbridge,1701,194.3,28154.07,0.225,4.444444444444445
52285,E01034149,Drug Offences,Croydon,2111,197.0,27836.1,0.22,4.545454545454546
15072,E01001429,Drug Offences,Enfield,2294,206.7,27305.07,0.205,4.878048780487805
34729,E01003318,Drug Offences,Lewisham,2076,216.8,26579.68,0.187,5.347593582887701
5524,E01000526,Drug Offences,Brent,2190,198.0,25759.8,0.184,5.434782608695652
28536,E01002734,Drug Offences,Islington,2363,159.1,25503.73,0.246,4.065040650406504
14225,E01001351,Drug Offences,Ealing,1993,193.9,25303.95,0.199,5.025125628140703
30967,E01002964,Drug Offences,Kingston upon Thames,2510,176.5,24815.9,0.214,4.672897196261682
42506,E01004067,Drug Offences,Southwark,2212,164.3,24365.69,0.207,4.830917874396135
14335,E01001361,Drug Offences,Ealing,2271,179.8,24201.08,0.191,5.2356020942408374
21133,E01002026,Drug Offences,Haringey,1780,175.5,23955.75,0.208,4.8076923076923075
6591,E01000631,Drug Offences,Brent,2066,182.2,23121.18,0.17,5.88235294117647
37424,E01003570,Drug Offences,Newham,1936,186.6,22877.16,0.189,5.291005291005291
26248,E01002506,Drug Offences,Hillingdon,2054,143.5,22873.9,0.248,4.032258064516129
27645,E01002645,Drug Offences,Hounslow,2259,160.7,22144.46,0.214,4.672897196261682
38062,E01003636,Drug Offences,Newham,2189,163.7,21330.11,0.2,5.0
50690,E01033587,Drug Offences,Barking and Dagenham,2445,188.1,21292.92,0.174,5.74712643678161
41549,E01003969,Drug Offences,Southwark,2388,164.8,21143.84,0.175,5.714285714285714
13,E01000007,Drug Offences,Barking and Dagenham,2841,153.8,21116.74,0.192,5.208333333333333
50426,E01033327,Drug Offences,Lewisham,2169,173.6,21040.32,0.188,5.319148936170213
49249,E01004735,Drug Offences,Westminster,2044,163.5,20650.05,0.186,5.376344086021505
19021,E01001830,Drug Offences,Hackney,1917,169.1,19108.3,0.175,5.714285714285714
41197,E01003929,Drug Offences,Southwark,1981,166.3,19091.24,0.177,5.649717514124294
4215,E01000403,Drug Offences,Bexley,2382,137.1,18261.72,0.205,4.878048780487805
49227,E01004733,Drug Offences,Westminster,2116,149.0,17954.5,0.186,5.376344086021505
11706,E01001118,Drug Offences,Croydon,2149,172.7,17270.0,0.142,7.042253521126761
5491,E01000523,Drug Offences,Brent,2296,151.9,16997.61,0.16,6.25
5502,E01000524,Drug Offences,Brent,2384,150.5,16404.5,0.163,6.134969325153374
50228,E01033083,Drug Offences,Hounslow,2178,142.1,15503.11,0.168,5.952380952380952
9594,E01000915,Drug Offences,Camden,1496,147.8,15001.7,0.157,6.369426751592357
44838,E01004309,Drug Offences,Tower Hamlets,2843,146.9,14587.17,0.148,6.756756756756757
31924,E01003052,Drug Offences,Lambeth,2216,129.3,14339.37,0.148,6.756756756756757
5590,E01000533,Drug Offences,Brent,2164,131.3,13733.98,0.162,6.172839506172839
5326,E01000508,Drug Offences,Brent,2658,127.7,13612.82,0.159,6.289308176100628
22222,E01002129,Drug Offences,Harrow,2691,124.6,12671.82,0.157,6.369426751592357
54738,E01035711,Drug Offences,Camden,2400,122.5,12654.25,0.16,6.25
22761,E01002179,Drug Offences,Harrow,2608,120.2,10926.18,0.133,7.518796992481203
27623,E01002641,Drug Offences,Hounslow,2728,117.3,9630.33,0.119,8.403361344537815
