,LSOA,Major Category,Borough,Population,Mean,Range,Normalised Deviation
10070,E01001118,Drug Offences,Croydon,4298,86.4,0.002,4363.2
29080,E01003199,Drug Offences,Lewisham,3932,127.0,0.002,8559.8
4721,E01000523,Drug Offences,Brent,4592,76.0,0.001,4294.0
4701,E01000521,Drug Offences,Brent,4582,130.4,0.001,12062.0
21340,E01002353,Drug Offences,Havering,4120,111.8,0.001,7580.04
19752,E01002179,Drug Offences,Harrow,5216,60.1,0.001,2764.6
18412,E01002034,Drug Offences,Haringey,4942,102.7,0.001,8185.19
4731,E01000524,Drug Offences,Brent,4768,75.3,0.001,4141.5
5682,E01000631,Drug Offences,Brent,4132,91.1,0.001,5821.29
7682,E01000856,Drug Offences,Camden,3150,172.7,0.001,23331.77
9385,E01001042,Drug Offences,Croydon,4322,114.6,0.001,7746.96
4808,E01000533,Drug Offences,Brent,4328,65.6,0.001,3463.68
9124,E01001013,Drug Offences,Croydon,4370,171.5,0.001,19996.9
18332,E01002026,Drug Offences,Haringey,3560,87.7,0.001,6024.99
17539,E01001941,Drug Offences,Hammersmith and Fulham,3092,137.2,0.001,12992.84
16496,E01001830,Drug Offences,Hackney,3834,84.5,0.001,4816.5
13013,E01001429,Drug Offences,Enfield,4588,103.3,0.001,6879.78
12369,E01001361,Drug Offences,Ealing,4542,89.9,0.001,6095.22
12272,E01001351,Drug Offences,Ealing,3986,97.0,0.001,6382.6
8229,E01000915,Drug Offences,Camden,2992,73.9,0.001,3791.07
17559,E01001943,Drug Offences,Hammersmith and Fulham,4450,210.2,0.001,22554.46
43827,E01033327,Drug Offences,Lewisham,4338,86.8,0.001,5303.48
35748,E01003929,Drug Offences,Southwark,3962,83.1,0.001,4811.49
34435,E01003783,Drug Offences,Redbridge,5098,121.3,0.001,10152.81
39719,E01004397,Drug Offences,Waltham Forest,5792,100.8,0.001,7096.32
42759,E01004733,Drug Offences,Westminster,4232,74.5,0.001,4522.15
36055,E01003969,Drug Offences,Southwark,4776,82.4,0.001,5331.28
38916,E01004309,Drug Offences,Tower Hamlets,5686,73.5,0.001,3689.7
33077,E01003636,Drug Offences,Newham,4378,81.8,0.001,5366.08
27664,E01003052,Drug Offences,Lambeth,4432,64.6,0.001,3611.14
32511,E01003570,Drug Offences,Newham,3872,93.3,0.001,5765.94
30160,E01003318,Drug Offences,Lewisham,4152,108.4,0.001,6699.12
23940,E01002645,Drug Offences,Hounslow,4518,80.3,0.001,5572.82
24363,E01002695,Drug Offences,Islington,2966,178.1,0.001,18077.15
23920,E01002641,Drug Offences,Hounslow,5456,58.7,0.001,2436.05
4751,E01000526,Drug Offences,Brent,4380,99.0,0.001,6494.4
45419,E01034143,Drug Offences,Croydon,2622,116.9,0.001,9889.74
45477,E01034149,Drug Offences,Croydon,4222,98.5,0.001,7013.2
44207,E01033699,Drug Offences,Hackney,2818,135.1,0.001,12064.43
44070,E01033589,Drug Offences,Redbridge,3860,107.6,0.001,8651.04
44060,E01033587,Drug Offences,Barking and Dagenham,4890,94.1,0.001,5373.11
46860,E01035493,Drug Offences,Wandsworth,3308,104.9,0.001,7259.08
46142,E01034386,Drug Offences,Bromley,2448,201.6,0.001,22599.36
46386,E01034484,Drug Offences,Redbridge,3402,97.2,0.001,7085.88
43280,E01032639,Drug Offences,Southwark,3820,134.6,0.001,11764.04
43650,E01033083,Drug Offences,Hounslow,4356,71.0,0.001,3905.0
7672,E01000855,Drug Offences,Camden,2654,119.5,0.0,13491.55
6079,E01000676,Drug Offences,Bromley,4092,101.8,0.0,9905.14
3634,E01000403,Drug Offences,Bexley,4764,68.5,0.0,4596.35
11,E01000007,Drug Offences,Barking and Dagenham,5682,76.9,0.0,5321.48
4579,E01000508,Drug Offences,Brent,5316,63.8,0.0,3432.44
7700,E01000858,Drug Offences,Camden,3984,228.3,0.0,35295.18
22711,E01002506,Drug Offences,Hillingdon,4108,71.7,0.0,5750.34
21369,E01002356,Drug Offences,Havering,4214,232.3,0.0,27272.02
19300,E01002129,Drug Offences,Harrow,5382,62.3,0.0,3195.99
17152,E01001898,Drug Offences,Hammersmith and Fulham,4200,150.1,0.0,17336.55
16762,E01001857,Drug Offences,Hammersmith and Fulham,3102,99.6,0.0,7689.12
7741,E01000862,Drug Offences,Camden,3424,146.7,0.0,20024.55
8516,E01000947,Drug Offences,Camden,3312,171.2,0.0,23916.64
8270,E01000919,Drug Offences,Camden,2918,276.6,0.0,65443.56
7751,E01000863,Drug Offences,Camden,2958,706.6,0.0,319736.5
32920,E01003619,Drug Offences,Newham,4946,117.9,0.0,13134.06
28152,E01003102,Drug Offences,Lambeth,3542,143.7,0.0,18221.16
24729,E01002734,Drug Offences,Islington,4726,79.5,0.0,6415.65
26843,E01002964,Drug Offences,Kingston upon Thames,5020,88.2,0.0,6244.56
30032,E01003303,Drug Offences,Lewisham,3486,91.8,0.0,7123.68
27614,E01003047,Drug Offences,Lambeth,3596,368.2,0.0,70363.02
27286,E01003013,Drug Offences,Lambeth,3868,99.5,0.0,12477.3
42779,E01004735,Drug Offences,Westminster,4088,81.7,0.0,5196.12
42769,E01004734,Drug Offences,Westminster,3398,1337.1,0.0,1104310.89
38896,E01004307,Drug Offences,Tower Hamlets,4770,173.0,0.0,39703.5
38966,E01004315,Drug Offences,Tower Hamlets,3234,115.3,0.0,11622.24
38886,E01004306,Drug Offences,Tower Hamlets,3742,133.3,0.0,27246.52
36386,E01004010,Drug Offences,Southwark,2982,119.9,0.0,13668.6
36897,E01004067,Drug Offences,Southwark,4424,82.2,0.0,6132.12
38546,E01004259,Drug Offences,Tower Hamlets,3504,124.1,0.0,10188.61
33577,E01003690,Drug Offences,Redbridge,4324,110.1,0.0,13002.81
33567,E01003689,Drug Offences,Redbridge,4460,147.9,0.0,14124.45
26883,E01002968,Drug Offences,Kingston upon Thames,5874,310.9,0.0,50427.98
43007,E01004763,Drug Offences,Westminster,4062,697.1,0.0,311324.86
43320,E01032741,Drug Offences,Havering,2968,119.1,0.0,11076.3
42987,E01004761,Drug Offences,Westminster,2434,169.4,0.0,22564.08
43224,E01032582,Drug Offences,Lambeth,4562,110.0,0.0,11253.0
42789,E01004736,Drug Offences,Westminster,3094,733.5,0.0,324427.05
45272,E01034036,Drug Offences,Hounslow,3640,93.7,0.0,7449.15
44703,E01033874,Drug Offences,Southwark,2286,206.9,0.0,37262.69
44277,E01033708,Drug Offences,Hackney,3766,265.7,0.0,49765.61
44267,E01033706,Drug Offences,Hackney,2854,192.3,0.0,25652.82
43887,E01033485,Drug Offences,Brent,3294,91.1,0.0,7288.0
45546,E01034156,Drug Offences,Sutton,2706,172.8,0.0,23051.52
45487,E01034150,Drug Offences,Croydon,2624,375.9,0.0,92960.07
45439,E01034145,Drug Offences,Croydon,2660,209.0,0.0,27211.8
46002,E01034220,Drug Offences,Newham,2376,257.0,0.0,61500.1
45806,E01034200,Drug Offences,Newham,3146,211.1,0.0,28498.5
46277,E01034473,Drug Offences,Barking and Dagenham,2588,187.7,0.0,20684.54
47216,E01035668,Drug Offences,Tower Hamlets,4142,161.6,0.0,23335.04
47627,E01035711,Drug Offences,Camden,4800,61.3,0.0,3199.86
47675,E01035716,Drug Offences,Westminster,4402,650.0,0.0,271700.0
47695,E01035718,Drug Offences,Westminster,5318,268.1,0.0,59223.29
47723,E01035721,Drug Offences,Westminster,4672,279.8,0.0,108926.14
