,Borough,Major Category,LSOA,Population,Mean,Range,Normalised Deviation,Regression
46861,Westminster,Drug Offences,E01004734,3398,1337.1,1.6609939664350982e-07,1104310.89,1.218
46885,Westminster,Drug Offences,E01004763,4062,697.1,5.497167509953876e-07,311324.86,0.661
46863,Westminster,Drug Offences,E01004736,3094,733.5,5.624176324613797e-07,324427.05,0.628
8436,Camden,Drug Offences,E01000863,2958,706.6,4.5502652016506633e-07,319736.5,0.588
46900,Westminster,Drug Offences,E01035716,4402,650.0,6.449816849775269e-07,271700.0,0.58
46905,Westminster,Drug Offences,E01035721,4672,279.8,1.1282189977773408e-06,108926.14,0.487
8488,Camden,Drug Offences,E01000919,2918,276.6,1.5289173916056508e-06,65443.56,0.369
35022,Newham,Drug Offences,E01034220,2376,257.0,2.1011673148480673e-06,61500.1,0.346
46902,Westminster,Drug Offences,E01035718,5318,268.1,2.4488743362191423e-06,59223.29,0.341
10094,Croydon,Drug Offences,E01034150,2624,375.9,2.115327257065659e-06,92960.07,0.33
42127,Tower Hamlets,Drug Offences,E01004307,4770,173.0,3.206076083577492e-06,39703.5,0.315
42126,Tower Hamlets,Drug Offences,E01004306,3742,133.3,3.598976668413694e-06,27246.52,0.286
30211,Lambeth,Drug Offences,E01003047,3596,368.2,2.790408935880566e-06,70363.02,0.284
39394,Southwark,Drug Offences,E01033874,2286,206.9,5.261340876819399e-06,37262.69,0.275
17310,Hackney,Drug Offences,E01033708,3766,265.7,2.1155045246220375e-06,49765.61,0.271
29167,Kingston upon Thames,Drug Offences,E01002968,5874,310.9,3.5648179094398433e-06,50427.98,0.247
42174,Tower Hamlets,Drug Offences,E01035668,4142,161.6,5.825270023692888e-06,23335.04,0.216
35002,Newham,Drug Offences,E01034200,3146,211.1,5.961155844750566e-06,28498.5,0.207
17309,Hackney,Drug Offences,E01033706,2854,192.3,7.811259840449394e-06,25652.82,0.204
10089,Croydon,Drug Offences,E01034145,2660,209.0,5.533596829195894e-06,27211.8,0.198
46883,Westminster,Drug Offences,E01004761,2434,169.4,7.98242162197906e-06,22564.08,0.198
8431,Camden,Drug Offences,E01000858,3984,228.3,5.816907564295544e-06,35295.18,0.189
30177,Lambeth,Drug Offences,E01003013,3868,99.5,7.198957746415806e-06,12477.3,0.189
8430,Camden,Drug Offences,E01000856,3150,172.7,1.0133178952325358e-05,23331.77,0.187
8513,Camden,Drug Offences,E01000947,3312,171.2,6.670963567719906e-06,23916.64,0.186
8435,Camden,Drug Offences,E01000862,3424,146.7,8.335767863802689e-06,20024.55,0.186
22618,Havering,Drug Offences,E01002356,4214,232.3,5.851721211525613e-06,27272.02,0.18
36658,Redbridge,Drug Offences,E01003690,4324,110.1,1.1550996413207695e-05,13002.81,0.177
40922,Sutton,Drug Offences,E01034156,2706,172.8,9.211601333906196e-06,23051.52,0.175
8429,Camden,Drug Offences,E01000855,2654,119.5,1.168905527921395e-05,13491.55,0.175
30266,Lambeth,Drug Offences,E01003102,3542,143.7,8.216191125300876e-06,18221.16,0.175
34977,Newham,Drug Offences,E01003619,4946,117.9,6.877181265669701e-06,13134.06,0.173
9911,Croydon,Drug Offences,E01001013,4370,171.5,1.0192419840287227e-05,19996.9,0.17
338,Barking and Dagenham,Drug Offences,E01034473,2588,187.7,8.110564447352099e-06,20684.54,0.17
6900,Bromley,Drug Offences,E01034386,2448,201.6,8.673469361203666e-06,22599.36,0.167
18612,Hammersmith and Fulham,Drug Offences,E01001898,4200,150.1,8.744170534759806e-06,17336.55,0.165
18652,Hammersmith and Fulham,Drug Offences,E01001943,4450,210.2,7.560826432806474e-06,22554.46,0.164
39315,Southwark,Drug Offences,E01004010,2982,119.9,1.1304875291907426e-05,13668.6,0.164
42134,Tower Hamlets,Drug Offences,E01004315,3234,115.3,1.753035573930173e-05,11622.24,0.156
36657,Redbridge,Drug Offences,E01003689,4460,147.9,1.2062204256614373e-05,14124.45,0.148
30350,Lambeth,Drug Offences,E01032582,4562,110.0,1.4811688341696406e-05,11253.0,0.147
22648,Havering,Drug Offences,E01032741,2968,119.1,1.6613489931203373e-05,11076.3,0.14
6746,Bromley,Drug Offences,E01000676,4092,101.8,1.7476723276569635e-05,9905.14,0.138
17303,Hackney,Drug Offences,E01033699,2818,135.1,1.604509467440203e-05,12064.43,0.138
26954,Islington,Drug Offences,E01002695,2966,178.1,1.1895403903800346e-05,18077.15,0.137
18650,Hammersmith and Fulham,Drug Offences,E01001941,3092,137.2,1.7335725409182493e-05,12992.84,0.131
39381,Southwark,Drug Offences,E01032639,3820,134.6,1.7737741566533125e-05,11764.04,0.129
42092,Tower Hamlets,Drug Offences,E01004259,3504,124.1,1.3445378151260504e-05,10188.61,0.127
10087,Croydon,Drug Offences,E01034143,2622,116.9,2.039038825644135e-05,9889.74,0.127
24088,Hillingdon,Drug Offences,E01002506,4108,71.7,1.7904463074157636e-05,5750.34,0.124
26991,Islington,Drug Offences,E01002734,4726,79.5,2.286405433413872e-05,6415.65,0.123
25683,Hounslow,Drug Offences,E01034036,3640,93.7,2.2851403107000164e-05,7449.15,0.122
5101,Brent,Drug Offences,E01033485,3294,91.1,2.2598792429006798e-05,7288.0,0.122
19806,Haringey,Drug Offences,E01002034,4942,102.7,2.4060369777567416e-05,8185.19,0.119
18572,Hammersmith and Fulham,Drug Offences,E01001857,3102,99.6,1.9465361272822846e-05,7689.12,0.119
36744,Redbridge,Drug Offences,E01003783,5098,121.3,1.8273056215979337e-05,10152.81,0.118
32034,Lewisham,Drug Offences,E01003303,3486,91.8,2.373366029456653e-05,7123.68,0.117
36767,Redbridge,Drug Offences,E01034484,3402,97.2,2.9166666909722225e-05,7085.88,0.112
10093,Croydon,Drug Offences,E01034149,4222,98.5,2.8575296033637467e-05,7013.2,0.11
43713,Waltham Forest,Drug Offences,E01004397,5792,100.8,2.8730158593348453e-05,7096.32,0.109
45318,Wandsworth,Drug Offences,E01035493,3308,104.9,3.1534794672537017e-05,7259.08,0.107
25629,Hounslow,Drug Offences,E01002645,4518,80.3,3.309647619501198e-05,5572.82,0.107
29163,Kingston upon Thames,Drug Offences,E01002964,5020,88.2,2.2766439799852944e-05,6244.56,0.107
4984,Brent,Drug Offences,E01000521,4582,130.4,1.5971834883043206e-05,12062.0,0.104
9938,Croydon,Drug Offences,E01001042,4322,114.6,2.5142524801780735e-05,7746.96,0.104
39368,Southwark,Drug Offences,E01004067,4424,82.2,2.6909975904807574e-05,6132.12,0.104
