,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
26051,Hounslow,E01002641,Drug Offences,5456,58.7,1.00088,2436.05
10724,Croydon,E01001118,Drug Offences,4298,86.4,1.00071,4363.2
21513,Harrow,E01002179,Drug Offences,5216,60.1,1.00066,2764.6
42544,Tower Hamlets,E01004309,Drug Offences,5686,73.5,1.00062,3689.7
8823,Camden,E01000915,Drug Offences,2992,73.9,1.00058,3791.07
1014,Barking and Dagenham,E01033587,Drug Offences,4890,94.1,1.00053,5373.11
21061,Harrow,E01002129,Drug Offences,5382,62.3,1.00049,3195.99
32758,Lewisham,E01003318,Drug Offences,4152,108.4,1.00048,6699.12
5056,Brent,E01000524,Drug Offences,4768,75.3,1.00048,4141.5
17878,Hackney,E01001830,Drug Offences,3834,84.5,1.00048,4816.5
5133,Brent,E01000533,Drug Offences,4328,65.6,1.00047,3463.68
9398,Camden,E01035711,Drug Offences,4800,61.3,1.00046,3199.86
26534,Hounslow,E01033083,Drug Offences,4356,71.0,1.00045,3905.0
39048,Southwark,E01003929,Drug Offences,3962,83.1,1.00045,4811.49
5046,Brent,E01000523,Drug Offences,4592,76.0,1.00045,4294.0
31678,Lewisham,E01003199,Drug Offences,3932,127.0,1.00043,8559.8
4904,Brent,E01000508,Drug Offences,5316,63.8,1.00043,3432.44
35321,Newham,E01003570,Drug Offences,3872,93.3,1.00042,5765.94
33189,Lewisham,E01033327,Drug Offences,4338,86.8,1.0004,5303.48
10039,Croydon,E01001042,Drug Offences,4322,114.6,1.00039,7746.96
30195,Lambeth,E01003052,Drug Offences,4432,64.6,1.00039,3611.14
13900,Enfield,E01001429,Drug Offences,4588,103.3,1.00037,6879.78
5076,Brent,E01000526,Drug Offences,4380,99.0,1.00037,6494.4
6007,Brent,E01000631,Drug Offences,4132,91.1,1.00037,5821.29
23226,Havering,E01002353,Drug Offences,4120,111.8,1.00037,7580.04
13072,Ealing,E01001351,Drug Offences,3986,97.0,1.00036,6382.6
47279,Westminster,E01004733,Drug Offences,4232,74.5,1.00035,4522.15
46471,Wandsworth,E01035493,Drug Offences,3308,104.9,1.00033,7259.08
47299,Westminster,E01004735,Drug Offences,4088,81.7,1.00033,5196.12
39355,Southwark,E01003969,Drug Offences,4776,82.4,1.00032,5331.28
13169,Ealing,E01001361,Drug Offences,4542,89.9,1.0003,6095.22
44027,Waltham Forest,E01004397,Drug Offences,5792,100.8,1.0003,7096.32
35887,Newham,E01003636,Drug Offences,4378,81.8,1.0003,5366.08
11582,Croydon,E01034149,Drug Offences,4222,98.5,1.00029,7013.2
20034,Haringey,E01002026,Drug Offences,3560,87.7,1.00028,6024.99
