,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
14339,Drug Offences,E01004734,Westminster,1337.1,824.9,1.62
14341,Drug Offences,E01004736,Westminster,733.5,441.3,1.66
10760,Drug Offences,E01000863,Camden,706.6,451.5,1.57
14363,Drug Offences,E01004763,Westminster,697.1,445.6,1.56
14839,Drug Offences,E01035716,Westminster,650.0,417.0,1.56
14616,Drug Offences,E01034150,Croydon,375.9,246.3,1.53
12791,Drug Offences,E01003047,Lambeth,368.2,190.1,1.94
12715,Drug Offences,E01002968,Kingston upon Thames,310.9,161.2,1.93
14844,Drug Offences,E01035721,Westminster,279.8,388.3,0.72
10812,Drug Offences,E01000919,Camden,276.6,235.6,1.17
14841,Drug Offences,E01035718,Westminster,268.1,219.9,1.22
14492,Drug Offences,E01033708,Hackney,265.7,186.3,1.43
14669,Drug Offences,E01034220,Newham,257.0,238.3,1.08
14524,Drug Offences,E01033862,Lambeth,256.5,234.5,1.09
12152,Drug Offences,E01002356,Havering,232.3,116.4,2.0
10755,Drug Offences,E01000858,Camden,228.3,153.6,1.49
14649,Drug Offences,E01034200,Newham,211.1,134.0,1.58
11756,Drug Offences,E01001943,Hammersmith and Fulham,210.2,106.3,1.98
14611,Drug Offences,E01034145,Croydon,209.0,129.2,1.62
14536,Drug Offences,E01033874,Southwark,206.9,179.1,1.16
14332,Drug Offences,E01004727,Westminster,204.4,197.4,1.04
14683,Drug Offences,E01034386,Bromley,201.6,111.1,1.81
14491,Drug Offences,E01033706,Hackney,192.3,132.4,1.45
14697,Drug Offences,E01034473,Barking and Dagenham,187.7,109.2,1.72
12457,Drug Offences,E01002695,Islington,178.1,100.5,1.77
13886,Drug Offences,E01004234,Tower Hamlets,176.6,708.3,0.25
11736,Drug Offences,E01001920,Hammersmith and Fulham,175.0,250.1,0.7
13939,Drug Offences,E01004307,Tower Hamlets,173.0,228.5,0.76
14622,Drug Offences,E01034156,Sutton,172.8,132.4,1.31
10754,Drug Offences,E01000856,Camden,172.7,134.1,1.29
10898,Drug Offences,E01001013,Croydon,171.5,115.6,1.48
10837,Drug Offences,E01000947,Camden,171.2,138.7,1.23
14361,Drug Offences,E01004761,Westminster,169.4,132.2,1.28
11731,Drug Offences,E01001915,Hammersmith and Fulham,167.8,216.3,0.78
14546,Drug Offences,E01033884,Southwark,166.5,176.3,0.94
14793,Drug Offences,E01035668,Tower Hamlets,161.6,143.4,1.13
14503,Drug Offences,E01033735,Greenwich,158.4,121.4,1.3
12231,Drug Offences,E01002444,Hillingdon,158.1,72.6,2.18
14352,Drug Offences,E01004750,Westminster,155.2,154.8,1.0
12603,Drug Offences,E01002850,Kensington and Chelsea,153.2,160.4,0.96
11716,Drug Offences,E01001898,Hammersmith and Fulham,150.1,114.5,1.31
11779,Drug Offences,E01001966,Haringey,149.0,245.6,0.61
13397,Drug Offences,E01003689,Redbridge,147.9,94.5,1.57
