,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
12231,Drug Offences,E01002444,Hillingdon,158.1,72.6,2.18
12152,Drug Offences,E01002356,Havering,232.3,116.4,2.0
11756,Drug Offences,E01001943,Hammersmith and Fulham,210.2,106.3,1.98
12791,Drug Offences,E01003047,Lambeth,368.2,190.1,1.94
12715,Drug Offences,E01002968,Kingston upon Thames,310.9,161.2,1.93
12940,Drug Offences,E01003199,Lewisham,127.0,66.4,1.91
14683,Drug Offences,E01034386,Bromley,201.6,111.1,1.81
13049,Drug Offences,E01003318,Lewisham,108.4,60.8,1.78
12457,Drug Offences,E01002695,Islington,178.1,100.5,1.77
10994,Drug Offences,E01001118,Croydon,86.4,49.5,1.75
10925,Drug Offences,E01001042,Croydon,114.6,66.6,1.72
14697,Drug Offences,E01034473,Barking and Dagenham,187.7,109.2,1.72
14470,Drug Offences,E01033587,Barking and Dagenham,94.1,56.1,1.68
12149,Drug Offences,E01002353,Havering,111.8,66.8,1.67
14341,Drug Offences,E01004736,Westminster,733.5,441.3,1.66
14339,Drug Offences,E01004734,Westminster,1337.1,824.9,1.62
14611,Drug Offences,E01034145,Croydon,209.0,129.2,1.62
14649,Drug Offences,E01034200,Newham,211.1,134.0,1.58
11295,Drug Offences,E01001429,Enfield,103.3,65.6,1.57
10760,Drug Offences,E01000863,Camden,706.6,451.5,1.57
13397,Drug Offences,E01003689,Redbridge,147.9,94.5,1.57
14363,Drug Offences,E01004763,Westminster,697.1,445.6,1.56
14391,Drug Offences,E01032639,Southwark,134.6,86.4,1.56
14839,Drug Offences,E01035716,Westminster,650.0,417.0,1.56
14757,Drug Offences,E01035493,Wandsworth,104.9,68.2,1.54
10461,Drug Offences,E01000526,Brent,99.0,64.6,1.53
14485,Drug Offences,E01033699,Hackney,135.1,88.3,1.53
13904,Drug Offences,E01004259,Tower Hamlets,124.1,81.1,1.53
14616,Drug Offences,E01034150,Croydon,375.9,246.3,1.53
13288,Drug Offences,E01003570,Newham,93.3,60.8,1.53
11649,Drug Offences,E01001830,Hackney,84.5,56.0,1.51
11220,Drug Offences,E01001351,Ealing,97.0,64.8,1.5
13941,Drug Offences,E01004309,Tower Hamlets,73.5,49.2,1.49
10755,Drug Offences,E01000858,Camden,228.3,153.6,1.49
10898,Drug Offences,E01001013,Croydon,171.5,115.6,1.48
10808,Drug Offences,E01000915,Camden,73.9,50.3,1.47
13484,Drug Offences,E01003783,Redbridge,121.3,82.7,1.47
11754,Drug Offences,E01001941,Hammersmith and Fulham,137.2,93.7,1.46
13618,Drug Offences,E01003929,Southwark,83.1,56.9,1.46
10556,Drug Offences,E01000631,Brent,91.1,62.9,1.45
12411,Drug Offences,E01002641,Hounslow,58.7,40.5,1.45
14491,Drug Offences,E01033706,Hackney,192.3,132.4,1.45
10992,Drug Offences,E01001115,Croydon,54.4,37.5,1.45
14024,Drug Offences,E01004397,Waltham Forest,100.8,69.4,1.45
14447,Drug Offences,E01033327,Lewisham,86.8,60.1,1.44
10456,Drug Offences,E01000521,Brent,130.4,91.5,1.43
14492,Drug Offences,E01033708,Hackney,265.7,186.3,1.43
11518,Drug Offences,E01001677,Greenwich,58.8,41.7,1.41
14615,Drug Offences,E01034149,Croydon,98.5,70.2,1.4
14609,Drug Offences,E01034143,Croydon,116.9,83.6,1.4
10459,Drug Offences,E01000524,Brent,75.3,54.0,1.39
10797,Drug Offences,E01000904,Camden,59.4,43.3,1.37
13869,Drug Offences,E01004211,Tower Hamlets,103.8,75.6,1.37
10458,Drug Offences,E01000523,Brent,76.0,55.5,1.37
14471,Drug Offences,E01033589,Redbridge,107.6,79.4,1.36
11937,Drug Offences,E01002130,Harrow,41.2,30.3,1.36
14588,Drug Offences,E01034030,Ealing,90.0,66.4,1.36
14708,Drug Offences,E01034484,Redbridge,97.2,71.9,1.35
11230,Drug Offences,E01001361,Ealing,89.9,66.8,1.35
11984,Drug Offences,E01002179,Harrow,60.1,45.0,1.34
14505,Drug Offences,E01033737,Greenwich,74.4,56.1,1.33
14614,Drug Offences,E01034148,Croydon,80.1,60.1,1.33
14429,Drug Offences,E01033083,Hounslow,71.0,54.0,1.31
11716,Drug Offences,E01001898,Hammersmith and Fulham,150.1,114.5,1.31
14340,Drug Offences,E01004735,Westminster,81.7,62.6,1.31
14622,Drug Offences,E01034156,Sutton,172.8,132.4,1.31
11676,Drug Offences,E01001857,Hammersmith and Fulham,99.6,76.2,1.31
11840,Drug Offences,E01002029,Haringey,70.0,53.4,1.31
10303,Drug Offences,E01000360,Bexley,78.2,59.8,1.31
11589,Drug Offences,E01001760,Hackney,56.5,43.2,1.31
14503,Drug Offences,E01033735,Greenwich,158.4,121.4,1.3
11845,Drug Offences,E01002034,Haringey,102.7,78.7,1.3
11837,Drug Offences,E01002026,Haringey,87.7,67.7,1.3
13870,Drug Offences,E01004212,Tower Hamlets,45.1,34.7,1.3
14395,Drug Offences,E01032741,Havering,119.1,92.0,1.29
13650,Drug Offences,E01003969,Southwark,82.4,63.7,1.29
13239,Drug Offences,E01003521,Newham,69.7,54.1,1.29
10754,Drug Offences,E01000856,Camden,172.7,134.1,1.29
14795,Drug Offences,E01035670,Tower Hamlets,31.1,24.3,1.28
14554,Drug Offences,E01033917,Barnet,70.6,55.1,1.28
13622,Drug Offences,E01003934,Southwark,58.1,45.4,1.28
14361,Drug Offences,E01004761,Westminster,169.4,132.2,1.28
14047,Drug Offences,E01004420,Waltham Forest,51.8,40.4,1.28
10467,Drug Offences,E01000533,Brent,65.6,51.8,1.27
13346,Drug Offences,E01003636,Newham,81.8,64.6,1.27
12472,Drug Offences,E01002711,Islington,62.1,49.2,1.26
10305,Drug Offences,E01000362,Bexley,71.1,56.5,1.26
13945,Drug Offences,E01004313,Tower Hamlets,46.7,37.1,1.26
12711,Drug Offences,E01002964,Kingston upon Thames,88.2,69.8,1.26
13649,Drug Offences,E01003966,Southwark,47.5,38.1,1.25
14458,Drug Offences,E01033491,Islington,54.2,43.4,1.25
14338,Drug Offences,E01004733,Westminster,74.5,59.7,1.25
13862,Drug Offences,E01004203,Tower Hamlets,53.1,42.4,1.25
11936,Drug Offences,E01002129,Harrow,62.3,50.3,1.24
13997,Drug Offences,E01004370,Waltham Forest,60.8,48.9,1.24
10837,Drug Offences,E01000947,Camden,171.2,138.7,1.23
14691,Drug Offences,E01034394,Lewisham,101.3,82.3,1.23
11890,Drug Offences,E01002081,Haringey,61.7,50.4,1.22
11417,Drug Offences,E01001558,Enfield,57.0,46.8,1.22
10758,Drug Offences,E01000861,Camden,107.0,87.5,1.22
14841,Drug Offences,E01035718,Westminster,268.1,219.9,1.22
14019,Drug Offences,E01004392,Waltham Forest,70.1,57.5,1.22
13627,Drug Offences,E01003939,Southwark,61.0,50.1,1.22
12954,Drug Offences,E01003215,Lewisham,53.1,43.6,1.22
10567,Drug Offences,E01000643,Brent,52.7,43.2,1.22
14833,Drug Offences,E01035710,Camden,47.5,39.2,1.21
12527,Drug Offences,E01002770,Islington,40.2,33.1,1.21
10443,Drug Offences,E01000508,Brent,63.8,52.8,1.21
11029,Drug Offences,E01001155,Croydon,60.4,49.9,1.21
10896,Drug Offences,E01001011,Croydon,55.0,45.5,1.21
12789,Drug Offences,E01003045,Lambeth,58.7,49.1,1.2
14834,Drug Offences,E01035711,Camden,61.3,51.2,1.2
13036,Drug Offences,E01003303,Lewisham,91.8,76.6,1.2
12491,Drug Offences,E01002730,Islington,51.8,43.0,1.2
14450,Drug Offences,E01033456,Brent,54.6,45.5,1.2
14364,Drug Offences,E01004765,Westminster,70.4,58.6,1.2
14569,Drug Offences,E01033932,Brent,58.8,49.3,1.19
14594,Drug Offences,E01034036,Hounslow,93.7,78.5,1.19
11291,Drug Offences,E01001425,Enfield,76.8,64.8,1.19
13329,Drug Offences,E01003618,Newham,50.2,42.4,1.18
12796,Drug Offences,E01003052,Lambeth,64.6,54.9,1.18
13271,Drug Offences,E01003553,Newham,49.5,41.8,1.18
10830,Drug Offences,E01000938,Camden,60.6,51.5,1.18
12917,Drug Offences,E01003176,Lambeth,73.6,62.2,1.18
13864,Drug Offences,E01004205,Tower Hamlets,61.5,52.7,1.17
10812,Drug Offences,E01000919,Camden,276.6,235.6,1.17
14449,Drug Offences,E01033455,Brent,136.8,116.7,1.17
12413,Drug Offences,E01002645,Hounslow,80.3,68.4,1.17
14830,Drug Offences,E01035707,Camden,39.2,33.5,1.17
14476,Drug Offences,E01033594,Westminster,94.2,80.6,1.17
14399,Drug Offences,E01032764,Tower Hamlets,33.0,28.5,1.16
11940,Drug Offences,E01002133,Harrow,56.3,48.6,1.16
12795,Drug Offences,E01003051,Lambeth,62.5,54.1,1.16
12285,Drug Offences,E01002505,Hillingdon,77.2,66.5,1.16
13946,Drug Offences,E01004315,Tower Hamlets,115.3,99.8,1.16
13884,Drug Offences,E01004232,Tower Hamlets,67.7,58.2,1.16
14536,Drug Offences,E01033874,Southwark,206.9,179.1,1.16
12574,Drug Offences,E01002818,Kensington and Chelsea,86.5,74.9,1.15
10844,Drug Offences,E01000956,Camden,68.5,59.8,1.15
10831,Drug Offences,E01000939,Camden,83.6,72.4,1.15
10987,Drug Offences,E01001110,Croydon,34.0,29.6,1.15
11579,Drug Offences,E01001747,Hackney,42.2,36.6,1.15
11203,Drug Offences,E01001333,Ealing,57.1,49.6,1.15
13683,Drug Offences,E01004008,Southwark,47.5,41.3,1.15
12764,Drug Offences,E01003020,Lambeth,59.6,52.0,1.15
10527,Drug Offences,E01000601,Brent,64.4,56.2,1.15
12820,Drug Offences,E01003076,Lambeth,31.1,27.1,1.15
14453,Drug Offences,E01033485,Brent,91.1,79.0,1.15
12927,Drug Offences,E01003186,Lambeth,41.8,36.5,1.15
13213,Drug Offences,E01003491,Newham,52.2,45.3,1.15
13911,Drug Offences,E01004270,Tower Hamlets,56.2,49.4,1.14
12458,Drug Offences,E01002696,Islington,60.5,52.9,1.14
