,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
14339,Drug Offences,E01004734,Westminster,1337.1,824.9,1.62
13886,Drug Offences,E01004234,Tower Hamlets,176.6,708.3,0.25
10760,Drug Offences,E01000863,Camden,706.6,451.5,1.57
14363,Drug Offences,E01004763,Westminster,697.1,445.6,1.56
14341,Drug Offences,E01004736,Westminster,733.5,441.3,1.66
14839,Drug Offences,E01035716,Westminster,650.0,417.0,1.56
14844,Drug Offences,E01035721,Westminster,279.8,388.3,0.72
11815,Drug Offences,E01002002,Haringey,110.0,295.8,0.37
11610,Drug Offences,E01001786,Hackney,43.5,266.7,0.16
11736,Drug Offences,E01001920,Hammersmith and Fulham,175.0,250.1,0.7
14616,Drug Offences,E01034150,Croydon,375.9,246.3,1.53
11779,Drug Offences,E01001966,Haringey,149.0,245.6,0.61
14669,Drug Offences,E01034220,Newham,257.0,238.3,1.08
10812,Drug Offences,E01000919,Camden,276.6,235.6,1.17
14524,Drug Offences,E01033862,Lambeth,256.5,234.5,1.09
13661,Drug Offences,E01003984,Southwark,111.9,231.8,0.48
13939,Drug Offences,E01004307,Tower Hamlets,173.0,228.5,0.76
14288,Drug Offences,E01004679,Westminster,75.5,221.9,0.34
14841,Drug Offences,E01035718,Westminster,268.1,219.9,1.22
11731,Drug Offences,E01001915,Hammersmith and Fulham,167.8,216.3,0.78
12637,Drug Offences,E01002884,Kensington and Chelsea,102.8,213.7,0.48
13938,Drug Offences,E01004306,Tower Hamlets,133.3,203.4,0.66
14332,Drug Offences,E01004727,Westminster,204.4,197.4,1.04
12791,Drug Offences,E01003047,Lambeth,368.2,190.1,1.94
12605,Drug Offences,E01002852,Kensington and Chelsea,114.2,188.7,0.61
14492,Drug Offences,E01033708,Hackney,265.7,186.3,1.43
12636,Drug Offences,E01002883,Kensington and Chelsea,93.9,180.7,0.52
14536,Drug Offences,E01033874,Southwark,206.9,179.1,1.16
14546,Drug Offences,E01033884,Southwark,166.5,176.3,0.94
11548,Drug Offences,E01001714,Hackney,31.9,175.8,0.18
14579,Drug Offences,E01033942,Brent,98.6,172.9,0.57
14301,Drug Offences,E01004695,Westminster,138.4,171.1,0.81
12799,Drug Offences,E01003055,Lambeth,141.6,166.2,0.85
14326,Drug Offences,E01004721,Westminster,67.4,166.2,0.41
12715,Drug Offences,E01002968,Kingston upon Thames,310.9,161.2,1.93
12603,Drug Offences,E01002850,Kensington and Chelsea,153.2,160.4,0.96
14352,Drug Offences,E01004750,Westminster,155.2,154.8,1.0
11489,Drug Offences,E01001642,Greenwich,87.5,154.5,0.57
12585,Drug Offences,E01002831,Kensington and Chelsea,96.4,154.1,0.63
10755,Drug Offences,E01000858,Camden,228.3,153.6,1.49
14794,Drug Offences,E01035669,Tower Hamlets,147.8,150.0,0.99
13659,Drug Offences,E01003981,Southwark,141.8,144.0,0.98
14793,Drug Offences,E01035668,Tower Hamlets,161.6,143.4,1.13
14638,Drug Offences,E01034188,Greenwich,111.2,142.0,0.78
10837,Drug Offences,E01000947,Camden,171.2,138.7,1.23
10759,Drug Offences,E01000862,Camden,146.7,135.5,1.08
10754,Drug Offences,E01000856,Camden,172.7,134.1,1.29
14649,Drug Offences,E01034200,Newham,211.1,134.0,1.58
12609,Drug Offences,E01002856,Kensington and Chelsea,117.2,133.3,0.88
14622,Drug Offences,E01034156,Sutton,172.8,132.4,1.31
14491,Drug Offences,E01033706,Hackney,192.3,132.4,1.45
12805,Drug Offences,E01003061,Lambeth,115.3,132.4,0.87
14361,Drug Offences,E01004761,Westminster,169.4,132.2,1.28
14637,Drug Offences,E01034187,Greenwich,141.3,132.2,1.07
11842,Drug Offences,E01002031,Haringey,102.1,130.9,0.78
13877,Drug Offences,E01004222,Tower Hamlets,33.9,130.5,0.26
12583,Drug Offences,E01002829,Kensington and Chelsea,48.0,129.2,0.37
14611,Drug Offences,E01034145,Croydon,209.0,129.2,1.62
12846,Drug Offences,E01003102,Lambeth,143.7,125.8,1.14
12757,Drug Offences,E01003013,Lambeth,99.5,124.4,0.8
14503,Drug Offences,E01033735,Greenwich,158.4,121.4,1.3
14629,Drug Offences,E01034179,Greenwich,106.8,120.6,0.89
12635,Drug Offences,E01002882,Kensington and Chelsea,36.9,120.2,0.31
12485,Drug Offences,E01002724,Islington,89.0,117.9,0.75
14366,Drug Offences,E01032513,Westminster,57.1,117.2,0.49
13398,Drug Offences,E01003690,Redbridge,110.1,117.1,0.94
14449,Drug Offences,E01033455,Brent,136.8,116.7,1.17
12152,Drug Offences,E01002356,Havering,232.3,116.4,2.0
14545,Drug Offences,E01033883,Southwark,79.3,116.1,0.68
10898,Drug Offences,E01001013,Croydon,171.5,115.6,1.48
9977,Drug Offences,E01000013,Barking and Dagenham,109.8,115.2,0.95
11716,Drug Offences,E01001898,Hammersmith and Fulham,150.1,114.5,1.31
13684,Drug Offences,E01004010,Southwark,119.9,113.0,1.06
10753,Drug Offences,E01000855,Camden,119.5,111.9,1.07
14683,Drug Offences,E01034386,Bromley,201.6,111.1,1.81
12607,Drug Offences,E01002854,Kensington and Chelsea,104.6,110.8,0.94
13330,Drug Offences,E01003619,Newham,117.9,110.4,1.07
12617,Drug Offences,E01002864,Kensington and Chelsea,92.0,110.4,0.83
12624,Drug Offences,E01002871,Kensington and Chelsea,73.6,109.6,0.67
14697,Drug Offences,E01034473,Barking and Dagenham,187.7,109.2,1.72
12575,Drug Offences,E01002819,Kensington and Chelsea,93.1,108.5,0.86
11685,Drug Offences,E01001866,Hammersmith and Fulham,41.5,108.0,0.38
12584,Drug Offences,E01002830,Kensington and Chelsea,71.7,107.9,0.66
14357,Drug Offences,E01004755,Westminster,53.9,107.4,0.5
