,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
44028,Waltham Forest,E01004397,Fraud and Forgery,2896,21.3,49.3,0.43
13503,Ealing,E01034030,Fraud and Forgery,1834,41.1,95.1,0.43
1064,Barking and Dagenham,E01034473,Fraud and Forgery,1294,50.5,124.5,0.41
23579,Havering,E01032741,Fraud and Forgery,1484,25.0,61.7,0.41
26535,Hounslow,E01033083,Fraud and Forgery,2178,29.4,74.5,0.39
8854,Camden,E01000918,Fraud and Forgery,1805,20.2,55.1,0.37
28906,Kensington and Chelsea,E01035713,Fraud and Forgery,2039,16.7,47.8,0.35
10539,Croydon,E01001097,Fraud and Forgery,2419,13.4,39.9,0.34
47046,Westminster,E01004709,Fraud and Forgery,1733,10.5,31.2,0.34
1834,Barnet,E01000193,Fraud and Forgery,1935,12.5,37.9,0.33
28776,Kensington and Chelsea,E01002902,Fraud and Forgery,1235,22.4,67.1,0.33
35731,Newham,E01003619,Fraud and Forgery,2473,17.8,54.0,0.33
28429,Kensington and Chelsea,E01002865,Fraud and Forgery,1445,14.7,45.3,0.32
35524,Newham,E01003591,Fraud and Forgery,2251,7.3,22.5,0.32
26723,Islington,E01002696,Fraud and Forgery,1788,21.7,68.1,0.32
5258,Brent,E01000548,Fraud and Forgery,1934,9.7,30.3,0.32
35888,Newham,E01003636,Fraud and Forgery,2189,7.3,23.5,0.31
8295,Camden,E01000858,Fraud and Forgery,1992,6.2,20.6,0.3
35380,Newham,E01003576,Fraud and Forgery,1819,11.0,36.2,0.3
27049,Islington,E01002730,Fraud and Forgery,1770,6.3,21.7,0.29
5616,Brent,E01000586,Fraud and Forgery,2370,5.0,17.1,0.29
32191,Lewisham,E01003255,Fraud and Forgery,1951,5.7,20.4,0.28
34940,Newham,E01003531,Fraud and Forgery,2276,7.0,25.9,0.27
1004,Barking and Dagenham,E01032580,Fraud and Forgery,1576,6.3,23.6,0.27
43334,Tower Hamlets,E01035705,Fraud and Forgery,1436,8.6,32.3,0.27
41110,Sutton,E01004137,Fraud and Forgery,2568,3.0,11.2,0.27
18485,Hammersmith and Fulham,E01001866,Fraud and Forgery,1502,6.3,23.2,0.27
25374,Hounslow,E01002570,Fraud and Forgery,1631,5.0,18.2,0.27
41779,Tower Hamlets,E01004205,Fraud and Forgery,2251,4.4,16.5,0.27
17041,Hackney,E01001731,Fraud and Forgery,2665,6.4,23.5,0.27
44694,Waltham Forest,E01004468,Fraud and Forgery,1814,6.2,22.8,0.27
18076,Hackney,E01001850,Fraud and Forgery,1822,4.5,17.3,0.26
31375,Lambeth,E01003175,Fraud and Forgery,1564,6.4,24.7,0.26
1220,Barnet,E01000124,Fraud and Forgery,1875,6.6,26.7,0.25
11198,Croydon,E01001167,Fraud and Forgery,2331,3.3,13.2,0.25
8695,Camden,E01000902,Fraud and Forgery,1431,5.3,21.5,0.25
41986,Tower Hamlets,E01004233,Fraud and Forgery,2212,3.7,15.1,0.25
17701,Hackney,E01001809,Fraud and Forgery,1927,3.1,12.2,0.25
11882,Ealing,E01001224,Fraud and Forgery,1551,4.2,17.4,0.24
10481,Croydon,E01001091,Fraud and Forgery,1593,4.1,16.9,0.24
11058,Croydon,E01001153,Fraud and Forgery,1635,6.1,25.5,0.24
20909,Harrow,E01002111,Fraud and Forgery,2183,5.7,23.5,0.24
32779,Lewisham,E01003320,Fraud and Forgery,1571,5.2,22.4,0.23
27686,Islington,E01002799,Fraud and Forgery,1933,2.7,11.6,0.23
37951,Richmond upon Thames,E01003808,Fraud and Forgery,1853,4.1,17.6,0.23
31815,Lewisham,E01003214,Fraud and Forgery,1782,3.6,16.3,0.22
44900,Wandsworth,E01004486,Fraud and Forgery,1459,4.0,17.8,0.22
33927,Merton,E01003423,Fraud and Forgery,1661,2.8,12.8,0.22
28545,Kensington and Chelsea,E01002877,Fraud and Forgery,2230,2.6,11.7,0.22
3164,Barnet,E01033922,Fraud and Forgery,1657,2.5,12.0,0.21
24283,Hillingdon,E01002463,Fraud and Forgery,1460,4.4,21.3,0.21
13532,Enfield,E01001391,Fraud and Forgery,1753,6.0,29.1,0.21
10550,Croydon,E01001098,Fraud and Forgery,1477,2.8,13.5,0.21
28806,Kensington and Chelsea,E01002905,Fraud and Forgery,1673,3.2,14.9,0.21
21910,Harrow,E01002225,Fraud and Forgery,1754,2.3,11.4,0.2
17762,Hackney,E01001816,Fraud and Forgery,1566,3.0,15.2,0.2
45584,Wandsworth,E01004558,Fraud and Forgery,1835,2.2,10.9,0.2
15292,Greenwich,E01001571,Fraud and Forgery,1807,2.0,10.2,0.2
46864,Westminster,E01004687,Fraud and Forgery,1345,6.1,32.8,0.19
7083,Bromley,E01000729,Fraud and Forgery,1947,3.3,17.8,0.19
38305,Richmond upon Thames,E01003847,Fraud and Forgery,1671,2.1,11.1,0.19
3717,Bexley,E01000381,Fraud and Forgery,1623,2.5,14.0,0.18
17721,Hackney,E01001812,Fraud and Forgery,1805,2.3,12.6,0.18
25079,Hillingdon,E01034601,Fraud and Forgery,1475,2.8,15.4,0.18
22451,Havering,E01002270,Fraud and Forgery,1762,2.3,12.9,0.18
7062,Bromley,E01000727,Fraud and Forgery,1661,2.5,13.7,0.18
3765,Bexley,E01000386,Fraud and Forgery,1510,1.9,11.2,0.17
11467,Croydon,E01001194,Fraud and Forgery,1601,1.5,9.5,0.16
41331,Sutton,E01004161,Fraud and Forgery,1515,1.6,10.0,0.16
36162,Newham,E01034219,Fraud and Forgery,1860,1.6,10.8,0.15
36584,Redbridge,E01003670,Fraud and Forgery,1516,1.2,8.7,0.14
3566,Bexley,E01000364,Fraud and Forgery,1699,1.0,7.8,0.13
7158,Bromley,E01000737,Fraud and Forgery,1368,1.3,9.7,0.13
19473,Haringey,E01001965,Fraud and Forgery,1652,0.7,6.5,0.11
