,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
14916,Fraud and Forgery,E01034473,Barking and Dagenham,50.5,124.5,0.41
14914,Fraud and Forgery,E01034030,Ealing,41.1,95.1,0.43
14912,Fraud and Forgery,E01033083,Hounslow,29.4,74.5,0.39
14911,Fraud and Forgery,E01032741,Havering,25.0,61.7,0.41
14885,Fraud and Forgery,E01002902,Kensington and Chelsea,22.4,67.1,0.33
14880,Fraud and Forgery,E01002696,Islington,21.7,68.1,0.32
14904,Fraud and Forgery,E01004397,Waltham Forest,21.3,49.3,0.43
14858,Fraud and Forgery,E01000918,Camden,20.2,55.1,0.37
14895,Fraud and Forgery,E01003619,Newham,17.8,54.0,0.33
14919,Fraud and Forgery,E01035713,Kensington and Chelsea,16.7,47.8,0.35
14883,Fraud and Forgery,E01002865,Kensington and Chelsea,14.7,45.3,0.32
14860,Fraud and Forgery,E01001097,Croydon,13.4,39.9,0.34
14847,Fraud and Forgery,E01000193,Barnet,12.5,37.9,0.33
14893,Fraud and Forgery,E01003576,Newham,11.0,36.2,0.3
14909,Fraud and Forgery,E01004709,Westminster,10.5,31.2,0.34
14851,Fraud and Forgery,E01000548,Brent,9.7,30.3,0.32
14918,Fraud and Forgery,E01035705,Tower Hamlets,8.6,32.3,0.27
14894,Fraud and Forgery,E01003591,Newham,7.3,22.5,0.32
14896,Fraud and Forgery,E01003636,Newham,7.3,23.5,0.31
14892,Fraud and Forgery,E01003531,Newham,7.0,25.9,0.27
14846,Fraud and Forgery,E01000124,Barnet,6.6,26.7,0.25
14868,Fraud and Forgery,E01001731,Hackney,6.4,23.5,0.27
14887,Fraud and Forgery,E01003175,Lambeth,6.4,24.7,0.26
14881,Fraud and Forgery,E01002730,Islington,6.3,21.7,0.29
14910,Fraud and Forgery,E01032580,Barking and Dagenham,6.3,23.6,0.27
14873,Fraud and Forgery,E01001866,Hammersmith and Fulham,6.3,23.2,0.27
14856,Fraud and Forgery,E01000858,Camden,6.2,20.6,0.3
14905,Fraud and Forgery,E01004468,Waltham Forest,6.2,22.8,0.27
14862,Fraud and Forgery,E01001153,Croydon,6.1,25.5,0.24
14908,Fraud and Forgery,E01004687,Westminster,6.1,32.8,0.19
14866,Fraud and Forgery,E01001391,Enfield,6.0,29.1,0.21
14875,Fraud and Forgery,E01002111,Harrow,5.7,23.5,0.24
14889,Fraud and Forgery,E01003255,Lewisham,5.7,20.4,0.28
14857,Fraud and Forgery,E01000902,Camden,5.3,21.5,0.25
14890,Fraud and Forgery,E01003320,Lewisham,5.2,22.4,0.23
14879,Fraud and Forgery,E01002570,Hounslow,5.0,18.2,0.27
14852,Fraud and Forgery,E01000586,Brent,5.0,17.1,0.29
14872,Fraud and Forgery,E01001850,Hackney,4.5,17.3,0.26
14902,Fraud and Forgery,E01004205,Tower Hamlets,4.4,16.5,0.27
14878,Fraud and Forgery,E01002463,Hillingdon,4.4,21.3,0.21
14865,Fraud and Forgery,E01001224,Ealing,4.2,17.4,0.24
14859,Fraud and Forgery,E01001091,Croydon,4.1,16.9,0.24
14898,Fraud and Forgery,E01003808,Richmond upon Thames,4.1,17.6,0.23
14906,Fraud and Forgery,E01004486,Wandsworth,4.0,17.8,0.22
14903,Fraud and Forgery,E01004233,Tower Hamlets,3.7,15.1,0.25
14888,Fraud and Forgery,E01003214,Lewisham,3.6,16.3,0.22
14863,Fraud and Forgery,E01001167,Croydon,3.3,13.2,0.25
14854,Fraud and Forgery,E01000729,Bromley,3.3,17.8,0.19
14886,Fraud and Forgery,E01002905,Kensington and Chelsea,3.2,14.9,0.21
14869,Fraud and Forgery,E01001809,Hackney,3.1,12.2,0.25
14900,Fraud and Forgery,E01004137,Sutton,3.0,11.2,0.27
14871,Fraud and Forgery,E01001816,Hackney,3.0,15.2,0.2
14917,Fraud and Forgery,E01034601,Hillingdon,2.8,15.4,0.18
14861,Fraud and Forgery,E01001098,Croydon,2.8,13.5,0.21
14891,Fraud and Forgery,E01003423,Merton,2.8,12.8,0.22
14882,Fraud and Forgery,E01002799,Islington,2.7,11.6,0.23
14884,Fraud and Forgery,E01002877,Kensington and Chelsea,2.6,11.7,0.22
14849,Fraud and Forgery,E01000381,Bexley,2.5,14.0,0.18
14913,Fraud and Forgery,E01033922,Barnet,2.5,12.0,0.21
14853,Fraud and Forgery,E01000727,Bromley,2.5,13.7,0.18
14877,Fraud and Forgery,E01002270,Havering,2.3,12.9,0.18
14870,Fraud and Forgery,E01001812,Hackney,2.3,12.6,0.18
14876,Fraud and Forgery,E01002225,Harrow,2.3,11.4,0.2
14907,Fraud and Forgery,E01004558,Wandsworth,2.2,10.9,0.2
14899,Fraud and Forgery,E01003847,Richmond upon Thames,2.1,11.1,0.19
14867,Fraud and Forgery,E01001571,Greenwich,2.0,10.2,0.2
14850,Fraud and Forgery,E01000386,Bexley,1.9,11.2,0.17
14901,Fraud and Forgery,E01004161,Sutton,1.6,10.0,0.16
14915,Fraud and Forgery,E01034219,Newham,1.6,10.8,0.15
14864,Fraud and Forgery,E01001194,Croydon,1.5,9.5,0.16
14855,Fraud and Forgery,E01000737,Bromley,1.3,9.7,0.13
14897,Fraud and Forgery,E01003670,Redbridge,1.2,8.7,0.14
14848,Fraud and Forgery,E01000364,Bexley,1.0,7.8,0.13
14874,Fraud and Forgery,E01001965,Haringey,0.7,6.5,0.11
