,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
24105,Hillingdon,E01002444,Miscellaneous Crimes Against Society,1903,3093.6,1990.0,1.55
1392,Barnet,E01000143,Miscellaneous Crimes Against Society,1675,47.8,310.9,0.15
3641,Bexley,E01000372,Miscellaneous Crimes Against Society,1705,48.6,301.3,0.16
26870,Islington,E01002712,Miscellaneous Crimes Against Society,1370,223.7,265.9,0.84
35928,Newham,E01033581,Miscellaneous Crimes Against Society,1936,233.0,255.5,0.91
26626,Hounslow,E01034039,Miscellaneous Crimes Against Society,1719,202.2,237.1,0.85
16272,Greenwich,E01001687,Miscellaneous Crimes Against Society,1639,162.9,161.9,1.01
15061,Enfield,E01001554,Miscellaneous Crimes Against Society,1778,62.5,137.8,0.45
36173,Newham,E01034220,Miscellaneous Crimes Against Society,1188,116.9,132.1,0.88
47290,Westminster,E01004734,Miscellaneous Crimes Against Society,1699,179.3,123.5,1.45
28011,Kensington and Chelsea,E01002819,Miscellaneous Crimes Against Society,1106,102.6,114.7,0.89
25664,Hounslow,E01002601,Miscellaneous Crimes Against Society,1838,52.5,111.8,0.47
31679,Lewisham,E01003199,Miscellaneous Crimes Against Society,1966,39.5,107.0,0.37
19194,Hammersmith and Fulham,E01001943,Miscellaneous Crimes Against Society,2225,128.0,106.2,1.21
44252,Waltham Forest,E01004420,Miscellaneous Crimes Against Society,2237,23.9,104.1,0.23
8814,Camden,E01000914,Miscellaneous Crimes Against Society,1402,71.3,104.1,0.68
47676,Westminster,E01035716,Miscellaneous Crimes Against Society,2201,178.8,103.8,1.72
37117,Redbridge,E01003729,Miscellaneous Crimes Against Society,1748,34.0,96.7,0.35
9884,Croydon,E01001025,Miscellaneous Crimes Against Society,1375,9.0,95.3,0.09
44968,Wandsworth,E01004493,Miscellaneous Crimes Against Society,1916,62.6,93.6,0.67
46143,Wandsworth,E01004622,Miscellaneous Crimes Against Society,1860,71.2,91.1,0.78
25555,Hounslow,E01002589,Miscellaneous Crimes Against Society,2506,71.4,90.0,0.79
29896,Lambeth,E01003021,Miscellaneous Crimes Against Society,2167,77.6,87.0,0.89
47310,Westminster,E01004736,Miscellaneous Crimes Against Society,1547,109.1,86.8,1.26
18572,Hammersmith and Fulham,E01001876,Miscellaneous Crimes Against Society,2359,103.5,83.5,1.24
