,Major Category,Borough,LSOA,Population,Mean,Normalised Deviation,Inverse Normalised Deviation
42260,Vehicle Offences,Tower Hamlets,E01035670,17520,13.6,142.8,0.007
33456,Theft,Bromley,E01000661,11336,21.1,318.61,0.00314
34252,Theft,Enfield,E01001445,11188,22.7,397.25,0.00252
42318,Vehicle Offences,Waltham Forest,E01004348,11716,24.5,396.9,0.00252
36921,Theft,Southwark,E01004004,10448,25.0,415.0,0.00241
37274,Theft,Tower Hamlets,E01035672,12048,25.0,440.0,0.00227
35411,Theft,Hillingdon,E01034607,9072,25.4,452.12,0.00221
39548,Vehicle Offences,Hackney,E01001731,10660,26.3,454.99,0.0022
34560,Theft,Hackney,E01001730,11152,26.8,460.96,0.00217
41650,Vehicle Offences,Redbridge,E01003739,9544,25.5,471.75,0.00212
34901,Theft,Haringey,E01002056,11680,27.2,473.28,0.00211
36434,Theft,Newham,E01003538,8576,26.5,482.3,0.00207
37707,Theft,Westminster,E01004723,8912,26.5,487.6,0.00205
40839,Vehicle Offences,Kingston upon Thames,E01002968,11748,25.8,487.62,0.00205
36221,Theft,Lewisham,E01003340,8276,25.8,495.36,0.00202
37579,Theft,Wandsworth,E01004601,10040,26.0,496.6,0.00201
37813,Vehicle Offences,Barking and Dagenham,E01000060,8676,26.4,498.96,0.002
32883,Theft,Barking and Dagenham,E01034471,10568,26.9,511.1,0.00196
34051,Theft,Ealing,E01001250,8672,27.1,512.19,0.00195
27582,Public Order Offences,Tower Hamlets,E01035670,13140,25.8,516.0,0.00194
41680,Vehicle Offences,Redbridge,E01003770,11456,26.7,520.65,0.00192
37756,Theft,Westminster,E01035715,11152,27.3,540.54,0.00185
40414,Vehicle Offences,Hounslow,E01002559,10296,27.9,544.05,0.00184
35523,Theft,Hounslow,E01002662,9996,28.5,544.35,0.00184
42371,Vehicle Offences,Waltham Forest,E01004401,9340,26.5,553.85,0.00181
34665,Theft,Hackney,E01001848,8092,27.3,559.65,0.00179
36439,Theft,Newham,E01003543,9352,29.4,558.6,0.00179
37204,Theft,Tower Hamlets,E01004286,10196,29.3,565.49,0.00177
35539,Theft,Hounslow,E01002679,7536,28.3,566.0,0.00177
38296,Vehicle Offences,Brent,E01000523,9184,28.9,566.44,0.00177
41422,Vehicle Offences,Newham,E01003538,8576,28.1,570.43,0.00175
40210,Vehicle Offences,Havering,E01002369,8268,28.0,574.0,0.00174
38890,Vehicle Offences,Croydon,E01001113,8064,28.7,579.74,0.00172
37558,Theft,Wandsworth,E01004579,7628,28.5,587.1,0.0017
34350,Theft,Enfield,E01001547,8420,28.4,590.72,0.00169
36047,Theft,Lambeth,E01003164,9000,30.0,597.0,0.00168
33171,Theft,Bexley,E01000385,8032,28.9,609.79,0.00164
34044,Theft,Ealing,E01001243,9468,29.8,610.9,0.00164
34133,Theft,Ealing,E01001333,9856,30.7,617.07,0.00162
35449,Theft,Hounslow,E01002584,8376,28.5,621.3,0.00161
36219,Theft,Lewisham,E01003338,8204,30.1,626.08,0.0016
42169,Vehicle Offences,Tower Hamlets,E01004249,9808,30.3,627.21,0.00159
35528,Theft,Hounslow,E01002668,9112,27.8,642.18,0.00156
37736,Theft,Westminster,E01004755,9880,31.8,642.36,0.00156
41390,Vehicle Offences,Newham,E01003503,11540,30.5,643.55,0.00155
33294,Theft,Brent,E01000508,10632,28.8,648.0,0.00154
37694,Theft,Westminster,E01004710,8024,29.1,654.75,0.00153
34584,Theft,Hackney,E01001758,10476,30.9,655.08,0.00153
36925,Theft,Southwark,E01004008,8420,31.4,656.26,0.00152
37446,Theft,Waltham Forest,E01004467,9476,30.9,658.17,0.00152
37561,Theft,Wandsworth,E01004582,8896,29.0,661.2,0.00151
36643,Theft,Redbridge,E01003719,9584,31.7,662.53,0.00151
36849,Theft,Southwark,E01003916,9636,32.8,665.84,0.0015
33413,Theft,Brent,E01000636,10512,32.3,668.61,0.0015
33094,Theft,Barnet,E01000322,7420,31.2,667.68,0.0015
41631,Vehicle Offences,Redbridge,E01003719,9584,31.1,671.76,0.00149
33695,Theft,Camden,E01000901,7928,30.6,676.26,0.00148
39148,Vehicle Offences,Ealing,E01001361,9084,30.6,679.32,0.00147
36813,Theft,Richmond upon Thames,E01003882,7936,31.5,683.55,0.00146
33410,Theft,Brent,E01000632,9996,33.0,693.0,0.00144
34434,Theft,Greenwich,E01001631,8312,31.9,695.42,0.00144
42262,Vehicle Offences,Tower Hamlets,E01035672,9036,30.7,699.96,0.00143
36857,Theft,Southwark,E01003924,8456,32.2,698.74,0.00143
40656,Vehicle Offences,Islington,E01002795,7784,30.8,705.32,0.00142
38380,Vehicle Offences,Brent,E01000615,12800,29.3,703.2,0.00142
35680,Theft,Islington,E01002808,7656,32.1,702.99,0.00142
34069,Theft,Ealing,E01001269,9076,30.3,705.99,0.00142
33444,Theft,Bromley,E01000648,7680,30.7,709.17,0.00141
35306,Theft,Hillingdon,E01002448,8648,31.7,710.08,0.00141
33965,Theft,Croydon,E01001176,7336,30.4,708.32,0.00141
35387,Theft,Hillingdon,E01002537,10104,30.9,713.79,0.0014
38943,Vehicle Offences,Croydon,E01001167,9324,31.2,717.6,0.00139
39299,Vehicle Offences,Enfield,E01001507,10340,31.8,718.68,0.00139
37160,Theft,Tower Hamlets,E01004222,11080,35.4,722.16,0.00138
37158,Theft,Tower Hamlets,E01004219,11056,34.8,723.84,0.00138
34607,Theft,Hackney,E01001786,8852,29.9,729.56,0.00137
32888,Theft,Barking and Dagenham,E01034476,7200,31.6,733.12,0.00136
38158,Vehicle Offences,Bexley,E01000385,8032,30.8,745.36,0.00134
35458,Theft,Hounslow,E01002593,9212,33.8,746.98,0.00134
35307,Theft,Hillingdon,E01002449,8528,33.3,745.92,0.00134
42146,Vehicle Offences,Tower Hamlets,E01004219,11056,32.8,744.56,0.00134
41891,Vehicle Offences,Southwark,E01003984,6942,30.5,750.3,0.00133
34493,Theft,Greenwich,E01001700,9468,33.5,750.4,0.00133
37219,Theft,Tower Hamlets,E01004303,11660,32.1,754.35,0.00133
39031,Vehicle Offences,Ealing,E01001243,7101,31.8,753.66,0.00133
36629,Theft,Redbridge,E01003704,8072,32.6,759.58,0.00132
37383,Theft,Waltham Forest,E01004401,9340,33.6,759.36,0.00132
41572,Vehicle Offences,Redbridge,E01003657,8616,31.9,765.6,0.00131
35647,Theft,Islington,E01002774,8476,33.8,767.26,0.0013
39279,Vehicle Offences,Enfield,E01001485,7564,33.1,767.92,0.0013
37549,Theft,Wandsworth,E01004569,9604,30.7,770.57,0.0013
37411,Theft,Waltham Forest,E01004429,7288,33.4,768.2,0.0013
36887,Theft,Southwark,E01003958,7840,31.9,781.55,0.00128
37621,Theft,Wandsworth,E01004644,7689,33.4,784.9,0.00127
36589,Theft,Redbridge,E01003662,8444,33.6,796.32,0.00126
42479,Vehicle Offences,Wandsworth,E01004508,8060,33.3,795.87,0.00126
35478,Theft,Hounslow,E01002614,8412,33.7,791.95,0.00126
36470,Theft,Newham,E01003574,7788,35.0,794.5,0.00126
37785,Vehicle Offences,Barking and Dagenham,E01000030,10352,34.3,795.76,0.00126
34552,Theft,Hackney,E01001722,9272,34.3,795.76,0.00126
34554,Theft,Hackney,E01001724,11424,35.6,815.24,0.00123
41603,Vehicle Offences,Redbridge,E01003690,8648,32.6,815.0,0.00123
40198,Vehicle Offences,Havering,E01002356,8428,34.7,811.98,0.00123
37543,Theft,Wandsworth,E01004563,8660,32.7,810.96,0.00123
25824,Public Order Offences,Hounslow,E01002641,8184,33.6,819.84,0.00122
33907,Theft,Croydon,E01001118,8596,36.4,822.64,0.00122
41443,Vehicle Offences,Newham,E01003559,7095,33.7,818.91,0.00122
41388,Vehicle Offences,Newham,E01003501,9476,33.3,819.18,0.00122
41487,Vehicle Offences,Newham,E01003603,7756,35.6,818.8,0.00122
35497,Theft,Hounslow,E01002633,8824,34.6,826.94,0.00121
35974,Theft,Lambeth,E01003089,7784,36.3,827.64,0.00121
42412,Vehicle Offences,Waltham Forest,E01004444,8355,33.9,827.16,0.00121
41663,Vehicle Offences,Redbridge,E01003752,8343,34.0,836.4,0.0012
37518,Theft,Wandsworth,E01004536,9548,35.7,831.81,0.0012
40891,Vehicle Offences,Lambeth,E01003018,6018,34.4,835.92,0.0012
34785,Theft,Hammersmith and Fulham,E01001945,6752,34.7,832.8,0.0012
34000,Theft,Ealing,E01001196,6508,33.6,836.64,0.0012
37296,Theft,Tower Hamlets,E01035694,8740,38.3,846.43,0.00118
38356,Vehicle Offences,Brent,E01000586,7110,34.5,848.7,0.00118
38864,Vehicle Offences,Croydon,E01001087,8490,34.3,854.07,0.00117
36749,Theft,Richmond upon Thames,E01003817,7892,35.0,854.0,0.00117
41392,Vehicle Offences,Newham,E01003507,9108,35.4,853.14,0.00117
39898,Vehicle Offences,Haringey,E01002066,10396,31.2,864.24,0.00116
41560,Vehicle Offences,Redbridge,E01003645,8286,35.3,861.32,0.00116
37663,Theft,Westminster,E01004675,9580,37.4,860.2,0.00116
33246,Theft,Bexley,E01000462,8368,34.9,865.52,0.00116
37544,Theft,Wandsworth,E01004564,7472,36.7,866.12,0.00115
37424,Theft,Waltham Forest,E01004444,11140,35.5,869.75,0.00115
33309,Theft,Brent,E01000523,9184,36.7,869.79,0.00115
34446,Theft,Greenwich,E01001646,8601,31.0,868.0,0.00115
39807,Vehicle Offences,Haringey,E01001973,10056,34.6,868.46,0.00115
35053,Theft,Harrow,E01002209,7412,34.7,870.97,0.00115
36174,Theft,Lewisham,E01003288,8648,35.6,872.2,0.00115
36948,Theft,Southwark,E01004036,8436,35.5,866.2,0.00115
35537,Theft,Hounslow,E01002677,8192,34.3,871.22,0.00115
33943,Theft,Croydon,E01001154,7688,37.3,880.28,0.00114
37490,Theft,Wandsworth,E01004507,7719,34.8,880.44,0.00114
33286,Theft,Brent,E01000499,7516,34.4,884.08,0.00113
42254,Vehicle Offences,Tower Hamlets,E01035664,7701,35.1,888.03,0.00113
34651,Theft,Hackney,E01001834,7944,38.4,887.04,0.00113
39775,Vehicle Offences,Hammersmith and Fulham,E01001948,7556,35.4,881.46,0.00113
41441,Vehicle Offences,Newham,E01003557,7900,34.0,884.0,0.00113
4495,Arson and Criminal Damage,Tower Hamlets,E01035670,8760,36.4,888.16,0.00113
38109,Vehicle Offences,Bexley,E01000335,10964,36.4,884.52,0.00113
37825,Vehicle Offences,Barking and Dagenham,E01000072,6426,35.1,884.52,0.00113
32841,Theft,Barking and Dagenham,E01000075,8380,31.8,887.22,0.00113
35934,Theft,Lambeth,E01003049,6904,35.0,896.0,0.00112
34192,Theft,Ealing,E01034026,9952,36.4,891.8,0.00112
34562,Theft,Hackney,E01001732,7564,34.5,890.1,0.00112
39875,Vehicle Offences,Haringey,E01002043,7292,34.2,896.04,0.00112
38253,Vehicle Offences,Brent,E01000477,6954,36.9,889.29,0.00112
34568,Theft,Hackney,E01001738,7072,37.0,902.8,0.00111
40294,Vehicle Offences,Hillingdon,E01002448,8648,34.9,900.42,0.00111
37161,Theft,Tower Hamlets,E01004223,9140,31.0,911.4,0.0011
34650,Theft,Hackney,E01001833,8340,37.0,906.5,0.0011
42207,Vehicle Offences,Tower Hamlets,E01004303,8745,34.5,910.8,0.0011
35909,Theft,Lambeth,E01003024,7236,34.9,921.36,0.00109
37489,Theft,Wandsworth,E01004506,8804,36.3,914.76,0.00109
33074,Theft,Barnet,E01000302,7136,36.2,915.86,0.00109
34503,Theft,Greenwich,E01033727,10824,36.1,916.94,0.00109
34916,Theft,Haringey,E01002071,7116,35.3,914.27,0.00109
33661,Theft,Camden,E01000867,7088,37.9,920.97,0.00109
38005,Vehicle Offences,Barnet,E01000245,8260,32.6,925.84,0.00108
40650,Vehicle Offences,Islington,E01002789,7448,36.3,925.65,0.00108
32878,Theft,Barking and Dagenham,E01000114,9576,37.7,923.65,0.00108
40911,Vehicle Offences,Lambeth,E01003038,6852,36.3,929.28,0.00108
40211,Vehicle Offences,Havering,E01002370,9868,40.2,924.6,0.00108
42362,Vehicle Offences,Waltham Forest,E01004392,7719,37.4,923.78,0.00108
34322,Theft,Enfield,E01001518,6760,34.9,935.32,0.00107
42226,Vehicle Offences,Tower Hamlets,E01032764,9544,39.0,932.1,0.00107
37971,Vehicle Offences,Barnet,E01000211,6366,36.5,934.4,0.00107
37763,Theft,Westminster,E01035722,8176,37.3,936.23,0.00107
36976,Theft,Southwark,E01004064,7708,35.5,947.85,0.00106
35956,Theft,Lambeth,E01003071,9284,37.4,942.48,0.00106
37423,Theft,Waltham Forest,E01004443,8944,36.6,940.62,0.00106
37705,Theft,Westminster,E01004721,7572,36.5,945.35,0.00106
39227,Vehicle Offences,Enfield,E01001432,7516,35.0,945.0,0.00106
41695,Vehicle Offences,Redbridge,E01003785,8220,33.6,940.8,0.00106
33805,Theft,Croydon,E01001011,9156,37.6,943.76,0.00106
39939,Vehicle Offences,Haringey,E01033943,7569,35.5,951.4,0.00105
35990,Theft,Lambeth,E01003106,8488,36.9,948.33,0.00105
34078,Theft,Ealing,E01001278,8392,37.9,951.29,0.00105
42167,Vehicle Offences,Tower Hamlets,E01004247,8076,37.2,948.6,0.00105
36097,Theft,Lewisham,E01003207,9320,40.0,948.0,0.00105
36518,Theft,Newham,E01003630,7748,36.7,950.53,0.00105
36064,Theft,Lambeth,E01003181,6228,37.6,962.56,0.00104
37568,Theft,Wandsworth,E01004589,7292,34.8,960.48,0.00104
39877,Vehicle Offences,Haringey,E01002045,8484,34.7,964.66,0.00104
41041,Vehicle Offences,Lambeth,E01003170,7688,36.2,962.92,0.00104
38711,Vehicle Offences,Camden,E01000930,8424,34.6,961.88,0.00104
42170,Vehicle Offences,Tower Hamlets,E01004251,7758,34.3,967.26,0.00103
35543,Theft,Hounslow,E01002686,7180,35.6,968.32,0.00103
33970,Theft,Croydon,E01001181,6618,35.7,971.04,0.00103
34103,Theft,Ealing,E01001303,6936,36.7,968.88,0.00103
41967,Vehicle Offences,Southwark,E01004067,6636,37.3,973.53,0.00103
37963,Vehicle Offences,Barnet,E01000203,7364,36.3,972.84,0.00103
42744,Vehicle Offences,Westminster,E01035715,8364,36.4,971.88,0.00103
36950,Theft,Southwark,E01004038,9304,36.1,978.31,0.00102
36850,Theft,Southwark,E01003917,5673,36.4,982.8,0.00102
37805,Vehicle Offences,Barking and Dagenham,E01000052,7101,35.5,983.35,0.00102
