,Borough,Major Category,LSOA,Population,Mean,Range,Normalised Deviation,Regression
47487,Westminster,Theft,E01035716,8804,6084.2,8.791170868532143e-09,19122640.6,4.348
47448,Westminster,Theft,E01004734,6796,4894.4,1.567184720074141e-08,13168872.64,3.982
47472,Westminster,Theft,E01004763,8124,4225.2,1.7986428615157037e-08,10344557.16,3.257
47450,Westminster,Theft,E01004736,6188,3190.7,4.41773654106986e-08,4426777.18,2.148
35898,Newham,Theft,E01034220,4752,2681.3,6.515715598677706e-08,3400156.53,1.509
47694,Westminster,Violence Against the Person,E01004734,3398,2333.2,1.1377882307525382e-07,1579809.72,0.984
47428,Westminster,Theft,E01004714,6668,2034.6,9.05332227619216e-08,1598992.14,1.211
47449,Westminster,Theft,E01004735,8176,1832.0,1.30493628545953e-07,1378213.6,1.152
47470,Westminster,Theft,E01004761,4868,1492.1,1.708123516778274e-07,838709.41,0.872
47696,Westminster,Violence Against the Person,E01004736,3094,1399.7,2.125455454550488e-07,737221.99,0.732
46861,Westminster,Drug Offences,E01004734,3398,1337.1,1.6609939664350982e-07,1104310.89,1.218
9094,Camden,Theft,E01000914,5608,1336.7,2.6722335019781497e-07,568765.85,0.664
18019,Hackney,Theft,E01033708,7532,1335.2,2.792624978699637e-07,612723.28,0.652
47473,Westminster,Theft,E01004765,7448,1308.4,3.3484992893446476e-07,546911.2,0.653
47471,Westminster,Theft,E01004762,6316,1307.1,2.7770522967787504e-07,710800.98,0.833
9045,Camden,Theft,E01000863,5916,1288.9,3.2552910857574086e-07,563120.41,0.658
9037,Camden,Theft,E01000855,5308,1280.6,2.2649901985051974e-07,752480.56,0.897
9099,Camden,Theft,E01000919,5836,1279.1,1.8397512362851425e-07,913661.13,0.99
19186,Hammersmith and Fulham,Theft,E01001943,8900,1238.6,4.2517941130861966e-07,405269.92,0.474
47733,Westminster,Violence Against the Person,E01035716,4402,1226.2,4.0336547190890873e-07,488395.46,0.589
11617,Croydon,Violence Against the Person,E01034150,2624,1011.3,6.177809798217127e-07,329178.15,0.484
9034,Camden,Theft,E01000850,5644,1007.9,4.627902380763569e-07,392677.84,0.578
29570,Kingston upon Thames,Theft,E01002968,11748,996.1,7.104817220676442e-07,222030.69,0.345
35878,Newham,Theft,E01034200,6292,985.2,7.884593215413665e-07,240093.24,0.357
28625,Kensington and Chelsea,Theft,E01002819,4424,981.8,4.5979687448642123e-07,440239.12,0.636
9305,Camden,Violence Against the Person,E01000863,2958,956.3,6.312595101217886e-07,311371.28,0.492
40213,Southwark,Theft,E01033884,4332,920.0,4.956521738268431e-07,333040.0,0.547
20483,Haringey,Theft,E01002026,7120,901.6,7.818883042908115e-07,228194.96,0.395
9154,Camden,Theft,E01035711,9600,878.0,7.289293849658314e-07,253390.8,0.439
18018,Hackney,Theft,E01033706,5708,833.3,6.650363102011194e-07,297738.09,0.511
13119,Ealing,Theft,E01034030,7336,815.9,9.99033105789224e-07,166525.19,0.308
31431,Lambeth,Violence Against the Person,E01003047,3596,811.2,8.524882418705078e-07,247010.4,0.381
23331,Havering,Theft,E01032741,5936,789.1,8.358326645453093e-07,191435.66,0.372
40058,Southwark,Theft,E01003929,7924,786.5,7.750012226613039e-07,245152.05,0.451
47718,Westminster,Violence Against the Person,E01004763,6093,780.4,9.759418248261154e-07,209147.2,0.366
47325,Westminster,Robbery,E01004734,3398,760.0,7.451754387474873e-07,294804.0,0.555
23602,Havering,Violence Against the Person,E01002356,4214,736.3,1.0040720432896505e-06,181718.84,0.374
41460,Sutton,Theft,E01034156,5412,735.4,1.291098292490489e-06,152301.34,0.322
46863,Westminster,Drug Offences,E01004736,3094,733.5,5.624176324613797e-07,324427.05,0.628
36268,Newham,Violence Against the Person,E01034220,2376,733.1,7.716741043266256e-07,332680.78,0.516
9098,Camden,Theft,E01000918,7220,732.7,8.077020320519881e-07,237468.07,0.485
31069,Lambeth,Theft,E01003047,7192,716.1,9.38625237721038e-07,154820.82,0.33
8436,Camden,Drug Offences,E01000863,2958,706.6,4.5502652016506633e-07,319736.5,0.588
46885,Westminster,Drug Offences,E01004763,4062,697.1,5.497167509953876e-07,311324.86,0.661
41706,Sutton,Violence Against the Person,E01034156,2706,691.7,1.222531443756296e-06,170296.54,0.381
26384,Hounslow,Theft,E01033083,8712,682.4,1.5019653810287086e-06,110412.32,0.252
47364,Westminster,Robbery,E01035716,4402,676.6,7.565185710148553e-07,272602.14,0.523
47349,Westminster,Robbery,E01004763,4062,668.0,7.507207805343651e-07,281361.6,0.501
29768,Kingston upon Thames,Violence Against the Person,E01002968,5874,658.4,1.652153369450155e-06,109755.28,0.26
46900,Westminster,Drug Offences,E01035716,4402,650.0,6.449816849775269e-07,271700.0,0.58
11154,Croydon,Theft,E01034145,5320,629.3,1.3418789840823149e-06,134166.76,0.329
27657,Islington,Theft,E01002794,8112,626.2,1.2106848306906357e-06,143587.66,0.313
2729,Barnet,Theft,E01000307,6580,626.0,1.181031697916421e-06,147986.4,0.367
18012,Hackney,Theft,E01033699,5636,623.4,1.5587490190539124e-06,125802.12,0.308
18317,Hackney,Violence Against the Person,E01033708,3766,620.6,1.1237631445633869e-06,170416.76,0.386
28624,Kensington and Chelsea,Theft,E01002818,5604,611.4,7.834058864848818e-07,169724.64,0.417
27683,Islington,Theft,E01035652,5084,602.7,1.454374853730794e-06,104267.1,0.247
37405,Redbridge,Theft,E01003689,8920,599.7,1.729546942981761e-06,111184.38,0.235
31035,Lambeth,Theft,E01003013,7736,594.2,1.6908033065687624e-06,111887.86,0.292
47445,Westminster,Theft,E01004731,7984,592.7,1.1132692937269642e-06,176387.52,0.427
895,Barking and Dagenham,Theft,E01034473,5176,590.1,1.9491988186654452e-06,88160.94,0.232
13461,Ealing,Violence Against the Person,E01001340,3126,573.0,1.0491341114817693e-06,189892.2,0.477
31209,Lambeth,Theft,E01032582,9124,558.7,1.3385875285438397e-06,125260.54,0.306
47382,Westminster,Theft,E01004658,6192,555.7,1.1981400964558852e-06,135424.09,0.291
35762,Newham,Theft,E01003521,8748,555.4,1.693635508800015e-06,116522.92,0.295
27572,Islington,Theft,E01002704,9364,554.4,1.6890331904260929e-06,103118.4,0.289
36248,Newham,Violence Against the Person,E01034200,3146,550.7,1.7311300758449808e-06,123026.38,0.319
46777,Westminster,Burglary,E01035716,4402,550.0,1.379937304590873e-06,130130.0,0.363
11152,Croydon,Theft,E01034143,5244,545.4,1.629654491638554e-06,99044.64,0.258
1125,Barking and Dagenham,Violence Against the Person,E01034473,2588,539.1,2.1820879894599565e-06,102968.1,0.264
47477,Westminster,Theft,E01033594,6056,534.4,1.9207348012226367e-06,101215.36,0.295
8080,Bromley,Violence Against the Person,E01000769,2760,528.3,1.6852594743876244e-06,126210.87,0.321
16545,Greenwich,Theft,E01034188,5672,522.9,7.91766300624502e-07,152007.03,0.45
38620,Richmond upon Thames,Theft,E01003876,7508,522.6,2.5204611222942428e-06,70551.0,0.21
27564,Islington,Theft,E01002696,7152,522.4,1.9841534040743944e-06,88703.52,0.25
47461,Westminster,Theft,E01004750,6536,519.7,1.7713361163881476e-06,106330.62,0.319
27591,Islington,Theft,E01002724,7772,516.2,1.520826240928475e-06,106182.34,0.293
6318,Brent,Violence Against the Person,E01033938,2554,515.7,1.1791647049099998e-06,153317.61,0.336
28626,Kensington and Chelsea,Theft,E01002821,4528,514.4,1.5442961983581752e-06,109001.36,0.331
11159,Croydon,Theft,E01034150,5248,513.7,1.5478908226042263e-06,132123.64,0.244
9124,Camden,Theft,E01000947,6624,508.3,1.7851608507848827e-06,107200.47,0.319
31057,Lambeth,Theft,E01003035,6684,507.0,1.3591166958158462e-06,128828.7,0.375
47489,Westminster,Theft,E01035718,10636,500.4,1.142741720719388e-06,145416.24,0.451
19144,Hammersmith and Fulham,Theft,E01001899,6544,496.7,2.439806425563011e-06,67153.84,0.188
47695,Westminster,Violence Against the Person,E01004735,4088,496.6,2.110763447498203e-06,94205.02,0.265
18316,Hackney,Violence Against the Person,E01033706,2854,493.8,1.3441088099308177e-06,117425.64,0.35
47410,Westminster,Theft,E01004695,4224,488.2,2.2768925578755807e-06,95247.82,0.292
19416,Hammersmith and Fulham,Violence Against the Person,E01001943,4450,484.3,2.3560306422235366e-06,87755.16,0.229
31397,Lambeth,Violence Against the Person,E01003013,3868,484.2,1.775207674711315e-06,119645.82,0.235
47716,Westminster,Violence Against the Person,E01004761,3651,483.5,2.0975525679028266e-06,94572.6,0.28
33215,Lewisham,Violence Against the Person,E01003291,3070,477.1,1.4299354889751916e-06,114074.61,0.272
16873,Greenwich,Violence Against the Person,E01034188,2836,474.2,1.5738418172824106e-06,130594.68,0.397
31083,Lambeth,Theft,E01003061,5308,471.2,6.868814442414306e-07,180281.12,0.585
