,LSOA,Major Category,Borough,Population,Mean,Range,Normalised Deviation
47242,E01035670,Vehicle Offences,Tower Hamlets,17520,13.6,0.007,142.8
5952,E01000661,Theft,Bromley,11336,21.1,0.006,318.61
15665,E01001731,Vehicle Offences,Hackney,10660,26.3,0.005,454.99
38717,E01004286,Theft,Tower Hamlets,10196,29.3,0.005,565.49
32203,E01003538,Theft,Newham,8576,26.5,0.005,482.3
15653,E01001730,Theft,Hackney,11152,26.8,0.005,460.96
33848,E01003719,Theft,Redbridge,9584,31.7,0.005,662.53
16541,E01001834,Theft,Hackney,7944,38.4,0.004,887.04
15595,E01001724,Theft,Hackney,11424,35.6,0.004,815.24
46671,E01034607,Theft,Hillingdon,9072,25.4,0.004,452.12
42953,E01004755,Theft,Westminster,9880,31.8,0.004,642.36
40380,E01004467,Theft,Waltham Forest,9476,30.9,0.004,658.17
25422,E01002808,Theft,Islington,7656,32.1,0.004,702.99
24096,E01002662,Theft,Hounslow,9996,28.5,0.004,544.35
23468,E01002593,Theft,Hounslow,9212,33.8,0.004,746.98
33849,E01003719,Vehicle Offences,Redbridge,9584,31.1,0.004,671.76
35330,E01003882,Theft,Richmond upon Thames,7936,31.5,0.004,683.55
34357,E01003774,Vehicle Offences,Redbridge,5883,39.3,0.004,1037.52
32554,E01003574,Theft,Newham,7788,35.0,0.004,794.5
45178,E01034026,Theft,Ealing,9952,36.4,0.004,891.8
31910,E01003507,Theft,Newham,9108,42.2,0.004,1012.8
36341,E01004004,Theft,Southwark,10448,25.0,0.004,415.0
4315,E01000477,Vehicle Offences,Brent,6954,36.9,0.004,889.29
4727,E01000523,Vehicle Offences,Brent,9184,28.9,0.004,566.44
38264,E01004219,Theft,Tower Hamlets,11056,34.8,0.004,723.84
214,E01000030,Vehicle Offences,Barking and Dagenham,10352,34.3,0.004,795.76
35644,E01003916,Theft,Southwark,9636,32.8,0.004,665.84
5697,E01000632,Theft,Brent,9996,33.0,0.004,693.0
40037,E01004429,Theft,Waltham Forest,7288,33.4,0.004,768.2
34318,E01003770,Vehicle Offences,Redbridge,11456,26.7,0.004,520.65
47475,E01035694,Theft,Tower Hamlets,8740,38.3,0.004,846.43
21411,E01002361,Vehicle Offences,Havering,7896,40.3,0.004,1104.22
18625,E01002056,Theft,Haringey,11680,27.2,0.004,473.28
46262,E01034471,Theft,Barking and Dagenham,10568,26.9,0.004,511.1
42006,E01004644,Theft,Wandsworth,7689,33.4,0.004,784.9
32252,E01003543,Theft,Newham,9352,29.4,0.004,558.6
42240,E01004675,Theft,Westminster,9580,37.4,0.004,860.2
14838,E01001631,Theft,Greenwich,8312,31.9,0.003,695.42
