,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
47680,Westminster,E01035716,Theft,8804,6084.2,3142.0,1.94
47294,Westminster,E01004734,Theft,6796,4894.4,2689.6,1.82
47532,Westminster,E01004763,Theft,8124,4225.2,2447.3,1.73
24105,Hillingdon,E01002444,Miscellaneous Crimes Against Society,1903,3093.6,1990.0,1.55
47314,Westminster,E01004736,Theft,6188,3190.7,1386.4,2.3
36177,Newham,E01034220,Theft,4752,2681.3,1267.1,2.12
47289,Westminster,E01004734,Drug Offences,3398,1337.1,824.9,1.62
47100,Westminster,E01004714,Theft,6668,2034.6,784.9,2.59
47304,Westminster,E01004735,Theft,8176,1832.0,751.3,2.44
8869,Camden,E01000919,Theft,5836,1279.1,713.3,1.79
41996,Tower Hamlets,E01004234,Drug Offences,5144,176.6,708.3,0.25
47296,Westminster,E01004734,Violence Against the Person,3398,2333.2,676.1,3.45
8271,Camden,E01000855,Theft,5308,1280.6,586.6,2.18
47512,Westminster,E01004761,Theft,4868,1492.1,561.1,2.66
47522,Westminster,E01004762,Theft,6316,1307.1,542.8,2.41
47316,Westminster,E01004736,Violence Against the Person,3094,1399.7,525.7,2.66
18161,Hackney,E01033708,Theft,7532,1335.2,457.9,2.92
36179,Newham,E01034220,Violence Against the Person,2376,733.1,452.8,1.62
8345,Camden,E01000863,Drug Offences,2958,706.6,451.5,1.57
28015,Kensington and Chelsea,E01002819,Theft,4424,981.8,447.4,2.19
47527,Westminster,E01004763,Drug Offences,4062,697.1,445.6,1.56
47309,Westminster,E01004736,Drug Offences,3094,733.5,441.3,1.66
8350,Camden,E01000863,Theft,5916,1288.9,435.9,2.96
8818,Camden,E01000914,Theft,5608,1336.7,424.5,3.15
47531,Westminster,E01004763,Robbery,4062,668.0,420.2,1.59
47542,Westminster,E01004765,Theft,7448,1308.4,417.0,3.14
47675,Westminster,E01035716,Drug Offences,4402,650.0,417.0,1.56
19486,Haringey,E01001966,Theft,4215,191.6,410.0,0.47
47679,Westminster,E01035716,Robbery,4402,676.6,401.9,1.68
47682,Westminster,E01035716,Violence Against the Person,4402,1226.2,397.3,3.09
8241,Camden,E01000850,Theft,5644,1007.9,388.6,2.59
47723,Westminster,E01035721,Drug Offences,4672,279.8,388.3,0.72
47293,Westminster,E01004734,Robbery,3398,760.0,386.9,1.96
24109,Hillingdon,E01002444,Theft,7612,1280.6,383.0,3.34
30289,Lambeth,E01003061,Theft,5308,471.2,381.6,1.23
24106,Hillingdon,E01002444,Possession of Weapons,1903,272.6,376.2,0.72
40548,Southwark,E01033884,Theft,4332,920.0,361.0,2.55
18151,Hackney,E01033706,Theft,5708,833.3,356.3,2.34
12972,Ealing,E01001340,Violence Against the Person,3126,573.0,330.4,1.73
19198,Hammersmith and Fulham,E01001943,Theft,8900,1238.6,326.2,3.8
8352,Camden,E01000863,Violence Against the Person,2958,956.3,324.6,2.95
11599,Croydon,E01034150,Violence Against the Person,2624,1011.3,324.5,3.12
8859,Camden,E01000918,Theft,7220,732.7,323.1,2.27
47404,Westminster,E01004748,Theft,4936,341.3,321.5,1.06
1392,Barnet,E01000143,Miscellaneous Crimes Against Society,1675,47.8,310.9,0.15
39053,Southwark,E01003929,Theft,7924,786.5,310.7,2.53
30152,Lambeth,E01003047,Violence Against the Person,3596,811.2,303.5,2.67
3641,Bexley,E01000372,Miscellaneous Crimes Against Society,1705,48.6,301.3,0.16
47264,Westminster,E01004731,Theft,7984,592.7,296.6,2.0
6283,Brent,E01033938,Violence Against the Person,2554,515.7,296.3,1.74
19819,Haringey,E01002002,Drug Offences,3354,110.0,295.8,0.37
47286,Westminster,E01004733,Violence Against the Person,4232,384.9,294.0,1.31
16796,Greenwich,E01034188,Theft,5672,522.9,289.7,1.8
47700,Westminster,E01035718,Theft,10636,500.4,289.6,1.73
8145,Bromley,E01034385,Theft,5756,308.9,289.4,1.07
24111,Hillingdon,E01002444,Violence Against the Person,3806,669.1,288.6,2.32
9403,Camden,E01035711,Theft,9600,878.0,287.6,3.05
6322,Brent,E01033942,Violence Against the Person,3198,287.3,280.1,1.03
28005,Kensington and Chelsea,E01002818,Theft,5604,611.4,276.6,2.21
16798,Greenwich,E01034188,Violence Against the Person,2836,474.2,274.4,1.73
18163,Hackney,E01033708,Violence Against the Person,3766,620.6,273.6,2.27
47313,Westminster,E01004736,Robbery,3094,458.4,269.6,1.7
47534,Westminster,E01004763,Violence Against the Person,6093,780.4,267.0,2.92
17493,Hackney,E01001786,Drug Offences,4426,43.5,266.7,0.16
26870,Islington,E01002712,Miscellaneous Crimes Against Society,1370,223.7,265.9,0.84
28781,Kensington and Chelsea,E01002902,Theft,4940,465.7,260.8,1.79
9373,Camden,E01035708,Theft,7720,331.9,259.1,1.28
44581,Waltham Forest,E01004455,Theft,7196,401.3,257.1,1.56
11597,Croydon,E01034150,Theft,5248,513.7,256.2,2.01
35928,Newham,E01033581,Miscellaneous Crimes Against Society,1936,233.0,255.5,0.91
17828,Hackney,E01001825,Arson and Criminal Damage,1344,49.9,254.9,0.2
28006,Kensington and Chelsea,E01002818,Vehicle Offences,4203,373.1,253.2,1.47
30034,Lambeth,E01003035,Theft,6684,507.0,253.1,2.0
20039,Haringey,E01002026,Theft,7120,901.6,252.1,3.58
14275,Enfield,E01001468,Violence Against the Person,2774,364.1,251.2,1.45
6598,Bromley,E01000676,Theft,8184,451.0,250.6,1.8
18991,Hammersmith and Fulham,E01001920,Drug Offences,1449,175.0,250.1,0.7
11592,Croydon,E01034150,Drug Offences,2624,375.9,246.3,1.53
29824,Lambeth,E01003013,Violence Against the Person,3868,484.2,246.1,1.97
23262,Havering,E01002356,Violence Against the Person,4214,736.3,245.8,3.0
8300,Camden,E01000858,Theft,7968,370.8,245.7,1.51
19482,Haringey,E01001966,Drug Offences,1405,149.0,245.6,0.61
41706,Sutton,E01034156,Violence Against the Person,2706,691.7,245.2,2.82
37503,Redbridge,E01003770,Violence Against the Person,5728,344.5,245.0,1.41
19824,Haringey,E01002002,Theft,6708,269.9,244.6,1.1
46651,Westminster,E01004658,Theft,6192,555.7,242.7,2.29
35981,Newham,E01034200,Theft,6292,985.2,242.7,4.06
23584,Havering,E01032741,Theft,5936,789.1,241.6,3.27
23524,Havering,E01002385,Theft,4764,83.8,240.2,0.35
36176,Newham,E01034220,Robbery,2376,276.0,239.3,1.15
36172,Newham,E01034220,Drug Offences,2376,257.0,238.3,1.08
32538,Lewisham,E01003291,Violence Against the Person,3070,477.1,238.1,2.0
7451,Bromley,E01000769,Violence Against the Person,2760,528.3,237.9,2.22
26626,Hounslow,E01034039,Miscellaneous Crimes Against Society,1719,202.2,237.1,0.85
18153,Hackney,E01033706,Violence Against the Person,2854,493.8,236.8,2.09
8864,Camden,E01000919,Drug Offences,2918,276.6,235.6,1.17
47674,Westminster,E01035716,Burglary,4402,550.0,235.6,2.33
2896,Barnet,E01000307,Theft,6580,626.0,235.4,2.66
31533,Lambeth,E01033862,Drug Offences,2844,256.5,234.5,1.09
39464,Southwark,E01003984,Drug Offences,4628,111.9,231.8,0.48
47584,Westminster,E01033594,Violence Against the Person,3028,456.9,230.1,1.99
42524,Tower Hamlets,E01004307,Drug Offences,4770,173.0,228.5,0.76
27641,Islington,E01002794,Theft,8112,626.2,228.3,2.74
46641,Westminster,E01004657,Theft,4924,439.5,224.7,1.96
31518,Lambeth,E01032582,Theft,9124,558.7,223.2,2.5
35983,Newham,E01034200,Violence Against the Person,3146,550.7,222.4,2.48
29391,Kingston upon Thames,E01002968,Theft,11748,996.1,221.9,4.49
