,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
37757,Theft,E01035716,Westminster,6084.2,3142.0,1.94
37252,Theft,E01004734,Westminster,4894.4,2689.6,1.82
37276,Theft,E01004763,Westminster,4225.2,2447.3,1.73
37254,Theft,E01004736,Westminster,3190.7,1386.4,2.3
17034,Miscellaneous Crimes Against Society,E01002444,Hillingdon,3093.6,1990.0,1.55
37583,Theft,E01034220,Newham,2681.3,1267.1,2.12
47228,Violence Against the Person,E01004734,Westminster,2333.2,676.1,3.45
37232,Theft,E01004714,Westminster,2034.6,784.9,2.59
37253,Theft,E01004735,Westminster,1832.0,751.3,2.44
37274,Theft,E01004761,Westminster,1492.1,561.1,2.66
47230,Violence Against the Person,E01004736,Westminster,1399.7,525.7,2.66
14339,Drug Offences,E01004734,Westminster,1337.1,824.9,1.62
33648,Theft,E01000914,Camden,1336.7,424.5,3.15
37406,Theft,E01033708,Hackney,1335.2,457.9,2.92
37277,Theft,E01004765,Westminster,1308.4,417.0,3.14
37275,Theft,E01004762,Westminster,1307.1,542.8,2.41
33599,Theft,E01000863,Camden,1288.9,435.9,2.96
33591,Theft,E01000855,Camden,1280.6,586.6,2.18
35102,Theft,E01002444,Hillingdon,1280.6,383.0,3.34
33653,Theft,E01000919,Camden,1279.1,713.3,1.79
34616,Theft,E01001943,Hammersmith and Fulham,1238.6,326.2,3.8
47733,Violence Against the Person,E01035716,Westminster,1226.2,397.3,3.09
47506,Violence Against the Person,E01034150,Croydon,1011.3,324.5,3.12
33588,Theft,E01000850,Camden,1007.9,388.6,2.59
35595,Theft,E01002968,Kingston upon Thames,996.1,221.9,4.49
37563,Theft,E01034200,Newham,985.2,242.7,4.06
35451,Theft,E01002819,Kensington and Chelsea,981.8,447.4,2.19
43574,Violence Against the Person,E01000863,Camden,956.3,324.6,2.95
37460,Theft,E01033884,Southwark,920.0,361.0,2.55
34698,Theft,E01002026,Haringey,901.6,252.1,3.58
37752,Theft,E01035711,Camden,878.0,287.6,3.05
37405,Theft,E01033706,Hackney,833.3,356.3,2.34
37502,Theft,E01034030,Ealing,815.9,203.1,4.02
45649,Violence Against the Person,E01003047,Lambeth,811.2,303.5,2.67
37308,Theft,E01032741,Havering,789.1,241.6,3.27
36521,Theft,E01003929,Southwark,786.5,310.7,2.53
47252,Violence Against the Person,E01004763,Westminster,780.4,267.0,2.92
32280,Robbery,E01004734,Westminster,760.0,386.9,1.96
44993,Violence Against the Person,E01002356,Havering,736.3,245.8,3.0
37536,Theft,E01034156,Sutton,735.4,206.1,3.57
14341,Drug Offences,E01004736,Westminster,733.5,441.3,1.66
47559,Violence Against the Person,E01034220,Newham,733.1,452.8,1.62
33652,Theft,E01000918,Camden,732.7,323.1,2.27
35673,Theft,E01003047,Lambeth,716.1,215.2,3.33
10760,Drug Offences,E01000863,Camden,706.6,451.5,1.57
14363,Drug Offences,E01004763,Westminster,697.1,445.6,1.56
47512,Violence Against the Person,E01034156,Sutton,691.7,245.2,2.82
37342,Theft,E01033083,Hounslow,682.4,160.8,4.24
32770,Robbery,E01035716,Westminster,676.6,401.9,1.68
45078,Violence Against the Person,E01002444,Hillingdon,669.1,288.6,2.32
32304,Robbery,E01004763,Westminster,668.0,420.2,1.59
