,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
24106,Hillingdon,E01002444,Possession of Weapons,1903,272.6,376.2,0.72
47281,Westminster,E01004733,Possession of Weapons,2116,199.6,181.7,1.1
47311,Westminster,E01004736,Possession of Weapons,1547,182.9,160.5,1.14
47291,Westminster,E01004734,Possession of Weapons,1699,163.4,118.7,1.38
36174,Newham,E01034220,Possession of Weapons,1188,117.3,132.2,0.89
11594,Croydon,E01034150,Possession of Weapons,1312,82.0,88.1,0.93
30147,Lambeth,E01003047,Possession of Weapons,1798,79.2,77.4,1.02
47677,Westminster,E01035716,Possession of Weapons,2201,75.9,68.8,1.1
8347,Camden,E01000863,Possession of Weapons,1479,65.2,78.2,0.83
23257,Havering,E01002356,Possession of Weapons,2107,64.8,68.8,0.94
35978,Newham,E01034200,Possession of Weapons,1573,63.9,75.6,0.85
47529,Westminster,E01004763,Possession of Weapons,2031,60.5,60.6,1.0
18088,Hackney,E01033699,Possession of Weapons,1409,54.3,73.0,0.74
8152,Bromley,E01034386,Possession of Weapons,1224,52.9,70.2,0.75
11546,Croydon,E01034145,Possession of Weapons,1330,51.7,64.5,0.8
8268,Camden,E01000855,Possession of Weapons,1327,51.4,106.1,0.48
19195,Hammersmith and Fulham,E01001943,Possession of Weapons,2225,50.8,50.7,1.0
1066,Barking and Dagenham,E01034473,Possession of Weapons,1294,47.3,67.9,0.7
11574,Croydon,E01034148,Possession of Weapons,1634,46.1,64.1,0.72
29388,Kingston upon Thames,E01002968,Possession of Weapons,2937,46.1,42.8,1.08
32760,Lewisham,E01003318,Possession of Weapons,2076,44.2,53.8,0.82
29819,Lambeth,E01003013,Possession of Weapons,1934,44.1,66.7,0.66
18148,Hackney,E01033706,Possession of Weapons,1427,43.3,71.1,0.61
40446,Southwark,E01033874,Possession of Weapons,1143,43.2,61.1,0.71
30226,Lambeth,E01003055,Possession of Weapons,1618,39.3,54.9,0.72
6595,Bromley,E01000676,Possession of Weapons,2046,38.8,44.1,0.88
26627,Hounslow,E01034039,Possession of Weapons,1719,38.3,60.7,0.63
16528,Greenwich,E01033735,Possession of Weapons,1270,38.0,57.6,0.66
41701,Sutton,E01034156,Possession of Weapons,1353,37.4,57.6,0.65
23581,Havering,E01032741,Possession of Weapons,1484,37.3,53.9,0.69
13902,Enfield,E01001429,Possession of Weapons,2294,36.9,42.2,0.87
16783,Greenwich,E01034187,Possession of Weapons,1259,36.0,59.3,0.61
9780,Croydon,E01001013,Possession of Weapons,2185,35.3,45.4,0.78
27894,Islington,E01035652,Possession of Weapons,1271,35.2,61.7,0.57
39688,Southwark,E01004010,Possession of Weapons,1491,34.7,50.1,0.69
18788,Hammersmith and Fulham,E01001898,Possession of Weapons,2100,34.7,41.0,0.85
