,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
21102,Possession of Weapons,E01002444,Hillingdon,272.6,376.2,0.72
22697,Possession of Weapons,E01004733,Westminster,199.6,181.7,1.1
22700,Possession of Weapons,E01004736,Westminster,182.9,160.5,1.14
22698,Possession of Weapons,E01004734,Westminster,163.4,118.7,1.38
22970,Possession of Weapons,E01034220,Newham,117.3,132.2,0.89
22931,Possession of Weapons,E01034150,Croydon,82.0,88.1,0.93
21522,Possession of Weapons,E01003047,Lambeth,79.2,77.4,1.02
23106,Possession of Weapons,E01035716,Westminster,75.9,68.8,1.1
20008,Possession of Weapons,E01000863,Camden,65.2,78.2,0.83
21052,Possession of Weapons,E01002356,Havering,64.8,68.8,0.94
22954,Possession of Weapons,E01034200,Newham,63.9,75.6,0.85
22721,Possession of Weapons,E01004763,Westminster,60.5,60.6,1.0
22820,Possession of Weapons,E01033699,Hackney,54.3,73.0,0.74
22981,Possession of Weapons,E01034386,Bromley,52.9,70.2,0.75
22927,Possession of Weapons,E01034145,Croydon,51.7,64.5,0.8
20001,Possession of Weapons,E01000855,Camden,51.4,106.1,0.48
20787,Possession of Weapons,E01001943,Hammersmith and Fulham,50.8,50.7,1.0
22991,Possession of Weapons,E01034473,Barking and Dagenham,47.3,67.9,0.7
21469,Possession of Weapons,E01002968,Kingston upon Thames,46.1,42.8,1.08
22929,Possession of Weapons,E01034148,Croydon,46.1,64.1,0.72
21748,Possession of Weapons,E01003318,Lewisham,44.2,53.8,0.82
21498,Possession of Weapons,E01003013,Lambeth,44.1,66.7,0.66
22826,Possession of Weapons,E01033706,Hackney,43.3,71.1,0.61
22862,Possession of Weapons,E01033874,Southwark,43.2,61.1,0.71
21530,Possession of Weapons,E01003055,Lambeth,39.3,54.9,0.72
19901,Possession of Weapons,E01000676,Bromley,38.8,44.1,0.88
22915,Possession of Weapons,E01034039,Hounslow,38.3,60.7,0.63
22835,Possession of Weapons,E01033735,Greenwich,38.0,57.6,0.66
22936,Possession of Weapons,E01034156,Sutton,37.4,57.6,0.65
22747,Possession of Weapons,E01032741,Havering,37.3,53.9,0.69
20405,Possession of Weapons,E01001429,Enfield,36.9,42.2,0.87
22947,Possession of Weapons,E01034187,Greenwich,36.0,59.3,0.61
20115,Possession of Weapons,E01001013,Croydon,35.3,45.4,0.78
23058,Possession of Weapons,E01035652,Islington,35.2,61.7,0.57
20757,Possession of Weapons,E01001898,Hammersmith and Fulham,34.7,41.0,0.85
22193,Possession of Weapons,E01004010,Southwark,34.7,50.1,0.69
22827,Possession of Weapons,E01033708,Hackney,34.7,52.1,0.67
22788,Possession of Weapons,E01033327,Lewisham,34.4,42.6,0.81
22925,Possession of Weapons,E01034143,Croydon,34.1,53.8,0.63
22171,Possession of Weapons,E01003981,Southwark,33.8,55.3,0.61
22711,Possession of Weapons,E01004750,Westminster,33.5,47.1,0.71
20785,Possession of Weapons,E01001941,Hammersmith and Fulham,33.5,49.9,0.67
22948,Possession of Weapons,E01034188,Greenwich,30.7,49.7,0.62
20045,Possession of Weapons,E01000919,Camden,30.6,46.6,0.66
22808,Possession of Weapons,E01033589,Redbridge,30.5,44.9,0.68
23104,Possession of Weapons,E01035713,Kensington and Chelsea,29.7,72.0,0.41
21536,Possession of Weapons,E01003061,Lambeth,29.7,50.1,0.59
21651,Possession of Weapons,E01003199,Lewisham,29.6,42.7,0.69
22719,Possession of Weapons,E01004761,Westminster,29.5,54.8,0.54
22237,Possession of Weapons,E01004067,Southwark,29.3,40.1,0.73
22853,Possession of Weapons,E01033862,Lambeth,29.0,51.1,0.57
22556,Possession of Weapons,E01004525,Wandsworth,28.9,41.0,0.7
20651,Possession of Weapons,E01001760,Hackney,28.7,44.1,0.65
22000,Possession of Weapons,E01003689,Redbridge,28.0,37.8,0.74
22986,Possession of Weapons,E01034394,Lewisham,27.8,51.0,0.55
23108,Possession of Weapons,E01035718,Westminster,27.7,73.8,0.38
22743,Possession of Weapons,E01032639,Southwark,27.7,40.7,0.68
22907,Possession of Weapons,E01034030,Ealing,27.6,41.2,0.67
21378,Possession of Weapons,E01002831,Kensington and Chelsea,27.6,78.8,0.35
20835,Possession of Weapons,E01002029,Haringey,27.5,38.3,0.72
22132,Possession of Weapons,E01003921,Southwark,27.0,41.0,0.66
21526,Possession of Weapons,E01003051,Lambeth,26.9,43.1,0.62
21727,Possession of Weapons,E01003291,Lewisham,26.8,47.9,0.56
22695,Possession of Weapons,E01004731,Westminster,26.8,40.1,0.67
22871,Possession of Weapons,E01033884,Southwark,26.6,58.1,0.46
20832,Possession of Weapons,E01002026,Haringey,26.4,43.3,0.61
