,Major Category,Borough,LSOA,Population,Mean,Normalised Deviation,Inverse Normalised Deviation
27582,Public Order Offences,Tower Hamlets,E01035670,13140,25.8,516.0,0.00194
25824,Public Order Offences,Hounslow,E01002641,8184,33.6,819.84,0.00122
26388,Public Order Offences,Lambeth,E01032582,9124,38.5,1047.2,0.00095
25299,Public Order Offences,Harrow,E01002129,10764,37.3,1096.62,0.00091
24330,Public Order Offences,Ealing,E01001202,7437,40.2,1105.5,0.0009
26277,Public Order Offences,Lambeth,E01003076,7980,38.9,1229.24,0.00081
25197,Public Order Offences,Haringey,E01002029,8552,44.0,1386.0,0.00072
25907,Public Order Offences,Islington,E01002711,6156,43.7,1472.69,0.00068
25901,Public Order Offences,Islington,E01002704,7023,45.7,1471.54,0.00068
24039,Public Order Offences,Camden,E01000918,5415,50.7,1607.19,0.00062
23641,Public Order Offences,Brent,E01000524,7152,49.0,1621.9,0.00062
25693,Public Order Offences,Hillingdon,E01002521,8220,49.3,1636.76,0.00061
26502,Public Order Offences,Lewisham,E01003303,5229,49.9,1751.49,0.00057
27535,Public Order Offences,Tower Hamlets,E01004309,8529,51.5,1828.25,0.00055
28053,Public Order Offences,Westminster,E01004765,7448,49.8,1847.58,0.00054
25929,Public Order Offences,Islington,E01002734,7089,51.8,1844.08,0.00054
27033,Public Order Offences,Redbridge,E01033589,5790,49.4,1901.9,0.00053
24969,Public Order Offences,Hackney,E01001830,5751,50.4,1895.04,0.00053
26559,Public Order Offences,Lewisham,E01033327,8676,54.0,1890.0,0.00053
23251,Public Order Offences,Barnet,E01000141,5583,52.5,1905.75,0.00052
24134,Public Order Offences,Croydon,E01001013,6555,51.2,1920.0,0.00052
25202,Public Order Offences,Haringey,E01002034,7413,51.2,1920.0,0.00052
25880,Public Order Offences,Hounslow,E01034036,5460,51.1,1946.91,0.00051
25688,Public Order Offences,Hillingdon,E01002514,5895,51.4,2014.88,0.0005
25987,Public Order Offences,Islington,E01002795,5838,54.8,2005.68,0.0005
23483,Public Order Offences,Bexley,E01000362,5712,52.9,2052.52,0.00049
25681,Public Order Offences,Hillingdon,E01002506,6162,57.8,2086.58,0.00048
28027,Public Order Offences,Westminster,E01004733,8464,49.8,2146.38,0.00047
27167,Public Order Offences,Southwark,E01003921,5691,57.1,2129.83,0.00047
25680,Public Order Offences,Hillingdon,E01002505,5325,51.8,2108.26,0.00047
28025,Public Order Offences,Westminster,E01004731,5988,56.0,2116.8,0.00047
27689,Public Order Offences,Waltham Forest,E01004397,8688,57.6,2194.56,0.00046
24474,Public Order Offences,Ealing,E01001351,5979,61.6,2248.4,0.00044
26405,Public Order Offences,Lewisham,E01003199,5898,61.1,2425.67,0.00041
27292,Public Order Offences,Southwark,E01004067,6636,64.4,2492.28,0.0004
26008,Public Order Offences,Islington,E01033491,5775,56.1,2496.45,0.0004
24560,Public Order Offences,Enfield,E01001429,6882,61.6,2661.12,0.00038
27120,Public Order Offences,Richmond upon Thames,E01003876,5631,62.6,2679.28,0.00037
25063,Public Order Offences,Hammersmith and Fulham,E01001899,4908,60.4,2802.56,0.00036
26927,Public Order Offences,Redbridge,E01003689,6690,66.0,2857.8,0.00035
25986,Public Order Offences,Islington,E01002794,6084,62.0,2839.6,0.00035
24319,Public Order Offences,Croydon,E01034149,6333,70.0,2940.0,0.00034
25893,Public Order Offences,Islington,E01002696,5364,63.6,2906.52,0.00034
27460,Public Order Offences,Tower Hamlets,E01004208,5931,66.0,3003.0,0.00033
24908,Public Order Offences,Hackney,E01001760,5775,64.3,3150.7,0.00032
24484,Public Order Offences,Ealing,E01001361,6813,73.2,3162.24,0.00032
26515,Public Order Offences,Lewisham,E01003318,6228,75.3,3260.49,0.00031
23801,Public Order Offences,Bromley,E01000676,6138,80.1,3508.38,0.00029
24095,Public Order Offences,Camden,E01035711,7200,79.3,3584.36,0.00028
27817,Public Order Offences,Wandsworth,E01004525,5799,72.8,3567.2,0.00028
24997,Public Order Offences,Hackney,E01033708,5649,73.8,3571.92,0.00028
23219,Public Order Offences,Barking and Dagenham,E01034473,5176,73.1,3698.86,0.00027
28029,Public Order Offences,Westminster,E01004735,8176,77.1,3731.64,0.00027
28041,Public Order Offences,Westminster,E01004750,4902,73.8,3948.3,0.00025
27962,Public Order Offences,Westminster,E01004658,4644,78.0,3985.8,0.00025
24065,Public Order Offences,Camden,E01000947,4968,82.4,4367.2,0.00023
25874,Public Order Offences,Hounslow,E01033083,6534,81.7,4452.65,0.00022
25962,Public Order Offences,Islington,E01002770,5682,82.9,4501.47,0.00022
24830,Public Order Offences,Greenwich,E01033735,3810,81.2,4888.24,0.0002
28008,Public Order Offences,Westminster,E01004714,5001,85.3,5373.9,0.00019
25892,Public Order Offences,Islington,E01002695,4449,87.7,5218.15,0.00019
25564,Public Order Offences,Havering,E01032741,4452,83.4,5529.42,0.00018
24315,Public Order Offences,Croydon,E01034145,3990,86.4,5728.32,0.00017
26214,Public Order Offences,Lambeth,E01003013,5802,96.4,6044.28,0.00017
25529,Public Order Offences,Havering,E01002356,6321,103.2,6047.52,0.00017
24519,Public Order Offences,Ealing,E01034030,5502,97.5,6162.0,0.00016
25103,Public Order Offences,Hammersmith and Fulham,E01001941,4638,104.3,6654.34,0.00015
25062,Public Order Offences,Hammersmith and Fulham,E01001898,6300,108.3,6552.15,0.00015
24990,Public Order Offences,Hackney,E01033699,4227,102.1,6575.24,0.00015
26169,Public Order Offences,Kingston upon Thames,E01002968,8811,119.0,7163.8,0.00014
24035,Public Order Offences,Camden,E01000914,4206,105.9,7158.84,0.00014
28057,Public Order Offences,Westminster,E01033594,4542,105.0,7612.5,0.00013
26012,Public Order Offences,Islington,E01035652,3813,107.7,7539.0,0.00013
26847,Public Order Offences,Newham,E01034200,4719,109.4,7690.82,0.00013
25105,Public Order Offences,Hammersmith and Fulham,E01001943,6675,127.0,8407.4,0.00012
27449,Public Order Offences,Sutton,E01034156,4059,124.1,10114.15,0.0001
26248,Public Order Offences,Lambeth,E01003047,7192,134.5,9818.5,0.0001
24320,Public Order Offences,Croydon,E01034150,3936,155.1,11027.61,9e-05
23966,Public Order Offences,Bromley,E01034386,3672,140.3,12388.49,8e-05
28050,Public Order Offences,Westminster,E01004761,3651,127.3,12246.26,8e-05
23986,Public Order Offences,Camden,E01000863,4437,188.1,16515.18,6e-05
28052,Public Order Offences,Westminster,E01004763,6093,216.7,21626.66,5e-05
28030,Public Order Offences,Westminster,E01004736,6188,195.5,21270.4,5e-05
28067,Public Order Offences,Westminster,E01035716,6603,230.4,25735.68,4e-05
28028,Public Order Offences,Westminster,E01004734,6796,364.2,55358.4,2e-05
