,LSOA,Major Category,Borough,Population,Mean,Normalised Deviation,Regression,Flat
49242,E01004734,Public Order Offences,Westminster,1699,1456.9,881570.19,0.726,1.3774104683195594
49264,E01004736,Public Order Offences,Westminster,1547,782.2,337988.62,0.579,1.7271157167530227
54797,E01035716,Public Order Offences,Westminster,2201,691.1,230274.52,0.411,2.4330900243309004
49506,E01004763,Public Order Offences,Westminster,2031,650.2,193369.48,0.386,2.5906735751295336
9048,E01000863,Public Order Offences,Camden,1479,564.4,147590.6,0.372,2.6881720430107525
31873,E01003047,Public Order Offences,Lambeth,1798,538.2,155647.44,0.336,2.976190476190476
52300,E01034150,Public Order Offences,Croydon,1312,465.4,98385.56,0.322,3.1055900621118013
53048,E01034386,Public Order Offences,Bromley,1224,421.0,110723.0,0.351,2.8490028490028494
49484,E01004761,Public Order Offences,Westminster,1217,381.8,109462.06,0.366,2.73224043715847
20235,E01001943,Public Order Offences,Hammersmith and Fulham,2225,381.0,74866.5,0.253,3.952569169960474
52366,E01034156,Public Order Offences,Sutton,1353,372.2,90295.72,0.323,3.095975232198142
31015,E01002968,Public Order Offences,Kingston upon Thames,2937,357.1,63742.35,0.22,4.545454545454546
52663,E01034200,Public Order Offences,Newham,1573,328.3,68581.87,0.297,3.367003367003367
19762,E01001898,Public Order Offences,Hammersmith and Fulham,2100,324.9,58287.06,0.221,4.524886877828054
54093,E01035652,Public Order Offences,Islington,1271,323.0,67184.0,0.315,3.1746031746031744
9587,E01000914,Public Order Offences,Camden,1402,317.6,63742.32,0.29,3.4482758620689657
50760,E01033594,Public Order Offences,Westminster,1514,315.1,67935.56,0.26,3.846153846153846
20213,E01001941,Public Order Offences,Hammersmith and Fulham,1546,312.8,59275.6,0.29,3.4482758620689657
24657,E01002356,Public Order Offences,Havering,2107,309.6,53777.52,0.225,4.444444444444445
49253,E01004735,Public Order Offences,Westminster,2044,308.2,58742.92,0.24,4.166666666666667
50859,E01033699,Public Order Offences,Hackney,1409,306.4,58553.04,0.24,4.166666666666667
51992,E01034030,Public Order Offences,Ealing,1834,292.5,54873.0,0.264,3.7878787878787876
53202,E01034473,Public Order Offences,Barking and Dagenham,1294,292.3,58313.85,0.263,3.8022813688212924
31499,E01003013,Public Order Offences,Lambeth,1934,289.3,53867.66,0.221,4.524886877828054
28133,E01002695,Public Order Offences,Islington,1483,263.0,46393.2,0.25,4.0
52245,E01034145,Public Order Offences,Croydon,1330,259.2,51062.4,0.259,3.861003861003861
49022,E01004714,Public Order Offences,Westminster,1667,255.8,47860.18,0.248,4.032258064516129
49858,E01032741,Public Order Offences,Havering,1484,250.1,49219.68,0.26,3.846153846153846
