,Borough,Major Category,LSOA,Population,Mean,Range,Normalised Deviation,Regression
47202,Westminster,Public Order Offences,E01004734,6796,364.2,3.2736977026751077e-06,55358.4,0.182
47241,Westminster,Public Order Offences,E01035716,6603,230.4,7.164713562167263e-06,25735.68,0.137
47226,Westminster,Public Order Offences,E01004763,6093,216.7,9.372404224783657e-06,21626.66,0.129
47204,Westminster,Public Order Offences,E01004736,6188,195.5,7.536231866582651e-06,21270.4,0.145
8786,Camden,Public Order Offences,E01000863,4437,188.1,1.3875597993177813e-05,16515.18,0.124
7392,Bromley,Public Order Offences,E01034386,3672,140.3,1.7448324866591855e-05,12388.49,0.117
47224,Westminster,Public Order Offences,E01004761,3651,127.3,1.6870754717092542e-05,12246.26,0.122
10717,Croydon,Public Order Offences,E01034150,3936,155.1,1.8126554272725213e-05,11027.61,0.107
41229,Sutton,Public Order Offences,E01034156,4059,124.1,1.5574997201562377e-05,10114.15,0.108
30709,Lambeth,Public Order Offences,E01003047,7192,134.5,2.22800493476357e-05,9818.5,0.084
18958,Hammersmith and Fulham,Public Order Offences,E01001943,6675,127.0,2.3890479543561876e-05,8407.4,0.084
35511,Newham,Public Order Offences,E01034200,4719,109.4,2.2702780554832345e-05,7690.82,0.099
47231,Westminster,Public Order Offences,E01033594,4542,105.0,2.7035714259644134e-05,7612.5,0.087
27432,Islington,Public Order Offences,E01035652,3813,107.7,2.5288500059655572e-05,7539.0,0.105
29403,Kingston upon Thames,Public Order Offences,E01002968,8811,119.0,3.219218165867834e-05,7163.8,0.073
8835,Camden,Public Order Offences,E01000914,4206,105.9,3.055131808773679e-05,7158.84,0.097
18956,Hammersmith and Fulham,Public Order Offences,E01001941,4638,104.3,2.9645254215762666e-05,6654.34,0.097
17714,Hackney,Public Order Offences,E01033699,4227,102.1,3.450048949294492e-05,6575.24,0.08
18915,Hammersmith and Fulham,Public Order Offences,E01001898,6300,108.3,3.061670775173708e-05,6552.15,0.074
12730,Ealing,Public Order Offences,E01034030,5502,97.5,2.351282056527219e-05,6162.0,0.088
23008,Havering,Public Order Offences,E01002356,6321,103.2,3.062500021054688e-05,6047.52,0.075
30675,Lambeth,Public Order Offences,E01003013,5802,96.4,3.1677221780940924e-05,6044.28,0.074
10712,Croydon,Public Order Offences,E01034145,3990,86.4,3.848379689760563e-05,5728.32,0.086
23043,Havering,Public Order Offences,E01032741,4452,83.4,3.3363309154498346e-05,5529.42,0.087
47182,Westminster,Public Order Offences,E01004714,5001,85.3,4.5098747089157744e-05,5373.9,0.083
27312,Islington,Public Order Offences,E01002695,4449,87.7,4.6117964958094446e-05,5218.15,0.083
16196,Greenwich,Public Order Offences,E01033735,3810,81.2,4.26556194299759e-05,4888.24,0.083
27382,Islington,Public Order Offences,E01002770,5682,82.9,4.2837756324534214e-05,4501.47,0.079
26091,Hounslow,Public Order Offences,E01033083,6534,81.7,4.998469968342691e-05,4452.65,0.067
8865,Camden,Public Order Offences,E01000947,4968,82.4,5.481023682023454e-05,4367.2,0.08
47136,Westminster,Public Order Offences,E01004658,4644,78.0,5.4125874701198104e-05,3985.8,0.072
47215,Westminster,Public Order Offences,E01004750,4902,73.8,5.109443513645766e-05,3948.3,0.073
47203,Westminster,Public Order Offences,E01004735,8176,77.1,5.302205006787352e-05,3731.64,0.06
668,Barking and Dagenham,Public Order Offences,E01034473,5176,73.1,5.900592714538175e-05,3698.86,0.066
8895,Camden,Public Order Offences,E01035711,7200,79.3,5.674653287196132e-05,3584.36,0.059
17721,Hackney,Public Order Offences,E01033708,5649,73.8,5.46747962256676e-05,3571.92,0.068
45668,Wandsworth,Public Order Offences,E01004525,5799,72.8,6.127430330351214e-05,3567.2,0.066
7227,Bromley,Public Order Offences,E01000676,6138,80.1,6.385767809395559e-05,3508.38,0.058
32541,Lewisham,Public Order Offences,E01003318,6228,75.3,5.9077974773941087e-05,3260.49,0.064
12695,Ealing,Public Order Offences,E01001361,6813,73.2,5.817110623701875e-05,3162.24,0.063
17632,Hackney,Public Order Offences,E01001760,5775,64.3,6.41524097024361e-05,3150.7,0.063
42522,Tower Hamlets,Public Order Offences,E01004208,5931,66.0,6.912587496940316e-05,3003.0,0.063
10716,Croydon,Public Order Offences,E01034149,6333,70.0,6.959340816805305e-05,2940.0,0.063
27313,Islington,Public Order Offences,E01002696,5364,63.6,8.43396245351727e-05,2906.52,0.066
37086,Redbridge,Public Order Offences,E01003689,6690,66.0,6.757575884536274e-05,2857.8,0.052
27406,Islington,Public Order Offences,E01002794,6084,62.0,5.451612982362124e-05,2839.6,0.067
18916,Hammersmith and Fulham,Public Order Offences,E01001899,4908,60.4,6.250636783622331e-05,2802.56,0.064
