,LSOA,Major Category,Borough,Population,Mean,Range,Normalised Deviation
4734,E01000524,Public Order Offences,Brent,7152,49.0,0.003,1621.9
47239,E01035670,Public Order Offences,Tower Hamlets,13140,25.8,0.003,516.0
23923,E01002641,Public Order Offences,Hounslow,8184,33.6,0.003,819.84
6082,E01000676,Public Order Offences,Bromley,6138,80.1,0.002,3508.38
3274,E01000362,Public Order Offences,Bexley,5712,52.9,0.002,2052.52
12275,E01001351,Public Order Offences,Ealing,5979,61.6,0.002,2248.4
18365,E01002029,Public Order Offences,Haringey,8552,44.0,0.002,1386.0
9127,E01001013,Public Order Offences,Croydon,6555,51.2,0.002,1920.0
10891,E01001202,Public Order Offences,Ealing,7437,40.2,0.002,1105.5
18415,E01002034,Public Order Offences,Haringey,7413,51.2,0.002,1920.0
39723,E01004397,Public Order Offences,Waltham Forest,8688,57.6,0.002,2194.56
35692,E01003921,Public Order Offences,Southwark,5691,57.1,0.002,2129.83
25300,E01002795,Public Order Offences,Islington,5838,54.8,0.002,2005.68
26886,E01002968,Public Order Offences,Kingston upon Thames,8811,119.0,0.002,7163.8
24454,E01002704,Public Order Offences,Islington,7023,45.7,0.002,1471.54
24513,E01002711,Public Order Offences,Islington,6156,43.7,0.002,1472.69
24732,E01002734,Public Order Offences,Islington,7089,51.8,0.002,1844.08
22714,E01002506,Public Order Offences,Hillingdon,6162,57.8,0.002,2086.58
22831,E01002521,Public Order Offences,Hillingdon,8220,49.3,0.002,1636.76
8519,E01000947,Public Order Offences,Camden,4968,82.4,0.002,4367.2
8263,E01000918,Public Order Offences,Camden,5415,50.7,0.002,1607.19
43020,E01004765,Public Order Offences,Westminster,7448,49.8,0.002,1847.58
45480,E01034149,Public Order Offences,Croydon,6333,70.0,0.002,2940.0
47630,E01035711,Public Order Offences,Camden,7200,79.3,0.002,3584.36
45275,E01034036,Public Order Offences,Hounslow,5460,51.1,0.002,1946.91
43830,E01033327,Public Order Offences,Lewisham,8676,54.0,0.002,1890.0
43227,E01032582,Public Order Offences,Lambeth,9124,38.5,0.002,1047.2
42742,E01004731,Public Order Offences,Westminster,5988,56.0,0.002,2116.8
29083,E01003199,Public Order Offences,Lewisham,5898,61.1,0.002,2425.67
30035,E01003303,Public Order Offences,Lewisham,5229,49.9,0.002,1751.49
35279,E01003876,Public Order Offences,Richmond upon Thames,5631,62.6,0.002,2679.28
27902,E01003076,Public Order Offences,Lambeth,7980,38.9,0.002,1229.24
36900,E01004067,Public Order Offences,Southwark,6636,64.4,0.002,2492.28
24377,E01002696,Public Order Offences,Islington,5364,63.6,0.002,2906.52
8222,E01000914,Public Order Offences,Camden,4206,105.9,0.001,7158.84
