,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
43006,Tower Hamlets,E01035670,Public Order Offences,13140,25.8,1.00377,516.0
26054,Hounslow,E01002641,Public Order Offences,8184,33.6,1.00263,819.84
11691,Ealing,E01001202,Public Order Offences,7437,40.2,1.00217,1105.5
31516,Lambeth,E01032582,Public Order Offences,9124,38.5,1.00213,1047.2
8857,Camden,E01000918,Public Order Offences,5415,50.7,1.00175,1607.19
21064,Harrow,E01002129,Public Order Offences,10764,37.3,1.00163,1096.62
20067,Haringey,E01002029,Public Order Offences,8552,44.0,1.00155,1386.0
26803,Islington,E01002704,Public Order Offences,7023,45.7,1.00151,1471.54
5059,Brent,E01000524,Public Order Offences,7152,49.0,1.00149,1621.9
24785,Hillingdon,E01002521,Public Order Offences,8220,49.3,1.00147,1636.76
33192,Lewisham,E01033327,Public Order Offences,8676,54.0,1.00138,1890.0
13075,Ealing,E01001351,Public Order Offences,5979,61.6,1.00137,2248.4
30433,Lambeth,E01003076,Public Order Offences,7980,38.9,1.00136,1229.24
24668,Hillingdon,E01002506,Public Order Offences,6162,57.8,1.00134,2086.58
32633,Lewisham,E01003303,Public Order Offences,5229,49.9,1.00125,1751.49
42547,Tower Hamlets,E01004309,Public Order Offences,8529,51.5,1.00125,1828.25
26862,Islington,E01002711,Public Order Offences,6156,43.7,1.00125,1472.69
27081,Islington,E01002734,Public Order Offences,7089,51.8,1.00125,1844.08
27649,Islington,E01002795,Public Order Offences,5838,54.8,1.00121,2005.68
40200,Southwark,E01004067,Public Order Offences,6636,64.4,1.0012,2492.28
1375,Barnet,E01000141,Public Order Offences,5583,52.5,1.00119,1905.75
38992,Southwark,E01003921,Public Order Offences,5691,57.1,1.00119,2129.83
47262,Westminster,E01004731,Public Order Offences,5988,56.0,1.00113,2116.8
44031,Waltham Forest,E01004397,Public Order Offences,8688,57.6,1.00112,2194.56
31681,Lewisham,E01003199,Public Order Offences,5898,61.1,1.00106,2425.67
47540,Westminster,E01004765,Public Order Offences,7448,49.8,1.00105,1847.58
20117,Haringey,E01002034,Public Order Offences,7413,51.2,1.00105,1920.0
9781,Croydon,E01001013,Public Order Offences,6555,51.2,1.00105,1920.0
17881,Hackney,E01001830,Public Order Offences,5751,50.4,1.00103,1895.04
11585,Croydon,E01034149,Public Order Offences,6333,70.0,1.00102,2940.0
6596,Bromley,E01000676,Public Order Offences,6138,80.1,1.00102,3508.38
26598,Hounslow,E01034036,Public Order Offences,5460,51.1,1.001,1946.91
32761,Lewisham,E01003318,Public Order Offences,6228,75.3,1.00099,3260.49
