,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
27563,Public Order Offences,E01004734,Westminster,364.2,151.0,2.41
28067,Public Order Offences,E01035716,Westminster,230.4,110.7,2.08
27587,Public Order Offences,E01004763,Westminster,216.7,98.8,2.19
27565,Public Order Offences,E01004736,Westminster,195.5,107.8,1.81
23926,Public Order Offences,E01000863,Camden,188.1,86.8,2.17
27841,Public Order Offences,E01034150,Croydon,155.1,70.1,2.21
25421,Public Order Offences,E01002444,Hillingdon,147.9,92.9,1.59
27908,Public Order Offences,E01034386,Bromley,140.3,87.3,1.61
25989,Public Order Offences,E01003047,Lambeth,134.5,72.0,1.87
27585,Public Order Offences,E01004761,Westminster,127.3,95.2,1.34
24938,Public Order Offences,E01001943,Hammersmith and Fulham,127.0,65.2,1.95
27847,Public Order Offences,E01034156,Sutton,124.1,80.5,1.54
25913,Public Order Offences,E01002968,Kingston upon Thames,119.0,59.2,2.01
27874,Public Order Offences,E01034200,Newham,109.4,69.3,1.58
27894,Public Order Offences,E01034220,Newham,109.2,82.5,1.32
24895,Public Order Offences,E01001898,Hammersmith and Fulham,108.3,59.5,1.82
28003,Public Order Offences,E01035652,Islington,107.7,69.0,1.56
23975,Public Order Offences,E01000914,Camden,105.9,66.6,1.59
27701,Public Order Offences,E01033594,Westminster,105.0,71.5,1.47
24936,Public Order Offences,E01001941,Hammersmith and Fulham,104.3,62.8,1.66
25336,Public Order Offences,E01002356,Havering,103.2,57.6,1.79
27710,Public Order Offences,E01033699,Hackney,102.1,63.4,1.61
27813,Public Order Offences,E01034030,Ealing,97.5,62.2,1.57
25955,Public Order Offences,E01003013,Lambeth,96.4,61.7,1.56
25652,Public Order Offences,E01002695,Islington,87.7,58.5,1.5
27836,Public Order Offences,E01034145,Croydon,86.4,65.3,1.32
27543,Public Order Offences,E01004714,Westminster,85.3,62.0,1.38
23980,Public Order Offences,E01000919,Camden,84.4,66.8,1.26
27619,Public Order Offences,E01032741,Havering,83.4,65.3,1.28
25722,Public Order Offences,E01002770,Islington,82.9,53.3,1.56
24005,Public Order Offences,E01000947,Camden,82.4,52.0,1.58
27653,Public Order Offences,E01033083,Hounslow,81.7,53.5,1.53
27728,Public Order Offences,E01033735,Greenwich,81.2,59.2,1.37
27525,Public Order Offences,E01004695,Westminster,80.2,83.2,0.96
23749,Public Order Offences,E01000676,Bromley,80.1,42.8,1.87
24382,Public Order Offences,E01001340,Ealing,80.0,109.4,0.73
28062,Public Order Offences,E01035711,Camden,79.3,44.2,1.79
27862,Public Order Offences,E01034187,Greenwich,78.6,63.9,1.23
27497,Public Order Offences,E01004658,Westminster,78.0,50.1,1.56
27564,Public Order Offences,E01004735,Westminster,77.1,47.4,1.63
23918,Public Order Offences,E01000855,Camden,75.7,57.6,1.31
26249,Public Order Offences,E01003318,Lewisham,75.3,42.3,1.78
27574,Public Order Offences,E01004748,Westminster,74.0,61.9,1.2
27576,Public Order Offences,E01004750,Westminster,73.8,52.5,1.41
27717,Public Order Offences,E01033708,Hackney,73.8,47.4,1.56
24403,Public Order Offences,E01001361,Ealing,73.2,42.2,1.73
27922,Public Order Offences,E01034473,Barking and Dagenham,73.1,49.6,1.47
27370,Public Order Offences,E01004525,Wandsworth,72.8,48.0,1.52
27957,Public Order Offences,E01034602,Hillingdon,71.2,53.5,1.33
27840,Public Order Offences,E01034149,Croydon,70.0,41.0,1.71
27396,Public Order Offences,E01004551,Wandsworth,66.9,47.5,1.41
27088,Public Order Offences,E01004208,Tower Hamlets,66.0,44.5,1.48
26601,Public Order Offences,E01003689,Redbridge,66.0,42.3,1.56
26226,Public Order Offences,E01003291,Lewisham,65.9,55.7,1.18
27834,Public Order Offences,E01034143,Croydon,65.8,48.3,1.36
27172,Public Order Offences,E01004322,Tower Hamlets,64.6,57.8,1.12
26954,Public Order Offences,E01004067,Southwark,64.4,37.7,1.71
24767,Public Order Offences,E01001760,Hackney,64.3,48.0,1.34
25653,Public Order Offences,E01002696,Islington,63.6,44.7,1.42
23915,Public Order Offences,E01000850,Camden,62.7,51.0,1.23
26784,Public Order Offences,E01003876,Richmond upon Thames,62.6,41.8,1.5
