,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
27563,Public Order Offences,E01004734,Westminster,364.2,151.0,2.41
28067,Public Order Offences,E01035716,Westminster,230.4,110.7,2.08
24382,Public Order Offences,E01001340,Ealing,80.0,109.4,0.73
27565,Public Order Offences,E01004736,Westminster,195.5,107.8,1.81
27587,Public Order Offences,E01004763,Westminster,216.7,98.8,2.19
27585,Public Order Offences,E01004761,Westminster,127.3,95.2,1.34
25421,Public Order Offences,E01002444,Hillingdon,147.9,92.9,1.59
27908,Public Order Offences,E01034386,Bromley,140.3,87.3,1.61
23926,Public Order Offences,E01000863,Camden,188.1,86.8,2.17
27525,Public Order Offences,E01004695,Westminster,80.2,83.2,0.96
27894,Public Order Offences,E01034220,Newham,109.2,82.5,1.32
27847,Public Order Offences,E01034156,Sutton,124.1,80.5,1.54
25989,Public Order Offences,E01003047,Lambeth,134.5,72.0,1.87
27701,Public Order Offences,E01033594,Westminster,105.0,71.5,1.47
27841,Public Order Offences,E01034150,Croydon,155.1,70.1,2.21
27874,Public Order Offences,E01034200,Newham,109.4,69.3,1.58
28003,Public Order Offences,E01035652,Islington,107.7,69.0,1.56
23980,Public Order Offences,E01000919,Camden,84.4,66.8,1.26
23975,Public Order Offences,E01000914,Camden,105.9,66.6,1.59
27836,Public Order Offences,E01034145,Croydon,86.4,65.3,1.32
27619,Public Order Offences,E01032741,Havering,83.4,65.3,1.28
24938,Public Order Offences,E01001943,Hammersmith and Fulham,127.0,65.2,1.95
27862,Public Order Offences,E01034187,Greenwich,78.6,63.9,1.23
27710,Public Order Offences,E01033699,Hackney,102.1,63.4,1.61
24936,Public Order Offences,E01001941,Hammersmith and Fulham,104.3,62.8,1.66
27813,Public Order Offences,E01034030,Ealing,97.5,62.2,1.57
27561,Public Order Offences,E01004732,Westminster,59.7,62.1,0.96
27543,Public Order Offences,E01004714,Westminster,85.3,62.0,1.38
27574,Public Order Offences,E01004748,Westminster,74.0,61.9,1.2
25955,Public Order Offences,E01003013,Lambeth,96.4,61.7,1.56
24895,Public Order Offences,E01001898,Hammersmith and Fulham,108.3,59.5,1.82
25913,Public Order Offences,E01002968,Kingston upon Thames,119.0,59.2,2.01
27728,Public Order Offences,E01033735,Greenwich,81.2,59.2,1.37
25652,Public Order Offences,E01002695,Islington,87.7,58.5,1.5
27172,Public Order Offences,E01004322,Tower Hamlets,64.6,57.8,1.12
23918,Public Order Offences,E01000855,Camden,75.7,57.6,1.31
25336,Public Order Offences,E01002356,Havering,103.2,57.6,1.79
26226,Public Order Offences,E01003291,Lewisham,65.9,55.7,1.18
27771,Public Order Offences,E01033884,Southwark,60.7,54.3,1.12
23473,Public Order Offences,E01000381,Bexley,26.5,53.5,0.5
27957,Public Order Offences,E01034602,Hillingdon,71.2,53.5,1.33
27653,Public Order Offences,E01033083,Hounslow,81.7,53.5,1.53
25722,Public Order Offences,E01002770,Islington,82.9,53.3,1.56
27576,Public Order Offences,E01004750,Westminster,73.8,52.5,1.41
27896,Public Order Offences,E01034222,Newham,34.7,52.5,0.66
24005,Public Order Offences,E01000947,Camden,82.4,52.0,1.58
27863,Public Order Offences,E01034188,Greenwich,60.8,51.6,1.18
23915,Public Order Offences,E01000850,Camden,62.7,51.0,1.23
27497,Public Order Offences,E01004658,Westminster,78.0,50.1,1.56
27879,Public Order Offences,E01034205,Newham,59.5,49.8,1.19
27922,Public Order Offences,E01034473,Barking and Dagenham,73.1,49.6,1.47
27953,Public Order Offences,E01034598,Harrow,38.7,49.3,0.78
27670,Public Order Offences,E01033325,Lewisham,12.5,49.2,0.25
25997,Public Order Offences,E01003055,Lambeth,61.0,49.0,1.24
27125,Public Order Offences,E01004259,Tower Hamlets,60.7,48.8,1.24
25020,Public Order Offences,E01002026,Haringey,62.3,48.8,1.28
23423,Public Order Offences,E01000330,Bexley,45.7,48.8,0.94
26058,Public Order Offences,E01003118,Lambeth,56.4,48.5,1.16
23860,Public Order Offences,E01000792,Bromley,33.8,48.4,0.7
25770,Public Order Offences,E01002819,Kensington and Chelsea,48.9,48.3,1.01
27834,Public Order Offences,E01034143,Croydon,65.8,48.3,1.36
