,LSOA,Borough,Major Category,Population,Mean,Normalised Deviation,Regression,Flat
38920,E01004309,Tower Hamlets,Robbery,5686,43.7,1363.44,0.046,21.73913043478261
34439,E01003783,Redbridge,Robbery,5098,54.0,1938.6,0.054,18.51851851851852
36558,E01004031,Southwark,Robbery,5220,53.4,2386.98,0.067,14.925373134328357
36059,E01003969,Southwark,Robbery,4776,58.5,2603.25,0.068,14.705882352941176
13017,E01001429,Enfield,Robbery,4588,65.8,3375.54,0.076,13.157894736842106
9128,E01001013,Croydon,Robbery,4370,73.9,3872.36,0.078,12.820512820512821
43831,E01033327,Lewisham,Robbery,4338,70.8,3603.72,0.078,12.820512820512821
39724,E01004397,Waltham Forest,Robbery,5792,75.5,4054.35,0.081,12.345679012345679
36901,E01004067,Southwark,Robbery,4424,78.7,4155.36,0.081,12.345679012345679
26887,E01002968,Kingston upon Thames,Robbery,5874,79.8,4612.44,0.082,12.195121951219512
24733,E01002734,Islington,Robbery,4726,73.9,4397.05,0.083,12.048192771084336
40922,E01004525,Wandsworth,Robbery,3866,79.1,4571.98,0.089,11.235955056179776
12373,E01001361,Ealing,Robbery,4542,91.8,5572.26,0.092,10.869565217391305
30164,E01003318,Lewisham,Robbery,4152,81.7,4991.87,0.094,10.638297872340425
27697,E01003055,Lambeth,Robbery,3236,83.6,5166.48,0.095,10.526315789473685
45218,E01034030,Ealing,Robbery,3668,86.0,5461.0,0.096,10.416666666666666
30036,E01003303,Lewisham,Robbery,3486,85.7,5527.65,0.099,10.1010101010101
24455,E01002704,Islington,Robbery,4682,92.5,7455.5,0.1,10.0
18747,E01002069,Haringey,Robbery,4184,86.7,5860.92,0.101,9.900990099009901
47631,E01035711,Camden,Robbery,4800,104.4,7558.56,0.103,9.708737864077671
36390,E01004010,Southwark,Robbery,2982,91.3,6171.88,0.104,9.615384615384615
32037,E01003521,Newham,Robbery,4374,112.0,8030.4,0.105,9.523809523809524
21373,E01002356,Havering,Robbery,4214,83.8,5723.54,0.105,9.523809523809524
8520,E01000947,Camden,Robbery,3312,97.0,6615.4,0.105,9.523809523809524
42130,E01004658,Westminster,Robbery,3096,106.0,7335.2,0.106,9.433962264150944
33571,E01003689,Redbridge,Robbery,4460,103.5,7772.85,0.106,9.433962264150944
42783,E01004735,Westminster,Robbery,4088,106.2,8134.92,0.107,9.345794392523365
44211,E01033699,Hackney,Robbery,2818,112.7,9173.78,0.116,8.620689655172413
7646,E01000850,Camden,Robbery,2822,125.7,10533.66,0.118,8.474576271186441
17563,E01001943,Hammersmith and Fulham,Robbery,4450,106.5,8903.4,0.127,7.874015748031496
43021,E01004765,Westminster,Robbery,3724,139.8,12707.82,0.132,7.575757575757575
27618,E01003047,Lambeth,Robbery,3596,182.1,16134.06,0.133,7.518796992481203
43001,E01004762,Westminster,Robbery,3158,129.3,11908.53,0.136,7.352941176470588
8223,E01000914,Camden,Robbery,2804,125.9,12023.45,0.137,7.2992700729927
47699,E01035718,Westminster,Robbery,5318,102.2,9473.94,0.137,7.2992700729927
46282,E01034473,Barking and Dagenham,Robbery,2588,130.7,12704.04,0.144,6.944444444444445
27290,E01003013,Lambeth,Robbery,3868,91.6,9773.72,0.152,6.578947368421053
43228,E01032582,Lambeth,Robbery,4562,117.6,13535.76,0.158,6.329113924050633
18121,E01002002,Haringey,Robbery,3354,128.7,16151.85,0.179,5.58659217877095
45491,E01034150,Croydon,Robbery,2624,169.3,19689.59,0.18,5.555555555555555
7676,E01000855,Camden,Robbery,2654,163.1,19898.2,0.182,5.4945054945054945
44281,E01033708,Hackney,Robbery,3766,214.3,33430.8,0.185,5.405405405405405
8274,E01000919,Camden,Robbery,2918,174.8,21640.24,0.188,5.319148936170213
42579,E01004714,Westminster,Robbery,3334,183.3,25368.72,0.189,5.291005291005291
45810,E01034200,Newham,Robbery,3146,182.3,23152.1,0.196,5.1020408163265305
7755,E01000863,Camden,Robbery,2958,212.4,34005.24,0.228,4.385964912280701
42991,E01004761,Westminster,Robbery,2434,250.9,39893.1,0.238,4.201680672268908
46006,E01034220,Newham,Robbery,2376,276.0,66322.8,0.302,3.3112582781456954
42793,E01004736,Westminster,Robbery,3094,458.4,124043.04,0.384,2.6041666666666665
43011,E01004763,Westminster,Robbery,4062,668.0,281361.6,0.501,1.996007984031936
47679,E01035716,Westminster,Robbery,4402,676.6,272602.14,0.523,1.9120458891013383
42773,E01004734,Westminster,Robbery,3398,760.0,294804.0,0.555,1.8018018018018016
