,Major Category,Borough,LSOA,Population,Mean,Normalised Deviation,Inverse Normalised Deviation
32253,Robbery,Tower Hamlets,E01004309,5686,43.7,1363.44,0.00073
31769,Robbery,Redbridge,E01003783,5098,54.0,1938.6,0.00052
31988,Robbery,Southwark,E01004031,5220,53.4,2386.98,0.00042
31939,Robbery,Southwark,E01003969,4776,58.5,2603.25,0.00038
29425,Robbery,Enfield,E01001429,4588,65.8,3375.54,0.0003
31325,Robbery,Lewisham,E01033327,4338,70.8,3603.72,0.00028
29020,Robbery,Croydon,E01001013,4370,73.9,3872.36,0.00026
32401,Robbery,Waltham Forest,E01004397,5792,75.5,4054.35,0.00025
32024,Robbery,Southwark,E01004067,4424,78.7,4155.36,0.00024
30728,Robbery,Islington,E01002734,4726,73.9,4397.05,0.00023
32527,Robbery,Wandsworth,E01004525,3866,79.1,4571.98,0.00022
30951,Robbery,Kingston upon Thames,E01002968,5874,79.8,4612.44,0.00022
31282,Robbery,Lewisham,E01003318,4152,81.7,4991.87,0.0002
31027,Robbery,Lambeth,E01003055,3236,83.6,5166.48,0.00019
29349,Robbery,Ealing,E01001361,4542,91.8,5572.26,0.00018
31269,Robbery,Lewisham,E01003303,3486,85.7,5527.65,0.00018
29384,Robbery,Ealing,E01034030,3668,86.0,5461.0,0.00018
30089,Robbery,Haringey,E01002069,4184,86.7,5860.92,0.00017
30361,Robbery,Havering,E01002356,4214,83.8,5723.54,0.00017
31971,Robbery,Southwark,E01004010,2982,91.3,6171.88,0.00016
28951,Robbery,Camden,E01000947,3312,97.0,6615.4,0.00015
32665,Robbery,Westminster,E01004658,3096,106.0,7335.2,0.00014
28981,Robbery,Camden,E01035711,4800,104.4,7558.56,0.00013
30700,Robbery,Islington,E01002704,4682,92.5,7455.5,0.00013
31684,Robbery,Redbridge,E01003689,4460,103.5,7772.85,0.00013
32732,Robbery,Westminster,E01004735,4088,106.2,8134.92,0.00012
31492,Robbery,Newham,E01003521,4374,112.0,8030.4,0.00012
32772,Robbery,Westminster,E01035718,5318,102.2,9473.94,0.00011
29846,Robbery,Hackney,E01033699,2818,112.7,9173.78,0.00011
29960,Robbery,Hammersmith and Fulham,E01001943,4450,106.5,8903.4,0.00011
30985,Robbery,Lambeth,E01003013,3868,91.6,9773.72,0.0001
28862,Robbery,Camden,E01000850,2822,125.7,10533.66,9e-05
32756,Robbery,Westminster,E01004765,3724,139.8,12707.82,8e-05
32754,Robbery,Westminster,E01004762,3158,129.3,11908.53,8e-05
28921,Robbery,Camden,E01000914,2804,125.9,12023.45,8e-05
28179,Robbery,Barking and Dagenham,E01034473,2588,130.7,12704.04,8e-05
31157,Robbery,Lambeth,E01032582,4562,117.6,13535.76,7e-05
30024,Robbery,Haringey,E01002002,3354,128.7,16151.85,6e-05
31019,Robbery,Lambeth,E01003047,3596,182.1,16134.06,6e-05
28865,Robbery,Camden,E01000855,2654,163.1,19898.2,5e-05
28926,Robbery,Camden,E01000919,2918,174.8,21640.24,5e-05
29193,Robbery,Croydon,E01034150,2624,169.3,19689.59,5e-05
32711,Robbery,Westminster,E01004714,3334,183.3,25368.72,4e-05
31608,Robbery,Newham,E01034200,3146,182.3,23152.1,4e-05
29853,Robbery,Hackney,E01033708,3766,214.3,33430.8,3e-05
28873,Robbery,Camden,E01000863,2958,212.4,34005.24,3e-05
32753,Robbery,Westminster,E01004761,2434,250.9,39893.1,3e-05
31628,Robbery,Newham,E01034220,2376,276.0,66322.8,2e-05
32733,Robbery,Westminster,E01004736,3094,458.4,124043.04,1e-05
32731,Robbery,Westminster,E01004734,3398,760.0,294804.0,0.0
32755,Robbery,Westminster,E01004763,4062,668.0,281361.6,0.0
32770,Robbery,Westminster,E01035716,4402,676.6,272602.14,0.0
