,Borough,Major Category,LSOA,Population,Mean,Range,Normalised Deviation,Regression
47325,Westminster,Robbery,E01004734,3398,760.0,7.451754387474873e-07,294804.0,0.555
47364,Westminster,Robbery,E01035716,4402,676.6,7.565185710148553e-07,272602.14,0.523
47349,Westminster,Robbery,E01004763,4062,668.0,7.507207805343651e-07,281361.6,0.501
47327,Westminster,Robbery,E01004736,3094,458.4,1.6070389772824519e-06,124043.04,0.384
35715,Newham,Robbery,E01034220,2376,276.0,3.4434782656604917e-06,66322.8,0.302
47347,Westminster,Robbery,E01004761,2434,250.9,5.105829550254025e-06,39893.1,0.238
17870,Hackney,Robbery,E01033708,3766,214.3,7.02939803918597e-06,33430.8,0.185
8916,Camden,Robbery,E01000863,2958,212.4,3.3158461135713766e-06,34005.24,0.228
47305,Westminster,Robbery,E01004714,3334,183.3,6.062920516209421e-06,25368.72,0.189
35695,Newham,Robbery,E01034200,3146,182.3,7.84421286567475e-06,23152.1,0.196
30890,Lambeth,Robbery,E01003047,3596,182.1,1.1616112705287059e-05,16134.06,0.133
8969,Camden,Robbery,E01000919,2918,174.8,1.0433352422890484e-05,21640.24,0.188
10930,Croydon,Robbery,E01034150,2624,169.3,7.045051795854858e-06,19689.59,0.18
8908,Camden,Robbery,E01000855,2654,163.1,1.0848150378969827e-05,19898.2,0.182
47350,Westminster,Robbery,E01004765,3724,139.8,1.4798919021839401e-05,12707.82,0.132
780,Barking and Dagenham,Robbery,E01034473,2588,130.7,1.5231593175600439e-05,12704.04,0.144
47348,Westminster,Robbery,E01004762,3158,129.3,1.5264887936794084e-05,11908.53,0.136
20313,Haringey,Robbery,E01002002,3354,128.7,1.0424242376227733e-05,16151.85,0.179
8964,Camden,Robbery,E01000914,2804,125.9,1.590831718639139e-05,12023.45,0.137
8905,Camden,Robbery,E01000850,2822,125.7,1.8708565321881895e-05,10533.66,0.118
31028,Lambeth,Robbery,E01032582,4562,117.6,1.212266155070953e-05,13535.76,0.158
17863,Hackney,Robbery,E01033699,2818,112.7,2.2731305984223154e-05,9173.78,0.116
35579,Newham,Robbery,E01003521,4374,112.0,2.4408482396748944e-05,8030.4,0.105
19072,Hammersmith and Fulham,Robbery,E01001943,4450,106.5,1.7410015724378e-05,8903.4,0.127
47326,Westminster,Robbery,E01004735,4088,106.2,2.7495291912427607e-05,8134.92,0.107
47259,Westminster,Robbery,E01004658,3096,106.0,2.920754725357636e-05,7335.2,0.106
9024,Camden,Robbery,E01035711,4800,104.4,2.704530087897228e-05,7558.56,0.103
37247,Redbridge,Robbery,E01003689,4460,103.5,2.534811003097463e-05,7772.85,0.106
47366,Westminster,Robbery,E01035718,5318,102.2,1.8584008910065902e-05,9473.94,0.137
8994,Camden,Robbery,E01000947,3312,97.0,2.845360787195239e-05,6615.4,0.105
27447,Islington,Robbery,E01002704,4682,92.5,3.1635135031252196e-05,7455.5,0.1
12885,Ealing,Robbery,E01001361,4542,91.8,3.298474940215966e-05,5572.26,0.092
30856,Lambeth,Robbery,E01003013,3868,91.6,1.2064878352485846e-05,9773.72,0.152
39951,Southwark,Robbery,E01004010,2982,91.3,3.6290617002908915e-05,6171.88,0.104
20378,Haringey,Robbery,E01002069,4184,86.7,2.838727222585027e-05,5860.92,0.101
12920,Ealing,Robbery,E01034030,3668,86.0,3.8773783742012895e-05,5461.0,0.096
32701,Lewisham,Robbery,E01003303,3486,85.7,3.697888978722939e-05,5527.65,0.099
23149,Havering,Robbery,E01002356,4214,83.8,3.1428997964972384e-05,5723.54,0.105
30898,Lambeth,Robbery,E01003055,3236,83.6,3.8708134588029126e-05,5166.48,0.095
32714,Lewisham,Robbery,E01003318,4152,81.7,3.630005187277413e-05,4991.87,0.094
29484,Kingston upon Thames,Robbery,E01002968,5874,79.8,4.329942483209024e-05,4612.44,0.082
45853,Wandsworth,Robbery,E01004525,3866,79.1,4.443167379402551e-05,4571.98,0.089
40004,Southwark,Robbery,E01004067,4424,78.7,4.6844557625059626e-05,4155.36,0.081
44257,Waltham Forest,Robbery,E01004397,5792,75.5,4.51266063041147e-05,4054.35,0.081
27475,Islington,Robbery,E01002734,4726,73.9,4.9193296350797e-05,4397.05,0.083
10757,Croydon,Robbery,E01001013,4370,73.9,5.375814886179753e-05,3872.36,0.078
32757,Lewisham,Robbery,E01033327,4338,70.8,4.7131681345907374e-05,3603.72,0.078
14600,Enfield,Robbery,E01001429,4588,65.8,4.980460160651715e-05,3375.54,0.076
39919,Southwark,Robbery,E01003969,4776,58.5,7.421911471736842e-05,2603.25,0.068
37332,Redbridge,Robbery,E01003783,5098,54.0,9.440740894240195e-05,1938.6,0.054
39968,Southwark,Robbery,E01004031,5220,53.4,6.982343538424081e-05,2386.98,0.067
42764,Tower Hamlets,Robbery,E01004309,5686,43.7,0.00016264301403527887,1363.44,0.046
