,LSOA,Major Category,Borough,Population,Mean,Normalised Deviation,Regression,Flat
49243,E01004734,Robbery,Westminster,1699,1519.9,1177466.53,1.111,0.9000900090009001
49507,E01004763,Robbery,Westminster,2031,1336.1,1124060.93,1.001,0.9990009990009991
54798,E01035716,Robbery,Westminster,2201,1353.1,1089110.19,1.045,0.9569377990430623
49265,E01004736,Robbery,Westminster,1547,916.8,495163.68,0.768,1.3020833333333333
52884,E01034220,Robbery,Newham,1188,552.1,264787.16,0.603,1.658374792703151
49485,E01004761,Robbery,Westminster,1217,501.7,159038.9,0.475,2.1052631578947367
9049,E01000863,Robbery,Camden,1479,424.8,135638.64,0.456,2.1929824561403506
50937,E01033708,Robbery,Hackney,1883,428.6,133294.6,0.369,2.710027100271003
49023,E01004714,Robbery,Westminster,1667,366.6,101108.28,0.378,2.6455026455026456
52664,E01034200,Robbery,Newham,1573,364.6,92280.26,0.393,2.544529262086514
9643,E01000919,Robbery,Camden,1459,349.6,86246.32,0.375,2.6666666666666665
8961,E01000855,Robbery,Camden,1327,326.3,79258.27,0.364,2.7472527472527473
52301,E01034150,Robbery,Croydon,1312,338.5,78430.45,0.361,2.770083102493075
20885,E01002002,Robbery,Haringey,1677,257.5,64349.25,0.359,2.785515320334262
31874,E01003047,Robbery,Lambeth,1798,364.1,64190.83,0.266,3.7593984962406015
49749,E01032582,Robbery,Lambeth,2281,235.2,53884.32,0.315,3.1746031746031744
53203,E01034473,Robbery,Barking and Dagenham,1294,261.4,50580.9,0.288,3.4722222222222223
49518,E01004765,Robbery,Westminster,1862,279.6,50551.68,0.264,3.7878787878787876
9588,E01000914,Robbery,Camden,1402,251.7,47823.0,0.274,3.64963503649635
49496,E01004762,Robbery,Westminster,1579,258.5,47357.2,0.272,3.676470588235294
8928,E01000850,Robbery,Camden,1411,251.4,41858.1,0.236,4.237288135593221
31500,E01003013,Robbery,Lambeth,1934,183.1,38890.44,0.303,3.3003300330033003
54820,E01035718,Robbery,Westminster,2659,204.4,37691.36,0.273,3.663003663003663
50860,E01033699,Robbery,Hackney,1409,225.4,36447.18,0.232,4.310344827586206
20236,E01001943,Robbery,Hammersmith and Fulham,2225,213.1,35417.22,0.255,3.9215686274509802
49254,E01004735,Robbery,Westminster,2044,212.4,32348.52,0.214,4.672897196261682
36890,E01003521,Robbery,Newham,2187,224.1,31934.25,0.21,4.761904761904762
38628,E01003689,Robbery,Redbridge,2230,207.1,30878.61,0.211,4.739336492890995
54743,E01035711,Robbery,Camden,2400,208.8,30025.44,0.205,4.878048780487805
28233,E01002704,Robbery,Islington,2341,184.9,29639.47,0.2,5.0
48517,E01004658,Robbery,Westminster,1548,212.0,29107.6,0.213,4.694835680751174
9918,E01000947,Robbery,Camden,1656,193.9,26234.67,0.209,4.784688995215311
41928,E01004010,Robbery,Southwark,1491,182.7,24500.07,0.207,4.830917874396135
21600,E01002069,Robbery,Haringey,2092,173.5,23301.05,0.202,4.9504950495049505
24658,E01002356,Robbery,Havering,2107,167.5,22729.75,0.211,4.739336492890995
14340,E01001361,Robbery,Ealing,2271,183.6,22123.8,0.184,5.434782608695652
34591,E01003303,Robbery,Lewisham,1743,171.4,21939.2,0.199,5.025125628140703
51993,E01034030,Robbery,Ealing,1834,171.9,21659.4,0.191,5.2356020942408374
31962,E01003055,Robbery,Lambeth,1618,167.2,20482.0,0.19,5.2631578947368425
34734,E01003318,Robbery,Lewisham,2076,163.5,19799.85,0.188,5.319148936170213
31016,E01002968,Robbery,Kingston upon Thames,2937,159.6,18306.12,0.165,6.0606060606060606
47120,E01004525,Robbery,Wandsworth,1933,158.2,18129.72,0.178,5.617977528089888
28541,E01002734,Robbery,Islington,2363,147.9,17452.2,0.165,6.0606060606060606
42511,E01004067,Robbery,Southwark,2212,157.4,16448.3,0.162,6.172839506172839
45756,E01004397,Robbery,Waltham Forest,2896,150.9,16055.76,0.162,6.172839506172839
10611,E01001013,Robbery,Croydon,2185,147.8,15341.64,0.156,6.410256410256411
50431,E01033327,Robbery,Lewisham,2169,141.6,14273.28,0.156,6.410256410256411
15077,E01001429,Robbery,Enfield,2294,131.5,13360.4,0.152,6.578947368421053
41554,E01003969,Robbery,Southwark,2388,117.0,10284.3,0.136,7.352941176470588
42115,E01004031,Robbery,Southwark,2610,106.8,9430.44,0.133,7.518796992481203
39629,E01003783,Robbery,Redbridge,2549,108.0,7635.6,0.109,9.174311926605505
44843,E01004309,Robbery,Tower Hamlets,2843,87.3,5360.22,0.092,10.869565217391305
