,LSOA,Major Category,Borough,Population,Mean,Range,Normalised Deviation
38920,E01004309,Robbery,Tower Hamlets,5686,43.7,0.002,1363.44
7646,E01000850,Robbery,Camden,2822,125.7,0.001,10533.66
8223,E01000914,Robbery,Camden,2804,125.9,0.001,12023.45
7676,E01000855,Robbery,Camden,2654,163.1,0.001,19898.2
27618,E01003047,Robbery,Lambeth,3596,182.1,0.001,16134.06
8520,E01000947,Robbery,Camden,3312,97.0,0.001,6615.4
9128,E01001013,Robbery,Croydon,4370,73.9,0.001,3872.36
12373,E01001361,Robbery,Ealing,4542,91.8,0.001,5572.26
13017,E01001429,Robbery,Enfield,4588,65.8,0.001,3375.54
18747,E01002069,Robbery,Haringey,4184,86.7,0.001,5860.92
24455,E01002704,Robbery,Islington,4682,92.5,0.001,7455.5
21373,E01002356,Robbery,Havering,4214,83.8,0.001,5723.54
30036,E01003303,Robbery,Lewisham,3486,85.7,0.001,5527.65
27697,E01003055,Robbery,Lambeth,3236,83.6,0.001,5166.48
24733,E01002734,Robbery,Islington,4726,73.9,0.001,4397.05
26887,E01002968,Robbery,Kingston upon Thames,5874,79.8,0.001,4612.44
32037,E01003521,Robbery,Newham,4374,112.0,0.001,8030.4
33571,E01003689,Robbery,Redbridge,4460,103.5,0.001,7772.85
30164,E01003318,Robbery,Lewisham,4152,81.7,0.001,4991.87
8274,E01000919,Robbery,Camden,2918,174.8,0.001,21640.24
46282,E01034473,Robbery,Barking and Dagenham,2588,130.7,0.001,12704.04
47631,E01035711,Robbery,Camden,4800,104.4,0.001,7558.56
45218,E01034030,Robbery,Ealing,3668,86.0,0.001,5461.0
43831,E01033327,Robbery,Lewisham,4338,70.8,0.001,3603.72
36059,E01003969,Robbery,Southwark,4776,58.5,0.001,2603.25
36390,E01004010,Robbery,Southwark,2982,91.3,0.001,6171.88
36558,E01004031,Robbery,Southwark,5220,53.4,0.001,2386.98
34439,E01003783,Robbery,Redbridge,5098,54.0,0.001,1938.6
36901,E01004067,Robbery,Southwark,4424,78.7,0.001,4155.36
39724,E01004397,Robbery,Waltham Forest,5792,75.5,0.001,4054.35
40922,E01004525,Robbery,Wandsworth,3866,79.1,0.001,4571.98
42130,E01004658,Robbery,Westminster,3096,106.0,0.001,7335.2
42783,E01004735,Robbery,Westminster,4088,106.2,0.001,8134.92
44211,E01033699,Robbery,Hackney,2818,112.7,0.001,9173.78
43021,E01004765,Robbery,Westminster,3724,139.8,0.001,12707.82
43001,E01004762,Robbery,Westminster,3158,129.3,0.001,11908.53
27290,E01003013,Robbery,Lambeth,3868,91.6,0.0,9773.72
18121,E01002002,Robbery,Haringey,3354,128.7,0.0,16151.85
17563,E01001943,Robbery,Hammersmith and Fulham,4450,106.5,0.0,8903.4
7755,E01000863,Robbery,Camden,2958,212.4,0.0,34005.24
42793,E01004736,Robbery,Westminster,3094,458.4,0.0,124043.04
42773,E01004734,Robbery,Westminster,3398,760.0,0.0,294804.0
42579,E01004714,Robbery,Westminster,3334,183.3,0.0,25368.72
43011,E01004763,Robbery,Westminster,4062,668.0,0.0,281361.6
44281,E01033708,Robbery,Hackney,3766,214.3,0.0,33430.8
43228,E01032582,Robbery,Lambeth,4562,117.6,0.0,13535.76
42991,E01004761,Robbery,Westminster,2434,250.9,0.0,39893.1
45491,E01034150,Robbery,Croydon,2624,169.3,0.0,19689.59
46006,E01034220,Robbery,Newham,2376,276.0,0.0,66322.8
45810,E01034200,Robbery,Newham,3146,182.3,0.0,23152.1
47679,E01035716,Robbery,Westminster,4402,676.6,0.0,272602.14
47699,E01035718,Robbery,Westminster,5318,102.2,0.0,9473.94
