,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
47531,Westminster,E01004763,Robbery,4062,668.0,420.2,1.59
47679,Westminster,E01035716,Robbery,4402,676.6,401.9,1.68
47293,Westminster,E01004734,Robbery,3398,760.0,386.9,1.96
47313,Westminster,E01004736,Robbery,3094,458.4,269.6,1.7
36176,Newham,E01034220,Robbery,2376,276.0,239.3,1.15
40448,Southwark,E01033874,Robbery,1143,214.1,188.7,1.13
8349,Camden,E01000863,Robbery,2958,212.4,159.1,1.34
47511,Westminster,E01004761,Robbery,2434,250.9,158.0,1.59
30033,Lambeth,E01003035,Robbery,1671,142.9,157.1,0.91
19485,Haringey,E01001966,Robbery,1405,118.9,156.0,0.76
18160,Hackney,E01033708,Robbery,3766,214.3,155.0,1.38
47099,Westminster,E01004714,Robbery,3334,183.3,137.4,1.33
20608,Haringey,E01002086,Robbery,1517,110.5,126.8,0.87
35980,Newham,E01034200,Robbery,3146,182.3,126.0,1.45
19823,Haringey,E01002002,Robbery,3354,128.7,124.5,1.03
8868,Camden,E01000919,Robbery,2918,174.8,122.8,1.42
28100,Kensington and Chelsea,E01002830,Robbery,1706,57.9,122.2,0.47
40220,Southwark,E01004069,Robbery,1319,86.1,121.2,0.71
8270,Camden,E01000855,Robbery,2654,163.1,121.0,1.35
20828,Haringey,E01033943,Robbery,2523,85.1,120.4,0.71
36195,Newham,E01034222,Robbery,1480,71.5,119.6,0.6
11596,Croydon,E01034150,Robbery,2624,169.3,115.3,1.47
20489,Haringey,E01002073,Robbery,1647,111.4,115.1,0.97
27392,Islington,E01002769,Robbery,1874,55.9,114.8,0.49
31517,Lambeth,E01032582,Robbery,4562,117.6,114.1,1.03
40547,Southwark,E01033884,Robbery,2166,123.6,113.3,1.09
18150,Hackney,E01033706,Robbery,2854,120.8,113.2,1.07
18140,Hackney,E01033705,Robbery,1411,69.6,111.1,0.63
31537,Lambeth,E01033862,Robbery,2844,113.3,109.5,1.03
42881,Tower Hamlets,E01035657,Robbery,1027,60.1,108.6,0.55
9034,Camden,E01000937,Robbery,1113,66.1,106.9,0.62
46954,Westminster,E01004698,Robbery,1321,95.7,106.3,0.9
8124,Bromley,E01034383,Robbery,2554,78.8,106.1,0.74
29821,Lambeth,E01003013,Robbery,3868,91.6,105.7,0.87
45605,Wandsworth,E01004560,Robbery,1917,80.4,105.0,0.77
35735,Newham,E01003619,Robbery,2473,100.9,104.1,0.97
9183,Camden,E01000956,Robbery,1515,98.2,101.6,0.97
46808,Westminster,E01004680,Robbery,1235,81.0,101.2,0.8
17674,Hackney,E01001806,Robbery,1481,78.2,99.5,0.79
1068,Barking and Dagenham,E01034473,Robbery,2588,130.7,96.2,1.36
8611,Camden,E01000893,Robbery,1379,51.2,95.5,0.54
8817,Camden,E01000914,Robbery,2804,125.9,94.5,1.33
40125,Southwark,E01004059,Robbery,2050,93.0,93.9,0.99
20138,Haringey,E01002037,Robbery,1686,77.1,93.0,0.83
8250,Camden,E01000851,Robbery,1472,97.9,92.6,1.06
1735,Barnet,E01000182,Robbery,1621,53.7,92.4,0.58
47699,Westminster,E01035718,Robbery,5318,102.2,91.7,1.11
5739,Brent,E01000602,Robbery,1449,56.4,91.2,0.62
47521,Westminster,E01004762,Robbery,3158,129.3,91.1,1.42
8144,Bromley,E01034385,Robbery,1439,63.4,91.0,0.7
42000,Tower Hamlets,E01004234,Robbery,2572,75.5,90.4,0.84
47541,Westminster,E01004765,Robbery,3724,139.8,89.9,1.56
6140,Brent,E01033455,Robbery,1114,70.2,89.8,0.78
9285,Camden,E01000967,Robbery,1596,35.0,88.9,0.39
8299,Camden,E01000858,Robbery,1992,88.0,88.7,0.99
27402,Islington,E01002770,Robbery,3788,78.4,88.2,0.89
30149,Lambeth,E01003047,Robbery,3596,182.1,87.6,2.08
17507,Hackney,E01001787,Robbery,1664,55.9,87.6,0.64
41732,Tower Hamlets,E01004200,Robbery,1500,47.8,87.1,0.55
