,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
32280,Robbery,E01004734,Westminster,760.0,386.9,1.96
32770,Robbery,E01035716,Westminster,676.6,401.9,1.68
32304,Robbery,E01004763,Westminster,668.0,420.2,1.59
32282,Robbery,E01004736,Westminster,458.4,269.6,1.7
32604,Robbery,E01034220,Newham,276.0,239.3,1.15
32302,Robbery,E01004761,Westminster,250.9,158.0,1.59
32430,Robbery,E01033708,Hackney,214.3,155.0,1.38
32474,Robbery,E01033874,Southwark,214.1,188.7,1.13
28815,Robbery,E01000863,Camden,212.4,159.1,1.34
32260,Robbery,E01004714,Westminster,183.3,137.4,1.33
32584,Robbery,E01034200,Newham,182.3,126.0,1.45
30768,Robbery,E01003047,Lambeth,182.1,87.6,2.08
28868,Robbery,E01000919,Camden,174.8,122.8,1.42
32552,Robbery,E01034150,Croydon,169.3,115.3,1.47
28807,Robbery,E01000855,Camden,163.1,121.0,1.35
30756,Robbery,E01003035,Lambeth,142.9,157.1,0.91
32305,Robbery,E01004765,Westminster,139.8,89.9,1.56
32631,Robbery,E01034473,Barking and Dagenham,130.7,96.2,1.36
32303,Robbery,E01004762,Westminster,129.3,91.1,1.42
29854,Robbery,E01002002,Haringey,128.7,124.5,1.03
28863,Robbery,E01000914,Camden,125.9,94.5,1.33
28804,Robbery,E01000850,Camden,125.7,82.8,1.52
32484,Robbery,E01033884,Southwark,123.6,113.3,1.09
32429,Robbery,E01033706,Hackney,120.8,113.2,1.07
29819,Robbery,E01001966,Haringey,118.9,156.0,0.76
32326,Robbery,E01032582,Lambeth,117.6,114.1,1.03
32462,Robbery,E01033862,Lambeth,113.3,109.5,1.03
32423,Robbery,E01033699,Hackney,112.7,80.4,1.4
31212,Robbery,E01003521,Newham,112.0,70.7,1.58
29923,Robbery,E01002073,Haringey,111.4,115.1,0.97
29935,Robbery,E01002086,Haringey,110.5,126.8,0.87
29796,Robbery,E01001943,Hammersmith and Fulham,106.5,82.6,1.29
32281,Robbery,E01004735,Westminster,106.2,75.6,1.4
32214,Robbery,E01004658,Westminster,106.0,68.2,1.55
32765,Robbery,E01035711,Camden,104.4,71.4,1.46
31367,Robbery,E01003689,Redbridge,103.5,74.1,1.4
32547,Robbery,E01034145,Croydon,102.4,81.4,1.26
32772,Robbery,E01035718,Westminster,102.2,91.7,1.11
31303,Robbery,E01003619,Newham,100.9,104.1,0.97
32708,Robbery,E01035652,Islington,99.7,77.5,1.29
28900,Robbery,E01000956,Camden,98.2,101.6,0.97
28805,Robbery,E01000851,Camden,97.9,92.6,1.06
28893,Robbery,E01000947,Camden,97.0,67.2,1.44
29877,Robbery,E01002026,Haringey,96.2,78.3,1.23
32245,Robbery,E01004698,Westminster,95.7,106.3,0.9
32213,Robbery,E01004657,Westminster,94.4,81.5,1.16
32414,Robbery,E01033594,Westminster,93.1,73.9,1.26
31687,Robbery,E01004059,Southwark,93.0,93.9,0.99
30467,Robbery,E01002704,Islington,92.5,79.6,1.16
29270,Robbery,E01001361,Ealing,91.8,59.7,1.54
30734,Robbery,E01003013,Lambeth,91.6,105.7,0.87
31642,Robbery,E01004010,Southwark,91.3,66.6,1.37
31222,Robbery,E01003531,Newham,90.5,81.6,1.11
28810,Robbery,E01000858,Camden,88.0,88.7,0.99
32545,Robbery,E01034143,Croydon,87.9,85.8,1.02
29901,Robbery,E01002051,Haringey,87.2,84.6,1.03
29919,Robbery,E01002069,Haringey,86.7,66.6,1.3
30821,Robbery,E01003102,Lambeth,86.2,66.1,1.3
31697,Robbery,E01004069,Southwark,86.1,121.2,0.71
32524,Robbery,E01034030,Ealing,86.0,62.5,1.38
32335,Robbery,E01032741,Havering,85.8,83.3,1.03
31011,Robbery,E01003303,Lewisham,85.7,63.5,1.35
32516,Robbery,E01033943,Haringey,85.1,120.4,0.71
30173,Robbery,E01002356,Havering,83.8,67.3,1.25
30776,Robbery,E01003055,Lambeth,83.6,60.8,1.38
31024,Robbery,E01003318,Lewisham,81.7,60.1,1.36
28075,Robbery,E01000007,Barking and Dagenham,81.2,74.7,1.09
32230,Robbery,E01004680,Westminster,81.0,101.2,0.8
32128,Robbery,E01004560,Wandsworth,80.4,105.0,0.77
30703,Robbery,E01002968,Kingston upon Thames,79.8,56.8,1.4
30782,Robbery,E01003061,Lambeth,79.1,65.9,1.2
32093,Robbery,E01004525,Wandsworth,79.1,56.8,1.39
32614,Robbery,E01034383,Bromley,78.8,106.1,0.74
31695,Robbery,E01004067,Southwark,78.7,51.8,1.52
