,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
30768,Robbery,E01003047,Lambeth,182.1,87.6,2.08
32280,Robbery,E01004734,Westminster,760.0,386.9,1.96
32282,Robbery,E01004736,Westminster,458.4,269.6,1.7
32770,Robbery,E01035716,Westminster,676.6,401.9,1.68
32302,Robbery,E01004761,Westminster,250.9,158.0,1.59
32304,Robbery,E01004763,Westminster,668.0,420.2,1.59
31212,Robbery,E01003521,Newham,112.0,70.7,1.58
32305,Robbery,E01004765,Westminster,139.8,89.9,1.56
32214,Robbery,E01004658,Westminster,106.0,68.2,1.55
31452,Robbery,E01003783,Redbridge,54.0,34.9,1.55
29270,Robbery,E01001361,Ealing,91.8,59.7,1.54
31695,Robbery,E01004067,Southwark,78.7,51.8,1.52
28804,Robbery,E01000850,Camden,125.7,82.8,1.52
32552,Robbery,E01034150,Croydon,169.3,115.3,1.47
32765,Robbery,E01035711,Camden,104.4,71.4,1.46
31891,Robbery,E01004309,Tower Hamlets,43.7,30.2,1.45
32584,Robbery,E01034200,Newham,182.3,126.0,1.45
28893,Robbery,E01000947,Camden,97.0,67.2,1.44
28956,Robbery,E01001013,Croydon,73.9,51.4,1.44
31971,Robbery,E01004397,Waltham Forest,75.5,52.7,1.43
32303,Robbery,E01004762,Westminster,129.3,91.1,1.42
32385,Robbery,E01033327,Lewisham,70.8,49.9,1.42
28868,Robbery,E01000919,Camden,174.8,122.8,1.42
30703,Robbery,E01002968,Kingston upon Thames,79.8,56.8,1.4
32281,Robbery,E01004735,Westminster,106.2,75.6,1.4
31367,Robbery,E01003689,Redbridge,103.5,74.1,1.4
32423,Robbery,E01033699,Hackney,112.7,80.4,1.4
32093,Robbery,E01004525,Wandsworth,79.1,56.8,1.39
32524,Robbery,E01034030,Ealing,86.0,62.5,1.38
32430,Robbery,E01033708,Hackney,214.3,155.0,1.38
30776,Robbery,E01003055,Lambeth,83.6,60.8,1.38
31818,Robbery,E01004208,Tower Hamlets,64.7,46.8,1.38
31642,Robbery,E01004010,Southwark,91.3,66.6,1.37
32631,Robbery,E01034473,Barking and Dagenham,130.7,96.2,1.36
29885,Robbery,E01002034,Haringey,57.3,42.2,1.36
31024,Robbery,E01003318,Lewisham,81.7,60.1,1.36
31011,Robbery,E01003303,Lewisham,85.7,63.5,1.35
28807,Robbery,E01000855,Camden,163.1,121.0,1.35
31610,Robbery,E01003969,Southwark,58.5,43.5,1.34
28815,Robbery,E01000863,Camden,212.4,159.1,1.34
32260,Robbery,E01004714,Westminster,183.3,137.4,1.33
31574,Robbery,E01003921,Southwark,69.0,51.7,1.33
31260,Robbery,E01003569,Newham,40.6,30.5,1.33
28863,Robbery,E01000914,Camden,125.9,94.5,1.33
30473,Robbery,E01002711,Islington,48.4,36.8,1.32
28661,Robbery,E01000676,Bromley,55.5,42.3,1.31
29337,Robbery,E01001429,Enfield,65.8,50.3,1.31
30821,Robbery,E01003102,Lambeth,86.2,66.1,1.3
29919,Robbery,E01002069,Haringey,86.7,66.6,1.3
29796,Robbery,E01001943,Hammersmith and Fulham,106.5,82.6,1.29
32708,Robbery,E01035652,Islington,99.7,77.5,1.29
31994,Robbery,E01004420,Waltham Forest,42.9,33.6,1.28
32427,Robbery,E01033704,Hackney,41.9,32.9,1.27
31211,Robbery,E01003520,Newham,59.4,46.6,1.27
29794,Robbery,E01001941,Hammersmith and Fulham,64.1,50.7,1.26
32414,Robbery,E01033594,Westminster,93.1,73.9,1.26
32547,Robbery,E01034145,Croydon,102.4,81.4,1.26
31966,Robbery,E01004392,Waltham Forest,41.4,32.8,1.26
32725,Robbery,E01035669,Tower Hamlets,62.7,49.7,1.26
30495,Robbery,E01002734,Islington,73.9,58.5,1.26
30173,Robbery,E01002356,Havering,83.8,67.3,1.25
29458,Robbery,E01001558,Enfield,60.7,48.6,1.25
32720,Robbery,E01035664,Tower Hamlets,35.6,28.4,1.25
29831,Robbery,E01001979,Haringey,45.8,37.0,1.24
28525,Robbery,E01000524,Brent,39.5,32.0,1.23
28879,Robbery,E01000930,Camden,41.1,33.5,1.23
