,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
32304,Robbery,E01004763,Westminster,668.0,420.2,1.59
32770,Robbery,E01035716,Westminster,676.6,401.9,1.68
32280,Robbery,E01004734,Westminster,760.0,386.9,1.96
32282,Robbery,E01004736,Westminster,458.4,269.6,1.7
32604,Robbery,E01034220,Newham,276.0,239.3,1.15
32474,Robbery,E01033874,Southwark,214.1,188.7,1.13
28815,Robbery,E01000863,Camden,212.4,159.1,1.34
32302,Robbery,E01004761,Westminster,250.9,158.0,1.59
30756,Robbery,E01003035,Lambeth,142.9,157.1,0.91
29819,Robbery,E01001966,Haringey,118.9,156.0,0.76
32430,Robbery,E01033708,Hackney,214.3,155.0,1.38
32260,Robbery,E01004714,Westminster,183.3,137.4,1.33
29935,Robbery,E01002086,Haringey,110.5,126.8,0.87
32584,Robbery,E01034200,Newham,182.3,126.0,1.45
29854,Robbery,E01002002,Haringey,128.7,124.5,1.03
28868,Robbery,E01000919,Camden,174.8,122.8,1.42
30585,Robbery,E01002830,Kensington and Chelsea,57.9,122.2,0.47
31697,Robbery,E01004069,Southwark,86.1,121.2,0.71
28807,Robbery,E01000855,Camden,163.1,121.0,1.35
32516,Robbery,E01033943,Haringey,85.1,120.4,0.71
32606,Robbery,E01034222,Newham,71.5,119.6,0.6
32552,Robbery,E01034150,Croydon,169.3,115.3,1.47
29923,Robbery,E01002073,Haringey,111.4,115.1,0.97
30527,Robbery,E01002769,Islington,55.9,114.8,0.49
32326,Robbery,E01032582,Lambeth,117.6,114.1,1.03
32484,Robbery,E01033884,Southwark,123.6,113.3,1.09
32429,Robbery,E01033706,Hackney,120.8,113.2,1.07
32428,Robbery,E01033705,Hackney,69.6,111.1,0.63
32462,Robbery,E01033862,Lambeth,113.3,109.5,1.03
32713,Robbery,E01035657,Tower Hamlets,60.1,108.6,0.55
28885,Robbery,E01000937,Camden,66.1,106.9,0.62
32245,Robbery,E01004698,Westminster,95.7,106.3,0.9
32614,Robbery,E01034383,Bromley,78.8,106.1,0.74
30734,Robbery,E01003013,Lambeth,91.6,105.7,0.87
32128,Robbery,E01004560,Wandsworth,80.4,105.0,0.77
31303,Robbery,E01003619,Newham,100.9,104.1,0.97
28900,Robbery,E01000956,Camden,98.2,101.6,0.97
32230,Robbery,E01004680,Westminster,81.0,101.2,0.8
