,Major Category,Borough,LSOA,Population,Mean,Normalised Deviation,Inverse Normalised Deviation
33456,Theft,Bromley,E01000661,11336,21.1,318.61,0.00314
34252,Theft,Enfield,E01001445,11188,22.7,397.25,0.00252
36921,Theft,Southwark,E01004004,10448,25.0,415.0,0.00241
37274,Theft,Tower Hamlets,E01035672,12048,25.0,440.0,0.00227
35411,Theft,Hillingdon,E01034607,9072,25.4,452.12,0.00221
34560,Theft,Hackney,E01001730,11152,26.8,460.96,0.00217
34901,Theft,Haringey,E01002056,11680,27.2,473.28,0.00211
36434,Theft,Newham,E01003538,8576,26.5,482.3,0.00207
37707,Theft,Westminster,E01004723,8912,26.5,487.6,0.00205
36221,Theft,Lewisham,E01003340,8276,25.8,495.36,0.00202
37579,Theft,Wandsworth,E01004601,10040,26.0,496.6,0.00201
32883,Theft,Barking and Dagenham,E01034471,10568,26.9,511.1,0.00196
34051,Theft,Ealing,E01001250,8672,27.1,512.19,0.00195
37756,Theft,Westminster,E01035715,11152,27.3,540.54,0.00185
35523,Theft,Hounslow,E01002662,9996,28.5,544.35,0.00184
34665,Theft,Hackney,E01001848,8092,27.3,559.65,0.00179
36439,Theft,Newham,E01003543,9352,29.4,558.6,0.00179
35539,Theft,Hounslow,E01002679,7536,28.3,566.0,0.00177
37204,Theft,Tower Hamlets,E01004286,10196,29.3,565.49,0.00177
37558,Theft,Wandsworth,E01004579,7628,28.5,587.1,0.0017
34350,Theft,Enfield,E01001547,8420,28.4,590.72,0.00169
36047,Theft,Lambeth,E01003164,9000,30.0,597.0,0.00168
34044,Theft,Ealing,E01001243,9468,29.8,610.9,0.00164
33171,Theft,Bexley,E01000385,8032,28.9,609.79,0.00164
34133,Theft,Ealing,E01001333,9856,30.7,617.07,0.00162
35449,Theft,Hounslow,E01002584,8376,28.5,621.3,0.00161
36219,Theft,Lewisham,E01003338,8204,30.1,626.08,0.0016
35528,Theft,Hounslow,E01002668,9112,27.8,642.18,0.00156
37736,Theft,Westminster,E01004755,9880,31.8,642.36,0.00156
33294,Theft,Brent,E01000508,10632,28.8,648.0,0.00154
37694,Theft,Westminster,E01004710,8024,29.1,654.75,0.00153
34584,Theft,Hackney,E01001758,10476,30.9,655.08,0.00153
36925,Theft,Southwark,E01004008,8420,31.4,656.26,0.00152
37446,Theft,Waltham Forest,E01004467,9476,30.9,658.17,0.00152
36643,Theft,Redbridge,E01003719,9584,31.7,662.53,0.00151
37561,Theft,Wandsworth,E01004582,8896,29.0,661.2,0.00151
33094,Theft,Barnet,E01000322,7420,31.2,667.68,0.0015
36849,Theft,Southwark,E01003916,9636,32.8,665.84,0.0015
33413,Theft,Brent,E01000636,10512,32.3,668.61,0.0015
33695,Theft,Camden,E01000901,7928,30.6,676.26,0.00148
36813,Theft,Richmond upon Thames,E01003882,7936,31.5,683.55,0.00146
33410,Theft,Brent,E01000632,9996,33.0,693.0,0.00144
34434,Theft,Greenwich,E01001631,8312,31.9,695.42,0.00144
36857,Theft,Southwark,E01003924,8456,32.2,698.74,0.00143
34069,Theft,Ealing,E01001269,9076,30.3,705.99,0.00142
35680,Theft,Islington,E01002808,7656,32.1,702.99,0.00142
