,LSOA,Major Category,Borough,Population,Mean,Normalised Deviation,Regression,Flat
54799,E01035716,Theft,Westminster,2201,24336.8,305891672.88,17.393,0.05749439429655608
49244,E01004734,Theft,Westminster,1699,19577.6,210643229.44,15.927,0.06278646323852577
49508,E01004763,Theft,Westminster,2031,16900.7,165461233.14,13.026,0.07676953784738216
49266,E01004736,Theft,Westminster,1547,12762.8,70792699.04,8.594,0.1163602513381429
52885,E01034220,Theft,Newham,1188,10725.4,54372415.3,6.037,0.1656451880072884
49024,E01004714,Theft,Westminster,1667,8138.3,25559144.98,4.844,0.20644095788604458
49255,E01004735,Theft,Westminster,2044,7328.2,22031500.48,4.607,0.21706099413935315
49486,E01004761,Theft,Westminster,1217,5968.4,13400848.52,3.49,0.28653295128939826
9589,E01000914,Theft,Camden,1402,5347.0,9084018.3,2.658,0.3762227238525207
50938,E01033708,Theft,Hackney,1883,5340.7,9788434.96,2.609,0.3832886163280951
49519,E01004765,Theft,Westminster,1862,5233.8,8734165.44,2.613,0.3827018752391887
49497,E01004762,Theft,Westminster,1579,5228.6,11358087.78,3.333,0.3000300030003
9050,E01000863,Theft,Camden,1479,5155.7,8993603.08,2.632,0.37993920972644374
8962,E01000855,Theft,Camden,1327,5122.6,12025303.5,3.587,0.2787844995818232
9644,E01000919,Theft,Camden,1459,5116.3,14602943.46,3.961,0.25246149962130776
20237,E01001943,Theft,Hammersmith and Fulham,2225,4954.4,6469455.52,1.894,0.5279831045406548
8929,E01000850,Theft,Camden,1411,4031.8,6270255.36,2.311,0.4327131112072696
31017,E01002968,Theft,Kingston upon Thames,2937,3984.3,3540448.98,1.382,0.7235890014471781
52665,E01034200,Theft,Newham,1573,3940.8,3830063.52,1.427,0.7007708479327259
29433,E01002819,Theft,Kensington and Chelsea,1106,3927.2,7031258.88,2.545,0.39292730844793716
51532,E01033884,Theft,Southwark,1083,3679.9,5317087.51,2.19,0.4566210045662101
21139,E01002026,Theft,Haringey,1780,3606.4,3640300.16,1.579,0.6333122229259025
54744,E01035711,Theft,Camden,2400,3512.0,4044419.2,1.757,0.5691519635742743
50927,E01033706,Theft,Hackney,1427,3333.2,4754476.48,2.044,0.4892367906066536
51994,E01034030,Theft,Ealing,1834,3263.5,2654530.9,1.233,0.8110300081103
49860,E01032741,Theft,Havering,1484,3156.4,3052870.08,1.486,0.6729475100942126
41203,E01003929,Theft,Southwark,1981,3146.1,3913119.18,1.805,0.554016620498615
52368,E01034156,Theft,Sutton,1353,2941.6,2427996.64,1.29,0.7751937984496123
9633,E01000918,Theft,Camden,1805,2930.7,3791153.52,1.94,0.5154639175257733
31875,E01003047,Theft,Lambeth,1798,2864.3,2468453.74,1.322,0.75642965204236
50234,E01033083,Theft,Hounslow,2178,2729.7,1758472.74,1.007,0.99304865938431
52247,E01034145,Theft,Croydon,1330,2517.0,2139198.3,1.316,0.7598784194528875
29169,E01002794,Theft,Islington,2028,2504.6,2289955.78,1.254,0.7974481658692185
3187,E01000307,Theft,Barnet,1645,2503.8,2360081.88,1.47,0.6802721088435374
50861,E01033699,Theft,Hackney,1409,2493.6,2005353.12,1.234,0.8103727714748784
29422,E01002818,Theft,Kensington and Chelsea,1401,2445.7,2708612.75,1.668,0.5995203836930456
54095,E01035652,Theft,Islington,1271,2410.8,1660800.12,0.99,1.0101010101010102
38629,E01003689,Theft,Redbridge,2230,2398.8,1771993.56,0.942,1.0615711252653928
31501,E01003013,Theft,Lambeth,1934,2377.0,1782987.7,1.169,0.8554319931565441
49211,E01004731,Theft,Westminster,1996,2370.6,2814613.38,1.709,0.5851375073142188
53204,E01034473,Theft,Barking and Dagenham,1294,2360.2,1403138.9,0.929,1.0764262648008611
49750,E01032582,Theft,Lambeth,2281,2234.8,1997687.72,1.223,0.8176614881439084
48518,E01004658,Theft,Westminster,1548,2223.0,2160533.7,1.166,0.8576329331046313
36891,E01003521,Theft,Newham,2187,2221.4,1857312.54,1.18,0.8474576271186441
28234,E01002704,Theft,Islington,2341,2217.5,1643611.0,1.154,0.8665511265164645
52225,E01034143,Theft,Croydon,1311,2181.5,1578533.4,1.032,0.9689922480620154
50762,E01033594,Theft,Westminster,1514,2137.7,1612894.65,1.181,0.8467400508044031
52544,E01034188,Theft,Greenwich,1418,2091.6,2425837.68,1.798,0.5561735261401557
40642,E01003876,Theft,Richmond upon Thames,1877,2090.3,1122700.13,0.839,1.1918951132300357
28146,E01002696,Theft,Islington,1788,2089.4,1413061.22,0.998,1.002004008016032
49387,E01004750,Theft,Westminster,1634,2078.6,1695098.3,1.277,0.7830853563038371
28443,E01002724,Theft,Islington,1943,2064.7,1692641.06,1.171,0.8539709649871904
29444,E01002821,Theft,Kensington and Chelsea,1132,2057.8,1738017.88,1.322,0.75642965204236
52302,E01034150,Theft,Croydon,1312,2054.8,2108224.8,0.975,1.0256410256410258
9919,E01000947,Theft,Camden,1656,2033.2,1708904.6,1.276,0.7836990595611285
31743,E01003035,Theft,Lambeth,1671,2028.0,2055175.2,1.5,0.6666666666666666
54821,E01035718,Theft,Westminster,2659,2001.4,2320223.02,1.803,0.5546311702717693
19775,E01001899,Theft,Hammersmith and Fulham,1636,1986.9,1068157.44,0.753,1.3280212483399734
48826,E01004695,Theft,Westminster,1056,1953.0,1518066.9,1.169,0.8554319931565441
32029,E01003061,Theft,Lambeth,1327,1884.8,2878843.52,2.339,0.4275331338178709
49970,E01032771,Theft,Tower Hamlets,1540,1877.4,1209984.3,0.99,1.0101010101010102
41302,E01003939,Theft,Southwark,1962,1873.5,1473133.05,1.189,0.8410428931875525
30302,E01002902,Theft,Kensington and Chelsea,1235,1862.8,1945322.04,1.38,0.7246376811594204
47121,E01004525,Theft,Wandsworth,1933,1862.4,1003274.88,0.749,1.335113484646195
7059,E01000676,Theft,Bromley,2046,1803.8,1809752.54,1.455,0.6872852233676976
44822,E01004307,Theft,Tower Hamlets,2385,1789.4,1236654.34,1.051,0.9514747859181732
52720,E01034205,Theft,Newham,1565,1785.8,1035585.42,0.9,1.1111111111111112
