,LSOA,Major Category,Borough,Population,Mean,Normalised Deviation,Regression,Flat
54294,E01035670,Vehicle Offences,Tower Hamlets,4380,54.4,2110.72,0.058,17.241379310344826
45219,E01004348,Vehicle Offences,Waltham Forest,2929,98.0,6076.0,0.096,10.416666666666666
18082,E01001731,Vehicle Offences,Hackney,2665,105.1,6968.13,0.1,10.0
54316,E01035672,Vehicle Offences,Tower Hamlets,3012,92.2,6112.86,0.102,9.803921568627452
5025,E01000477,Vehicle Offences,Brent,2318,110.6,7786.24,0.106,9.433962264150944
13055,E01001243,Vehicle Offences,Ealing,2367,95.4,6592.14,0.106,9.433962264150944
46253,E01004444,Vehicle Offences,Waltham Forest,2785,101.8,7258.34,0.107,9.345794392523365
37310,E01003559,Vehicle Offences,Newham,2365,101.2,7185.2,0.108,9.25925925925926
31557,E01003018,Vehicle Offences,Lambeth,2006,103.2,7306.56,0.109,9.174311926605505
11383,E01001087,Vehicle Offences,Croydon,2830,102.9,7480.83,0.109,9.174311926605505
45703,E01004392,Vehicle Offences,Waltham Forest,2573,112.3,8108.06,0.109,9.174311926605505
41677,E01003984,Vehicle Offences,Southwark,2314,91.5,6569.7,0.109,9.174311926605505
39158,E01003739,Vehicle Offences,Redbridge,2386,102.1,7249.1,0.11,9.090909090909092
38168,E01003645,Vehicle Offences,Redbridge,2762,105.8,7522.38,0.11,9.090909090909092
31018,E01002968,Vehicle Offences,Kingston upon Thames,2937,103.3,7499.58,0.111,9.00900900900901
39301,E01003752,Vehicle Offences,Redbridge,2781,102.0,7313.4,0.111,9.00900900900901
6158,E01000586,Vehicle Offences,Brent,2370,103.5,7420.95,0.111,9.00900900900901
680,E01000072,Vehicle Offences,Barking and Dagenham,2142,105.2,7753.24,0.112,8.928571428571429
548,E01000060,Vehicle Offences,Barking and Dagenham,2169,105.8,7681.08,0.112,8.928571428571429
39488,E01003770,Vehicle Offences,Redbridge,2864,106.8,8020.68,0.114,8.771929824561402
54228,E01035664,Vehicle Offences,Tower Hamlets,2567,105.2,7763.76,0.114,8.771929824561402
2143,E01000211,Vehicle Offences,Barnet,2122,109.5,8179.65,0.115,8.695652173913043
5498,E01000523,Vehicle Offences,Brent,2296,115.5,8708.7,0.115,8.695652173913043
44339,E01004247,Vehicle Offences,Tower Hamlets,2692,111.7,8310.48,0.115,8.695652173913043
26761,E01002559,Vehicle Offences,Hounslow,2574,111.5,8362.5,0.115,8.695652173913043
54789,E01035715,Vehicle Offences,Westminster,2788,109.1,8520.71,0.116,8.620689655172413
21613,E01002070,Vehicle Offences,Haringey,2574,120.2,9291.46,0.116,8.620689655172413
460,E01000052,Vehicle Offences,Barking and Dagenham,2367,106.4,8639.68,0.118,8.474576271186441
42513,E01004067,Vehicle Offences,Southwark,2212,112.0,8545.6,0.118,8.474576271186441
44372,E01004251,Vehicle Offences,Tower Hamlets,2586,103.0,8497.5,0.119,8.403361344537815
24792,E01002369,Vehicle Offences,Havering,2067,112.1,8867.11,0.119,8.403361344537815
13242,E01001261,Vehicle Offences,Ealing,2294,123.9,9565.08,0.119,8.403361344537815
39532,E01003774,Vehicle Offences,Redbridge,1961,117.9,9090.09,0.119,8.403361344537815
39169,E01003740,Vehicle Offences,Redbridge,2236,137.3,10654.48,0.12,8.333333333333334
51907,E01033943,Vehicle Offences,Haringey,2523,106.5,8338.95,0.12,8.333333333333334
44779,E01004303,Vehicle Offences,Tower Hamlets,2915,103.5,8000.55,0.12,8.333333333333334
11669,E01001113,Vehicle Offences,Croydon,2016,115.0,8947.0,0.12,8.333333333333334
20854,E01001999,Vehicle Offences,Haringey,2423,113.4,9639.0,0.121,8.264462809917356
14441,E01001370,Vehicle Offences,Ealing,2161,114.3,8961.12,0.121,8.264462809917356
658,E01000070,Vehicle Offences,Barking and Dagenham,2073,116.1,9079.02,0.121,8.264462809917356
37079,E01003538,Vehicle Offences,Newham,2144,112.5,8820.0,0.121,8.264462809917356
44361,E01004249,Vehicle Offences,Tower Hamlets,2452,121.1,9663.78,0.123,8.130081300813009
38949,E01003719,Vehicle Offences,Redbridge,2396,124.2,10370.7,0.123,8.130081300813009
45802,E01004401,Vehicle Offences,Waltham Forest,2335,106.1,8551.66,0.123,8.130081300813009
36793,E01003512,Vehicle Offences,Newham,1965,109.9,8868.93,0.124,8.064516129032258
45153,E01004342,Vehicle Offences,Waltham Forest,2093,128.4,10297.68,0.124,8.064516129032258
37882,E01003618,Vehicle Offences,Newham,2236,126.5,10461.55,0.124,8.064516129032258
3221,E01000310,Vehicle Offences,Barnet,2194,115.0,9832.5,0.126,7.936507936507937
44108,E01004219,Vehicle Offences,Tower Hamlets,2764,131.3,11541.27,0.126,7.936507936507937
36727,E01003503,Vehicle Offences,Newham,2885,122.1,9951.15,0.126,7.936507936507937
36760,E01003508,Vehicle Offences,Newham,2514,126.1,10302.37,0.127,7.874015748031496
39026,E01003726,Vehicle Offences,Redbridge,2506,112.0,9251.2,0.127,7.874015748031496
48486,E01004654,Vehicle Offences,Westminster,2475,120.5,9941.25,0.128,7.8125
41556,E01003969,Vehicle Offences,Southwark,2388,107.4,9032.34,0.129,7.751937984496124
6125,E01000583,Vehicle Offences,Brent,2028,122.7,10257.72,0.129,7.751937984496124
1043,E01000106,Vehicle Offences,Barking and Dagenham,2234,111.9,9298.89,0.129,7.751937984496124
15904,E01001507,Vehicle Offences,Enfield,2585,127.2,11142.72,0.13,7.692307692307692
15750,E01001492,Vehicle Offences,Enfield,2034,122.6,10347.44,0.13,7.692307692307692
48420,E01004648,Vehicle Offences,Westminster,2332,121.6,10275.2,0.131,7.633587786259541
12252,E01001167,Vehicle Offences,Croydon,2331,124.7,11098.3,0.131,7.633587786259541
8292,E01000790,Vehicle Offences,Bromley,2290,102.5,8856.0,0.132,7.575757575757575
14342,E01001361,Vehicle Offences,Ealing,2271,122.5,10522.75,0.133,7.518796992481203
14155,E01001344,Vehicle Offences,Ealing,2276,126.1,10882.43,0.133,7.518796992481203
47991,E01004609,Vehicle Offences,Wandsworth,2194,126.8,11361.28,0.134,7.462686567164178
19237,E01001849,Vehicle Offences,Hackney,2451,153.4,13591.24,0.135,7.4074074074074066
24803,E01002370,Vehicle Offences,Havering,2467,160.7,14270.16,0.135,7.4074074074074066
9777,E01000931,Vehicle Offences,Camden,2056,129.6,11288.16,0.135,7.4074074074074066
6422,E01000615,Vehicle Offences,Brent,3200,117.3,10920.63,0.137,7.2992700729927
46187,E01004438,Vehicle Offences,Waltham Forest,2117,124.5,11018.25,0.137,7.2992700729927
37134,E01003543,Vehicle Offences,Newham,2338,135.4,12890.08,0.137,7.2992700729927
15684,E01001485,Vehicle Offences,Enfield,1891,132.2,11898.0,0.137,7.2992700729927
29181,E01002795,Vehicle Offences,Islington,1946,123.3,10949.04,0.138,7.246376811594202
240,E01000030,Vehicle Offences,Barking and Dagenham,2588,137.3,12343.27,0.138,7.246376811594202
37794,E01003603,Vehicle Offences,Newham,1939,142.3,12650.47,0.138,7.246376811594202
46946,E01004508,Vehicle Offences,Wandsworth,2015,133.1,12338.37,0.139,7.194244604316546
5795,E01000553,Vehicle Offences,Brent,2038,123.8,11327.7,0.139,7.194244604316546
5707,E01000545,Vehicle Offences,Brent,1914,126.9,11662.11,0.139,7.194244604316546
3496,E01000335,Vehicle Offences,Bexley,2741,145.7,13695.8,0.14,7.142857142857142
24660,E01002356,Vehicle Offences,Havering,2107,138.8,12575.28,0.14,7.142857142857142
45758,E01004397,Vehicle Offences,Waltham Forest,2896,126.7,11479.02,0.14,7.142857142857142
44614,E01004286,Vehicle Offences,Tower Hamlets,2549,123.0,11635.8,0.14,7.142857142857142
18390,E01001763,Vehicle Offences,Hackney,1780,119.6,10979.28,0.141,7.092198581560284
38300,E01003657,Vehicle Offences,Redbridge,2154,127.5,11883.0,0.141,7.092198581560284
50906,E01033704,Vehicle Offences,Hackney,2339,146.4,13410.24,0.142,7.042253521126761
18676,E01001794,Vehicle Offences,Hackney,1947,145.9,13422.8,0.143,6.993006993006993
19182,E01001844,Vehicle Offences,Hackney,1946,140.9,13117.79,0.143,6.993006993006993
24781,E01002368,Vehicle Offences,Havering,2512,151.5,14089.5,0.143,6.993006993006993
49905,E01032764,Vehicle Offences,Tower Hamlets,2386,155.8,14442.66,0.143,6.993006993006993
36639,E01003495,Vehicle Offences,Newham,2090,134.3,12610.77,0.143,6.993006993006993
4035,E01000385,Vehicle Offences,Bexley,2008,123.3,11577.87,0.144,6.944444444444445
13913,E01001322,Vehicle Offences,Ealing,2043,146.0,13709.4,0.144,6.944444444444445
36749,E01003507,Vehicle Offences,Newham,2277,141.6,13239.6,0.145,6.8965517241379315
20634,E01001979,Vehicle Offences,Haringey,2265,137.9,13100.5,0.146,6.849315068493151
11922,E01001137,Vehicle Offences,Croydon,2163,138.4,13203.36,0.147,6.802721088435375
5223,E01000497,Vehicle Offences,Brent,2065,168.4,16705.28,0.147,6.802721088435375
36705,E01003501,Vehicle Offences,Newham,2369,133.3,12716.82,0.147,6.802721088435375
16410,E01001555,Vehicle Offences,Enfield,2229,153.3,14870.1,0.147,6.802721088435375
44317,E01004244,Vehicle Offences,Tower Hamlets,2104,135.6,12868.44,0.147,6.802721088435375
26849,E01002569,Vehicle Offences,Hounslow,2105,134.7,12809.97,0.147,6.802721088435375
21096,E01002022,Vehicle Offences,Haringey,2178,138.6,13388.76,0.149,6.7114093959731544
20293,E01001948,Vehicle Offences,Hammersmith and Fulham,1889,141.7,13688.22,0.149,6.7114093959731544
18280,E01001751,Vehicle Offences,Hackney,1511,139.0,13330.1,0.149,6.7114093959731544
26827,E01002565,Vehicle Offences,Hounslow,2540,142.0,14370.4,0.149,6.7114093959731544
12934,E01001231,Vehicle Offences,Ealing,2084,146.2,14152.16,0.15,6.666666666666667
47771,E01004587,Vehicle Offences,Wandsworth,1840,137.1,13312.41,0.15,6.666666666666667
18104,E01001733,Vehicle Offences,Hackney,1890,139.1,13910.0,0.15,6.666666666666667
21316,E01002043,Vehicle Offences,Haringey,1823,136.8,13926.24,0.15,6.666666666666667
20568,E01001973,Vehicle Offences,Haringey,2514,138.5,13476.05,0.151,6.622516556291391
51720,E01033926,Vehicle Offences,Enfield,2617,172.9,16840.46,0.151,6.622516556291391
38641,E01003690,Vehicle Offences,Redbridge,2162,130.6,12668.2,0.151,6.622516556291391
37288,E01003557,Vehicle Offences,Newham,1975,136.1,13759.71,0.151,6.622516556291391
46033,E01004422,Vehicle Offences,Waltham Forest,2628,191.2,19100.88,0.152,6.578947368421053
39576,E01003778,Vehicle Offences,Redbridge,1944,162.5,16445.0,0.152,6.578947368421053
44823,E01004307,Vehicle Offences,Tower Hamlets,2385,140.1,14878.62,0.152,6.578947368421053
21569,E01002066,Vehicle Offences,Haringey,2599,124.7,13430.19,0.152,6.578947368421053
54811,E01035717,Vehicle Offences,Westminster,1902,142.9,14132.81,0.153,6.5359477124183005
29115,E01002789,Vehicle Offences,Islington,1862,145.3,14384.7,0.153,6.5359477124183005
45175,E01004344,Vehicle Offences,Waltham Forest,1909,165.2,16652.16,0.153,6.5359477124183005
18654,E01001792,Vehicle Offences,Hackney,2004,136.2,13497.42,0.154,6.4935064935064934
54701,E01035707,Vehicle Offences,Camden,2463,164.8,16529.44,0.154,6.4935064935064934
31777,E01003038,Vehicle Offences,Lambeth,1713,145.3,14413.76,0.154,6.4935064935064934
25639,E01002448,Vehicle Offences,Hillingdon,2162,139.6,13987.92,0.155,6.451612903225807
405,E01000045,Vehicle Offences,Barking and Dagenham,1729,152.1,15422.94,0.155,6.451612903225807
1098,E01000112,Vehicle Offences,Barking and Dagenham,1994,145.7,15415.06,0.156,6.410256410256411
7533,E01000719,Vehicle Offences,Bromley,2113,149.2,15024.44,0.156,6.410256410256411
47782,E01004588,Vehicle Offences,Wandsworth,2030,140.0,14140.0,0.157,6.369426751592357
27102,E01002592,Vehicle Offences,Hounslow,2163,146.6,14982.52,0.157,6.369426751592357
42117,E01004031,Vehicle Offences,Southwark,2610,155.7,15772.41,0.157,6.369426751592357
33669,E01003213,Vehicle Offences,Lewisham,1960,136.9,13881.66,0.157,6.369426751592357
46011,E01004420,Vehicle Offences,Waltham Forest,2237,162.8,16931.2,0.157,6.369426751592357
44845,E01004309,Vehicle Offences,Tower Hamlets,2843,123.5,13399.75,0.157,6.369426751592357
21580,E01002067,Vehicle Offences,Haringey,1735,158.7,16171.53,0.158,6.329113924050633
53227,E01034475,Vehicle Offences,Barking and Dagenham,1832,174.4,17945.76,0.158,6.329113924050633
2132,E01000210,Vehicle Offences,Barnet,1545,149.6,15453.68,0.159,6.289308176100628
41358,E01003945,Vehicle Offences,Southwark,1787,148.1,15298.73,0.16,6.25
39686,E01003788,Vehicle Offences,Redbridge,1854,159.9,16517.67,0.16,6.25
50653,E01033581,Vehicle Offences,Newham,1936,137.9,14879.41,0.16,6.25
24539,E01002345,Vehicle Offences,Havering,1930,178.6,18431.52,0.16,6.25
31579,E01003020,Vehicle Offences,Lambeth,1787,134.3,13873.19,0.16,6.25
47452,E01004555,Vehicle Offences,Wandsworth,1715,160.9,16974.95,0.161,6.211180124223603
23494,E01002248,Vehicle Offences,Havering,1768,163.7,16992.06,0.161,6.211180124223603
33207,E01003170,Vehicle Offences,Lambeth,1922,144.8,14972.32,0.161,6.211180124223603
37805,E01003604,Vehicle Offences,Newham,2286,159.8,16651.16,0.162,6.172839506172839
16399,E01001554,Vehicle Offences,Enfield,1778,147.9,16002.78,0.162,6.172839506172839
46066,E01004425,Vehicle Offences,Waltham Forest,1960,147.4,16435.1,0.162,6.172839506172839
2055,E01000203,Vehicle Offences,Barnet,1841,145.1,15133.93,0.162,6.172839506172839
30237,E01002896,Vehicle Offences,Kensington and Chelsea,1571,146.4,15884.4,0.162,6.172839506172839
39653,E01003785,Vehicle Offences,Redbridge,2055,134.2,14627.8,0.163,6.134969325153374
33427,E01003190,Vehicle Offences,Lewisham,2303,167.0,17601.8,0.163,6.134969325153374
41710,E01003988,Vehicle Offences,Southwark,2052,167.4,18028.98,0.163,6.134969325153374
24704,E01002361,Vehicle Offences,Havering,1974,161.2,17200.04,0.163,6.134969325153374
