,Major Category,Borough,LSOA,Population,Mean,Normalised Deviation,Inverse Normalised Deviation
42260,Vehicle Offences,Tower Hamlets,E01035670,17520,13.6,142.8,0.007
42318,Vehicle Offences,Waltham Forest,E01004348,11716,24.5,396.9,0.00252
39548,Vehicle Offences,Hackney,E01001731,10660,26.3,454.99,0.0022
41650,Vehicle Offences,Redbridge,E01003739,9544,25.5,471.75,0.00212
40839,Vehicle Offences,Kingston upon Thames,E01002968,11748,25.8,487.62,0.00205
37813,Vehicle Offences,Barking and Dagenham,E01000060,8676,26.4,498.96,0.002
41680,Vehicle Offences,Redbridge,E01003770,11456,26.7,520.65,0.00192
40414,Vehicle Offences,Hounslow,E01002559,10296,27.9,544.05,0.00184
42371,Vehicle Offences,Waltham Forest,E01004401,9340,26.5,553.85,0.00181
38296,Vehicle Offences,Brent,E01000523,9184,28.9,566.44,0.00177
41422,Vehicle Offences,Newham,E01003538,8576,28.1,570.43,0.00175
40210,Vehicle Offences,Havering,E01002369,8268,28.0,574.0,0.00174
38890,Vehicle Offences,Croydon,E01001113,8064,28.7,579.74,0.00172
42169,Vehicle Offences,Tower Hamlets,E01004249,9808,30.3,627.21,0.00159
41390,Vehicle Offences,Newham,E01003503,11540,30.5,643.55,0.00155
41631,Vehicle Offences,Redbridge,E01003719,9584,31.1,671.76,0.00149
39148,Vehicle Offences,Ealing,E01001361,9084,30.6,679.32,0.00147
42262,Vehicle Offences,Tower Hamlets,E01035672,9036,30.7,699.96,0.00143
40656,Vehicle Offences,Islington,E01002795,7784,30.8,705.32,0.00142
38380,Vehicle Offences,Brent,E01000615,12800,29.3,703.2,0.00142
39299,Vehicle Offences,Enfield,E01001507,10340,31.8,718.68,0.00139
38943,Vehicle Offences,Croydon,E01001167,9324,31.2,717.6,0.00139
42146,Vehicle Offences,Tower Hamlets,E01004219,11056,32.8,744.56,0.00134
38158,Vehicle Offences,Bexley,E01000385,8032,30.8,745.36,0.00134
41891,Vehicle Offences,Southwark,E01003984,6942,30.5,750.3,0.00133
39031,Vehicle Offences,Ealing,E01001243,7101,31.8,753.66,0.00133
41572,Vehicle Offences,Redbridge,E01003657,8616,31.9,765.6,0.00131
39279,Vehicle Offences,Enfield,E01001485,7564,33.1,767.92,0.0013
42479,Vehicle Offences,Wandsworth,E01004508,8060,33.3,795.87,0.00126
37785,Vehicle Offences,Barking and Dagenham,E01000030,10352,34.3,795.76,0.00126
40198,Vehicle Offences,Havering,E01002356,8428,34.7,811.98,0.00123
41603,Vehicle Offences,Redbridge,E01003690,8648,32.6,815.0,0.00123
41443,Vehicle Offences,Newham,E01003559,7095,33.7,818.91,0.00122
41487,Vehicle Offences,Newham,E01003603,7756,35.6,818.8,0.00122
41388,Vehicle Offences,Newham,E01003501,9476,33.3,819.18,0.00122
42412,Vehicle Offences,Waltham Forest,E01004444,8355,33.9,827.16,0.00121
40891,Vehicle Offences,Lambeth,E01003018,6018,34.4,835.92,0.0012
41663,Vehicle Offences,Redbridge,E01003752,8343,34.0,836.4,0.0012
38356,Vehicle Offences,Brent,E01000586,7110,34.5,848.7,0.00118
41392,Vehicle Offences,Newham,E01003507,9108,35.4,853.14,0.00117
38864,Vehicle Offences,Croydon,E01001087,8490,34.3,854.07,0.00117
41560,Vehicle Offences,Redbridge,E01003645,8286,35.3,861.32,0.00116
39898,Vehicle Offences,Haringey,E01002066,10396,31.2,864.24,0.00116
39807,Vehicle Offences,Haringey,E01001973,10056,34.6,868.46,0.00115
41441,Vehicle Offences,Newham,E01003557,7900,34.0,884.0,0.00113
39775,Vehicle Offences,Hammersmith and Fulham,E01001948,7556,35.4,881.46,0.00113
38109,Vehicle Offences,Bexley,E01000335,10964,36.4,884.52,0.00113
42254,Vehicle Offences,Tower Hamlets,E01035664,7701,35.1,888.03,0.00113
37825,Vehicle Offences,Barking and Dagenham,E01000072,6426,35.1,884.52,0.00113
39875,Vehicle Offences,Haringey,E01002043,7292,34.2,896.04,0.00112
38253,Vehicle Offences,Brent,E01000477,6954,36.9,889.29,0.00112
40294,Vehicle Offences,Hillingdon,E01002448,8648,34.9,900.42,0.00111
42207,Vehicle Offences,Tower Hamlets,E01004303,8745,34.5,910.8,0.0011
40911,Vehicle Offences,Lambeth,E01003038,6852,36.3,929.28,0.00108
40650,Vehicle Offences,Islington,E01002789,7448,36.3,925.65,0.00108
40211,Vehicle Offences,Havering,E01002370,9868,40.2,924.6,0.00108
42362,Vehicle Offences,Waltham Forest,E01004392,7719,37.4,923.78,0.00108
38005,Vehicle Offences,Barnet,E01000245,8260,32.6,925.84,0.00108
37971,Vehicle Offences,Barnet,E01000211,6366,36.5,934.4,0.00107
42226,Vehicle Offences,Tower Hamlets,E01032764,9544,39.0,932.1,0.00107
41695,Vehicle Offences,Redbridge,E01003785,8220,33.6,940.8,0.00106
39227,Vehicle Offences,Enfield,E01001432,7516,35.0,945.0,0.00106
39939,Vehicle Offences,Haringey,E01033943,7569,35.5,951.4,0.00105
42167,Vehicle Offences,Tower Hamlets,E01004247,8076,37.2,948.6,0.00105
41041,Vehicle Offences,Lambeth,E01003170,7688,36.2,962.92,0.00104
39877,Vehicle Offences,Haringey,E01002045,8484,34.7,964.66,0.00104
38711,Vehicle Offences,Camden,E01000930,8424,34.6,961.88,0.00104
42170,Vehicle Offences,Tower Hamlets,E01004251,7758,34.3,967.26,0.00103
37963,Vehicle Offences,Barnet,E01000203,7364,36.3,972.84,0.00103
42744,Vehicle Offences,Westminster,E01035715,8364,36.4,971.88,0.00103
41967,Vehicle Offences,Southwark,E01004067,6636,37.3,973.53,0.00103
37805,Vehicle Offences,Barking and Dagenham,E01000052,7101,35.5,983.35,0.00102
37863,Vehicle Offences,Barking and Dagenham,E01000112,7976,36.4,990.08,0.00101
38569,Vehicle Offences,Bromley,E01000790,6870,34.2,1008.9,0.00099
41396,Vehicle Offences,Newham,E01003512,5895,36.6,1010.16,0.00099
41931,Vehicle Offences,Southwark,E01004031,10440,38.9,1015.29,0.00098
39157,Vehicle Offences,Ealing,E01001370,6483,38.1,1021.08,0.00098
41880,Vehicle Offences,Southwark,E01003969,7164,35.8,1027.46,0.00097
39439,Vehicle Offences,Greenwich,E01001652,6876,36.4,1030.12,0.00097
37823,Vehicle Offences,Barking and Dagenham,E01000070,6219,38.7,1033.29,0.00097
41684,Vehicle Offences,Redbridge,E01003774,5883,39.3,1037.52,0.00096
39899,Vehicle Offences,Haringey,E01002067,6940,39.7,1040.14,0.00096
41638,Vehicle Offences,Redbridge,E01003726,7518,37.3,1051.86,0.00095
38751,Vehicle Offences,Camden,E01035707,9852,41.2,1062.96,0.00094
39902,Vehicle Offences,Haringey,E01002070,7722,40.1,1058.64,0.00094
37858,Vehicle Offences,Barking and Dagenham,E01000106,6702,37.3,1059.32,0.00094
38271,Vehicle Offences,Brent,E01000497,8260,42.1,1073.55,0.00093
40699,Vehicle Offences,Kensington and Chelsea,E01002827,6804,39.7,1087.78,0.00092
42390,Vehicle Offences,Waltham Forest,E01004420,8948,40.7,1086.69,0.00092
39048,Vehicle Offences,Ealing,E01001261,6882,41.3,1090.32,0.00092
39365,Vehicle Offences,Enfield,E01033926,10468,43.2,1084.32,0.00092
42525,Vehicle Offences,Wandsworth,E01004555,6860,40.2,1089.42,0.00092
40202,Vehicle Offences,Havering,E01002361,7896,40.3,1104.22,0.00091
39833,Vehicle Offences,Haringey,E01001999,7269,37.8,1096.2,0.00091
41440,Vehicle Offences,Newham,E01003556,7860,33.8,1105.26,0.0009
38069,Vehicle Offences,Barnet,E01000310,6582,38.3,1118.36,0.00089
39717,Vehicle Offences,Hammersmith and Fulham,E01001888,6320,39.8,1130.32,0.00088
42637,Vehicle Offences,Westminster,E01004654,7425,40.2,1133.64,0.00088
39912,Vehicle Offences,Haringey,E01002081,7908,37.6,1135.52,0.00088
38353,Vehicle Offences,Brent,E01000583,6084,40.9,1165.65,0.00086
40467,Vehicle Offences,Hounslow,E01002615,6452,39.8,1162.16,0.00086
42631,Vehicle Offences,Westminster,E01004648,6996,40.5,1166.4,0.00086
38273,Vehicle Offences,Brent,E01000499,7516,38.3,1171.98,0.00085
42312,Vehicle Offences,Waltham Forest,E01004342,6279,42.8,1172.72,0.00085
39285,Vehicle Offences,Enfield,E01001492,6102,40.9,1177.92,0.00085
41393,Vehicle Offences,Newham,E01003508,7542,42.0,1171.8,0.00085
40646,Vehicle Offences,Islington,E01002785,7464,41.7,1180.11,0.00085
38350,Vehicle Offences,Brent,E01000580,8360,39.5,1177.1,0.00085
41495,Vehicle Offences,Newham,E01003618,6708,42.2,1190.04,0.00084
40187,Vehicle Offences,Havering,E01002345,7720,44.7,1189.02,0.00084
41651,Vehicle Offences,Redbridge,E01003740,6708,45.8,1213.7,0.00082
37983,Vehicle Offences,Barnet,E01000223,8148,40.6,1218.0,0.00082
42392,Vehicle Offences,Waltham Forest,E01004422,10512,47.8,1228.46,0.00081
39131,Vehicle Offences,Ealing,E01001344,6828,42.0,1234.8,0.00081
39569,Vehicle Offences,Hackney,E01001756,8176,42.2,1236.46,0.00081
42406,Vehicle Offences,Waltham Forest,E01004438,6351,41.5,1253.3,0.0008
39576,Vehicle Offences,Hackney,E01001763,5340,39.9,1248.87,0.0008
38712,Vehicle Offences,Camden,E01000931,6168,43.2,1283.04,0.00078
38323,Vehicle Offences,Brent,E01000553,6114,41.3,1288.56,0.00078
42574,Vehicle Offences,Wandsworth,E01004609,6582,42.3,1290.15,0.00078
40332,Vehicle Offences,Hillingdon,E01002486,8844,39.6,1290.96,0.00077
38175,Vehicle Offences,Bexley,E01000403,9528,41.6,1293.76,0.00077
42367,Vehicle Offences,Waltham Forest,E01004397,8688,42.2,1303.98,0.00077
42221,Vehicle Offences,Tower Hamlets,E01004321,8988,44.0,1320.0,0.00076
42192,Vehicle Offences,Tower Hamlets,E01004286,7647,41.0,1320.2,0.00076
38315,Vehicle Offences,Brent,E01000545,5742,42.3,1323.99,0.00076
39411,Vehicle Offences,Greenwich,E01001615,8196,39.4,1331.72,0.00075
38953,Vehicle Offences,Croydon,E01001177,6500,40.9,1341.52,0.00075
41474,Vehicle Offences,Newham,E01003590,6396,44.2,1352.52,0.00074
38159,Vehicle Offences,Bexley,E01000386,6040,45.2,1387.64,0.00072
41583,Vehicle Offences,Redbridge,E01003669,6212,46.1,1383.0,0.00072
41261,Vehicle Offences,Merton,E01003375,7120,43.0,1414.7,0.00071
42592,Vehicle Offences,Wandsworth,E01004627,6336,44.2,1436.5,0.0007
41382,Vehicle Offences,Newham,E01003495,6270,44.8,1433.6,0.0007
39531,Vehicle Offences,Greenwich,E01034198,9340,50.8,1427.48,0.0007
38725,Vehicle Offences,Camden,E01000947,6624,44.6,1449.5,0.00069
40422,Vehicle Offences,Hounslow,E01002569,6315,44.9,1454.76,0.00069
42165,Vehicle Offences,Tower Hamlets,E01004244,6312,45.2,1459.96,0.00068
41427,Vehicle Offences,Newham,E01003543,7014,45.1,1461.24,0.00068
39648,Vehicle Offences,Hackney,E01001844,5838,47.0,1489.9,0.00067
38913,Vehicle Offences,Croydon,E01001137,6489,46.1,1498.25,0.00067
38218,Vehicle Offences,Bexley,E01000447,7816,46.1,1498.25,0.00067
39309,Vehicle Offences,Enfield,E01001518,6760,46.9,1496.11,0.00067
39813,Vehicle Offences,Haringey,E01001979,6795,46.0,1485.8,0.00067
39855,Vehicle Offences,Haringey,E01002022,6534,46.2,1519.98,0.00066
39566,Vehicle Offences,Hackney,E01001751,4533,46.3,1509.38,0.00066
