,LSOA,Major Category,Borough,Population,Mean,Normalised Deviation,Regression,Flat
49487,E01004761,Vehicle Offences,Westminster,1217,1424.4,992949.24,1.091,0.9165902841429882
29423,E01002818,Vehicle Offences,Kensington and Chelsea,1401,1119.4,851303.7,0.947,1.0559662090813096
54800,E01035716,Vehicle Offences,Westminster,2201,945.0,563598.0,0.753,1.3280212483399734
49025,E01004714,Vehicle Offences,Westminster,1667,815.1,323024.13,0.62,1.6129032258064517
6279,E01000601,Vehicle Offences,Brent,1392,727.3,293029.17,0.574,1.7421602787456447
16454,E01001559,Vehicle Offences,Enfield,2127,694.2,239499.0,0.535,1.8691588785046729
13099,E01001247,Vehicle Offences,Ealing,2326,684.1,192847.79,0.428,2.336448598130841
20139,E01001932,Vehicle Offences,Hammersmith and Fulham,1563,678.9,294914.16,0.612,1.6339869281045751
52721,E01034205,Vehicle Offences,Newham,1565,673.2,206335.8,0.471,2.1231422505307855
49267,E01004736,Vehicle Offences,Westminster,1547,635.0,224790.0,0.507,1.9723865877712032
9634,E01000918,Vehicle Offences,Camden,1805,605.2,257088.96,0.647,1.5455950540958268
52886,E01034220,Vehicle Offences,Newham,1188,605.1,294018.09,0.556,1.7985611510791366
49245,E01004734,Vehicle Offences,Westminster,1699,579.6,283308.48,0.653,1.5313935681470137
49498,E01004762,Vehicle Offences,Westminster,1579,578.9,222702.83,0.516,1.937984496124031
48783,E01004691,Vehicle Offences,Westminster,1207,572.2,216749.36,0.505,1.9801980198019802
52545,E01034188,Vehicle Offences,Greenwich,1418,557.5,211348.25,0.589,1.697792869269949
51852,E01033938,Vehicle Offences,Brent,1277,541.7,153355.27,0.442,2.262443438914027
49520,E01004765,Vehicle Offences,Westminster,1862,518.4,126023.04,0.364,2.7472527472527473
30402,E01002911,Vehicle Offences,Kensington and Chelsea,1271,513.7,176712.8,0.47,2.127659574468085
46374,E01004455,Vehicle Offences,Waltham Forest,1799,509.8,149626.3,0.414,2.4154589371980677
