,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
12101,Ealing,E01001247,Vehicle Offences,9304,171.0,70.2,2.44
18162,Hackney,E01033708,Vehicle Offences,7532,107.9,48.3,2.23
36031,Newham,E01034205,Vehicle Offences,6260,168.3,76.4,2.2
23144,Havering,E01002344,Vehicle Offences,7904,86.3,39.7,2.17
47543,Westminster,E01004765,Vehicle Offences,5586,172.8,80.7,2.14
20140,Haringey,E01002037,Vehicle Offences,6744,91.5,42.7,2.14
47101,Westminster,E01004714,Vehicle Offences,5001,271.7,131.8,2.06
47513,Westminster,E01004761,Vehicle Offences,4868,356.1,174.0,2.05
821,Barking and Dagenham,E01000095,Vehicle Offences,8916,68.2,33.6,2.03
15116,Enfield,E01001559,Vehicle Offences,8508,173.5,86.0,2.02
47305,Westminster,E01004735,Vehicle Offences,6132,124.2,62.3,1.99
44277,Waltham Forest,E01004422,Vehicle Offences,10512,47.8,24.7,1.94
47091,Westminster,E01004713,Vehicle Offences,3921,142.1,73.7,1.93
6282,Brent,E01033938,Vehicle Offences,3831,180.6,94.0,1.92
16881,Greenwich,E01034198,Vehicle Offences,9340,50.8,27.1,1.87
28377,Kensington and Chelsea,E01002859,Vehicle Offences,4956,86.5,46.2,1.87
13886,Enfield,E01001427,Vehicle Offences,6920,118.9,63.9,1.86
26018,Hounslow,E01002637,Vehicle Offences,5820,102.0,55.2,1.85
47533,Westminster,E01004763,Vehicle Offences,6093,90.4,49.1,1.84
19199,Hammersmith and Fulham,E01001943,Vehicle Offences,6675,71.2,38.8,1.84
23384,Havering,E01002370,Vehicle Offences,9868,40.2,22.0,1.83
1573,Barnet,E01000164,Vehicle Offences,6864,72.7,39.7,1.83
28919,Kensington and Chelsea,E01035714,Vehicle Offences,6309,82.0,45.0,1.82
5731,Brent,E01000601,Vehicle Offences,4176,242.4,134.0,1.81
37231,Redbridge,E01003740,Vehicle Offences,6708,45.8,25.5,1.8
47315,Westminster,E01004736,Vehicle Offences,4641,211.7,117.7,1.8
15268,Enfield,E01033926,Vehicle Offences,10468,43.2,24.1,1.79
23604,Havering,E01033784,Vehicle Offences,4710,95.8,53.6,1.79
44356,Waltham Forest,E01004430,Vehicle Offences,10684,60.2,34.0,1.77
34789,Newham,E01003515,Vehicle Offences,8508,82.8,47.0,1.76
18071,Hackney,E01001849,Vehicle Offences,7353,51.1,29.2,1.75
23154,Havering,E01002345,Vehicle Offences,7720,44.7,25.6,1.75
44582,Waltham Forest,E01004455,Vehicle Offences,5397,169.9,97.5,1.74
1965,Barnet,E01000206,Vehicle Offences,4461,101.7,58.6,1.74
12091,Ealing,E01001246,Vehicle Offences,7332,81.7,47.2,1.73
12380,Ealing,E01001277,Vehicle Offences,6051,68.7,39.8,1.73
4813,Brent,E01000497,Vehicle Offences,8260,42.1,24.5,1.72
13353,Ealing,E01001381,Vehicle Offences,5625,82.0,47.8,1.72
24661,Hillingdon,E01002505,Vehicle Offences,5325,84.6,49.2,1.72
8809,Camden,E01000913,Vehicle Offences,4887,102.4,59.8,1.71
1090,Barking and Dagenham,E01034475,Vehicle Offences,5496,58.1,34.0,1.71
13509,Ealing,E01034030,Vehicle Offences,5502,60.4,35.6,1.7
42680,Tower Hamlets,E01032764,Vehicle Offences,9544,39.0,22.9,1.7
25426,Hounslow,E01002575,Vehicle Offences,4827,76.3,45.0,1.7
26376,Hounslow,E01002678,Vehicle Offences,6021,88.2,52.2,1.69
19881,Haringey,E01002008,Vehicle Offences,4158,88.7,52.4,1.69
37875,Richmond upon Thames,E01003799,Vehicle Offences,4833,90.1,53.5,1.68
1100,Barking and Dagenham,E01034476,Vehicle Offences,5400,75.5,44.9,1.68
19016,Hammersmith and Fulham,E01001922,Vehicle Offences,4851,81.6,49.0,1.67
2104,Barnet,E01000221,Vehicle Offences,4176,160.4,96.0,1.67
44562,Waltham Forest,E01004453,Vehicle Offences,5490,71.9,43.4,1.66
14686,Enfield,E01001513,Vehicle Offences,5940,110.8,66.6,1.66
9364,Camden,E01035707,Vehicle Offences,9852,41.2,24.8,1.66
43527,Waltham Forest,E01004344,Vehicle Offences,5727,55.1,33.3,1.65
11253,Croydon,E01001172,Vehicle Offences,6654,66.2,40.2,1.65
13985,Enfield,E01001437,Vehicle Offences,6972,72.0,43.8,1.64
23364,Havering,E01002368,Vehicle Offences,7536,50.5,30.7,1.64
45607,Wandsworth,E01004560,Vehicle Offences,5751,73.2,44.8,1.63
25979,Hounslow,E01002633,Vehicle Offences,6618,59.0,36.2,1.63
34642,Newham,E01003497,Vehicle Offences,5049,129.3,79.1,1.63
12226,Ealing,E01001261,Vehicle Offences,6882,41.3,25.4,1.63
24681,Hillingdon,E01002507,Vehicle Offences,5943,65.4,40.4,1.62
1378,Barnet,E01000141,Vehicle Offences,5583,105.6,65.0,1.62
46014,Wandsworth,E01004608,Vehicle Offences,4944,80.9,49.9,1.62
18132,Hackney,E01033704,Vehicle Offences,7017,48.8,30.2,1.62
36757,Redbridge,E01003689,Vehicle Offences,6690,82.4,50.8,1.62
43508,Waltham Forest,E01004342,Vehicle Offences,6279,42.8,26.4,1.62
35647,Newham,E01003603,Vehicle Offences,7756,35.6,22.0,1.62
37578,Redbridge,E01003778,Vehicle Offences,5832,54.2,33.4,1.62
12370,Ealing,E01001276,Vehicle Offences,5319,113.4,70.6,1.61
8819,Camden,E01000914,Vehicle Offences,4206,169.9,105.4,1.61
40569,Sutton,E01004076,Vehicle Offences,6512,69.0,42.9,1.61
43565,Waltham Forest,E01004348,Vehicle Offences,11716,24.5,15.2,1.61
17047,Hackney,E01001731,Vehicle Offences,10660,26.3,16.3,1.61
14587,Enfield,E01001501,Vehicle Offences,6585,60.2,37.4,1.61
24593,Hillingdon,E01002496,Vehicle Offences,5847,59.0,36.6,1.61
17577,Hackney,E01001794,Vehicle Offences,5841,48.6,30.3,1.6
19120,Hammersmith and Fulham,E01001933,Vehicle Offences,4569,81.1,50.6,1.6
26806,Islington,E01002704,Vehicle Offences,7023,111.4,69.6,1.6
2897,Barnet,E01000307,Vehicle Offences,4935,117.4,73.3,1.6
15076,Enfield,E01001555,Vehicle Offences,6687,51.1,32.0,1.6
4640,Brent,E01000477,Vehicle Offences,6954,36.9,23.1,1.6
31596,Lewisham,E01003190,Vehicle Offences,6909,55.7,34.8,1.6
46642,Westminster,E01004657,Vehicle Offences,3693,143.7,90.3,1.59
47681,Westminster,E01035716,Vehicle Offences,6603,315.0,198.5,1.59
36579,Redbridge,E01003669,Vehicle Offences,6212,46.1,29.0,1.59
36061,Newham,E01034208,Vehicle Offences,5781,63.9,40.1,1.59
22261,Havering,E01002248,Vehicle Offences,5304,54.6,34.3,1.59
20431,Haringey,E01002067,Vehicle Offences,6940,39.7,25.2,1.58
28161,Kensington and Chelsea,E01002836,Vehicle Offences,3891,78.6,49.8,1.58
20461,Haringey,E01002070,Vehicle Offences,7722,40.1,25.4,1.58
43986,Waltham Forest,E01004392,Vehicle Offences,7719,37.4,23.7,1.58
13742,Enfield,E01001412,Vehicle Offences,5343,72.8,46.2,1.58
34613,Newham,E01003494,Vehicle Offences,6249,35.8,22.6,1.58
44257,Waltham Forest,E01004420,Vehicle Offences,8948,40.7,25.7,1.58
19110,Hammersmith and Fulham,E01001932,Vehicle Offences,4689,226.3,144.5,1.57
12799,Ealing,E01001322,Vehicle Offences,6129,48.7,31.0,1.57
34662,Newham,E01003499,Vehicle Offences,7326,60.0,38.3,1.57
1020,Barking and Dagenham,E01033587,Vehicle Offences,9780,56.6,36.0,1.57
37846,Redbridge,E01034484,Vehicle Offences,5103,65.0,41.5,1.57
14666,Enfield,E01001511,Vehicle Offences,5667,61.4,39.0,1.57
39498,Southwark,E01003988,Vehicle Offences,6156,55.8,35.6,1.57
24603,Hillingdon,E01002497,Vehicle Offences,9900,51.0,32.7,1.56
3307,Bexley,E01000335,Vehicle Offences,10964,36.4,23.3,1.56
831,Barking and Dagenham,E01000096,Vehicle Offences,5016,76.5,48.9,1.56
8839,Camden,E01000916,Vehicle Offences,5616,84.9,54.5,1.56
34731,Newham,E01003508,Vehicle Offences,7542,42.0,26.9,1.56
37673,Redbridge,E01003788,Vehicle Offences,5562,53.3,34.1,1.56
47006,Westminster,E01004703,Vehicle Offences,5991,61.2,39.3,1.56
35726,Newham,E01003618,Vehicle Offences,6708,42.2,27.2,1.55
37568,Redbridge,E01003777,Vehicle Offences,5379,58.9,38.1,1.55
37541,Redbridge,E01003774,Vehicle Offences,5883,39.3,25.4,1.55
35982,Newham,E01034200,Vehicle Offences,4719,70.8,45.8,1.55
36635,Redbridge,E01003675,Vehicle Offences,6896,67.9,43.8,1.55
5052,Brent,E01000523,Vehicle Offences,9184,28.9,18.6,1.55
35657,Newham,E01003604,Vehicle Offences,6858,53.3,34.4,1.55
9754,Croydon,E01001010,Vehicle Offences,6860,86.9,55.9,1.55
13439,Ealing,E01032572,Vehicle Offences,4803,60.9,39.4,1.55
39860,Southwark,E01004031,Vehicle Offences,10440,38.9,25.1,1.55
23261,Havering,E01002356,Vehicle Offences,8428,34.7,22.4,1.55
16102,Greenwich,E01001666,Vehicle Offences,6033,69.9,45.2,1.55
214,Barking and Dagenham,E01000030,Vehicle Offences,10352,34.3,22.2,1.55
20120,Haringey,E01002034,Vehicle Offences,7413,65.4,42.6,1.54
44822,Wandsworth,E01004477,Vehicle Offences,4953,62.0,40.2,1.54
45560,Wandsworth,E01004555,Vehicle Offences,6860,40.2,26.1,1.54
35667,Newham,E01003605,Vehicle Offences,8400,23.5,15.3,1.54
42120,Tower Hamlets,E01004249,Vehicle Offences,9808,30.3,19.7,1.54
36653,Redbridge,E01003677,Vehicle Offences,5424,71.9,46.8,1.54
9404,Camden,E01035711,Vehicle Offences,7200,65.6,42.7,1.54
34721,Newham,E01003507,Vehicle Offences,9108,35.4,23.1,1.53
12276,Ealing,E01001266,Vehicle Offences,5586,57.3,37.5,1.53
47583,Westminster,E01033594,Vehicle Offences,6056,58.6,38.2,1.53
11955,Ealing,E01001231,Vehicle Offences,6252,48.7,31.9,1.53
20441,Haringey,E01002068,Vehicle Offences,6783,63.7,41.7,1.53
18952,Hammersmith and Fulham,E01001915,Vehicle Offences,4323,75.9,49.6,1.53
18021,Hackney,E01001844,Vehicle Offences,5838,47.0,30.7,1.53
23297,Havering,E01002361,Vehicle Offences,7896,40.3,26.4,1.53
27553,Islington,E01002785,Vehicle Offences,7464,41.7,27.3,1.53
18152,Hackney,E01033706,Vehicle Offences,4281,60.7,39.6,1.53
42100,Tower Hamlets,E01004247,Vehicle Offences,8076,37.2,24.5,1.52
42630,Tower Hamlets,E01004321,Vehicle Offences,8988,44.0,29.0,1.52
34702,Newham,E01003503,Vehicle Offences,11540,30.5,20.1,1.52
14735,Enfield,E01001518,Vehicle Offences,6760,46.9,30.9,1.52
3769,Bexley,E01000386,Vehicle Offences,6040,45.2,29.7,1.52
14054,Enfield,E01001445,Vehicle Offences,11188,54.9,36.1,1.52
15218,Enfield,E01032574,Vehicle Offences,8388,78.4,51.5,1.52
24671,Hillingdon,E01002506,Vehicle Offences,6162,54.0,35.5,1.52
45996,Wandsworth,E01004606,Vehicle Offences,4968,67.5,44.5,1.52
18201,Hackney,E01033712,Vehicle Offences,4617,66.4,43.8,1.52
47523,Westminster,E01004762,Vehicle Offences,4737,193.0,127.9,1.51
41893,Tower Hamlets,E01004219,Vehicle Offences,11056,32.8,21.7,1.51
36356,Redbridge,E01003645,Vehicle Offences,8286,35.3,23.4,1.51
37033,Redbridge,E01003719,Vehicle Offences,9584,31.1,20.6,1.51
8242,Camden,E01000850,Vehicle Offences,4233,82.8,54.7,1.51
28782,Kensington and Chelsea,E01002902,Vehicle Offences,3705,64.3,42.7,1.51
2984,Barnet,E01000316,Vehicle Offences,9120,50.4,33.3,1.51
45645,Wandsworth,E01004566,Vehicle Offences,5049,59.7,39.6,1.51
25292,Hounslow,E01002559,Vehicle Offences,10296,27.9,18.5,1.51
10545,Croydon,E01001097,Vehicle Offences,7257,54.1,35.9,1.51
584,Barking and Dagenham,E01000070,Vehicle Offences,6219,38.7,25.7,1.51
