,LSOA,Major Category,Borough,Population,Mean,Range,Normalised Deviation
47242,E01035670,Vehicle Offences,Tower Hamlets,17520,13.6,0.007,142.8
15665,E01001731,Vehicle Offences,Hackney,10660,26.3,0.005,454.99
34318,E01003770,Vehicle Offences,Redbridge,11456,26.7,0.004,520.65
4727,E01000523,Vehicle Offences,Brent,9184,28.9,0.004,566.44
4315,E01000477,Vehicle Offences,Brent,6954,36.9,0.004,889.29
33849,E01003719,Vehicle Offences,Redbridge,9584,31.1,0.004,671.76
34357,E01003774,Vehicle Offences,Redbridge,5883,39.3,0.004,1037.52
214,E01000030,Vehicle Offences,Barking and Dagenham,10352,34.3,0.004,795.76
21411,E01002361,Vehicle Offences,Havering,7896,40.3,0.004,1104.22
12375,E01001361,Vehicle Offences,Ealing,9084,30.6,0.003,679.32
9793,E01001087,Vehicle Offences,Croydon,8490,34.3,0.003,854.07
47593,E01035707,Vehicle Offences,Camden,9852,41.2,0.003,1062.96
27533,E01003038,Vehicle Offences,Lambeth,6852,36.3,0.003,929.28
10036,E01001113,Vehicle Offences,Croydon,8064,28.7,0.003,579.74
32204,E01003538,Vehicle Offences,Newham,8576,28.1,0.003,570.43
25303,E01002795,Vehicle Offences,Islington,7784,30.8,0.003,705.32
39257,E01004348,Vehicle Offences,Waltham Forest,11716,24.5,0.003,396.9
3031,E01000335,Vehicle Offences,Bexley,10964,36.4,0.003,884.52
16639,E01001844,Vehicle Offences,Hackney,5838,47.0,0.003,1489.9
36560,E01004031,Vehicle Offences,Southwark,10440,38.9,0.003,1015.29
36903,E01004067,Vehicle Offences,Southwark,6636,37.3,0.003,973.53
33290,E01003657,Vehicle Offences,Redbridge,8616,31.9,0.003,765.6
33395,E01003669,Vehicle Offences,Redbridge,6212,46.1,0.003,1383.0
39678,E01004392,Vehicle Offences,Waltham Forest,7719,37.4,0.003,923.78
40766,E01004508,Vehicle Offences,Wandsworth,8060,33.3,0.003,795.87
42102,E01004654,Vehicle Offences,Westminster,7425,40.2,0.003,1133.64
21498,E01002370,Vehicle Offences,Havering,9868,40.2,0.003,924.6
38862,E01004303,Vehicle Offences,Tower Hamlets,8745,34.5,0.003,910.8
23161,E01002559,Vehicle Offences,Hounslow,10296,27.9,0.003,544.05
39200,E01004342,Vehicle Offences,Waltham Forest,6279,42.8,0.003,1172.72
13749,E01001507,Vehicle Offences,Enfield,10340,31.8,0.003,718.68
13552,E01001485,Vehicle Offences,Enfield,7564,33.1,0.003,767.92
