,Borough,LSOA,Major Category,Population,Mean,Standard Deviation,Normalised Deviation
43009,Tower Hamlets,E01035670,Vehicle Offences,17520,13.6,1.01607,142.8
43565,Waltham Forest,E01004348,Vehicle Offences,11716,24.5,1.00691,396.9
17047,Hackney,E01001731,Vehicle Offences,10660,26.3,1.00606,454.99
37221,Redbridge,E01003739,Vehicle Offences,9544,25.5,1.00475,471.75
485,Barking and Dagenham,E01000060,Vehicle Offences,8676,26.4,1.00461,498.96
5052,Brent,E01000523,Vehicle Offences,9184,28.9,1.0045,566.44
29392,Kingston upon Thames,E01002968,Vehicle Offences,11748,25.8,1.00449,487.62
25292,Hounslow,E01002559,Vehicle Offences,10296,27.9,1.00441,544.05
37502,Redbridge,E01003770,Vehicle Offences,11456,26.7,1.0042,520.65
10690,Croydon,E01001113,Vehicle Offences,8064,28.7,1.00406,579.74
42120,Tower Hamlets,E01004249,Vehicle Offences,9808,30.3,1.00396,627.21
35014,Newham,E01003538,Vehicle Offences,8576,28.1,1.00388,570.43
23384,Havering,E01002370,Vehicle Offences,9868,40.2,1.00379,924.6
23374,Havering,E01002369,Vehicle Offences,8268,28.0,1.00376,574.0
34702,Newham,E01003503,Vehicle Offences,11540,30.5,1.00374,643.55
37033,Redbridge,E01003719,Vehicle Offences,9584,31.1,1.00355,671.76
44073,Waltham Forest,E01004401,Vehicle Offences,9340,26.5,1.00336,553.85
35647,Newham,E01003603,Vehicle Offences,7756,35.6,1.00335,818.8
42680,Tower Hamlets,E01032764,Vehicle Offences,9544,39.0,1.00324,932.1
41893,Tower Hamlets,E01004219,Vehicle Offences,11056,32.8,1.0032,744.56
13175,Ealing,E01001361,Vehicle Offences,9084,30.6,1.00319,679.32
44277,Waltham Forest,E01004422,Vehicle Offences,10512,47.8,1.00316,1228.46
214,Barking and Dagenham,E01000030,Vehicle Offences,10352,34.3,1.00313,795.76
14636,Enfield,E01001507,Vehicle Offences,10340,31.8,1.00313,718.68
23261,Havering,E01002356,Vehicle Offences,8428,34.7,1.00309,811.98
15268,Enfield,E01033926,Vehicle Offences,10468,43.2,1.00308,1084.32
14439,Enfield,E01001485,Vehicle Offences,7564,33.1,1.00301,767.92
43029,Tower Hamlets,E01035672,Vehicle Offences,9036,30.7,1.00298,699.96
4640,Brent,E01000477,Vehicle Offences,6954,36.9,1.00298,889.29
11204,Croydon,E01001167,Vehicle Offences,9324,31.2,1.00293,717.6
27652,Islington,E01002795,Vehicle Offences,7784,30.8,1.00292,705.32
3307,Bexley,E01000335,Vehicle Offences,10964,36.4,1.00289,884.52
34721,Newham,E01003507,Vehicle Offences,9108,35.4,1.00286,853.14
4813,Brent,E01000497,Vehicle Offences,8260,42.1,1.00285,1073.55
43986,Waltham Forest,E01004392,Vehicle Offences,7719,37.4,1.0028,923.78
45113,Wandsworth,E01004508,Vehicle Offences,8060,33.3,1.00276,795.87
