,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
40438,Vehicle Offences,E01002818,Kensington and Chelsea,373.1,253.2,1.47
42262,Vehicle Offences,E01004761,Westminster,356.1,174.0,2.05
42745,Vehicle Offences,E01035716,Westminster,315.0,198.5,1.59
42220,Vehicle Offences,E01004714,Westminster,271.7,131.8,2.06
38334,Vehicle Offences,E01000601,Brent,242.4,134.0,1.81
39594,Vehicle Offences,E01001932,Hammersmith and Fulham,226.3,144.5,1.57
42242,Vehicle Offences,E01004736,Westminster,211.7,117.7,1.8
42240,Vehicle Offences,E01004734,Westminster,193.2,162.6,1.19
42263,Vehicle Offences,E01004762,Westminster,193.0,127.9,1.51
42477,Vehicle Offences,E01033938,Brent,180.6,94.0,1.92
39259,Vehicle Offences,E01001559,Enfield,173.5,86.0,2.02
42265,Vehicle Offences,E01004765,Westminster,172.8,80.7,2.14
40527,Vehicle Offences,E01002911,Kensington and Chelsea,171.2,114.3,1.5
38954,Vehicle Offences,E01001247,Ealing,171.0,70.2,2.44
41979,Vehicle Offences,E01004455,Waltham Forest,169.9,97.5,1.74
38635,Vehicle Offences,E01000914,Camden,169.9,105.4,1.61
42556,Vehicle Offences,E01034205,Newham,168.3,76.4,2.2
37968,Vehicle Offences,E01000221,Barnet,160.4,96.0,1.67
40090,Vehicle Offences,E01002444,Hillingdon,155.6,119.0,1.31
38639,Vehicle Offences,E01000918,Camden,151.3,105.9,1.43
42571,Vehicle Offences,E01034220,Newham,151.3,121.2,1.25
42173,Vehicle Offences,E01004657,Westminster,143.7,90.3,1.59
42198,Vehicle Offences,E01004691,Westminster,143.0,94.5,1.51
42219,Vehicle Offences,E01004713,Westminster,142.1,73.7,1.93
42540,Vehicle Offences,E01034188,Greenwich,139.4,94.5,1.48
40439,Vehicle Offences,E01002819,Kensington and Chelsea,139.3,107.0,1.3
40458,Vehicle Offences,E01002841,Kensington and Chelsea,130.2,95.1,1.37
41096,Vehicle Offences,E01003497,Newham,129.3,79.1,1.63
42241,Vehicle Offences,E01004735,Westminster,124.2,62.3,1.99
