,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
38954,Vehicle Offences,E01001247,Ealing,171.0,70.2,2.44
42394,Vehicle Offences,E01033708,Hackney,107.9,48.3,2.23
42556,Vehicle Offences,E01034205,Newham,168.3,76.4,2.2
39993,Vehicle Offences,E01002344,Havering,86.3,39.7,2.17
42265,Vehicle Offences,E01004765,Westminster,172.8,80.7,2.14
39695,Vehicle Offences,E01002037,Haringey,91.5,42.7,2.14
42220,Vehicle Offences,E01004714,Westminster,271.7,131.8,2.06
42262,Vehicle Offences,E01004761,Westminster,356.1,174.0,2.05
37847,Vehicle Offences,E01000095,Barking and Dagenham,68.2,33.6,2.03
39259,Vehicle Offences,E01001559,Enfield,173.5,86.0,2.02
42241,Vehicle Offences,E01004735,Westminster,124.2,62.3,1.99
41948,Vehicle Offences,E01004422,Waltham Forest,47.8,24.7,1.94
42219,Vehicle Offences,E01004713,Westminster,142.1,73.7,1.93
42477,Vehicle Offences,E01033938,Brent,180.6,94.0,1.92
42549,Vehicle Offences,E01034198,Greenwich,50.8,27.1,1.87
40476,Vehicle Offences,E01002859,Kensington and Chelsea,86.5,46.2,1.87
39132,Vehicle Offences,E01001427,Enfield,118.9,63.9,1.86
40271,Vehicle Offences,E01002637,Hounslow,102.0,55.2,1.85
39603,Vehicle Offences,E01001943,Hammersmith and Fulham,71.2,38.8,1.84
42264,Vehicle Offences,E01004763,Westminster,90.4,49.1,1.84
37911,Vehicle Offences,E01000164,Barnet,72.7,39.7,1.83
40018,Vehicle Offences,E01002370,Havering,40.2,22.0,1.83
42743,Vehicle Offences,E01035714,Kensington and Chelsea,82.0,45.0,1.82
38334,Vehicle Offences,E01000601,Brent,242.4,134.0,1.81
41324,Vehicle Offences,E01003740,Redbridge,45.8,25.5,1.8
42242,Vehicle Offences,E01004736,Westminster,211.7,117.7,1.8
42417,Vehicle Offences,E01033784,Havering,95.8,53.6,1.79
42465,Vehicle Offences,E01033926,Enfield,43.2,24.1,1.79
41956,Vehicle Offences,E01004430,Waltham Forest,60.2,34.0,1.77
41111,Vehicle Offences,E01003515,Newham,82.8,47.0,1.76
39994,Vehicle Offences,E01002345,Havering,44.7,25.6,1.75
39512,Vehicle Offences,E01001849,Hackney,51.1,29.2,1.75
41979,Vehicle Offences,E01004455,Waltham Forest,169.9,97.5,1.74
37953,Vehicle Offences,E01000206,Barnet,101.7,58.6,1.74
38953,Vehicle Offences,E01001246,Ealing,81.7,47.2,1.73
38983,Vehicle Offences,E01001277,Ealing,68.7,39.8,1.73
39086,Vehicle Offences,E01001381,Ealing,82.0,47.8,1.72
38238,Vehicle Offences,E01000497,Brent,42.1,24.5,1.72
40149,Vehicle Offences,E01002505,Hillingdon,84.6,49.2,1.72
38634,Vehicle Offences,E01000913,Camden,102.4,59.8,1.71
42602,Vehicle Offences,E01034475,Barking and Dagenham,58.1,34.0,1.71
