,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
40438,Vehicle Offences,E01002818,Kensington and Chelsea,373.1,253.2,1.47
42745,Vehicle Offences,E01035716,Westminster,315.0,198.5,1.59
42262,Vehicle Offences,E01004761,Westminster,356.1,174.0,2.05
42240,Vehicle Offences,E01004734,Westminster,193.2,162.6,1.19
39594,Vehicle Offences,E01001932,Hammersmith and Fulham,226.3,144.5,1.57
38334,Vehicle Offences,E01000601,Brent,242.4,134.0,1.81
42220,Vehicle Offences,E01004714,Westminster,271.7,131.8,2.06
42263,Vehicle Offences,E01004762,Westminster,193.0,127.9,1.51
42571,Vehicle Offences,E01034220,Newham,151.3,121.2,1.25
40090,Vehicle Offences,E01002444,Hillingdon,155.6,119.0,1.31
42242,Vehicle Offences,E01004736,Westminster,211.7,117.7,1.8
40527,Vehicle Offences,E01002911,Kensington and Chelsea,171.2,114.3,1.5
40439,Vehicle Offences,E01002819,Kensington and Chelsea,139.3,107.0,1.3
38639,Vehicle Offences,E01000918,Camden,151.3,105.9,1.43
38635,Vehicle Offences,E01000914,Camden,169.9,105.4,1.61
37942,Vehicle Offences,E01000195,Barnet,78.9,98.6,0.8
41979,Vehicle Offences,E01004455,Waltham Forest,169.9,97.5,1.74
37968,Vehicle Offences,E01000221,Barnet,160.4,96.0,1.67
40458,Vehicle Offences,E01002841,Kensington and Chelsea,130.2,95.1,1.37
42198,Vehicle Offences,E01004691,Westminster,143.0,94.5,1.51
42540,Vehicle Offences,E01034188,Greenwich,139.4,94.5,1.48
42477,Vehicle Offences,E01033938,Brent,180.6,94.0,1.92
38640,Vehicle Offences,E01000919,Camden,121.0,92.9,1.3
42173,Vehicle Offences,E01004657,Westminster,143.7,90.3,1.59
42199,Vehicle Offences,E01004692,Westminster,93.0,89.6,1.04
42747,Vehicle Offences,E01035718,Westminster,122.6,88.7,1.38
42202,Vehicle Offences,E01004695,Westminster,76.3,88.0,0.87
42658,Vehicle Offences,E01035491,Wandsworth,116.3,87.2,1.33
42178,Vehicle Offences,E01004662,Westminster,71.6,86.9,0.82
39259,Vehicle Offences,E01001559,Enfield,173.5,86.0,2.02
42429,Vehicle Offences,E01033865,Lambeth,81.0,84.6,0.96
40453,Vehicle Offences,E01002835,Kensington and Chelsea,101.9,83.2,1.22
38578,Vehicle Offences,E01000855,Camden,113.4,83.1,1.36
39685,Vehicle Offences,E01002026,Haringey,99.3,81.7,1.22
42265,Vehicle Offences,E01004765,Westminster,172.8,80.7,2.14
40349,Vehicle Offences,E01002724,Islington,82.1,79.7,1.03
40089,Vehicle Offences,E01002443,Hillingdon,111.4,79.2,1.41
41096,Vehicle Offences,E01003497,Newham,129.3,79.1,1.63
38984,Vehicle Offences,E01001278,Ealing,97.1,79.0,1.23
42560,Vehicle Offences,E01034209,Newham,89.1,78.3,1.14
41086,Vehicle Offences,E01003486,Newham,108.2,77.9,1.39
42290,Vehicle Offences,E01032637,Southwark,46.5,77.5,0.6
41458,Vehicle Offences,E01003876,Richmond upon Thames,86.4,77.3,1.12
39556,Vehicle Offences,E01001894,Hammersmith and Fulham,101.8,76.8,1.33
42556,Vehicle Offences,E01034205,Newham,168.3,76.4,2.2
42174,Vehicle Offences,E01004658,Westminster,97.5,75.9,1.28
39583,Vehicle Offences,E01001921,Hammersmith and Fulham,103.3,74.1,1.39
42219,Vehicle Offences,E01004713,Westminster,142.1,73.7,1.93
38053,Vehicle Offences,E01000307,Barnet,117.4,73.3,1.6
40162,Vehicle Offences,E01002521,Hillingdon,63.6,70.7,0.9
38982,Vehicle Offences,E01001276,Ealing,113.4,70.6,1.61
40319,Vehicle Offences,E01002693,Hounslow,84.9,70.5,1.2
38954,Vehicle Offences,E01001247,Ealing,171.0,70.2,2.44
40330,Vehicle Offences,E01002704,Islington,111.4,69.6,1.6
