,LSOA,Major Category,Borough,Population,Mean,Normalised Deviation,Regression,Flat
19348,E01001859,Violence Against the Person,Hammersmith and Fulham,2710,95.5,6618.15,0.106,9.433962264150944
41997,E01004016,Violence Against the Person,Southwark,2560,118.6,8752.68,0.112,8.928571428571429
19689,E01001891,Violence Against the Person,Hammersmith and Fulham,2545,128.7,9575.28,0.114,8.771929824561402
1506,E01000152,Violence Against the Person,Barnet,2681,112.8,8651.76,0.116,8.620689655172413
44516,E01004271,Violence Against the Person,Tower Hamlets,2469,131.0,10375.2,0.116,8.620689655172413
38785,E01003703,Violence Against the Person,Redbridge,2636,95.1,7636.53,0.116,8.620689655172413
36585,E01003489,Violence Against the Person,Newham,2987,138.2,10903.98,0.117,8.547008547008547
43867,E01004193,Violence Against the Person,Sutton,2916,100.3,7913.67,0.117,8.547008547008547
34572,E01003301,Violence Against the Person,Lewisham,2619,109.4,8970.8,0.122,8.19672131147541
39346,E01003756,Violence Against the Person,Redbridge,2499,130.6,11780.12,0.123,8.130081300813009
20811,E01001995,Violence Against the Person,Haringey,2674,132.6,11005.8,0.123,8.130081300813009
670,E01000071,Violence Against the Person,Barking and Dagenham,2595,131.0,11803.1,0.124,8.064516129032258
15949,E01001512,Violence Against the Person,Enfield,2289,139.8,13756.32,0.126,7.936507936507937
45836,E01004404,Violence Against the Person,Waltham Forest,2861,135.3,11229.9,0.126,7.936507936507937
21702,E01002078,Violence Against the Person,Haringey,2523,144.8,12438.32,0.126,7.936507936507937
967,E01000099,Violence Against the Person,Barking and Dagenham,2761,125.7,10923.33,0.127,7.874015748031496
6379,E01000610,Violence Against the Person,Brent,2205,120.3,10285.65,0.127,7.874015748031496
38026,E01003632,Violence Against the Person,Newham,2438,118.5,9906.6,0.127,7.874015748031496
38301,E01003657,Violence Against the Person,Redbridge,2154,109.2,9587.76,0.127,7.874015748031496
5774,E01000551,Violence Against the Person,Brent,2895,146.5,12320.65,0.128,7.8125
11417,E01001090,Violence Against the Person,Croydon,2272,128.4,11145.12,0.128,7.8125
51006,E01033727,Violence Against the Person,Greenwich,2706,161.3,15113.81,0.128,7.8125
25475,E01002433,Violence Against the Person,Hillingdon,2489,124.8,11194.56,0.129,7.751937984496124
21614,E01002070,Violence Against the Person,Haringey,2574,132.1,11624.8,0.129,7.751937984496124
17269,E01001644,Violence Against the Person,Greenwich,2655,156.4,14388.8,0.129,7.751937984496124
37025,E01003533,Violence Against the Person,Newham,2375,123.8,10968.68,0.129,7.751937984496124
2496,E01000243,Violence Against the Person,Barnet,2152,144.9,13606.11,0.13,7.692307692307692
20569,E01001973,Violence Against the Person,Haringey,2514,138.5,12783.55,0.131,7.633587786259541
6610,E01000632,Violence Against the Person,Brent,2499,160.1,13864.66,0.131,7.633587786259541
36981,E01003529,Violence Against the Person,Newham,2427,127.5,10990.5,0.132,7.575757575757575
36772,E01003509,Violence Against the Person,Newham,2072,133.1,12245.2,0.132,7.575757575757575
38576,E01003683,Violence Against the Person,Redbridge,2185,137.6,12948.16,0.132,7.575757575757575
5884,E01000561,Violence Against the Person,Brent,1921,122.5,10963.75,0.132,7.575757575757575
13793,E01001311,Violence Against the Person,Ealing,2512,135.6,12570.12,0.133,7.518796992481203
14387,E01001365,Violence Against the Person,Ealing,2588,147.1,13533.2,0.133,7.518796992481203
13947,E01001325,Violence Against the Person,Ealing,2002,126.3,11329.11,0.133,7.518796992481203
6038,E01000575,Violence Against the Person,Brent,2141,139.3,12328.05,0.134,7.462686567164178
49114,E01004722,Violence Against the Person,Westminster,2724,147.5,13850.25,0.134,7.462686567164178
5037,E01000478,Violence Against the Person,Brent,2500,127.5,12036.0,0.134,7.462686567164178
39192,E01003742,Violence Against the Person,Redbridge,2398,139.1,13381.42,0.134,7.462686567164178
31085,E01002974,Violence Against the Person,Kingston upon Thames,2042,119.3,10486.47,0.135,7.4074074074074066
13903,E01001321,Violence Against the Person,Ealing,2283,132.4,12525.04,0.135,7.4074074074074066
46441,E01004462,Violence Against the Person,Waltham Forest,2366,152.7,13361.25,0.135,7.4074074074074066
20272,E01001946,Violence Against the Person,Hammersmith and Fulham,1892,138.7,12926.84,0.135,7.4074074074074066
46023,E01004421,Violence Against the Person,Waltham Forest,2177,129.4,11801.28,0.136,7.352941176470588
6060,E01000577,Violence Against the Person,Brent,2523,161.8,15160.66,0.136,7.352941176470588
5455,E01000519,Violence Against the Person,Brent,1956,131.1,11799.0,0.136,7.352941176470588
13067,E01001244,Violence Against the Person,Ealing,2815,142.1,13058.99,0.136,7.352941176470588
46265,E01004445,Violence Against the Person,Waltham Forest,2073,124.3,11137.28,0.136,7.352941176470588
44219,E01004233,Violence Against the Person,Tower Hamlets,2212,133.2,12054.6,0.137,7.2992700729927
27642,E01002643,Violence Against the Person,Hounslow,2734,157.3,16013.14,0.137,7.2992700729927
14464,E01001372,Violence Against the Person,Ealing,2560,165.2,16040.92,0.137,7.2992700729927
48487,E01004654,Violence Against the Person,Westminster,2475,143.1,13408.47,0.137,7.2992700729927
3266,E01000314,Violence Against the Person,Barnet,2170,130.9,12723.48,0.137,7.2992700729927
20580,E01001974,Violence Against the Person,Haringey,2204,142.5,14221.5,0.137,7.2992700729927
44626,E01004287,Violence Against the Person,Tower Hamlets,2332,160.7,14318.37,0.137,7.2992700729927
19601,E01001883,Violence Against the Person,Hammersmith and Fulham,1881,135.1,12442.71,0.137,7.2992700729927
16840,E01001595,Violence Against the Person,Greenwich,2231,136.6,13851.24,0.138,7.246376811594202
37058,E01003536,Violence Against the Person,Newham,2131,133.9,12372.36,0.138,7.246376811594202
35298,E01003370,Violence Against the Person,Merton,1994,132.8,12589.44,0.138,7.246376811594202
45693,E01004391,Violence Against the Person,Waltham Forest,2324,132.4,12167.56,0.138,7.246376811594202
46298,E01004448,Violence Against the Person,Waltham Forest,1937,164.0,14858.4,0.139,7.194244604316546
24980,E01002386,Violence Against the Person,Havering,2086,146.9,14939.73,0.139,7.194244604316546
12671,E01001205,Violence Against the Person,Ealing,1756,125.6,11479.84,0.139,7.194244604316546
28170,E01002698,Violence Against the Person,Islington,2008,131.5,12702.9,0.14,7.142857142857142
27422,E01002622,Violence Against the Person,Hounslow,1907,139.1,13701.35,0.14,7.142857142857142
52073,E01034037,Violence Against the Person,Hounslow,1843,145.5,14622.75,0.14,7.142857142857142
45880,E01004408,Violence Against the Person,Waltham Forest,1716,143.3,12968.65,0.14,7.142857142857142
38752,E01003700,Violence Against the Person,Redbridge,2565,143.8,13617.86,0.14,7.142857142857142
7523,E01000718,Violence Against the Person,Bromley,2065,129.6,11884.32,0.141,7.092198581560284
