,Major Category,Borough,LSOA,Population,Mean,Normalised Deviation,Inverse Normalised Deviation
45236,Violence Against the Person,Hillingdon,E01002400,5985,49.1,1556.47,0.00064
44677,Violence Against the Person,Hammersmith and Fulham,E01001859,5420,47.8,1682.56,0.00059
46604,Violence Against the Person,Redbridge,E01003703,5272,47.5,1933.25,0.00052
43358,Violence Against the Person,Brent,E01000604,5208,51.5,1905.5,0.00052
47107,Violence Against the Person,Sutton,E01004193,5832,50.1,1998.99,0.0005
46825,Violence Against the Person,Southwark,E01003916,7227,60.5,2123.55,0.00047
44566,Violence Against the Person,Hackney,E01001765,5583,57.7,2175.29,0.00046
42901,Violence Against the Person,Barnet,E01000152,5362,56.4,2188.32,0.00046
46908,Violence Against the Person,Southwark,E01004016,5120,59.3,2217.82,0.00045
47063,Violence Against the Person,Sutton,E01004148,5391,56.1,2283.27,0.00044
46160,Violence Against the Person,Lewisham,E01003301,5238,54.7,2270.05,0.00044
44708,Violence Against the Person,Hammersmith and Fulham,E01001891,5090,64.4,2427.88,0.00041
46560,Violence Against the Person,Redbridge,E01003657,4308,54.6,2424.24,0.00041
46496,Violence Against the Person,Newham,E01003632,4876,59.2,2504.16,0.0004
45320,Violence Against the Person,Hillingdon,E01002486,6633,63.0,2545.2,0.00039
43368,Violence Against the Person,Brent,E01000615,9600,61.5,2570.7,0.00039
43901,Violence Against the Person,Croydon,E01001137,6489,59.6,2574.72,0.00039
46196,Violence Against the Person,Lewisham,E01003339,5031,56.7,2591.19,0.00039
46140,Violence Against the Person,Lewisham,E01003278,6330,64.4,2563.12,0.00039
47171,Violence Against the Person,Tower Hamlets,E01004271,4938,65.5,2626.55,0.00038
43364,Violence Against the Person,Brent,E01000610,4410,60.2,2600.64,0.00038
45833,Violence Against the Person,Kingston upon Thames,E01002974,4084,59.6,2646.24,0.00038
45668,Violence Against the Person,Islington,E01035651,4683,63.3,2728.23,0.00037
47298,Violence Against the Person,Waltham Forest,E01004340,5652,69.4,2706.6,0.00037
47401,Violence Against the Person,Waltham Forest,E01004445,4146,62.1,2813.13,0.00036
46405,Violence Against the Person,Newham,E01003533,4750,61.9,2773.12,0.00036
44288,Violence Against the Person,Enfield,E01001508,7377,62.4,2758.08,0.00036
43319,Violence Against the Person,Brent,E01000561,3842,61.2,2772.36,0.00036
46365,Violence Against the Person,Newham,E01003489,5974,69.1,2764.0,0.00036
