,LSOA,Major Category,Borough,Population,Mean,Normalised Deviation,Regression,Flat
49246,E01004734,Violence Against the Person,Westminster,1699,4666.4,6314572.48,1.968,0.508130081300813
49268,E01004736,Violence Against the Person,Westminster,1547,2799.3,2945983.32,1.465,0.68259385665529
54801,E01035716,Violence Against the Person,Westminster,2201,2452.4,1951129.44,1.179,0.8481764206955046
49510,E01004763,Violence Against the Person,Westminster,2031,2341.1,1877796.31,1.097,0.9115770282588879
52304,E01034150,Violence Against the Person,Croydon,1312,2022.5,1314625.0,0.967,1.0341261633919339
9052,E01000863,Violence Against the Person,Camden,1479,1912.7,1243828.81,0.985,1.015228426395939
31877,E01003047,Violence Against the Person,Lambeth,1798,1622.4,986419.2,0.763,1.310615989515072
24661,E01002356,Violence Against the Person,Havering,2107,1472.7,725599.29,0.748,1.3368983957219251
52887,E01034220,Violence Against the Person,Newham,1188,1466.1,1329019.65,1.033,0.9680542110358181
49488,E01004761,Violence Against the Person,Westminster,1217,1450.5,848107.35,0.841,1.1890606420927468
52370,E01034156,Violence Against the Person,Sutton,1353,1383.4,679802.76,0.762,1.3123359580052494
31019,E01002968,Violence Against the Person,Kingston upon Thames,2937,1316.9,437605.87,0.519,1.9267822736030829
50940,E01033708,Violence Against the Person,Hackney,1883,1241.1,680371.02,0.772,1.2953367875647668
14112,E01001340,Violence Against the Person,Ealing,1563,1146.0,758422.8,0.953,1.0493179433368311
52667,E01034200,Violence Against the Person,Newham,1573,1101.3,491069.67,0.638,1.567398119122257
53206,E01034473,Violence Against the Person,Barking and Dagenham,1294,1078.3,410940.13,0.529,1.8903591682419658
8073,E01000769,Violence Against the Person,Bromley,1380,1056.7,503728.89,0.641,1.5600624024960998
51853,E01033938,Violence Against the Person,Brent,1277,1031.4,612239.04,0.673,1.4858841010401187
49257,E01004735,Violence Against the Person,Westminster,2044,993.2,375926.2,0.531,1.8832391713747645
50929,E01033706,Violence Against the Person,Hackney,1427,987.7,468663.65,0.7,1.4285714285714286
20239,E01001943,Violence Against the Person,Hammersmith and Fulham,2225,968.7,349991.31,0.457,2.1881838074398248
31503,E01003013,Violence Against the Person,Lambeth,1934,968.4,477711.72,0.469,2.1321961620469083
34484,E01003291,Violence Against the Person,Lewisham,1535,954.2,455344.24,0.544,1.838235294117647
52546,E01034188,Violence Against the Person,Greenwich,1418,948.3,521470.17,0.793,1.2610340479192939
51996,E01034030,Violence Against the Person,Ealing,1834,933.4,297194.56,0.489,2.044989775051125
50764,E01033594,Violence Against the Person,Westminster,1514,913.8,421353.18,0.53,1.8867924528301885
50863,E01033699,Violence Against the Person,Hackney,1409,892.6,381943.54,0.568,1.7605633802816902
52249,E01034145,Violence Against the Person,Croydon,1330,877.5,325991.25,0.503,1.9880715705765408
53052,E01034386,Violence Against the Person,Bromley,1224,864.6,356561.04,0.485,2.061855670103093
9591,E01000914,Violence Against the Person,Camden,1402,850.5,331439.85,0.551,1.8148820326678765
20217,E01001941,Violence Against the Person,Hammersmith and Fulham,1546,796.7,228812.24,0.426,2.347417840375587
49862,E01032741,Violence Against the Person,Havering,1484,790.8,249181.08,0.434,2.3041474654377883
19766,E01001898,Violence Against the Person,Hammersmith and Fulham,2100,783.2,279837.36,0.465,2.150537634408602
9646,E01000919,Violence Against the Person,Camden,1459,778.9,245976.62,0.488,2.0491803278688523
49235,E01004733,Violence Against the Person,Westminster,2116,769.8,453412.2,0.803,1.2453300124533
9921,E01000947,Violence Against the Person,Camden,1656,765.1,200915.26,0.403,2.4813895781637716
14343,E01001361,Violence Against the Person,Ealing,2271,761.8,212923.1,0.411,2.4330900243309004
17819,E01001701,Violence Against the Person,Greenwich,1754,759.6,312575.4,0.403,2.4813895781637716
48179,E01004626,Violence Against the Person,Wandsworth,1854,749.1,332375.67,0.539,1.8552875695732838
54097,E01035652,Violence Against the Person,Islington,1271,743.7,248767.65,0.477,2.0964360587002098
52535,E01034187,Violence Against the Person,Greenwich,1259,742.4,276840.96,0.477,2.0964360587002098
51534,E01033884,Violence Against the Person,Southwark,1083,741.4,287218.36,0.56,1.7857142857142856
31745,E01003035,Violence Against the Person,Lambeth,1671,737.1,222383.07,0.46,2.1739130434782608
34737,E01003318,Violence Against the Person,Lewisham,2076,735.3,209192.85,0.371,2.6954177897574123
49026,E01004714,Violence Against the Person,Westminster,1667,735.0,226159.5,0.43,2.3255813953488373
15498,E01001468,Violence Against the Person,Enfield,1387,728.2,366503.06,0.49,2.0408163265306123
12374,E01001178,Violence Against the Person,Croydon,1613,717.7,279974.77,0.37,2.7027027027027026
51061,E01033735,Violence Against the Person,Greenwich,1270,705.0,204309.0,0.433,2.3094688221709005
49521,E01004765,Violence Against the Person,Westminster,1862,697.5,209808.0,0.417,2.3980815347721824
51424,E01033874,Violence Against the Person,Southwark,1143,691.7,233725.43,0.521,1.9193857965451055
47123,E01004525,Violence Against the Person,Wandsworth,1933,690.5,190647.05,0.399,2.506265664160401
39489,E01003770,Violence Against the Person,Redbridge,2864,689.1,338348.1,0.381,2.6246719160104988
18061,E01001729,Violence Against the Person,Hackney,2000,688.5,293645.25,0.528,1.8939393939393938
50434,E01033327,Violence Against the Person,Lewisham,2169,682.9,195104.53,0.367,2.7247956403269757
30348,E01002906,Violence Against the Person,Kensington and Chelsea,1785,681.2,233242.88,0.456,2.1929824561403506
7061,E01000676,Violence Against the Person,Bromley,2046,680.5,203605.6,0.385,2.5974025974025974
28313,E01002712,Violence Against the Person,Islington,1370,672.0,260064.0,0.478,2.092050209205021
42514,E01004067,Violence Against the Person,Southwark,2212,669.6,167065.2,0.379,2.638522427440633
54746,E01035711,Violence Against the Person,Camden,2400,668.1,164887.08,0.345,2.8985507246376816
21141,E01002026,Violence Against the Person,Haringey,1780,666.2,201991.84,0.438,2.2831050228310503
19678,E01001890,Violence Against the Person,Hammersmith and Fulham,1682,665.2,241800.2,0.484,2.066115702479339
52227,E01034143,Violence Against the Person,Croydon,1311,663.2,232982.16,0.46,2.1739130434782608
28907,E01002770,Violence Against the Person,Islington,1894,662.8,192278.28,0.398,2.5125628140703515
50709,E01033589,Violence Against the Person,Redbridge,1930,662.6,168830.48,0.371,2.6954177897574123
38631,E01003689,Violence Against the Person,Redbridge,2230,658.1,181503.98,0.359,2.785515320334262
48520,E01004658,Violence Against the Person,Westminster,1548,655.9,168959.84,0.401,2.4937655860349124
15080,E01001429,Violence Against the Person,Enfield,2294,652.1,159177.61,0.295,3.3898305084745766
21174,E01002029,Violence Against the Person,Haringey,2138,649.0,171271.1,0.382,2.6178010471204187
50236,E01033083,Violence Against the Person,Hounslow,2178,648.7,183063.14,0.351,2.8490028490028494
6280,E01000601,Violence Against the Person,Brent,1392,642.3,206306.76,0.446,2.242152466367713
26388,E01002521,Violence Against the Person,Hillingdon,2055,639.8,161229.6,0.341,2.9325513196480935
34594,E01003303,Violence Against the Person,Lewisham,1743,629.7,147853.56,0.364,2.7472527472527473
31965,E01003055,Violence Against the Person,Lambeth,1618,629.3,170477.37,0.404,2.4752475247524752
8964,E01000855,Violence Against the Person,Camden,1327,621.9,215737.11,0.455,2.1978021978021975
53591,E01034602,Violence Against the Person,Hillingdon,1358,618.6,183476.76,0.458,2.1834061135371177
44945,E01004322,Violence Against the Person,Tower Hamlets,1376,617.3,222783.57,0.502,1.9920318725099602
10614,E01001013,Violence Against the Person,Croydon,2185,613.8,148969.26,0.301,3.3222591362126246
41139,E01003921,Violence Against the Person,Southwark,1897,613.7,142439.77,0.342,2.923976608187134
3772,E01000360,Violence Against the Person,Bexley,1902,606.8,159163.64,0.388,2.5773195876288657
48080,E01004617,Violence Against the Person,Wandsworth,1915,601.8,170911.2,0.342,2.923976608187134
50841,E01033604,Violence Against the Person,Westminster,1192,600.6,173873.7,0.4,2.5
49389,E01004750,Violence Against the Person,Westminster,1634,600.1,147564.59,0.35,2.857142857142857
14233,E01001351,Violence Against the Person,Ealing,1993,597.4,135311.1,0.353,2.8328611898017
25244,E01002412,Violence Against the Person,Hillingdon,2286,597.2,206929.8,0.385,2.5974025974025974
40644,E01003876,Violence Against the Person,Richmond upon Thames,1877,578.2,135934.82,0.357,2.801120448179272
47409,E01004551,Violence Against the Person,Wandsworth,1551,577.2,158614.56,0.396,2.525252525252525
52282,E01034148,Violence Against the Person,Croydon,1634,576.0,192096.0,0.376,2.6595744680851063
51897,E01033942,Violence Against the Person,Brent,1599,574.6,322465.52,0.686,1.4577259475218658
41051,E01003913,Violence Against the Person,Southwark,2075,573.2,150636.96,0.378,2.6455026455026456
49499,E01004762,Violence Against the Person,Westminster,1579,572.2,151747.44,0.369,2.710027100271003
21603,E01002069,Violence Against the Person,Haringey,2092,571.9,147207.06,0.352,2.8409090909090913
32031,E01003061,Violence Against the Person,Lambeth,1327,570.1,151418.56,0.415,2.4096385542168677
18358,E01001760,Violence Against the Person,Hackney,1925,568.1,161965.31,0.355,2.8169014084507045
28236,E01002704,Violence Against the Person,Islington,2341,566.6,135474.06,0.345,2.8985507246376816
49752,E01032582,Violence Against the Person,Lambeth,2281,561.2,139570.44,0.346,2.8901734104046244
50456,E01033455,Violence Against the Person,Brent,1114,559.7,154980.93,0.426,2.347417840375587
41931,E01004010,Violence Against the Person,Southwark,1491,553.1,141925.46,0.4,2.5
44021,E01004208,Violence Against the Person,Tower Hamlets,1977,552.2,116293.32,0.319,3.134796238244514
8997,E01000858,Violence Against the Person,Camden,1992,550.1,139340.33,0.39,2.564102564102564
37773,E01003601,Violence Against the Person,Newham,2212,549.9,222104.61,0.399,2.506265664160401
49972,E01032771,Violence Against the Person,Tower Hamlets,1540,548.9,176306.68,0.344,2.906976744186047
19326,E01001857,Violence Against the Person,Hammersmith and Fulham,1551,548.0,136452.0,0.344,2.906976744186047
26256,E01002506,Violence Against the Person,Hillingdon,2054,547.9,118729.93,0.33,3.0303030303030303
28027,E01002681,Violence Against the Person,Hounslow,2424,546.0,158558.4,0.297,3.367003367003367
51292,E01033862,Violence Against the Person,Lambeth,1422,545.2,145295.8,0.416,2.4038461538461537
9844,E01000938,Violence Against the Person,Camden,1383,544.4,150091.08,0.392,2.5510204081632653
9635,E01000918,Violence Against the Person,Camden,1805,538.7,124385.83,0.358,2.793296089385475
51083,E01033737,Violence Against the Person,Greenwich,1893,534.5,122828.1,0.306,3.2679738562091503
52062,E01034036,Violence Against the Person,Hounslow,1820,533.3,102233.61,0.28,3.571428571428571
28137,E01002695,Violence Against the Person,Islington,1483,531.1,132987.44,0.378,2.6455026455026456
48828,E01004695,Violence Against the Person,Westminster,1056,530.9,154279.54,0.427,2.34192037470726
9030,E01000861,Violence Against the Person,Camden,1380,530.3,127378.06,0.36,2.7777777777777777
52293,E01034149,Violence Against the Person,Croydon,2111,529.2,124150.32,0.288,3.4722222222222223
5961,E01000568,Violence Against the Person,Brent,2219,529.1,159206.19,0.304,3.2894736842105265
32416,E01003096,Violence Against the Person,Lambeth,2098,526.0,114668.0,0.312,3.2051282051282053
32482,E01003102,Violence Against the Person,Lambeth,1771,524.8,138389.76,0.388,2.5773195876288657
45759,E01004397,Violence Against the Person,Waltham Forest,2896,519.2,90444.64,0.269,3.717472118959108
20888,E01002002,Violence Against the Person,Haringey,1677,517.0,168542.0,0.401,2.4937655860349124
1407,E01000141,Violence Against the Person,Barnet,1861,514.3,118391.86,0.339,2.949852507374631
9580,E01000913,Violence Against the Person,Camden,1629,513.1,172504.22,0.429,2.331002331002331
51578,E01033913,Violence Against the Person,Barnet,1525,510.7,171799.48,0.453,2.2075055187637966
14079,E01001337,Violence Against the Person,Ealing,2105,510.3,171511.83,0.524,1.9083969465648853
29171,E01002794,Violence Against the Person,Islington,2028,509.3,112911.81,0.345,2.8985507246376816
21229,E01002034,Violence Against the Person,Haringey,2471,509.0,115848.4,0.278,3.597122302158273
5356,E01000510,Violence Against the Person,Brent,1700,508.3,118332.24,0.334,2.994011976047904
5510,E01000524,Violence Against the Person,Brent,2384,503.4,98062.32,0.266,3.7593984962406015
36893,E01003521,Violence Against the Person,Newham,2187,494.4,114799.68,0.308,3.2467532467532467
12121,E01001155,Violence Against the Person,Croydon,1787,493.8,112240.74,0.312,3.2051282051282053
9855,E01000939,Violence Against the Person,Camden,1446,490.6,135552.78,0.391,2.557544757033248
54823,E01035718,Violence Against the Person,Westminster,2659,489.3,152906.25,0.423,2.3640661938534278
